Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																				
Дата голосования: 18.09.2016																																																																																				
																																																																																				
Наименование Избирательной комиссии:    Кстовская																																																																																				
																																																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																				
																																																																																				
		Сумма	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	484	0	3	1	4	14	4	11	1	7	4	1	8	11	3	7	7	4	1	4	1	7	3	5	11	4	3	3	2	2	22	4	21	2	4	24	9	13	0	3	7	4	2	4	19	22	25	18	3	12	5	15	3	8	8	6	0	6	9	4	3	6	4	4	11	7	5	7	3	3	2	2	7	2									
14	Число погашенных неиспользованных открепительных удостоверений	702	11	12	16	44	9	0	8	12	9	11	14	11	10	8	9	11	8	10	8	10	12	15	15	5	8	12	17	11	11	17	15	14	4	1	13	4	12	5	4	14	6	17	8	27	11	15	5	4	7	0	5	5	5	8	1	5	19	12	10	5	5	3	7	11	5	4	5	19	5	5	2	5	11									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	103	0	1	2	5	2	6	5	3	1	2	0	0	3	1	6	1	4	2	1	0	2	0	1	4	3	0	5	0	3	5	4	4	0	0	0	1	1	0	0	4	1	0	1	0	2	0	0	1	0	0	1	1	0	1	0	0	1	6	1	0	0	0	1	1	0	1	1	1	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	536	8	6	7	22	21	11	23	15	6	13	13	9	13	6	7	2	3	10	11	3	13	9	9	24	15	0	7	8	8	19	5	4	1	7	11	3	11	4	4	5	4	6	7	6	15	3	3	2	3	1	6	2	3	16	5	0	10	4	9	0	1	6	4	10	1	7	2	10	0	1	7	1	5									
		1.61%	1.43%	1.46%	1.61%	1.65%	2.47%	1.19%	2.61%	2.28%	0.68%	1.99%	1.82%	2.96%	2.35%	1.37%	1.37%	0.40%	0.65%	2.39%	1.87%	0.65%	2.16%	1.89%	1.64%	2.68%	1.66%	0.00%	0.95%	1.98%	2.28%	2.04%	0.97%	0.79%	1.32%	4.83%	2.70%	1.44%	2.81%	2.82%	2.94%	0.85%	2.07%	1.40%	1.49%	1.11%	1.64%	0.69%	0.59%	0.97%	1.08%	0.68%	2.32%	1.47%	4.23%	2.16%	4.90%	0.00%	1.49%	0.61%	1.25%	0.00%	1.22%	3.33%	0.95%	1.79%	1.39%	2.62%	2.67%	2.39%	0.00%	1.28%	1.40%	2.56%	0.82%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1271	15	8	17	27	21	32	23	22	28	25	24	12	19	8	20	14	42	24	14	20	23	38	25	30	28	22	37	30	20	32	22	17	4	2	12	10	10	12	4	23	6	10	15	8	25	20	22	7	10	12	20	13	11	30	8	5	36	35	24	3	4	5	22	20	3	14	5	17	6	2	16	0	21									
		3.83%	2.67%	1.94%	3.90%	2.02%	2.47%	3.47%	2.61%	3.34%	3.19%	3.83%	3.37%	3.95%	3.43%	1.83%	3.92%	2.78%	9.11%	5.73%	2.39%	4.33%	3.83%	8.00%	4.55%	3.35%	3.10%	4.21%	5.01%	7.41%	5.70%	3.44%	4.25%	3.37%	5.26%	1.38%	2.94%	4.78%	2.55%	8.45%	2.94%	3.90%	3.11%	2.33%	3.18%	1.48%	2.74%	4.60%	4.32%	3.38%	3.60%	8.16%	7.72%	9.56%	15.49%	4.05%	7.84%	6.25%	5.35%	5.36%	3.32%	1.46%	4.88%	2.78%	5.24%	3.58%	4.17%	5.24%	6.67%	4.07%	5.31%	2.56%	3.21%	0.00%	3.46%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	715	14	10	7	25	24	18	21	9	28	17	22	11	10	7	12	11	16	6	13	14	14	18	14	19	17	16	14	7	15	17	9	7	6	1	9	10	4	5	3	10	2	5	9	12	21	7	10	4	7	1	7	3	2	14	1	1	13	8	12	4	4	9	10	7	1	2	1	6	0	1	12	0	9									
		2.15%	2.50%	2.43%	1.61%	1.87%	2.82%	1.95%	2.39%	1.37%	3.19%	2.61%	3.09%	3.62%	1.81%	1.60%	2.35%	2.19%	3.47%	1.43%	2.21%	3.03%	2.33%	3.79%	2.55%	2.12%	1.88%	3.07%	1.89%	1.73%	4.27%	1.83%	1.74%	1.39%	7.89%	0.69%	2.21%	4.78%	1.02%	3.52%	2.21%	1.69%	1.04%	1.16%	1.91%	2.23%	2.30%	1.61%	1.96%	1.93%	2.52%	0.68%	2.70%	2.21%	2.82%	1.89%	0.98%	1.25%	1.93%	1.23%	1.66%	1.94%	4.88%	5.00%	2.38%	1.25%	1.39%	0.75%	1.33%	1.44%	0.00%	1.28%	2.40%	0.00%	1.48%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	15520	294	199	220	757	421	395	402	289	419	278	327	128	261	190	232	243	228	169	273	226	276	221	227	388	407	250	334	200	159	419	220	214	34	52	172	92	146	66	56	248	61	206	218	264	336	197	203	92	125	77	102	50	34	405	59	46	338	254	461	160	49	90	210	261	38	109	23	232	65	40	286	27	270									
		46.74%	52.41%	48.30%	50.46%	56.70%	49.47%	42.80%	45.68%	43.85%	47.78%	42.64%	45.86%	42.11%	47.11%	43.38%	45.49%	48.31%	49.46%	40.33%	46.51%	48.92%	45.92%	46.53%	41.27%	43.30%	45.02%	47.89%	45.20%	49.38%	45.30%	45.01%	42.47%	42.46%	44.74%	35.86%	42.16%	44.02%	37.24%	46.48%	41.18%	42.03%	31.61%	47.91%	46.28%	48.98%	36.80%	45.29%	39.88%	44.44%	44.96%	52.38%	39.38%	36.76%	47.89%	54.73%	57.84%	57.50%	50.22%	38.90%	63.85%	77.67%	59.76%	50.00%	50.00%	46.69%	52.78%	40.82%	30.67%	55.50%	57.52%	51.28%	57.31%	69.23%	44.48%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	215	1	3	3	12	6	11	8	9	7	7	7	7	2	3	2	2	4	1	5	4	3	2	4	10	12	1	4	2	1	8	3	5	0	2	1	1	5	0	3	3	2	2	0	2	5	3	2	1	0	0	1	1	0	5	0	0	1	3	0	0	0	0	3	1	1	1	2	0	0	0	1	0	4									
		0.65%	0.18%	0.73%	0.69%	0.90%	0.71%	1.19%	0.91%	1.37%	0.80%	1.07%	0.98%	2.30%	0.36%	0.68%	0.39%	0.40%	0.87%	0.24%	0.85%	0.87%	0.50%	0.42%	0.73%	1.12%	1.33%	0.19%	0.54%	0.49%	0.28%	0.86%	0.58%	0.99%	0.00%	1.38%	0.25%	0.48%	1.28%	0.00%	2.21%	0.51%	1.04%	0.47%	0.00%	0.37%	0.55%	0.69%	0.39%	0.48%	0.00%	0.00%	0.39%	0.74%	0.00%	0.68%	0.00%	0.00%	0.15%	0.46%	0.00%	0.00%	0.00%	0.00%	0.71%	0.18%	1.39%	0.37%	2.67%	0.00%	0.00%	0.00%	0.20%	0.00%	0.66%									
24	"6. Политическая партия ""Гражданская Платформа"""	54	0	0	0	3	1	1	3	0	1	0	1	2	0	0	0	0	0	2	0	0	0	1	1	1	2	0	1	1	1	2	1	1	0	0	2	0	0	0	0	1	1	0	0	0	5	0	1	0	0	1	0	1	0	1	0	0	1	3	1	0	0	1	2	0	0	0	6	0	0	0	0	0	1									
		0.16%	0.00%	0.00%	0.00%	0.22%	0.12%	0.11%	0.34%	0.00%	0.11%	0.00%	0.14%	0.66%	0.00%	0.00%	0.00%	0.00%	0.00%	0.48%	0.00%	0.00%	0.00%	0.21%	0.18%	0.11%	0.22%	0.00%	0.14%	0.25%	0.28%	0.21%	0.19%	0.20%	0.00%	0.00%	0.49%	0.00%	0.00%	0.00%	0.00%	0.17%	0.52%	0.00%	0.00%	0.00%	0.55%	0.00%	0.20%	0.00%	0.00%	0.68%	0.00%	0.74%	0.00%	0.14%	0.00%	0.00%	0.15%	0.46%	0.14%	0.00%	0.00%	0.56%	0.48%	0.00%	0.00%	0.00%	8.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4594	62	57	53	278	117	141	125	107	103	90	104	43	47	52	68	71	60	54	80	56	79	61	77	128	110	64	123	68	37	137	46	75	10	18	50	19	59	18	18	84	29	64	69	87	243	60	79	39	38	15	23	14	6	109	9	10	80	84	74	7	9	21	57	58	10	30	13	41	15	8	64	4	76									
		13.84%	11.05%	13.83%	12.16%	20.82%	13.75%	15.28%	14.20%	16.24%	11.74%	13.80%	14.59%	14.14%	8.48%	11.87%	13.33%	14.12%	13.02%	12.89%	13.63%	12.12%	13.14%	12.84%	14.00%	14.29%	12.17%	12.26%	16.64%	16.79%	10.54%	14.72%	8.88%	14.88%	13.16%	12.41%	12.25%	9.09%	15.05%	12.68%	13.24%	14.24%	15.03%	14.88%	14.65%	16.14%	26.62%	13.79%	15.52%	18.84%	13.67%	10.20%	8.88%	10.29%	8.45%	14.73%	8.82%	12.50%	11.89%	12.86%	10.25%	3.40%	10.98%	11.67%	13.57%	10.38%	13.89%	11.24%	17.33%	9.81%	13.27%	10.26%	12.83%	10.26%	12.52%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	283	3	5	5	13	10	8	12	2	15	4	5	1	6	4	6	3	4	8	1	2	4	7	4	7	11	2	2	5	5	12	5	6	1	5	0	1	11	0	2	8	0	2	4	5	8	2	1	1	3	2	8	0	0	0	0	2	2	1	2	0	0	2	0	2	0	0	0	1	0	3	8	0	9									
		0.85%	0.53%	1.21%	1.15%	0.97%	1.18%	0.87%	1.36%	0.30%	1.71%	0.61%	0.70%	0.33%	1.08%	0.91%	1.18%	0.60%	0.87%	1.91%	0.17%	0.43%	0.67%	1.47%	0.73%	0.78%	1.22%	0.38%	0.27%	1.23%	1.42%	1.29%	0.97%	1.19%	1.32%	3.45%	0.00%	0.48%	2.81%	0.00%	1.47%	1.36%	0.00%	0.47%	0.85%	0.93%	0.88%	0.46%	0.20%	0.48%	1.08%	1.36%	3.09%	0.00%	0.00%	0.00%	0.00%	2.50%	0.30%	0.15%	0.28%	0.00%	0.00%	1.11%	0.00%	0.36%	0.00%	0.00%	0.00%	0.24%	0.00%	3.85%	1.60%	0.00%	1.48%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	352	3	5	8	8	8	13	9	5	11	11	4	3	7	5	5	5	9	6	8	3	2	5	8	20	12	9	5	0	4	12	10	8	5	2	10	6	10	0	1	7	4	6	12	6	2	5	1	0	1	1	7	0	2	4	0	3	5	2	7	0	0	1	1	1	0	2	0	0	0	0	0	2	5									
		1.06%	0.53%	1.21%	1.83%	0.60%	0.94%	1.41%	1.02%	0.76%	1.25%	1.69%	0.56%	0.99%	1.26%	1.14%	0.98%	0.99%	1.95%	1.43%	1.36%	0.65%	0.33%	1.05%	1.45%	2.23%	1.33%	1.72%	0.68%	0.00%	1.14%	1.29%	1.93%	1.59%	6.58%	1.38%	2.45%	2.87%	2.55%	0.00%	0.74%	1.19%	2.07%	1.40%	2.55%	1.11%	0.22%	1.15%	0.20%	0.00%	0.36%	0.68%	2.70%	0.00%	2.82%	0.54%	0.00%	3.75%	0.74%	0.31%	0.97%	0.00%	0.00%	0.56%	0.24%	0.18%	0.00%	0.75%	0.00%	0.00%	0.00%	0.00%	0.00%	5.13%	0.82%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	48	2	1	0	1	2	1	0	1	1	0	1	0	1	0	0	1	1	1	0	1	0	1	1	0	1	1	0	1	0	1	0	1	0	1	1	0	1	0	0	0	0	0	1	2	2	0	0	0	0	1	1	1	0	1	1	0	2	6	0	0	0	0	0	1	0	0	0	1	1	0	1	0	1									
		0.14%	0.36%	0.24%	0.00%	0.07%	0.24%	0.11%	0.00%	0.15%	0.11%	0.00%	0.14%	0.00%	0.18%	0.00%	0.00%	0.20%	0.22%	0.24%	0.00%	0.22%	0.00%	0.21%	0.18%	0.00%	0.11%	0.19%	0.00%	0.25%	0.00%	0.11%	0.00%	0.20%	0.00%	0.69%	0.25%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.37%	0.22%	0.00%	0.00%	0.00%	0.00%	0.68%	0.39%	0.74%	0.00%	0.14%	0.98%	0.00%	0.30%	0.92%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.24%	0.88%	0.00%	0.20%	0.00%	0.16%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	472	5	14	3	15	16	12	13	8	12	19	13	4	22	12	13	8	6	7	4	4	2	4	7	23	13	10	5	4	2	15	15	26	4	7	8	2	10	0	2	2	9	3	8	8	7	9	1	5	4	2	3	3	1	1	0	0	9	4	3	1	0	0	2	6	0	2	0	1	0	0	4	1	4									
		1.42%	0.89%	3.40%	0.69%	1.12%	1.88%	1.30%	1.48%	1.21%	1.37%	2.91%	1.82%	1.32%	3.97%	2.74%	2.55%	1.59%	1.30%	1.67%	0.68%	0.87%	0.33%	0.84%	1.27%	2.57%	1.44%	1.92%	0.68%	0.99%	0.57%	1.61%	2.90%	5.16%	5.26%	4.83%	1.96%	0.96%	2.55%	0.00%	1.47%	0.34%	4.66%	0.70%	1.70%	1.48%	0.77%	2.07%	0.20%	2.42%	1.44%	1.36%	1.16%	2.21%	1.41%	0.14%	0.00%	0.00%	1.34%	0.61%	0.42%	0.49%	0.00%	0.00%	0.48%	1.07%	0.00%	0.75%	0.00%	0.24%	0.00%	0.00%	0.80%	2.56%	0.66%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	5594	109	72	80	104	116	193	159	119	133	108	101	55	110	92	85	96	56	85	102	87	108	68	108	154	170	89	144	46	57	153	105	82	6	30	64	46	77	27	31	121	53	65	77	80	82	65	130	39	28	20	38	9	6	111	11	10	132	186	88	16	14	26	65	121	11	66	12	67	14	15	72	1	116									
		16.85%	19.43%	17.48%	18.35%	7.79%	13.63%	20.91%	18.07%	18.06%	15.17%	16.56%	14.17%	18.09%	19.86%	21.00%	16.67%	19.09%	12.15%	20.29%	17.38%	18.83%	17.97%	14.32%	19.64%	17.19%	18.81%	17.05%	19.49%	11.36%	16.24%	16.43%	20.27%	16.27%	7.89%	20.69%	15.69%	22.01%	19.64%	19.01%	22.79%	20.51%	27.46%	15.12%	16.35%	14.84%	8.98%	14.94%	25.54%	18.84%	10.07%	13.61%	14.67%	6.62%	8.45%	15.00%	10.78%	12.50%	19.61%	28.48%	12.19%	7.77%	17.07%	14.44%	15.48%	21.65%	15.28%	24.72%	16.00%	16.03%	12.39%	19.23%	14.43%	2.56%	19.11%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	149	1	1	5	4	5	2	3	6	3	1	6	1	4	1	4	2	0	1	4	0	2	3	0	3	5	4	2	2	0	9	3	2	0	2	4	0	4	0	0	1	4	0	13	0	1	0	2	0	2	0	0	1	0	2	0	0	1	3	2	0	0	0	1	1	1	4	1	2	0	0	2	1	5									
		0.45%	0.18%	0.24%	1.15%	0.30%	0.59%	0.22%	0.34%	0.91%	0.34%	0.15%	0.84%	0.33%	0.72%	0.23%	0.78%	0.40%	0.00%	0.24%	0.68%	0.00%	0.33%	0.63%	0.00%	0.33%	0.55%	0.77%	0.27%	0.49%	0.00%	0.97%	0.58%	0.40%	0.00%	1.38%	0.98%	0.00%	1.02%	0.00%	0.00%	0.17%	2.07%	0.00%	2.76%	0.00%	0.11%	0.00%	0.39%	0.00%	0.72%	0.00%	0.00%	0.74%	0.00%	0.27%	0.00%	0.00%	0.15%	0.46%	0.28%	0.00%	0.00%	0.00%	0.24%	0.18%	1.39%	1.50%	1.33%	0.48%	0.00%	0.00%	0.40%	2.56%	0.82%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2595	41	23	16	46	71	75	66	51	103	53	68	17	36	39	37	37	29	29	49	32	59	29	57	69	81	39	45	28	40	76	56	45	5	15	52	19	36	10	9	63	11	42	28	46	93	48	36	8	47	8	41	36	5	29	6	3	25	32	36	12	1	12	31	52	6	22	9	19	10	5	19	2	64									
		7.82%	7.31%	5.58%	3.67%	3.45%	8.34%	8.13%	7.50%	7.74%	11.74%	8.13%	9.54%	5.59%	6.50%	8.90%	7.25%	7.36%	6.29%	6.92%	8.35%	6.93%	9.82%	6.11%	10.36%	7.70%	8.96%	7.47%	6.09%	6.91%	11.40%	8.16%	10.81%	8.93%	6.58%	10.34%	12.75%	9.09%	9.18%	7.04%	6.62%	10.68%	5.70%	9.77%	5.94%	8.53%	10.19%	11.03%	7.07%	3.86%	16.91%	5.44%	15.83%	26.47%	7.04%	3.92%	5.88%	3.75%	3.71%	4.90%	4.99%	5.83%	1.22%	6.67%	7.38%	9.30%	8.33%	8.24%	12.00%	4.55%	8.85%	6.41%	3.81%	5.13%	10.54%									
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
