Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																				
Дата голосования: 18.09.2016																																																																				
																																																																				
Наименование Избирательной комиссии:    Троицкая																																																																				
																																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																																				
																																																																				
		Сумма	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №2358	УИК №2359									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	597	18	5	8	13	28	3	14	11	10	8	6	2	13	23	8	18	8	13	18	8	18	13	12	8	3	23	9	16	23	18	18	8	2	3	3	3	8	3	6	2	2	28	3	2	18	3	3	8	33	3	11	3	8	10	9	7	12									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	506	18	0	8	13	28	0	14	9	10	8	6	0	12	23	8	14	8	3	10	8	18	13	12	8	3	23	9	16	7	12	14	2	0	3	2	1	8	3	6	0	2	28	3	2	18	3	3	8	26	3	11	3	8	10	6	7	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	160	3	2	3	1	10	0	2	5	3	2	2	6	3	2	2	5	1	6	3	1	4	9	2	1	3	0	1	2	3	4	2	0	6	1	2	2	6	3	2	1	1	4	1	4	1	0	3	2	10	2	4	4	1	1	2	1	3									
14	Число погашенных неиспользованных открепительных удостоверений	91	0	5	0	0	0	3	0	2	0	0	0	2	1	0	0	4	0	10	8	0	0	0	0	0	0	0	0	0	16	6	4	6	2	0	1	2	0	0	0	2	0	0	0	0	0	0	0	0	7	0	0	0	0	0	3	0	7									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	2	0	0	0	1	4	2	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	132	10	0	2	0	13	3	1	0	1	1	0	1	1	1	0	9	0	5	14	0	0	9	0	4	3	4	0	3	0	2	6	0	4	1	0	1	4	5	1	0	0	3	1	1	0	3	1	0	4	2	1	0	0	6	0	1	0									
		1.14%	2.39%	0.00%	2.20%	0.00%	2.31%	2.44%	0.28%	0.00%	2.27%	0.88%	0.00%	1.32%	0.43%	0.42%	0.00%	1.98%	0.00%	1.47%	2.15%	0.00%	0.00%	2.27%	0.00%	1.87%	1.96%	0.79%	0.00%	1.72%	0.00%	0.52%	1.75%	0.00%	1.86%	0.91%	0.00%	2.50%	0.81%	4.63%	0.78%	0.00%	0.00%	0.46%	1.79%	1.10%	0.00%	2.24%	1.25%	0.00%	0.85%	1.48%	0.81%	0.00%	0.00%	2.61%	0.00%	2.08%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	359	10	0	6	3	21	2	3	1	0	1	2	2	8	7	2	16	7	7	18	12	0	18	1	2	13	20	1	9	29	6	13	0	5	2	1	0	25	0	5	0	5	22	2	3	4	2	3	1	16	8	4	0	4	1	0	2	4									
		3.09%	2.39%	0.00%	6.59%	2.11%	3.74%	1.63%	0.85%	1.59%	0.00%	0.88%	2.30%	2.63%	3.48%	2.97%	2.20%	3.52%	3.04%	2.05%	2.76%	4.43%	0.00%	4.53%	1.08%	0.93%	8.50%	3.93%	0.84%	5.17%	5.17%	1.56%	3.80%	0.00%	2.33%	1.82%	0.85%	0.00%	5.06%	0.00%	3.88%	0.00%	5.68%	3.40%	3.57%	3.30%	2.92%	1.49%	3.75%	2.08%	3.40%	5.93%	3.25%	0.00%	4.71%	0.43%	0.00%	4.17%	7.55%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	228	6	2	4	3	20	0	4	0	3	0	3	2	6	7	0	17	2	3	19	7	0	11	3	4	3	12	2	5	16	4	11	0	0	2	2	0	9	1	0	0	1	15	0	0	0	2	0	1	7	0	0	0	0	7	0	1	1									
		1.96%	1.43%	3.13%	4.40%	2.11%	3.56%	0.00%	1.13%	0.00%	6.82%	0.00%	3.45%	2.63%	2.61%	2.97%	0.00%	3.74%	0.87%	0.88%	2.91%	2.58%	0.00%	2.77%	3.23%	1.87%	1.96%	2.36%	1.68%	2.87%	2.85%	1.04%	3.22%	0.00%	0.00%	1.82%	1.69%	0.00%	1.82%	0.93%	0.00%	0.00%	1.14%	2.32%	0.00%	0.00%	0.00%	1.49%	0.00%	2.08%	1.49%	0.00%	0.00%	0.00%	0.00%	3.04%	0.00%	2.08%	1.89%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6067	235	48	34	113	319	57	268	37	28	74	49	33	106	137	53	224	157	132	245	115	67	184	60	131	60	217	74	94	202	193	133	25	103	55	83	25	183	70	79	26	56	397	44	53	83	86	53	34	195	96	64	58	57	144	75	18	26									
		52.23%	56.09%	75.00%	37.36%	79.58%	56.76%	46.34%	75.49%	58.73%	63.64%	65.49%	56.32%	43.42%	46.09%	58.05%	58.24%	49.34%	68.26%	38.71%	37.58%	42.44%	55.83%	46.35%	64.52%	61.21%	39.22%	42.63%	62.18%	54.02%	36.01%	50.13%	38.89%	39.06%	47.91%	50.00%	70.34%	62.50%	37.04%	64.81%	61.24%	63.41%	63.64%	61.36%	78.57%	58.24%	60.58%	64.18%	66.25%	70.83%	41.49%	71.11%	52.03%	87.88%	67.06%	62.61%	78.95%	37.50%	49.06%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	48	0	0	2	0	2	0	0	0	0	1	0	0	1	2	0	1	2	0	5	3	3	3	0	1	1	3	0	0	3	0	3	0	1	0	1	0	3	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	1	0									
		0.41%	0.00%	0.00%	2.20%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.88%	0.00%	0.00%	0.43%	0.85%	0.00%	0.22%	0.87%	0.00%	0.77%	1.11%	2.50%	0.76%	0.00%	0.47%	0.65%	0.59%	0.00%	0.00%	0.53%	0.00%	0.88%	0.00%	0.47%	0.00%	0.85%	0.00%	0.61%	0.00%	0.00%	0.00%	1.14%	0.00%	0.00%	1.10%	0.00%	0.75%	0.00%	2.08%	0.21%	0.00%	0.81%	0.00%	0.00%	0.00%	0.00%	2.08%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	20	0	0	0	0	3	0	0	0	0	0	1	1	2	0	0	1	0	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0									
		0.17%	0.00%	0.00%	0.00%	0.00%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	1.15%	1.32%	0.87%	0.00%	0.00%	0.22%	0.00%	0.29%	0.15%	0.37%	0.00%	0.00%	1.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.93%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.85%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2368	82	0	16	15	84	29	33	7	7	22	19	29	50	43	11	86	25	109	158	65	22	75	18	39	34	139	9	28	128	97	89	22	56	40	14	12	130	11	20	10	9	99	7	19	28	10	8	7	154	19	30	4	15	36	10	18	12									
		20.39%	19.57%	0.00%	17.58%	10.56%	14.95%	23.58%	9.30%	11.11%	15.91%	19.47%	21.84%	38.16%	21.74%	18.22%	12.09%	18.94%	10.87%	31.96%	24.23%	23.99%	18.33%	18.89%	19.35%	18.22%	22.22%	27.31%	7.56%	16.09%	22.82%	25.19%	26.02%	34.38%	26.05%	36.36%	11.86%	30.00%	26.32%	10.19%	15.50%	24.39%	10.23%	15.30%	12.50%	20.88%	20.44%	7.46%	10.00%	14.58%	32.77%	14.07%	24.39%	6.06%	17.65%	15.65%	10.53%	37.50%	22.64%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	39	0	0	1	0	0	0	0	0	0	0	0	2	1	4	0	2	0	2	4	1	1	1	0	1	1	1	1	1	3	0	0	0	2	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	3	1	0	0	0	2	0	0	0									
		0.34%	0.00%	0.00%	1.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.63%	0.43%	1.69%	0.00%	0.44%	0.00%	0.59%	0.61%	0.37%	0.83%	0.25%	0.00%	0.47%	0.65%	0.20%	0.84%	0.57%	0.53%	0.00%	0.00%	0.00%	0.93%	1.82%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.75%	0.00%	0.00%	0.64%	0.74%	0.00%	0.00%	0.00%	0.87%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	48	1	0	0	0	0	2	0	0	0	1	0	0	2	1	1	4	0	2	6	0	0	3	0	0	1	4	0	1	4	1	2	0	1	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	1	1	1	0	0	2	1	1	0									
		0.41%	0.24%	0.00%	0.00%	0.00%	0.00%	1.63%	0.00%	0.00%	0.00%	0.88%	0.00%	0.00%	0.87%	0.42%	1.10%	0.88%	0.00%	0.59%	0.92%	0.00%	0.00%	0.76%	0.00%	0.00%	0.65%	0.79%	0.00%	0.57%	0.71%	0.26%	0.58%	0.00%	0.47%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.46%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.74%	0.81%	0.00%	0.00%	0.87%	1.05%	2.08%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	2	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.81%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.10%	0.22%	0.00%	0.00%	0.31%	0.00%	0.00%	0.50%	0.00%	0.00%	0.00%	0.00%	0.84%	0.00%	0.00%	0.26%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	67	0	0	1	0	2	1	0	0	0	0	2	0	0	3	1	4	2	2	7	1	0	6	3	0	0	6	0	2	5	6	2	0	2	0	1	0	1	0	0	0	0	2	0	0	0	2	1	0	0	0	0	0	2	0	0	0	0									
		0.58%	0.00%	0.00%	1.10%	0.00%	0.36%	0.81%	0.00%	0.00%	0.00%	0.00%	2.30%	0.00%	0.00%	1.27%	1.10%	0.88%	0.87%	0.59%	1.07%	0.37%	0.00%	1.51%	3.23%	0.00%	0.00%	1.18%	0.00%	1.15%	0.89%	1.56%	0.58%	0.00%	0.93%	0.00%	0.85%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.00%	1.49%	1.25%	0.00%	0.00%	0.00%	0.00%	0.00%	2.35%	0.00%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1384	35	10	16	3	65	16	35	15	2	7	5	1	31	21	16	54	25	49	103	29	17	42	2	15	21	65	25	17	101	53	48	7	25	6	8	0	101	14	17	1	6	70	0	8	21	24	12	0	57	4	16	3	4	19	7	5	5									
		11.91%	8.35%	15.63%	17.58%	2.11%	11.57%	13.01%	9.86%	23.81%	4.55%	6.19%	5.75%	1.32%	13.48%	8.90%	17.58%	11.89%	10.87%	14.37%	15.80%	10.70%	14.17%	10.58%	2.15%	7.01%	13.73%	12.77%	21.01%	9.77%	18.00%	13.77%	14.04%	10.94%	11.63%	5.45%	6.78%	0.00%	20.45%	12.96%	13.18%	2.44%	6.82%	10.82%	0.00%	8.79%	15.33%	17.91%	15.00%	0.00%	12.13%	2.96%	13.01%	4.55%	4.71%	8.26%	7.37%	10.42%	9.43%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	41	1	0	0	0	0	1	2	0	0	0	0	0	0	0	1	1	1	3	2	0	1	3	0	1	0	5	1	1	0	1	0	0	0	0	0	0	3	1	1	0	0	5	1	0	0	0	0	0	4	0	1	0	0	0	0	0	0									
		0.35%	0.24%	0.00%	0.00%	0.00%	0.00%	0.81%	0.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.10%	0.22%	0.43%	0.88%	0.31%	0.00%	0.83%	0.76%	0.00%	0.47%	0.00%	0.98%	0.84%	0.57%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.61%	0.93%	0.78%	0.00%	0.00%	0.77%	1.79%	0.00%	0.00%	0.00%	0.00%	0.00%	0.85%	0.00%	0.81%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	548	36	4	7	2	21	6	9	2	3	5	2	3	14	4	2	28	4	11	44	28	7	28	4	11	13	23	3	8	61	18	22	4	8	2	4	1	19	2	2	4	3	18	1	5	0	3	2	4	10	2	3	1	3	10	0	0	4									
		4.72%	8.59%	6.25%	7.69%	1.41%	3.74%	4.88%	2.54%	3.17%	6.82%	4.42%	2.30%	3.95%	6.09%	1.69%	2.20%	6.17%	1.74%	3.23%	6.75%	10.33%	5.83%	7.05%	4.30%	5.14%	8.50%	4.52%	2.52%	4.60%	10.87%	4.68%	6.43%	6.25%	3.72%	1.82%	3.39%	2.50%	3.85%	1.85%	1.55%	9.76%	3.41%	2.78%	1.79%	5.49%	0.00%	2.24%	2.50%	8.33%	2.13%	1.48%	2.44%	1.52%	3.53%	4.35%	0.00%	0.00%	7.55%									
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
