Выборы Президента Российской Федерации																																																																																																																																									
																																																																																																																																									
Наименование Избирательной комиссии:    Петропавловск-Камчатская городская (судовая)																																																																																																																																									
																																																																																																																																									
Итоги голосования 																																																																																																																																									
																																																																																																																																									
		Сумма	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №189	УИК №190	УИК №194	УИК №195	УИК №196	УИК №197	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №246	УИК №247	УИК №249	УИК №250	УИК №252	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №270	УИК №271	УИК №272	УИК №273	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №290	УИК №291	УИК №292	УИК №294	УИК №300	УИК №301	УИК №302	УИК №304	УИК №306	УИК №307	УИК №311	УИК №312	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337					
14	Число неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																																																																									
18	. Глазьев Сергей Юрьевич	238	7	1	0	0	4	9	13	2	3	0	1	0	1	0	3	0	0	1	0	0	0	3	1	2	2	1	0	0	4	4	2	0	1	4	1	1	1	0	1	0	2	4	2	5	3	1	1	1	1	1	1	3	2	1	8	1	5	1	0	3	3	0	0	0	0	4	1	4	3	6	3	4	0	4	1	2	6	5	1	2	6	2	2	0	0	1	0	1	1	0	3	0	0	1	3	2	1	1	1	2	2	0	2	0	3	1	2	2	0	1	1	2	3	2	0	1	0	0	1	0	2	5	7	4	1	0	0	0	1	0					
		4.10%	11.11%	1.54%	0.00%	0.00%	5.97%	13.85%	16.05%	6.67%	13.64%	0.00%	4.76%	0.00%	3.12%	0.00%	3.53%	0.00%	0.00%	1.47%	0.00%	0.00%	0.00%	3.61%	6.25%	8.70%	8.33%	4.35%	0.00%	0.00%	10.26%	14.81%	7.69%	0.00%	4.00%	14.81%	3.70%	3.70%	3.70%	0.00%	3.57%	0.00%	7.41%	23.53%	11.76%	31.25%	15.00%	5.56%	0.95%	1.85%	2.44%	7.69%	5.56%	3.85%	3.33%	5.88%	8.70%	1.04%	5.15%	4.00%	0.00%	8.33%	6.25%	0.00%	0.00%	0.00%	0.00%	4.88%	1.03%	4.04%	3.16%	6.25%	3.06%	4.17%	0.00%	4.17%	1.04%	2.08%	6.25%	5.21%	1.04%	10.00%	6.98%	2.74%	2.82%	0.00%	0.00%	3.45%	0.00%	6.67%	7.14%	0.00%	4.84%	0.00%	0.00%	3.57%	10.00%	6.90%	6.25%	4.35%	2.63%	2.38%	15.38%	0.00%	40.00%	0.00%	10.71%	3.33%	7.69%	11.11%	0.00%	1.10%	3.45%	6.67%	5.56%	14.29%	0.00%	5.88%	0.00%	0.00%	1.41%	0.00%	8.70%	3.60%	7.29%	3.10%	5.00%	0.00%	0.00%	0.00%	3.85%	0.00%					
19	. Малышкин Олег Александрович	187	3	1	0	0	0	1	0	0	0	0	1	4	4	0	2	0	2	1	2	1	0	21	0	0	2	0	3	0	1	0	1	0	0	0	1	0	0	0	2	3	1	0	1	0	1	0	1	2	2	0	0	1	3	4	2	0	5	0	1	1	1	2	1	0	0	4	5	1	0	0	0	1	4	2	0	1	5	5	0	1	7	1	1	1	1	0	0	0	0	10	0	0	4	1	5	1	2	1	0	0	0	1	0	0	0	1	0	1	0	6	0	2	1	2	2	0	0	0	1	0	0	7	2	8	1	0	1	1	1	0					
		3.22%	4.76%	1.54%	0.00%	0.00%	0.00%	1.54%	0.00%	0.00%	0.00%	0.00%	4.76%	13.33%	12.50%	0.00%	2.35%	0.00%	15.38%	1.47%	10.53%	5.26%	0.00%	25.30%	0.00%	0.00%	8.33%	0.00%	15.00%	0.00%	2.56%	0.00%	3.85%	0.00%	0.00%	0.00%	3.70%	0.00%	0.00%	0.00%	7.14%	10.71%	3.70%	0.00%	5.88%	0.00%	5.00%	0.00%	0.95%	3.70%	4.88%	0.00%	0.00%	1.28%	5.00%	23.53%	2.17%	0.00%	5.15%	0.00%	3.33%	2.78%	2.08%	11.76%	5.88%	0.00%	0.00%	4.88%	5.15%	1.01%	0.00%	0.00%	0.00%	1.04%	4.17%	2.08%	0.00%	1.04%	5.21%	5.21%	0.00%	5.00%	8.14%	1.37%	1.41%	1.04%	1.03%	0.00%	0.00%	0.00%	0.00%	62.50%	0.00%	0.00%	18.18%	3.57%	16.67%	3.45%	12.50%	4.35%	0.00%	0.00%	0.00%	7.69%	0.00%	0.00%	0.00%	3.33%	0.00%	5.56%	0.00%	6.59%	0.00%	6.67%	1.85%	14.29%	9.09%	0.00%	0.00%	0.00%	1.41%	0.00%	0.00%	5.04%	2.08%	6.20%	5.00%	0.00%	3.03%	4.00%	3.85%	0.00%					
20	. Миронов Сергей Михайлович	64	0	1	0	0	2	0	2	0	0	0	0	1	0	1	1	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	2	1	0	0	2	0	0	0	0	0	0	1	0	0	0	1	3	0	1	1	0	0	3	0	1	2	1	0	0	1	0	0	0	0	4	1	2	0	1	1	0	0	1	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	2	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	3	0					
		1.10%	0.00%	1.54%	0.00%	0.00%	2.99%	0.00%	2.47%	0.00%	0.00%	0.00%	0.00%	3.33%	0.00%	5.00%	1.18%	0.00%	0.00%	1.47%	0.00%	0.00%	0.00%	3.61%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	7.69%	3.70%	0.00%	0.00%	7.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	5.88%	0.00%	0.00%	0.00%	5.56%	2.86%	0.00%	2.44%	7.69%	0.00%	0.00%	5.00%	0.00%	1.09%	2.08%	1.03%	0.00%	0.00%	2.78%	0.00%	0.00%	0.00%	0.00%	8.89%	1.22%	2.06%	0.00%	1.05%	1.04%	0.00%	0.00%	1.04%	0.00%	0.00%	0.00%	0.00%	1.04%	0.00%	5.00%	2.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.57%	3.33%	10.34%	0.00%	0.00%	0.00%	0.00%	7.69%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.03%	2.20%	0.00%	6.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.41%	0.00%	0.00%	0.72%	1.04%	0.78%	0.00%	0.00%	0.00%	0.00%	11.54%	0.00%					
21	. Путин Владимир Владимирович	4299	50	54	63	67	56	51	54	16	18	20	11	14	23	11	64	12	10	54	13	14	10	42	12	12	17	16	9	18	29	20	18	18	21	19	20	22	22	18	20	21	21	5	7	6	10	13	80	42	32	6	15	55	39	9	60	80	64	12	23	30	34	8	15	14	34	56	63	77	84	75	84	80	85	73	89	85	78	75	89	12	51	59	52	91	93	20	14	12	6	6	34	15	17	16	8	18	10	18	31	66	2	10	1	18	17	17	18	10	26	62	13	15	36	3	12	14	11	46	62	12	15	106	68	87	13	18	29	21	20	2					
		74.01%	79.37%	83.08%	98.44%	100.00%	83.58%	78.46%	66.67%	53.33%	81.82%	100.00%	52.38%	46.67%	71.88%	55.00%	75.29%	80.00%	76.92%	79.41%	68.42%	73.68%	66.67%	50.60%	75.00%	52.17%	70.83%	69.57%	45.00%	90.00%	74.36%	74.07%	69.23%	66.67%	84.00%	70.37%	74.07%	81.48%	81.48%	69.23%	71.43%	75.00%	77.78%	29.41%	41.18%	37.50%	50.00%	72.22%	76.19%	77.78%	78.05%	46.15%	83.33%	70.51%	65.00%	52.94%	65.22%	83.33%	65.98%	48.00%	76.67%	83.33%	70.83%	47.06%	88.24%	70.00%	75.56%	68.29%	64.95%	77.78%	88.42%	78.12%	85.71%	83.33%	88.54%	76.04%	92.71%	88.54%	81.25%	78.12%	92.71%	60.00%	59.30%	80.82%	73.24%	94.79%	95.88%	68.97%	93.33%	80.00%	42.86%	37.50%	54.84%	71.43%	77.27%	57.14%	26.67%	62.07%	62.50%	78.26%	81.58%	78.57%	15.38%	76.92%	20.00%	62.07%	60.71%	56.67%	69.23%	55.56%	78.79%	68.13%	44.83%	50.00%	66.67%	21.43%	54.55%	82.35%	73.33%	93.88%	87.32%	57.14%	65.22%	76.26%	70.83%	67.44%	65.00%	66.67%	87.88%	84.00%	76.92%	13.33%					
22	. Хакамада Ирина Муцуовна	153	1	1	0	0	0	1	0	1	1	0	0	1	1	0	1	0	0	1	2	0	2	1	0	1	0	0	1	0	1	0	0	1	1	1	0	0	0	8	1	3	2	2	0	1	1	1	4	1	0	0	1	4	2	0	6	1	8	0	1	0	2	0	0	1	0	3	3	0	2	4	1	0	2	3	0	2	0	2	1	1	2	4	1	0	0	2	0	1	0	0	1	0	1	0	4	1	0	0	1	3	0	0	0	0	4	1	1	2	1	2	1	1	0	0	1	0	1	1	0	3	2	2	1	6	1	3	0	0	0	4					
		2.63%	1.59%	1.54%	0.00%	0.00%	0.00%	1.54%	0.00%	3.33%	4.55%	0.00%	0.00%	3.33%	3.12%	0.00%	1.18%	0.00%	0.00%	1.47%	10.53%	0.00%	13.33%	1.20%	0.00%	4.35%	0.00%	0.00%	5.00%	0.00%	2.56%	0.00%	0.00%	3.70%	4.00%	3.70%	0.00%	0.00%	0.00%	30.77%	3.57%	10.71%	7.41%	11.76%	0.00%	6.25%	5.00%	5.56%	3.81%	1.85%	0.00%	0.00%	5.56%	5.13%	3.33%	0.00%	6.52%	1.04%	8.25%	0.00%	3.33%	0.00%	4.17%	0.00%	0.00%	5.00%	0.00%	3.66%	3.09%	0.00%	2.11%	4.17%	1.02%	0.00%	2.08%	3.12%	0.00%	2.08%	0.00%	2.08%	1.04%	5.00%	2.33%	5.48%	1.41%	0.00%	0.00%	6.90%	0.00%	6.67%	0.00%	0.00%	1.61%	0.00%	4.55%	0.00%	13.33%	3.45%	0.00%	0.00%	2.63%	3.57%	0.00%	0.00%	0.00%	0.00%	14.29%	3.33%	3.85%	11.11%	3.03%	2.20%	3.45%	3.33%	0.00%	0.00%	4.55%	0.00%	6.67%	2.04%	0.00%	14.29%	8.70%	1.44%	1.04%	4.65%	5.00%	11.11%	0.00%	0.00%	0.00%	26.67%					
23	. Харитонов Николай Михайлович	144	0	0	0	0	0	0	2	5	0	0	1	0	1	0	0	0	0	1	0	0	0	3	0	1	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	5	0	2	0	6	2	0	0	0	3	0	0	3	2	6	0	3	0	1	2	0	0	1	2	6	2	0	1	3	1	1	2	0	1	2	0	1	0	3	0	1	1	1	0	0	0	1	0	1	1	0	5	5	0	0	0	1	3	3	0	1	2	1	2	1	0	0	3	1	2	5	1	5	0	0	0	1	1	0	9	1	2	0	0	1	1	0	0					
		2.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.47%	16.67%	0.00%	0.00%	4.76%	0.00%	3.12%	0.00%	0.00%	0.00%	0.00%	1.47%	0.00%	0.00%	0.00%	3.61%	0.00%	4.35%	0.00%	0.00%	0.00%	0.00%	2.56%	3.70%	3.85%	3.70%	0.00%	0.00%	3.70%	3.70%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	29.41%	0.00%	10.00%	0.00%	5.71%	3.70%	0.00%	0.00%	0.00%	3.85%	0.00%	0.00%	3.26%	2.08%	6.19%	0.00%	10.00%	0.00%	2.08%	11.76%	0.00%	0.00%	2.22%	2.44%	6.19%	2.02%	0.00%	1.04%	3.06%	1.04%	1.04%	2.08%	0.00%	1.04%	2.08%	0.00%	1.04%	0.00%	3.49%	0.00%	1.41%	1.04%	1.03%	0.00%	0.00%	0.00%	7.14%	0.00%	1.61%	4.76%	0.00%	17.86%	16.67%	0.00%	0.00%	0.00%	2.63%	3.57%	23.08%	0.00%	20.00%	6.90%	3.57%	6.67%	3.85%	0.00%	0.00%	3.30%	3.45%	6.67%	9.26%	7.14%	22.73%	0.00%	0.00%	0.00%	1.41%	4.76%	0.00%	6.47%	1.04%	1.55%	0.00%	0.00%	3.03%	4.00%	0.00%	0.00%					
																																																																																																																																									
24	Против всех	695	2	6	0	0	3	3	10	5	0	0	6	9	2	8	11	3	1	7	2	4	3	10	3	7	3	6	6	2	3	2	2	6	2	3	2	3	4	0	4	1	1	5	2	4	3	2	9	5	5	5	1	12	11	3	12	9	8	12	2	1	7	5	1	5	6	12	17	15	5	9	7	10	3	11	6	5	4	7	4	3	12	7	14	3	2	6	1	1	5	0	23	5	0	4	4	4	3	3	4	10	5	2	1	8	3	8	4	3	5	14	13	6	9	6	2	2	3	2	4	5	4	8	15	20	4	6	2	2	1	9					
		11.96%	3.17%	9.23%	0.00%	0.00%	4.48%	4.62%	12.35%	16.67%	0.00%	0.00%	28.57%	30.00%	6.25%	40.00%	12.94%	20.00%	7.69%	10.29%	10.53%	21.05%	20.00%	12.05%	18.75%	30.43%	12.50%	26.09%	30.00%	10.00%	7.69%	7.41%	7.69%	22.22%	8.00%	11.11%	7.41%	11.11%	14.81%	0.00%	14.29%	3.57%	3.70%	29.41%	11.76%	25.00%	15.00%	11.11%	8.57%	9.26%	12.20%	38.46%	5.56%	15.38%	18.33%	17.65%	13.04%	9.38%	8.25%	48.00%	6.67%	2.78%	14.58%	29.41%	5.88%	25.00%	13.33%	14.63%	17.53%	15.15%	5.26%	9.38%	7.14%	10.42%	3.12%	11.46%	6.25%	5.21%	4.17%	7.29%	4.17%	15.00%	13.95%	9.59%	19.72%	3.12%	2.06%	20.69%	6.67%	6.67%	35.71%	0.00%	37.10%	23.81%	0.00%	14.29%	13.33%	13.79%	18.75%	13.04%	10.53%	11.90%	38.46%	15.38%	20.00%	27.59%	10.71%	26.67%	15.38%	16.67%	15.15%	15.38%	44.83%	20.00%	16.67%	42.86%	9.09%	11.76%	20.00%	4.08%	5.63%	23.81%	17.39%	5.76%	15.62%	15.50%	20.00%	22.22%	6.06%	8.00%	3.85%	60.00%					
																																																																																																																																									
																																																																																																																																									
																																																																																																																																									
																																																																																																																																									
																																																																																																																																									
																																																																																																																																									
																																																																																																																																									
																																																																																																																																									
																																																																																																																																									
																																																																																																																																									
																																																																																																																																									
																																																																																																																																									
																																																																																																																																									
																																																																																																																																									
																																																																																																																																									
