Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																											
Дата голосования: 07.12.2003 0:00:00																											
																											
Наименование Избирательной комиссии:    Чкаловская																											
																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																											
																											
		Сумма	УИК  2369	УИК  2370	УИК  2371	УИК  2372	УИК  2373	УИК  2374	УИК  2375	УИК  2376	УИК  2377	УИК  2378	УИК  2379	УИК  2380	УИК  2381	УИК  2382	УИК  2383	УИК  2384	УИК  2385	УИК  2386	УИК  2387	УИК  2388					
		0.31%	0.0%	0.29%	0.29%	0.29%	0.28%	0.27%	0.26%	0.25%	0.0%	0.33%	0.28%	0.94%	0.17%	0.98%	0.0%	0.0%	0.56%	0.79%	0.91%	0.54%					
27	"10. ""Аграрная партия России"""	642	19	35	54	11	47	53	16	15	54	39	59	16	26	22	11	23	49	16	33	44					
		6.83%	5.21%	5.11%	5.30%	3.29%	3.40%	3.68%	4.18%	3.85%	19.42%	13.0%	16.80%	15.09%	4.60%	10.83%	6.96%	11.33%	6.89%	12.69%	15.06%	24.04%					
28	"11. ""Истинные патриоты России"""	17	5	0	0	0	1	0	1	1	1	1	3	0	1	0	0	0	3	0	0	0					
		0.18%	1.37%	0.0%	0.0%	0.0%	0.07%	0.0%	0.26%	0.25%	0.35%	0.33%	0.85%	0.0%	0.17%	0.0%	0.0%	0.0%	0.42%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	117	10	9	22	5	14	9	2	2	2	4	8	2	8	1	1	0	13	0	1	4					
		1.24%	2.74%	1.31%	2.16%	1.49%	1.01%	0.62%	0.52%	0.51%	0.71%	1.33%	2.27%	1.88%	1.41%	0.49%	0.63%	0.0%	1.82%	0.0%	0.45%	2.18%					
30	"13. ""Демократическая партия России"""	42	1	6	3	0	9	8	0	0	2	3	0	0	4	4	0	0	0	0	0	2					
		0.44%	0.27%	0.87%	0.29%	0.0%	0.65%	0.55%	0.0%	0.0%	0.71%	1.0%	0.0%	0.0%	0.70%	1.97%	0.0%	0.0%	0.0%	0.0%	0.0%	1.09%					
31	"14. ""Великая Россия - Евразийский Союз"""	22	1	0	5	1	4	1	1	2	0	1	1	0	1	1	0	1	0	1	1	0					
		0.23%	0.27%	0.0%	0.49%	0.29%	0.28%	0.06%	0.26%	0.51%	0.0%	0.33%	0.28%	0.0%	0.17%	0.49%	0.0%	0.49%	0.0%	0.79%	0.45%	0.0%					
32	"15. ""Партия СЛОН"""	24	2	1	0	4	1	3	0	1	0	0	2	0	6	0	0	0	2	0	2	0					
		0.25%	0.54%	0.14%	0.0%	1.19%	0.07%	0.20%	0.0%	0.25%	0.0%	0.0%	0.56%	0.0%	1.06%	0.0%	0.0%	0.0%	0.28%	0.0%	0.91%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	651	26	36	81	21	118	109	26	9	10	25	22	9	52	8	5	13	53	13	3	12					
		6.93%	7.14%	5.26%	7.96%	6.28%	8.53%	7.57%	6.80%	2.31%	3.59%	8.33%	6.26%	8.49%	9.20%	3.94%	3.16%	6.40%	7.45%	10.31%	1.36%	6.55%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	21	0	2	2	0	0	1	0	1	2	0	0	0	0	1	1	0	5	1	2	3					
		0.22%	0.0%	0.29%	0.19%	0.0%	0.0%	0.06%	0.0%	0.25%	0.71%	0.0%	0.0%	0.0%	0.0%	0.49%	0.63%	0.0%	0.70%	0.79%	0.91%	1.63%					
35	"18. ""ЛДПР"""	955	48	72	103	33	155	139	24	66	17	19	39	6	30	21	11	28	82	17	16	29					
		10.16%	13.18%	10.52%	10.12%	9.88%	11.21%	9.66%	6.28%	16.96%	6.11%	6.33%	11.11%	5.66%	5.30%	10.34%	6.96%	13.79%	11.53%	13.49%	7.30%	15.84%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	172	6	14	17	2	12	28	2	11	7	6	5	3	15	7	5	5	18	2	6	1					
		1.83%	1.64%	2.04%	1.67%	0.59%	0.86%	1.94%	0.52%	2.82%	2.51%	2.0%	1.42%	2.83%	2.65%	3.44%	3.16%	2.46%	2.53%	1.58%	2.73%	0.54%					
37	"20. ""Политическая партия ""Единая Россия"""	3450	124	240	369	128	491	497	154	168	100	131	133	43	196	76	84	62	274	42	91	47					
		36.72%	34.06%	35.08%	36.28%	38.32%	35.52%	34.56%	40.31%	43.18%	35.97%	43.66%	37.89%	40.56%	34.69%	37.43%	53.16%	30.54%	38.53%	33.33%	41.55%	25.68%					
38	"21. ""Российская Конституционно-демократическая партия"""	15	0	1	1	1	3	3	0	0	0	1	0	0	2	1	0	0	1	0	1	0					
		0.15%	0.0%	0.14%	0.09%	0.29%	0.21%	0.20%	0.0%	0.0%	0.0%	0.33%	0.0%	0.0%	0.35%	0.49%	0.0%	0.0%	0.14%	0.0%	0.45%	0.0%					
39	"22. ""Развитие предпринимательства"""	21	1	3	1	1	4	6	0	1	1	0	0	0	0	0	1	0	1	0	1	0					
		0.22%	0.27%	0.43%	0.09%	0.29%	0.28%	0.41%	0.0%	0.25%	0.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.63%	0.0%	0.14%	0.0%	0.45%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1193	48	99	121	42	202	215	65	40	31	30	28	13	65	19	17	34	77	12	18	17					
		12.70%	13.18%	14.47%	11.89%	12.57%	14.61%	14.95%	17.01%	10.28%	11.15%	10.0%	7.97%	12.26%	11.50%	9.35%	10.75%	16.74%	10.82%	9.52%	8.21%	9.28%					
																											
41	Против всех	444	15	35	50	18	84	97	15	13	7	6	10	0	28	8	6	9	32	3	7	1					
		4.72%	4.12%	5.11%	4.91%	5.38%	6.07%	6.74%	3.92%	3.34%	2.51%	2.0%	2.84%	0.0%	4.95%	3.94%	3.79%	4.43%	4.50%	2.38%	3.19%	0.54%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
