Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																			
Дата голосования: 07.12.2003 0:00:00																																																																			
																																																																			
"Наименование Избирательной комиссии:    Самара, Советская"																																																																			
																																																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																			
																																																																			
		Сумма	УИК  942	УИК  943	УИК  944	УИК  945	УИК  946	УИК  947	УИК  948	УИК  949	УИК  950	УИК  951	УИК  952	УИК  953	УИК  954	УИК  955	УИК  956	УИК  957	УИК  958	УИК  959	УИК  960	УИК  961	УИК  962	УИК  963	УИК  964	УИК  965	УИК  966	УИК  967	УИК  968	УИК  969	УИК  970	УИК  971	УИК  972	УИК  973	УИК  974	УИК  975	УИК  976	УИК  977	УИК  978	УИК  979	УИК  980	УИК  981	УИК  982	УИК  983	УИК  984	УИК  985	УИК  986	УИК  987	УИК  988	УИК  989	УИК  990	УИК  991	УИК  992	УИК  993	УИК  994	УИК  995	УИК  996	УИК  997	УИК  998	УИК  999	УИК  1000	УИК  1001					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	2384	48	32	21	34	41	54	44	46	40	37	30	64	36	18	46	44	41	40	34	42	65	51	41	49	70	47	71	54	49	50	58	47	22	45	52	45	47	32	22	26	32	4	10	8	13	3	42	48	55	36	51	34	56	31	49	35	39	36	35	32					
		3.86%	4.50%	3.40%	1.95%	3.51%	3.64%	6.04%	4.49%	4.33%	4.72%	4.21%	4.01%	5.09%	3.33%	2.06%	3.77%	4.53%	5.63%	3.74%	2.73%	3.72%	4.36%	4.07%	4.00%	5.12%	6.12%	5.35%	5.10%	4.33%	4.12%	4.80%	5.85%	4.31%	2.11%	4.03%	3.86%	4.10%	3.35%	2.52%	4.16%	2.92%	2.82%	0.87%	5.71%	2.51%	1.28%	3.33%	3.33%	4.25%	5.42%	3.78%	4.34%	2.64%	4.40%	3.02%	3.96%	3.14%	3.48%	3.01%	2.86%	3.02%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	3102	56	56	58	47	58	41	41	46	22	41	42	34	48	58	83	35	24	41	83	65	63	40	78	64	61	59	53	54	56	67	53	46	57	49	102	64	75	81	43	48	36	31	9	15	8	5	59	54	40	51	57	39	55	59	55	53	71	71	73	69					
		5.02%	5.25%	5.95%	5.40%	4.85%	5.15%	4.59%	4.19%	4.33%	2.60%	4.66%	5.62%	2.70%	4.44%	6.66%	6.82%	3.60%	3.29%	3.83%	6.67%	5.76%	4.23%	3.19%	7.61%	6.68%	5.34%	6.72%	3.81%	4.33%	4.71%	6.44%	5.35%	4.22%	5.48%	4.39%	7.57%	5.84%	5.35%	6.39%	8.14%	5.40%	3.17%	6.75%	5.14%	4.71%	0.79%	5.55%	4.68%	4.78%	3.94%	5.36%	4.85%	3.03%	4.32%	5.75%	4.44%	4.76%	6.35%	5.93%	5.97%	6.51%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	3263	46	49	48	57	63	52	40	72	54	54	31	87	53	46	64	47	59	56	78	71	69	76	62	62	84	66	93	59	42	55	66	67	38	56	77	52	70	49	19	33	63	9	6	2	4	2	74	80	61	49	69	75	54	53	66	53	46	45	69	61					
		5.28%	4.31%	5.20%	4.47%	5.88%	5.6%	5.82%	4.08%	6.77%	6.38%	6.15%	4.14%	6.93%	4.90%	5.28%	5.25%	4.84%	8.10%	5.24%	6.27%	6.29%	4.63%	6.07%	6.05%	6.47%	7.35%	7.52%	6.69%	4.73%	3.53%	5.28%	6.66%	6.15%	3.65%	5.02%	5.72%	4.74%	4.99%	3.87%	3.59%	3.71%	5.55%	1.96%	3.42%	0.62%	0.39%	2.22%	5.87%	7.09%	6.02%	5.15%	5.88%	5.83%	4.24%	5.16%	5.33%	4.76%	4.11%	3.76%	5.65%	5.76%					
22	"5. ""За Русь Святую"""	335	5	9	3	6	6	5	7	6	2	5	3	10	6	6	7	10	1	0	4	11	1	4	5	3	6	9	9	7	4	7	6	3	8	4	8	4	2	7	1	12	11	2	2	2	0	1	6	9	2	11	5	6	12	3	3	5	10	10	6	7					
		0.54%	0.46%	0.95%	0.27%	0.61%	0.53%	0.55%	0.71%	0.56%	0.23%	0.56%	0.40%	0.79%	0.55%	0.68%	0.57%	1.02%	0.13%	0.0%	0.32%	0.97%	0.06%	0.31%	0.48%	0.31%	0.52%	1.02%	0.64%	0.56%	0.33%	0.67%	0.60%	0.27%	0.76%	0.35%	0.59%	0.36%	0.14%	0.55%	0.18%	1.35%	0.97%	0.43%	1.14%	0.62%	0.0%	1.11%	0.47%	0.79%	0.19%	1.15%	0.42%	0.46%	0.94%	0.29%	0.24%	0.44%	0.89%	0.83%	0.49%	0.66%					
23	"6. ""Объединенная Российская партия ""Русь"""	112	1	0	6	2	1	1	0	1	2	4	2	1	3	4	4	1	0	1	1	5	6	2	2	0	0	2	3	3	3	1	0	3	2	1	1	0	4	1	0	0	0	4	0	2	1	0	0	0	1	6	1	5	3	2	4	3	2	2	1	1					
		0.18%	0.09%	0.0%	0.55%	0.20%	0.08%	0.11%	0.0%	0.09%	0.23%	0.45%	0.26%	0.07%	0.27%	0.45%	0.32%	0.10%	0.0%	0.09%	0.08%	0.44%	0.40%	0.15%	0.19%	0.0%	0.0%	0.22%	0.21%	0.24%	0.25%	0.09%	0.0%	0.27%	0.19%	0.08%	0.07%	0.0%	0.28%	0.07%	0.0%	0.0%	0.0%	0.87%	0.0%	0.62%	0.09%	0.0%	0.0%	0.0%	0.09%	0.63%	0.08%	0.38%	0.23%	0.19%	0.32%	0.26%	0.17%	0.16%	0.08%	0.09%					
24	"7. ""Новый курс - Автомобильная Россия"""	451	12	4	10	6	5	3	5	7	8	9	2	18	6	9	11	8	6	5	7	9	12	11	7	8	6	3	11	5	11	6	8	5	9	3	8	10	18	11	6	7	5	2	2	4	9	0	7	8	7	7	9	16	10	5	8	7	10	6	8	6					
		0.73%	1.12%	0.42%	0.93%	0.61%	0.44%	0.33%	0.51%	0.65%	0.94%	1.02%	0.26%	1.43%	0.55%	1.03%	0.90%	0.82%	0.82%	0.46%	0.56%	0.79%	0.80%	0.87%	0.68%	0.83%	0.52%	0.34%	0.79%	0.40%	0.92%	0.57%	0.80%	0.45%	0.86%	0.26%	0.59%	0.91%	1.28%	0.86%	1.13%	0.78%	0.44%	0.43%	1.14%	1.25%	0.89%	0.0%	0.55%	0.70%	0.69%	0.73%	0.76%	1.24%	0.78%	0.48%	0.64%	0.62%	0.89%	0.50%	0.65%	0.56%					
25	"8. ""Народно-республиканская партия России"""	63	2	0	1	1	0	0	0	1	1	0	0	0	2	1	4	3	2	0	0	0	2	1	1	0	2	0	3	0	1	1	1	2	0	2	0	2	3	0	1	3	0	1	0	0	0	0	4	2	2	0	0	2	1	2	2	1	0	1	0	2					
		0.10%	0.18%	0.0%	0.09%	0.10%	0.0%	0.0%	0.0%	0.09%	0.11%	0.0%	0.0%	0.0%	0.18%	0.11%	0.32%	0.30%	0.27%	0.0%	0.0%	0.0%	0.13%	0.07%	0.09%	0.0%	0.17%	0.0%	0.21%	0.0%	0.08%	0.09%	0.10%	0.18%	0.0%	0.17%	0.0%	0.18%	0.21%	0.0%	0.18%	0.33%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	0.31%	0.17%	0.19%	0.0%	0.0%	0.15%	0.07%	0.19%	0.16%	0.08%	0.0%	0.08%	0.0%	0.18%					
26	"9. ""Российская экологическая партия ""Зеленые"""	364	7	5	3	1	1	6	7	2	11	3	8	12	16	5	4	3	8	9	9	6	7	11	4	7	1	11	7	8	14	6	5	5	8	7	3	5	8	3	3	2	4	2	0	2	4	1	6	9	3	8	10	9	10	6	6	4	8	4	10	7					
		0.58%	0.65%	0.53%	0.27%	0.10%	0.08%	0.67%	0.71%	0.18%	1.30%	0.34%	1.07%	0.95%	1.48%	0.57%	0.32%	0.30%	1.09%	0.84%	0.72%	0.53%	0.47%	0.87%	0.39%	0.73%	0.08%	1.25%	0.50%	0.64%	1.17%	0.57%	0.50%	0.45%	0.76%	0.62%	0.22%	0.45%	0.57%	0.23%	0.56%	0.22%	0.35%	0.43%	0.0%	0.62%	0.39%	1.11%	0.47%	0.79%	0.29%	0.84%	0.85%	0.70%	0.78%	0.58%	0.48%	0.35%	0.71%	0.33%	0.81%	0.66%					
27	"10. ""Аграрная партия России"""	966	19	12	24	15	24	17	21	17	13	17	9	15	11	14	30	25	7	21	19	10	13	13	13	12	9	10	23	24	32	17	25	15	13	16	19	8	23	28	14	10	7	9	3	6	0	2	18	17	17	17	14	17	23	15	24	20	24	10	27	19					
		1.56%	1.78%	1.27%	2.23%	1.54%	2.13%	1.90%	2.14%	1.60%	1.53%	1.93%	1.20%	1.19%	1.01%	1.60%	2.46%	2.57%	0.96%	1.96%	1.52%	0.88%	0.87%	1.03%	1.26%	1.25%	0.78%	1.14%	1.65%	1.92%	2.69%	1.63%	2.52%	1.37%	1.25%	1.43%	1.41%	0.73%	1.64%	2.21%	2.65%	1.12%	0.61%	1.96%	1.71%	1.88%	0.0%	2.22%	1.42%	1.50%	1.67%	1.78%	1.19%	1.32%	1.80%	1.46%	1.94%	1.79%	2.14%	0.83%	2.21%	1.79%					
28	"11. ""Истинные патриоты России"""	115	6	2	0	5	6	3	1	2	4	4	2	0	1	0	0	2	3	2	0	0	2	1	2	3	0	3	7	0	0	1	1	1	2	11	1	0	2	1	0	1	2	2	0	0	0	0	5	0	7	5	1	2	1	1	0	1	2	1	0	3					
		0.18%	0.56%	0.21%	0.0%	0.51%	0.53%	0.33%	0.10%	0.18%	0.47%	0.45%	0.26%	0.0%	0.09%	0.0%	0.0%	0.20%	0.41%	0.18%	0.0%	0.0%	0.13%	0.07%	0.19%	0.31%	0.0%	0.34%	0.50%	0.0%	0.0%	0.09%	0.10%	0.09%	0.19%	0.98%	0.07%	0.0%	0.14%	0.07%	0.0%	0.11%	0.17%	0.43%	0.0%	0.0%	0.0%	0.0%	0.39%	0.0%	0.69%	0.52%	0.08%	0.15%	0.07%	0.09%	0.0%	0.08%	0.17%	0.08%	0.0%	0.28%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	1438	24	19	28	28	24	22	21	18	23	26	17	38	19	21	22	14	31	23	40	29	45	23	19	20	32	14	26	22	34	23	23	33	31	33	20	26	36	20	7	27	31	15	1	9	1	4	34	18	20	29	32	28	24	26	38	30	29	26	13	29					
		2.32%	2.25%	2.01%	2.60%	2.89%	2.13%	2.46%	2.14%	1.69%	2.71%	2.96%	2.27%	3.02%	1.75%	2.41%	1.80%	1.44%	4.25%	2.15%	3.21%	2.57%	3.02%	1.83%	1.85%	2.08%	2.80%	1.59%	1.87%	1.76%	2.86%	2.21%	2.32%	3.03%	2.98%	2.95%	1.48%	2.37%	2.56%	1.57%	1.32%	3.04%	2.73%	3.26%	0.57%	2.83%	0.09%	4.44%	2.70%	1.59%	1.97%	3.05%	2.72%	2.17%	1.88%	2.53%	3.07%	2.69%	2.59%	2.17%	1.06%	2.73%					
30	"13. ""Демократическая партия России"""	117	1	1	1	3	0	2	2	0	0	3	2	4	0	2	0	0	0	1	2	1	5	3	0	3	2	4	4	3	1	3	1	4	1	1	0	3	6	1	0	3	3	4	0	0	1	0	2	3	5	0	1	2	13	0	0	2	4	3	1	0					
		0.18%	0.09%	0.10%	0.09%	0.30%	0.0%	0.22%	0.20%	0.0%	0.0%	0.34%	0.26%	0.31%	0.0%	0.22%	0.0%	0.0%	0.0%	0.09%	0.16%	0.08%	0.33%	0.23%	0.0%	0.31%	0.17%	0.45%	0.28%	0.24%	0.08%	0.28%	0.10%	0.36%	0.09%	0.08%	0.0%	0.27%	0.42%	0.07%	0.0%	0.33%	0.26%	0.87%	0.0%	0.0%	0.09%	0.0%	0.15%	0.26%	0.49%	0.0%	0.08%	0.15%	1.02%	0.0%	0.0%	0.17%	0.35%	0.25%	0.08%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	90	2	0	3	2	1	1	1	3	1	2	1	0	2	2	5	1	1	0	1	2	3	1	3	3	3	0	3	1	6	2	1	3	3	3	1	1	2	2	2	0	0	1	0	1	0	0	2	0	4	1	2	0	0	2	0	1	0	0	1	1					
		0.14%	0.18%	0.0%	0.27%	0.20%	0.08%	0.11%	0.10%	0.28%	0.11%	0.22%	0.13%	0.0%	0.18%	0.22%	0.41%	0.10%	0.13%	0.0%	0.08%	0.17%	0.20%	0.07%	0.29%	0.31%	0.26%	0.0%	0.21%	0.08%	0.50%	0.19%	0.10%	0.27%	0.28%	0.26%	0.07%	0.09%	0.14%	0.15%	0.37%	0.0%	0.0%	0.21%	0.0%	0.31%	0.0%	0.0%	0.15%	0.0%	0.39%	0.10%	0.17%	0.0%	0.0%	0.19%	0.0%	0.08%	0.0%	0.0%	0.08%	0.09%					
32	"15. ""Партия СЛОН"""	84	0	1	1	0	1	0	2	1	1	0	0	1	5	2	0	2	2	0	3	1	2	1	2	0	4	1	0	5	2	3	2	1	1	0	1	2	1	2	0	1	1	0	0	0	0	0	0	1	0	5	3	2	6	3	3	1	0	0	4	1					
		0.13%	0.0%	0.10%	0.09%	0.0%	0.08%	0.0%	0.20%	0.09%	0.11%	0.0%	0.0%	0.07%	0.46%	0.22%	0.0%	0.20%	0.27%	0.0%	0.24%	0.08%	0.13%	0.07%	0.19%	0.0%	0.35%	0.11%	0.0%	0.40%	0.16%	0.28%	0.20%	0.09%	0.09%	0.0%	0.07%	0.18%	0.07%	0.15%	0.0%	0.11%	0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.08%	0.0%	0.52%	0.25%	0.15%	0.47%	0.29%	0.24%	0.08%	0.0%	0.0%	0.32%	0.09%					
33	"16. ""Родина"" (народно-патриотический союз)"""	5867	124	85	77	86	125	74	91	93	76	99	72	139	96	85	113	85	61	125	118	96	140	110	81	91	123	116	162	117	119	96	110	136	104	103	130	103	167	142	32	54	85	40	16	15	10	8	110	88	103	109	124	135	132	89	132	100	117	91	126	81					
		9.50%	11.63%	9.03%	7.17%	8.88%	11.11%	8.28%	9.30%	8.75%	8.98%	11.27%	9.63%	11.07%	8.88%	9.77%	9.28%	8.75%	8.37%	11.70%	9.49%	8.51%	9.40%	8.79%	7.91%	9.50%	10.77%	13.22%	11.65%	9.38%	10.01%	9.23%	11.11%	12.48%	10.0%	9.23%	9.65%	9.40%	11.92%	11.21%	6.06%	6.08%	7.49%	8.71%	9.14%	4.71%	0.99%	8.88%	8.73%	7.80%	10.16%	11.47%	10.57%	10.50%	10.37%	8.67%	10.67%	8.98%	10.46%	7.60%	10.31%	7.64%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	75	0	4	3	2	1	0	1	2	2	0	1	2	1	3	0	3	0	0	0	1	2	6	1	1	2	1	2	0	1	1	0	1	0	1	3	1	1	0	2	1	1	1	0	0	2	0	0	4	0	0	1	2	1	0	0	2	1	1	0	6					
		0.12%	0.0%	0.42%	0.27%	0.20%	0.08%	0.0%	0.10%	0.18%	0.23%	0.0%	0.13%	0.15%	0.09%	0.34%	0.0%	0.30%	0.0%	0.0%	0.0%	0.08%	0.13%	0.47%	0.09%	0.10%	0.17%	0.11%	0.14%	0.0%	0.08%	0.09%	0.0%	0.09%	0.0%	0.08%	0.22%	0.09%	0.07%	0.0%	0.37%	0.11%	0.08%	0.21%	0.0%	0.0%	0.19%	0.0%	0.0%	0.35%	0.0%	0.0%	0.08%	0.15%	0.07%	0.0%	0.0%	0.17%	0.08%	0.08%	0.0%	0.56%					
35	"18. ""ЛДПР"""	7635	94	96	125	137	125	100	120	124	108	95	115	175	147	88	175	121	121	131	137	144	221	169	105	109	135	100	142	197	133	111	98	121	141	149	135	117	162	172	87	121	185	84	36	67	30	7	138	146	130	107	134	169	166	128	162	143	116	171	169	144					
		12.36%	8.81%	10.20%	11.64%	14.15%	11.11%	11.19%	12.26%	11.67%	12.76%	10.82%	15.39%	13.94%	13.61%	10.11%	14.37%	12.46%	16.62%	12.26%	11.02%	12.76%	14.85%	13.50%	10.25%	11.38%	11.82%	11.40%	10.21%	15.79%	11.19%	10.67%	9.89%	11.11%	13.55%	13.36%	10.02%	10.68%	11.56%	13.58%	16.47%	13.62%	16.31%	18.30%	20.57%	21.06%	2.97%	7.77%	10.96%	12.94%	12.83%	11.26%	11.42%	13.15%	13.05%	12.47%	13.09%	12.84%	10.37%	14.29%	13.84%	13.59%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	1170	14	25	21	18	30	19	13	30	17	19	14	21	29	15	22	13	18	22	24	18	19	19	10	14	29	20	27	28	21	23	16	15	23	25	26	15	26	31	10	27	20	12	0	4	1	1	35	23	20	15	16	25	31	16	28	20	23	17	16	21					
		1.89%	1.31%	2.65%	1.95%	1.85%	2.66%	2.12%	1.32%	2.82%	2.00%	2.16%	1.87%	1.67%	2.68%	1.72%	1.80%	1.33%	2.47%	2.05%	1.93%	1.59%	1.27%	1.51%	0.97%	1.46%	2.53%	2.28%	1.94%	2.24%	1.76%	2.21%	1.61%	1.37%	2.21%	2.24%	1.93%	1.36%	1.85%	2.44%	1.89%	3.04%	1.76%	2.61%	0.0%	1.25%	0.09%	1.11%	2.77%	2.03%	1.97%	1.57%	1.36%	1.94%	2.43%	1.55%	2.26%	1.79%	2.05%	1.42%	1.31%	1.98%					
37	"20. ""Политическая партия ""Единая Россия"""	17423	320	253	309	235	268	229	261	304	234	233	181	331	287	243	336	234	188	296	351	281	427	374	289	279	326	209	376	351	321	297	253	250	293	298	349	291	347	349	169	244	306	109	55	102	890	23	331	301	297	239	331	374	350	292	337	342	315	317	358	288					
		28.22%	30.01%	26.88%	28.79%	24.27%	23.82%	25.64%	26.68%	28.62%	27.65%	26.53%	24.23%	26.37%	26.57%	27.93%	27.60%	24.09%	25.82%	27.71%	28.23%	24.91%	28.69%	29.89%	28.22%	29.15%	28.54%	23.83%	27.05%	28.14%	27.02%	28.55%	25.55%	22.95%	28.17%	26.72%	25.92%	26.57%	24.76%	27.56%	32.00%	27.47%	26.98%	23.74%	31.42%	32.07%	88.11%	25.55%	26.29%	26.68%	29.31%	25.15%	28.21%	29.10%	27.51%	28.46%	27.24%	30.72%	28.17%	26.50%	29.32%	27.19%					
38	"21. ""Российская Конституционно-демократическая партия"""	97	2	4	2	0	2	2	2	1	1	1	1	2	5	0	1	21	1	1	1	2	0	1	0	0	1	1	3	1	5	0	0	0	4	1	1	2	1	0	0	1	2	0	0	0	0	0	2	1	0	2	0	0	4	4	1	1	1	1	2	2					
		0.15%	0.18%	0.42%	0.18%	0.0%	0.17%	0.22%	0.20%	0.09%	0.11%	0.11%	0.13%	0.15%	0.46%	0.0%	0.08%	2.16%	0.13%	0.09%	0.08%	0.17%	0.0%	0.07%	0.0%	0.0%	0.08%	0.11%	0.21%	0.08%	0.42%	0.0%	0.0%	0.0%	0.38%	0.08%	0.07%	0.18%	0.07%	0.0%	0.0%	0.11%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	0.08%	0.0%	0.21%	0.0%	0.0%	0.31%	0.38%	0.08%	0.08%	0.08%	0.08%	0.16%	0.18%					
39	"22. ""Развитие предпринимательства"""	195	3	4	3	1	3	4	2	5	7	4	1	5	1	1	1	22	4	4	2	5	3	5	5	2	2	5	5	3	3	2	5	7	1	0	1	1	6	2	1	2	2	0	0	0	0	3	6	2	4	4	3	3	3	3	3	3	5	4	2	2					
		0.31%	0.28%	0.42%	0.27%	0.10%	0.26%	0.44%	0.20%	0.47%	0.82%	0.45%	0.13%	0.39%	0.09%	0.11%	0.08%	2.26%	0.54%	0.37%	0.16%	0.44%	0.20%	0.39%	0.48%	0.20%	0.17%	0.57%	0.35%	0.24%	0.25%	0.19%	0.50%	0.64%	0.09%	0.0%	0.07%	0.09%	0.42%	0.15%	0.18%	0.22%	0.17%	0.0%	0.0%	0.0%	0.0%	3.33%	0.47%	0.17%	0.39%	0.42%	0.25%	0.23%	0.23%	0.29%	0.24%	0.26%	0.44%	0.33%	0.16%	0.18%					
