Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																															
Дата голосования: 18.09.2016																																																															
																																																															
Наименование Избирательной комиссии:    Новосергиевская																																																															
																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																															
																																																															
		Сумма	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836									
		1.33%	1.46%	1.40%	1.36%	1.65%	0.69%	2.40%	0.87%	0.00%	0.00%	2.83%	0.00%	1.37%	0.00%	1.30%	0.00%	0.00%	2.15%	1.19%	1.30%	0.00%	0.00%	3.15%	0.76%	1.16%	1.36%	0.56%	0.63%	1.01%	3.30%	4.00%	3.33%	2.94%	0.88%	2.50%	2.47%	1.29%	0.00%	1.82%	0.00%	1.08%	3.37%	0.00%	0.00%	1.11%	0.00%	0.85%	0.70%	0.00%	2.73%	2.17%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6363	424	257	297	278	277	230	101	33	35	144	31	112	40	50	37	93	222	57	169	31	40	174	210	107	142	203	101	216	50	16	29	125	55	19	35	234	20	33	121	159	44	77	81	172	35	63	147	85	171	160	120	201									
		44.81%	38.62%	35.99%	36.71%	41.62%	38.47%	36.80%	43.72%	82.50%	70.00%	40.79%	54.39%	38.49%	70.18%	64.94%	34.26%	47.21%	47.64%	67.86%	43.78%	34.83%	51.95%	45.67%	53.30%	61.85%	38.69%	57.34%	32.06%	43.46%	54.95%	32.00%	32.22%	40.85%	48.25%	47.50%	43.21%	60.15%	29.85%	60.00%	45.83%	34.19%	49.44%	55.00%	57.04%	47.78%	56.45%	53.85%	51.22%	50.00%	58.36%	49.54%	59.41%	62.04%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	46	4	7	2	1	5	0	2	0	0	0	1	0	0	0	0	0	4	0	0	1	0	2	0	0	1	5	0	2	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	1	1	0	2	0	1	0	0	0									
		0.32%	0.36%	0.98%	0.25%	0.15%	0.69%	0.00%	0.87%	0.00%	0.00%	0.00%	1.75%	0.00%	0.00%	0.00%	0.00%	0.00%	0.86%	0.00%	0.00%	1.12%	0.00%	0.52%	0.00%	0.00%	0.27%	1.41%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.23%	0.26%	1.49%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.28%	1.61%	0.00%	0.70%	0.00%	0.34%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	17	1	1	1	3	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0									
		0.12%	0.09%	0.14%	0.12%	0.45%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.69%	0.00%	0.00%	0.00%	0.51%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	2.00%	0.00%	0.00%	0.88%	0.00%	0.00%	0.00%	0.00%	1.82%	0.38%	0.00%	1.12%	0.71%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3142	290	199	225	143	173	186	69	3	9	63	17	86	9	21	19	61	86	15	98	30	22	78	71	34	94	62	59	125	22	15	29	87	20	8	14	53	25	4	31	96	18	20	20	38	13	20	47	24	40	42	36	73									
		22.13%	26.41%	27.87%	27.81%	21.41%	24.03%	29.76%	29.87%	7.50%	18.00%	17.85%	29.82%	29.55%	15.79%	27.27%	17.59%	30.96%	18.45%	17.86%	25.39%	33.71%	28.57%	20.47%	18.02%	19.65%	25.61%	17.51%	18.73%	25.15%	24.18%	30.00%	32.22%	28.43%	17.54%	20.00%	17.28%	13.62%	37.31%	7.27%	11.74%	20.65%	20.22%	14.29%	14.08%	10.56%	20.97%	17.09%	16.38%	14.12%	13.65%	13.00%	17.82%	22.53%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	46	3	0	7	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	5	2	6	2	0	1	0	0	0	0	1	1	0	0	0	2	0	0	0	2	0	0	0	1	0	1	0	2									
		0.32%	0.27%	0.00%	0.87%	0.00%	0.56%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.78%	0.00%	0.00%	0.00%	0.25%	0.00%	1.36%	0.56%	1.90%	0.40%	0.00%	2.00%	0.00%	0.00%	0.00%	0.00%	1.23%	0.26%	0.00%	0.00%	0.00%	0.43%	0.00%	0.00%	0.00%	0.56%	0.00%	0.00%	0.00%	0.59%	0.00%	0.31%	0.00%	0.62%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	65	7	10	8	5	2	7	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	2	0	0	3	1	3	1	1	0	2	1	0	0	0	0	0	5	0	0	1	0	2	0	0	0	0	0	0	0	0									
		0.46%	0.64%	1.40%	0.99%	0.75%	0.28%	1.12%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.52%	0.51%	0.00%	0.00%	0.85%	0.32%	0.60%	1.10%	2.00%	0.00%	0.65%	0.88%	0.00%	0.00%	0.00%	0.00%	0.00%	1.89%	0.00%	0.00%	0.71%	0.00%	0.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	10	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0									
		0.07%	0.18%	0.14%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.30%	0.00%	0.25%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.59%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	78	7	5	12	7	7	6	1	0	0	1	0	0	0	0	3	1	2	0	0	0	0	0	0	1	4	0	1	1	0	0	0	4	0	0	1	2	0	0	1	0	0	1	0	2	1	0	3	1	2	0	0	1									
		0.55%	0.64%	0.70%	1.48%	1.05%	0.97%	0.96%	0.43%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	2.78%	0.51%	0.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.58%	1.09%	0.00%	0.32%	0.20%	0.00%	0.00%	0.00%	1.31%	0.00%	0.00%	1.23%	0.51%	0.00%	0.00%	0.38%	0.00%	0.00%	0.71%	0.00%	0.56%	1.61%	0.00%	1.05%	0.59%	0.68%	0.00%	0.00%	0.31%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2970	232	145	175	177	172	113	34	2	5	93	4	54	5	3	33	29	99	4	65	19	10	82	75	16	80	53	94	95	7	10	19	62	18	8	22	60	13	9	78	149	15	30	30	104	9	22	66	42	59	94	43	33									
		20.92%	21.13%	20.31%	21.63%	26.50%	23.89%	18.08%	14.72%	5.00%	10.00%	26.35%	7.02%	18.56%	8.77%	3.90%	30.56%	14.72%	21.24%	4.76%	16.84%	21.35%	12.99%	21.52%	19.04%	9.25%	21.80%	14.97%	29.84%	19.11%	7.69%	20.00%	21.11%	20.26%	15.79%	20.00%	27.16%	15.42%	19.40%	16.36%	29.55%	32.04%	16.85%	21.43%	21.13%	28.89%	14.52%	18.80%	22.99%	24.71%	20.14%	29.10%	21.29%	10.19%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	48	2	4	5	2	1	3	2	0	0	2	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	1	2	2	0	0	0	0	1	1	0	4	1	0	2	3	0	1	1	1	0	1	0	0	0	2	0	0									
		0.34%	0.18%	0.56%	0.62%	0.30%	0.14%	0.48%	0.87%	0.00%	0.00%	0.57%	0.00%	0.00%	0.00%	0.00%	0.93%	0.51%	0.00%	0.00%	0.26%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.28%	0.63%	0.40%	0.00%	0.00%	0.00%	0.00%	0.88%	2.50%	0.00%	1.03%	1.49%	0.00%	0.76%	0.65%	0.00%	0.71%	0.70%	0.28%	0.00%	0.85%	0.00%	0.00%	0.00%	0.62%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	257	14	19	14	15	15	17	4	0	1	7	0	2	0	2	1	7	4	3	14	0	2	6	7	3	5	5	10	14	2	0	1	3	6	0	2	9	1	3	5	10	1	1	2	1	1	2	3	2	1	4	0	6									
		1.81%	1.28%	2.66%	1.73%	2.25%	2.08%	2.72%	1.73%	0.00%	2.00%	1.98%	0.00%	0.69%	0.00%	2.60%	0.93%	3.55%	0.86%	3.57%	3.63%	0.00%	2.60%	1.57%	1.78%	1.73%	1.36%	1.41%	3.17%	2.82%	2.20%	0.00%	1.11%	0.98%	5.26%	0.00%	2.47%	2.31%	1.49%	5.45%	1.89%	2.15%	1.12%	0.71%	1.41%	0.28%	1.61%	1.71%	1.05%	1.18%	0.34%	1.24%	0.00%	1.85%									
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
