Выборы Президента Российской Федерации																																																																																																														
																																																																																																														
Наименование Избирательной комиссии:    Костромская городская																																																																																																														
																																																																																																														
Итоги голосования 																																																																																																														
																																																																																																														
		Сумма	УИК  216	УИК  217	УИК  218	УИК  219	УИК  220	УИК  221	УИК  222	УИК  223	УИК  224	УИК  225	УИК  226	УИК  227	УИК  228	УИК  229	УИК  230	УИК  231	УИК  232	УИК  233	УИК  234	УИК  235	УИК  236	УИК  237	УИК  238	УИК  239	УИК  240	УИК  241	УИК  242	УИК  243	УИК  244	УИК  245	УИК  246	УИК  247	УИК  248	УИК  250	УИК  251	УИК  252	УИК  253	УИК  254	УИК  255	УИК  256	УИК  257	УИК  258	УИК  259	УИК  260	УИК  261	УИК  262	УИК  263	УИК  264	УИК  265	УИК  266	УИК  267	УИК  268	УИК  269	УИК  270	УИК  271	УИК  272	УИК  273	УИК  274	УИК  275	УИК  276	УИК  277	УИК  278	УИК  279	УИК  280	УИК  281	УИК  282	УИК  283	УИК  284	УИК  285	УИК  286	УИК  287	УИК  288	УИК  289	УИК  290	УИК  291	УИК  292	УИК  293	УИК  294	УИК  295	УИК  296	УИК  297	УИК  298	УИК  299	УИК  300	УИК  301	УИК  302	УИК  303	УИК  311	УИК  312	УИК  313	УИК  314	УИК  315	УИК  316	УИК  317	УИК  318	УИК  319	УИК  320	УИК  321	УИК  322	УИК  323	УИК  324	УИК  325	УИК  326					
12	Число выданных открепительных удостоверений	1072	19	5	19	9	14	8	4	14	8	4	7	9	5	5	9	8	21	4	6	109	12	3	7	6	14	18	4	9	9	3	2	9	7	4	7	7	2	8	5	20	2	25	20	15	6	16	7	7	12	28	19	9	28	8	5	7	11	7	2	17	8	5	4	10	19	9	8	5	12	7	6	24	12	16	7	6	4	14	15	1	12	18	7	7	8	0	13	1	4	6	5	6	6	11	11	0	10	30	2	7	6	7	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	853	19	13	15	7	12	5	5	5	4	7	7	2	7	6	10	3	5	2	13	11	12	2	10	5	7	6	7	12	5	11	9	5	10	3	7	2	6	14	1	10	7	16	14	16	61	15	16	3	10	14	1	6	7	8	12	4	3	10	13	13	22	2	4	8	4	2	10	15	12	6	10	6	3	6	7	6	9	4	3	5	4	11	0	9	7	4	13	4	4	9	9	1	4	8	9	1	2	32	4	4	4	6	9					
14	Число неиспользованных открепительных удостоверений	2103	11	25	11	21	16	22	26	16	22	26	23	21	25	25	21	22	9	26	24	6	18	27	23	24	16	12	26	21	21	27	28	21	23	26	23	23	28	22	25	10	28	5	10	15	24	14	23	23	18	2	11	21	2	22	25	23	19	23	28	13	22	25	26	20	11	21	22	25	18	23	24	6	18	14	23	24	26	16	15	29	18	12	23	23	22	30	17	29	26	24	25	24	24	19	19	30	20	0	28	23	24	23	21					
15	"Число открепительных удостоверений, выданных в ТИК"	16	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																																														
18	. Глазьев Сергей Юрьевич	4791	35	33	57	30	39	49	23	57	31	25	37	24	43	30	15	37	54	10	36	47	64	32	48	38	67	94	42	37	23	46	36	26	51	25	38	11	33	42	42	67	17	43	63	45	57	71	79	52	72	76	59	60	75	29	56	39	43	42	29	77	40	43	43	25	47	41	73	42	53	29	67	76	38	58	46	41	33	63	49	56	66	61	68	43	35	13	57	30	38	23	41	39	59	88	57	9	67	74	40	66	83	60	53					
		4.28%	3.56%	3.40%	4.18%	2.55%	3.08%	4.37%	3.07%	4.59%	3.93%	2.56%	3.66%	2.44%	3.90%	2.69%	1.98%	3.34%	3.81%	3.23%	3.73%	2.69%	4.89%	4.12%	4.49%	3.59%	4.63%	6.03%	4.29%	3.55%	2.70%	4.85%	4.15%	3.85%	6.55%	2.84%	4.52%	3.11%	4.71%	4.62%	2.48%	5.79%	3.58%	3.47%	4.73%	5.31%	4.63%	5.17%	5.37%	4.30%	5.21%	5.00%	5.32%	4.14%	5.47%	2.46%	4.62%	3.45%	3.58%	6.26%	4.73%	6.35%	5.59%	4.17%	3.29%	4.17%	4.25%	2.87%	5.27%	3.25%	3.71%	2.32%	4.63%	5.07%	4.36%	5.51%	4.87%	3.71%	3.33%	4.47%	3.80%	4.52%	4.32%	4.15%	4.76%	3.60%	3.09%	3.82%	3.80%	4.44%	3.85%	3.07%	5.12%	3.46%	5.74%	8.06%	4.89%	3.35%	5.38%	5.47%	5.77%	6.52%	6.75%	5.02%	5.28%					
19	. Малышкин Олег Александрович	1924	19	16	26	19	36	19	7	19	17	14	15	19	16	12	15	31	16	8	14	45	18	16	16	21	28	23	19	24	8	16	23	10	20	15	21	6	19	29	18	14	11	21	24	11	29	17	27	17	15	25	13	29	13	20	25	18	18	4	8	6	11	15	30	10	20	25	17	26	24	35	23	19	5	15	11	8	19	27	17	20	33	22	32	29	21	3	27	13	21	21	26	19	13	20	15	4	21	30	7	14	14	26	18					
		1.72%	1.93%	1.65%	1.91%	1.62%	2.85%	1.69%	0.94%	1.53%	2.15%	1.43%	1.48%	1.93%	1.45%	1.08%	1.98%	2.80%	1.13%	2.58%	1.45%	2.57%	1.38%	2.06%	1.50%	1.98%	1.93%	1.48%	1.94%	2.30%	0.94%	1.69%	2.65%	1.48%	2.57%	1.70%	2.50%	1.69%	2.71%	3.19%	1.06%	1.21%	2.32%	1.69%	1.80%	1.30%	2.36%	1.24%	1.83%	1.41%	1.09%	1.64%	1.17%	2.00%	0.95%	1.70%	2.06%	1.59%	1.50%	0.60%	1.31%	0.49%	1.54%	1.46%	2.30%	1.67%	1.81%	1.75%	1.23%	2.01%	1.68%	2.80%	1.59%	1.27%	0.57%	1.43%	1.17%	0.72%	1.92%	1.92%	1.32%	1.61%	2.16%	1.50%	2.24%	2.43%	1.85%	0.88%	1.80%	1.92%	2.13%	2.81%	3.25%	1.69%	1.27%	1.83%	1.29%	1.49%	1.69%	2.22%	1.01%	1.38%	1.14%	2.17%	1.79%					
20	. Миронов Сергей Михайлович	1461	11	8	24	7	13	23	5	16	9	8	10	11	13	8	10	12	17	3	9	19	24	10	19	12	19	32	18	14	9	6	14	4	7	7	8	2	10	10	16	16	2	10	21	11	9	21	11	26	14	29	7	24	19	18	13	19	21	9	12	12	5	11	27	5	25	16	20	10	30	11	27	20	17	10	13	15	10	20	22	7	25	15	23	9	12	7	27	4	9	27	6	13	21	18	14	7	20	20	13	12	15	11	11					
		1.31%	1.12%	0.82%	1.76%	0.60%	1.03%	2.05%	0.67%	1.29%	1.14%	0.82%	0.99%	1.12%	1.18%	0.72%	1.32%	1.08%	1.20%	0.97%	0.93%	1.09%	1.83%	1.29%	1.78%	1.13%	1.31%	2.05%	1.84%	1.34%	1.06%	0.63%	1.61%	0.59%	0.90%	0.79%	0.95%	0.56%	1.43%	1.10%	0.94%	1.38%	0.42%	0.81%	1.58%	1.30%	0.73%	1.53%	0.75%	2.15%	1.01%	1.91%	0.63%	1.65%	1.39%	1.53%	1.07%	1.68%	1.75%	1.34%	1.96%	0.99%	0.70%	1.07%	2.07%	0.83%	2.26%	1.12%	1.44%	0.77%	2.10%	0.88%	1.87%	1.33%	1.95%	0.95%	1.38%	1.36%	1.01%	1.42%	1.71%	0.56%	1.64%	1.02%	1.61%	0.75%	1.06%	2.06%	1.80%	0.59%	0.91%	3.61%	0.75%	1.15%	2.04%	1.65%	1.20%	2.60%	1.61%	1.48%	1.88%	1.18%	1.22%	0.92%	1.10%					
21	. Путин Владимир Владимирович	77325	708	713	948	873	923	768	544	855	556	703	730	722	697	844	531	817	965	227	671	1324	885	516	747	747	980	1059	663	756	623	671	602	479	505	611	559	270	509	601	1424	787	357	892	943	584	786	934	914	793	888	1004	760	960	875	876	814	783	841	431	388	680	483	676	864	442	719	1036	931	996	1044	948	1013	1020	611	687	617	771	718	908	862	862	1077	1053	971	873	817	198	1070	467	654	473	553	741	645	682	777	183	858	946	448	658	807	803	747					
		69.11%	72.10%	73.35%	69.50%	74.30%	72.96%	68.51%	72.73%	68.90%	70.47%	71.95%	72.13%	73.30%	63.19%	75.63%	69.96%	73.67%	68.15%	73.23%	69.53%	75.70%	67.66%	66.49%	69.88%	70.54%	67.68%	67.97%	67.79%	72.55%	73.21%	70.78%	69.43%	70.86%	64.83%	69.35%	66.55%	76.27%	72.71%	66.04%	83.96%	67.96%	75.16%	71.94%	70.80%	68.95%	63.85%	68.08%	62.09%	65.65%	64.30%	66.01%	68.53%	66.16%	63.82%	74.43%	67.16%	69.29%	70.08%	64.23%	63.30%	56.06%	67.46%	65.63%	66.16%	73.67%	65.01%	72.40%	67.22%	77.15%	73.11%	75.78%	70.06%	68.00%	70.15%	65.30%	65.36%	69.84%	72.38%	64.44%	66.87%	69.57%	70.53%	71.63%	68.00%	73.05%	72.11%	58.24%	71.29%	69.08%	66.19%	63.24%	69.04%	65.75%	62.80%	62.45%	66.70%	68.03%	68.86%	69.97%	64.65%	64.96%	65.61%	67.14%	74.48%					
22	. Хакамада Ирина Муцуовна	4794	52	47	73	41	48	67	33	58	32	37	31	32	43	21	21	41	83	8	65	66	70	33	54	43	69	52	35	32	27	28	21	21	43	41	63	13	21	40	37	68	12	59	62	41	77	82	120	61	54	65	43	49	61	48	56	37	42	38	45	109	51	41	47	20	48	55	64	27	44	49	57	74	33	42	37	56	26	59	68	55	76	57	69	36	38	8	68	26	59	29	25	38	38	41	27	3	63	63	30	47	50	54	25					
		4.28%	5.30%	4.84%	5.35%	3.49%	3.79%	5.98%	4.41%	4.67%	4.06%	3.79%	3.06%	3.25%	3.90%	1.88%	2.77%	3.70%	5.86%	2.58%	6.74%	3.77%	5.35%	4.25%	5.05%	4.06%	4.77%	3.34%	3.58%	3.07%	3.17%	2.95%	2.42%	3.11%	5.52%	4.65%	7.50%	3.67%	3.00%	4.40%	2.18%	5.87%	2.53%	4.76%	4.65%	4.84%	6.26%	5.98%	8.15%	5.05%	3.91%	4.27%	3.88%	3.38%	4.45%	4.08%	4.62%	3.27%	3.50%	5.66%	7.34%	8.99%	7.12%	3.98%	3.60%	3.33%	4.34%	3.84%	4.62%	2.09%	3.08%	3.92%	3.94%	4.93%	3.79%	3.99%	3.92%	5.07%	2.62%	4.19%	5.28%	4.44%	4.98%	3.88%	4.83%	3.01%	3.35%	2.35%	4.53%	3.85%	5.97%	3.88%	3.12%	3.37%	3.70%	3.75%	2.32%	1.12%	5.06%	4.66%	4.33%	4.64%	4.07%	4.52%	2.49%					
23	. Харитонов Николай Михайлович	17595	120	123	192	184	170	166	115	200	116	166	148	155	260	168	141	140	237	39	132	174	208	148	148	158	253	247	177	142	139	154	144	109	132	156	132	45	88	158	98	155	68	169	169	125	198	189	244	192	293	269	198	277	275	131	205	204	199	116	107	272	98	211	242	77	204	220	230	141	181	116	212	238	136	209	185	177	157	270	219	194	199	208	212	167	166	94	199	108	168	143	119	243	209	198	228	54	161	167	126	168	201	200	103					
		15.72%	12.22%	12.65%	14.08%	15.66%	13.44%	14.81%	15.37%	16.12%	14.70%	16.99%	14.62%	15.74%	23.57%	15.05%	18.58%	12.62%	16.74%	12.58%	13.68%	9.95%	15.90%	19.07%	13.84%	14.92%	17.47%	15.85%	18.10%	13.63%	16.33%	16.24%	16.61%	16.12%	16.94%	17.71%	15.71%	12.71%	12.57%	17.36%	5.78%	13.39%	14.32%	13.63%	12.69%	14.76%	16.08%	13.78%	16.58%	15.89%	21.22%	17.69%	17.85%	19.09%	20.06%	11.13%	16.91%	18.05%	16.58%	17.29%	17.46%	22.42%	13.69%	20.49%	18.53%	12.83%	18.44%	15.37%	16.61%	10.92%	12.68%	9.27%	14.66%	15.87%	15.61%	19.87%	19.60%	16.03%	15.83%	19.16%	16.99%	15.66%	13.03%	14.15%	14.85%	13.97%	14.65%	27.65%	13.26%	15.98%	17.00%	19.12%	14.86%	21.56%	20.35%	18.13%	19.57%	20.07%	12.92%	12.35%	18.18%	16.58%	16.34%	16.72%	10.27%					
																																																																																																														
24	Против всех	3466	32	26	40	17	30	20	21	30	24	22	34	18	23	16	17	27	40	13	30	72	39	15	31	35	29	44	18	28	18	15	16	26	19	21	15	6	13	25	51	49	4	38	48	25	68	54	74	65	40	48	25	43	52	52	34	28	34	28	19	54	26	27	47	18	39	35	45	42	48	43	45	46	28	30	28	27	24	55	47	40	46	50	51	34	36	9	51	18	34	30	29	25	29	39	43	4	45	45	25	44	58	40	43					
		3.10%	3.26%	2.67%	2.93%	1.45%	2.37%	1.78%	2.81%	2.42%	3.04%	2.25%	3.36%	1.83%	2.09%	1.43%	2.24%	2.43%	2.82%	4.19%	3.11%	4.12%	2.98%	1.93%	2.90%	3.31%	2.00%	2.82%	1.84%	2.69%	2.12%	1.58%	1.85%	3.85%	2.44%	2.38%	1.79%	1.69%	1.86%	2.75%	3.01%	4.23%	0.84%	3.06%	3.60%	2.95%	5.52%	3.94%	5.03%	5.38%	2.90%	3.16%	2.25%	2.96%	3.79%	4.42%	2.81%	2.48%	2.83%	4.17%	3.10%	4.45%	3.63%	2.62%	3.60%	3.00%	3.53%	2.45%	3.25%	3.25%	3.36%	3.44%	3.11%	3.07%	3.21%	2.85%	2.97%	2.45%	2.42%	3.90%	3.65%	3.23%	3.01%	3.40%	3.57%	2.85%	3.18%	2.65%	3.40%	2.66%	3.44%	4.01%	3.62%	2.22%	2.82%	3.57%	3.69%	1.49%	3.61%	3.33%	3.61%	4.34%	4.72%	3.34%	4.29%					
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
