Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																														
Дата голосования: 04.12.2011																																																																														
																																																																														
Наименование Избирательной комиссии:    Россошанская																																																																														
																																																																														
Сводная таблица результатов выборов																																																																														
																																																																														
		Сумма	УИК №3401	УИК №3402	УИК №3403	УИК №3404	УИК №3405	УИК №3406	УИК №3407	УИК №3408	УИК №3409	УИК №3410	УИК №3411	УИК №3412	УИК №3413	УИК №3414	УИК №3415	УИК №3416	УИК №3417	УИК №3418	УИК №3419	УИК №3420	УИК №3421	УИК №3422	УИК №3423	УИК №3424	УИК №3425	УИК №3426	УИК №3427	УИК №3428	УИК №3429	УИК №3430	УИК №3431	УИК №3432	УИК №3433	УИК №3434	УИК №3435	УИК №3436	УИК №3437	УИК №3438	УИК №3439	УИК №3440	УИК №3441	УИК №3442	УИК №3443	УИК №3444	УИК №3445	УИК №3446	УИК №3447	УИК №3448	УИК №3449	УИК №3450	УИК №3451	УИК №3452	УИК №3453	УИК №3454	УИК №3455	УИК №3456	УИК №3457	УИК №3458	УИК №3459	УИК №3460	УИК №3461	УИК №3462	УИК №3463	УИК №3464	УИК №3465	УИК №3466	УИК №3467	УИК №3468	УИК №3469	УИК №3470	УИК №3471					
		0.46%	0.42%	0.22%	0.59%	0.67%	0.58%	0.48%	0.26%	0.77%	0.78%	0.20%	0.98%	0.49%	0.68%	0.75%	0.74%	0.55%	0.25%	0.51%	0.65%	0.75%	0.91%	0.34%	0.52%	0.59%	0.59%	0.00%	0.53%	0.64%	0.38%	0.25%	0.00%	0.30%	0.28%	0.00%	0.33%	0.21%	0.39%	1.11%	1.75%	0.35%	0.00%	0.37%	0.33%	0.00%	0.00%	1.26%	0.63%	0.66%	0.00%	0.23%	0.00%	0.00%	0.00%	2.13%	0.00%	1.30%	0.00%	0.00%	0.00%	0.50%	0.39%	0.08%	0.00%	0.22%	0.23%	0.34%	0.00%	0.21%	0.00%	0.00%	0.00%					
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
