Выборы Президента Российской Федерации																																																																			
																																																																			
"Наименование Избирательной комиссии:    Саратов, Октябрьская"																																																																			
																																																																			
Итоги голосования 																																																																			
																																																																			
		Сумма	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	4454	37	17	43	8	9	238	126	9	45	14	9	28	174	77	28	25	33	7	19	16	52	15	22	35	17	22	28	17	28	20	8	15	16	16	27	14	12	7	18	35	85	7	11	15	27	6	4	0	24	0	295	185	418	243	150	160	129	544	706	59					
14	Число неиспользованных открепительных удостоверений	2019	67	68	75	74	73	57	29	54	29	46	62	9	43	51	63	0	58	52	19	58	24	7	18	39	49	39	29	5	51	36	57	28	58	34	40	78	51	52	34	22	23	37	23	0	43	46	2	0	45	0	0	0	0	0	0	0	0	0	0	62					
15	"Число открепительных удостоверений, выданных в ТИК"	45	0	2	1	1	0	1	0	1	1	0	2	2	0	1	0	1	0	1	0	1	0	5	1	0	0	2	2	0	0	0	1	2	1	0	1	4	1	1	0	0	2	2	0	1	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																			
18	. Глазьев Сергей Юрьевич	1541	30	39	30	16	38	61	33	0	26	42	0	30	98	33	0	88	67	0	25	9	63	0	0	92	0	57	37	0	49	33	3	20	28	21	101	0	0	29	65	6	27	65	0	83	3	8	0	0	9	4	4	0	0	7	0	0	7	4	0	51					
		1.88%	2.88%	3.34%	4.27%	1.77%	4.65%	4.99%	2.57%	0.00%	3.18%	2.47%	0.00%	1.34%	6.38%	3.10%	0.00%	4.58%	5.46%	0.00%	1.65%	0.71%	3.26%	0.00%	0.00%	6.01%	0.00%	2.62%	1.35%	0.00%	2.35%	2.12%	0.27%	1.28%	2.24%	1.24%	6.00%	0.00%	0.00%	1.60%	4.70%	0.27%	1.85%	2.61%	0.00%	3.89%	0.23%	1.09%	0.00%	0.00%	1.23%	1.66%	1.05%	0.00%	0.00%	2.88%	0.00%	0.00%	5.43%	0.70%	0.00%	2.84%					
19	. Малышкин Олег Александрович	604	8	10	8	14	2	28	14	2	8	4	8	11	19	22	11	25	17	7	11	7	25	19	4	11	10	11	19	3	12	9	1	11	9	8	21	3	12	5	29	8	9	27	10	32	2	4	10	1	2	0	0	0	0	5	0	0	1	3	2	30					
		0.74%	0.77%	0.86%	1.14%	1.55%	0.24%	2.29%	1.09%	0.25%	0.98%	0.24%	0.44%	0.49%	1.24%	2.07%	1.04%	1.30%	1.38%	0.43%	0.73%	0.55%	1.29%	1.00%	0.17%	0.72%	0.58%	0.50%	0.69%	0.16%	0.58%	0.58%	0.09%	0.70%	0.72%	0.47%	1.25%	0.23%	0.69%	0.28%	2.10%	0.36%	0.62%	1.08%	0.45%	1.50%	0.15%	0.55%	0.45%	0.05%	0.27%	0.00%	0.00%	0.00%	0.00%	2.06%	0.00%	0.00%	0.78%	0.53%	0.28%	1.67%					
20	. Миронов Сергей Михайлович	339	7	6	0	7	3	6	6	0	5	4	2	8	11	6	10	10	9	11	6	6	16	8	6	8	11	10	6	9	10	2	1	17	3	1	19	0	3	7	4	6	9	14	11	13	1	1	7	0	0	0	0	0	0	2	0	0	3	0	2	6					
		0.41%	0.67%	0.51%	0.00%	0.77%	0.37%	0.49%	0.47%	0.00%	0.61%	0.24%	0.11%	0.36%	0.72%	0.56%	0.94%	0.52%	0.73%	0.68%	0.40%	0.47%	0.83%	0.42%	0.25%	0.52%	0.64%	0.46%	0.22%	0.47%	0.48%	0.13%	0.09%	1.09%	0.24%	0.06%	1.13%	0.00%	0.17%	0.39%	0.29%	0.27%	0.62%	0.56%	0.50%	0.61%	0.08%	0.14%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.82%	0.00%	0.00%	2.33%	0.00%	0.28%	0.33%					
21	. Путин Владимир Владимирович	69999	833	1002	561	742	597	772	1027	782	692	1366	1759	2135	924	852	1008	1296	823	1564	1299	1236	1644	1806	2286	1009	1566	1729	2614	1845	1679	1275	873	1357	1070	1586	1097	1299	1684	1472	970	2168	1081	2151	2058	1732	1231	644	2046	1902	640	217	309	183	332	160	143	148	69	531	630	1493					
		85.62%	80.10%	85.79%	79.91%	81.99%	73.07%	63.12%	80.11%	97.14%	84.70%	80.26%	97.72%	95.14%	60.16%	80.00%	95.00%	67.43%	67.02%	96.78%	85.63%	97.02%	85.01%	95.00%	97.03%	65.86%	91.10%	79.35%	95.05%	96.50%	80.64%	81.78%	78.65%	86.71%	85.53%	93.29%	65.22%	99.39%	96.17%	81.01%	70.09%	97.00%	74.04%	86.35%	93.50%	81.09%	94.69%	87.98%	93.04%	91.71%	87.79%	90.04%	80.89%	98.92%	79.43%	65.84%	95.33%	92.50%	53.49%	93.16%	88.61%	83.27%					
22	. Хакамада Ирина Муцуовна	1850	39	39	42	35	24	88	32	0	23	37	2	38	98	42	4	139	89	8	19	5	20	17	16	86	9	81	10	6	60	54	10	36	10	12	73	0	0	89	71	4	49	51	59	78	4	0	53	6	13	3	1	0	3	7	1	3	10	7	1	34					
		2.26%	3.75%	3.34%	5.98%	3.87%	2.94%	7.20%	2.50%	0.00%	2.82%	2.17%	0.11%	1.69%	6.38%	3.94%	0.38%	7.23%	7.25%	0.50%	1.25%	0.39%	1.03%	0.89%	0.68%	5.61%	0.52%	3.72%	0.36%	0.31%	2.88%	3.46%	0.90%	2.30%	0.80%	0.71%	4.34%	0.00%	0.00%	4.90%	5.13%	0.18%	3.36%	2.05%	2.68%	3.65%	0.31%	0.00%	2.41%	0.29%	1.78%	1.24%	0.26%	0.00%	0.72%	2.88%	0.67%	1.88%	7.75%	1.23%	0.14%	1.90%					
23	. Харитонов Николай Михайлович	5146	116	45	48	57	126	174	126	10	35	239	21	13	207	62	24	256	182	14	130	4	100	24	24	248	83	212	38	27	220	173	217	109	122	37	290	0	40	193	184	3	98	178	32	131	34	69	60	51	51	17	7	0	1	7	1	4	31	20	2	119					
		6.29%	11.15%	3.85%	6.84%	6.30%	15.42%	14.23%	9.83%	1.24%	4.28%	14.04%	1.17%	0.58%	13.48%	5.82%	2.26%	13.32%	14.82%	0.87%	8.57%	0.31%	5.17%	1.26%	1.02%	16.19%	4.83%	9.73%	1.38%	1.41%	10.57%	11.10%	19.55%	6.96%	9.75%	2.18%	17.24%	0.00%	2.28%	10.62%	13.29%	0.13%	6.71%	7.15%	1.45%	6.13%	2.62%	9.43%	2.73%	2.46%	7.00%	7.05%	1.83%	0.00%	0.24%	2.88%	0.67%	2.50%	24.03%	3.51%	0.28%	6.64%					
																																																																			
24	Против всех	1486	7	25	10	30	24	85	41	10	28	6	8	9	121	48	4	96	39	12	24	4	63	22	20	74	33	58	22	16	43	9	3	8	7	28	61	0	11	18	53	25	58	0	25	58	23	4	20	9	9	0	7	2	1	0	0	4	7	4	0	50					
		1.82%	0.67%	2.14%	1.42%	3.31%	2.94%	6.95%	3.20%	1.24%	3.43%	0.35%	0.44%	0.40%	7.88%	4.51%	0.38%	4.99%	3.18%	0.74%	1.58%	0.31%	3.26%	1.16%	0.85%	4.83%	1.92%	2.66%	0.80%	0.84%	2.07%	0.58%	0.27%	0.51%	0.56%	1.65%	3.63%	0.00%	0.63%	0.99%	3.83%	1.12%	3.97%	0.00%	1.14%	2.72%	1.77%	0.55%	0.91%	0.43%	1.23%	0.00%	1.83%	1.08%	0.24%	0.00%	0.00%	2.50%	5.43%	0.70%	0.00%	2.79%					
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
