Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																									
Дата голосования: 18.09.2016																																																									
																																																									
Наименование Избирательной комиссии:    Шилкинская																																																									
																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																									
																																																									
		Сумма	УИК №3801	УИК №3802	УИК №3803	УИК №3804	УИК №3805	УИК №3806	УИК №3807	УИК №3808	УИК №3809	УИК №3810	УИК №3811	УИК №3812	УИК №3813	УИК №3814	УИК №3815	УИК №3816	УИК №3817	УИК №3818	УИК №3819	УИК №3820	УИК №3821	УИК №3822	УИК №3823	УИК №3824	УИК №3825	УИК №3826	УИК №3827	УИК №3828	УИК №3829	УИК №3830	УИК №3831	УИК №3832	УИК №3833	УИК №3834	УИК №3835	УИК №3836	УИК №3837	УИК №3838	УИК №3839	УИК №3840	УИК №3841	УИК №3842	УИК №3843	УИК №3844	УИК №3845	УИК №3846									
14	Число погашенных неиспользованных открепительных удостоверений	293	8	7	5	12	7	0	6	4	5	11	11	17	10	5	4	3	7	9	5	9	4	2	4	3	7	3	8	5	9	5	5	3	14	10	10	3	3	3	3	10	5	4	12	2	2	9									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	40	3	10	6	4	3	1	0	1	0	0	2	0	1	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	2	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	128	6	14	6	5	4	0	1	1	4	11	10	6	9	0	3	0	5	0	0	6	1	1	0	0	3	0	3	0	2	2	0	0	1	0	2	2	1	2	1	3	0	2	3	1	0	7									
		1.07%	0.82%	1.60%	0.87%	0.95%	1.11%	0.00%	0.16%	0.54%	0.80%	2.11%	1.59%	1.22%	1.17%	0.00%	6.52%	0.00%	0.80%	0.00%	0.00%	3.49%	1.33%	0.74%	0.00%	0.00%	1.89%	0.00%	1.32%	0.00%	0.74%	0.67%	0.00%	0.00%	0.59%	0.00%	2.06%	1.01%	2.00%	3.13%	0.88%	1.25%	0.00%	2.15%	0.84%	0.93%	0.00%	1.79%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	509	32	23	38	22	14	2	9	8	29	106	29	25	35	4	0	0	15	10	15	3	1	4	2	1	5	2	8	1	7	15	2	0	4	0	2	3	0	5	2	4	1	4	9	3	1	4									
		4.26%	4.37%	2.63%	5.48%	4.17%	3.90%	2.44%	1.45%	4.32%	5.82%	20.35%	4.60%	5.08%	4.53%	3.67%	0.00%	0.00%	2.39%	4.17%	20.55%	1.74%	1.33%	2.96%	1.79%	2.94%	3.14%	5.56%	3.51%	1.49%	2.58%	5.02%	2.17%	0.00%	2.35%	0.00%	2.06%	1.52%	0.00%	7.81%	1.75%	1.67%	1.89%	4.30%	2.51%	2.80%	2.33%	1.02%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	271	12	18	22	10	5	1	11	4	12	14	27	15	20	3	1	0	8	7	1	3	1	1	0	0	4	2	4	4	10	4	1	4	1	2	4	1	0	2	4	8	1	0	7	1	0	11									
		2.27%	1.64%	2.05%	3.17%	1.90%	1.39%	1.22%	1.77%	2.16%	2.41%	2.69%	4.29%	3.05%	2.59%	2.75%	2.17%	0.00%	1.27%	2.92%	1.37%	1.74%	1.33%	0.74%	0.00%	0.00%	2.52%	5.56%	1.75%	5.97%	3.69%	1.34%	1.09%	7.27%	0.59%	3.70%	4.12%	0.51%	0.00%	3.13%	3.51%	3.33%	1.89%	0.00%	1.95%	0.93%	0.00%	2.81%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4315	200	283	198	164	109	31	243	81	120	164	175	159	249	36	30	28	275	97	20	69	42	52	50	3	60	18	92	20	124	120	42	25	72	28	52	97	26	19	62	113	27	59	160	57	23	141									
		36.14%	27.32%	32.31%	28.57%	31.12%	30.36%	37.80%	39.07%	43.78%	24.10%	31.48%	27.78%	32.32%	32.25%	33.03%	65.22%	32.94%	43.79%	40.42%	27.40%	40.12%	56.00%	38.52%	44.64%	8.82%	37.74%	50.00%	40.35%	29.85%	45.76%	40.13%	45.65%	45.45%	42.35%	51.85%	53.61%	48.99%	52.00%	29.69%	54.39%	47.08%	50.94%	63.44%	44.57%	53.27%	53.49%	35.97%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	58	3	5	5	4	0	1	5	0	4	3	1	5	0	3	0	1	3	1	0	1	0	1	0	0	1	0	3	0	3	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1									
		0.49%	0.41%	0.57%	0.72%	0.76%	0.00%	1.22%	0.80%	0.00%	0.80%	0.58%	0.16%	1.02%	0.00%	2.75%	0.00%	1.18%	0.48%	0.42%	0.00%	0.58%	0.00%	0.74%	0.00%	0.00%	0.63%	0.00%	1.32%	0.00%	1.11%	0.33%	0.00%	0.00%	0.59%	0.00%	0.00%	0.51%	0.00%	0.00%	0.00%	0.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%									
24	"6. Политическая партия ""Гражданская Платформа"""	25	2	3	1	2	1	0	0	0	1	2	3	1	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1									
		0.21%	0.27%	0.34%	0.14%	0.38%	0.28%	0.00%	0.00%	0.00%	0.20%	0.38%	0.48%	0.20%	0.13%	0.00%	0.00%	0.00%	0.32%	0.00%	1.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.37%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.42%	0.00%	0.00%	0.00%	0.00%	2.33%	0.26%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3440	279	280	208	167	131	25	248	49	117	108	114	109	213	39	11	40	217	62	30	57	18	45	44	5	41	5	52	23	63	85	14	14	65	15	22	39	17	16	29	45	14	12	73	20	4	156									
		28.81%	38.11%	31.96%	30.01%	31.69%	36.49%	30.49%	39.87%	26.49%	23.49%	20.73%	18.10%	22.15%	27.59%	35.78%	23.91%	47.06%	34.55%	25.83%	41.10%	33.14%	24.00%	33.33%	39.29%	14.71%	25.79%	13.89%	22.81%	34.33%	23.25%	28.43%	15.22%	25.45%	38.24%	27.78%	22.68%	19.70%	34.00%	25.00%	25.44%	18.75%	26.42%	12.90%	20.33%	18.69%	9.30%	39.80%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	35	2	3	3	1	3	1	1	0	1	0	3	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	4	0	0	1	0	0	3	0	0	0	0									
		0.29%	0.27%	0.34%	0.43%	0.19%	0.84%	1.22%	0.16%	0.00%	0.20%	0.00%	0.48%	0.61%	0.13%	1.83%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.44%	1.49%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.02%	0.00%	0.00%	0.88%	0.00%	0.00%	3.23%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	54	5	4	0	5	1	1	1	1	1	4	5	1	4	2	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	2	2	0	0	8									
		0.45%	0.68%	0.46%	0.00%	0.95%	0.28%	1.22%	0.16%	0.54%	0.20%	0.77%	0.79%	0.20%	0.52%	1.83%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.74%	0.00%	0.00%	0.63%	0.00%	0.44%	0.00%	0.37%	0.33%	0.00%	0.00%	0.00%	1.85%	1.03%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.15%	0.56%	0.00%	0.00%	2.04%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	18	0	0	0	2	0	0	2	0	1	1	0	0	0	0	0	0	2	0	0	1	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0									
		0.15%	0.00%	0.00%	0.00%	0.38%	0.00%	0.00%	0.32%	0.00%	0.20%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.58%	2.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.00%	0.00%	0.00%	0.00%	1.89%	2.15%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	88	5	7	0	2	1	0	3	0	11	9	12	4	6	0	0	0	2	2	0	0	0	1	0	0	2	1	1	0	2	8	0	0	1	0	2	0	0	1	1	0	0	0	3	0	0	1									
		0.74%	0.68%	0.80%	0.00%	0.38%	0.28%	0.00%	0.48%	0.00%	2.21%	1.73%	1.90%	0.81%	0.78%	0.00%	0.00%	0.00%	0.32%	0.83%	0.00%	0.00%	0.00%	0.74%	0.00%	0.00%	1.26%	2.78%	0.44%	0.00%	0.74%	2.68%	0.00%	0.00%	0.59%	0.00%	2.06%	0.00%	0.00%	1.56%	0.88%	0.00%	0.00%	0.00%	0.84%	0.00%	0.00%	0.26%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2048	129	170	155	89	70	15	60	28	146	34	172	109	169	9	0	11	70	35	2	19	6	22	13	1	36	7	51	13	41	47	28	8	20	4	10	26	4	18	9	52	5	4	71	20	7	33									
		17.15%	17.62%	19.41%	22.37%	16.89%	19.50%	18.29%	9.65%	15.14%	29.32%	6.53%	27.30%	22.15%	21.89%	8.26%	0.00%	12.94%	11.15%	14.58%	2.74%	11.05%	8.00%	16.30%	11.61%	2.94%	22.64%	19.44%	22.37%	19.40%	15.13%	15.72%	30.43%	14.55%	11.76%	7.41%	10.31%	13.13%	8.00%	28.13%	7.89%	21.67%	9.43%	4.30%	19.78%	18.69%	16.28%	8.42%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	94	9	8	0	10	2	0	6	1	4	4	5	4	5	1	0	1	3	2	1	1	0	4	0	0	1	0	1	2	2	4	0	0	0	0	0	1	0	0	0	0	0	2	5	0	0	5									
		0.79%	1.23%	0.91%	0.00%	1.90%	0.56%	0.00%	0.96%	0.54%	0.80%	0.77%	0.79%	0.81%	0.65%	0.92%	0.00%	1.18%	0.48%	0.83%	1.37%	0.58%	0.00%	2.96%	0.00%	0.00%	0.63%	0.00%	0.44%	2.99%	0.74%	1.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.51%	0.00%	0.00%	0.00%	0.00%	0.00%	2.15%	1.39%	0.00%	0.00%	1.28%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	468	25	31	36	31	10	5	22	5	34	30	47	42	26	3	0	4	12	14	0	5	1	2	0	0	3	0	5	0	4	7	2	1	3	4	1	16	0	1	3	6	1	2	9	1	1	13									
		3.92%	3.42%	3.54%	5.19%	5.88%	2.79%	6.10%	3.54%	2.70%	6.83%	5.76%	7.46%	8.54%	3.37%	2.75%	0.00%	4.71%	1.91%	5.83%	0.00%	2.91%	1.33%	1.48%	0.00%	0.00%	1.89%	0.00%	2.19%	0.00%	1.48%	2.34%	2.17%	1.82%	1.76%	7.41%	1.03%	8.08%	0.00%	1.56%	2.63%	2.50%	1.89%	2.15%	2.51%	0.93%	2.33%	3.32%									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
