Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																			
Дата голосования: 07.12.2003 0:00:00																			
																			
Наименование Избирательной комиссии:    Кызылская																			
																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																			
																			
		Сумма	УИК  85	УИК  86	УИК  87	УИК  88	УИК  89	УИК  90	УИК  91	УИК  92	УИК  93	УИК  94	УИК  95	УИК  96					
		5.27%	9.14%	9.44%	10.07%	4.11%	0.0%	0.64%	2.31%	7.09%	1.96%	0.21%	0.92%	2.91%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	101	12	26	18	9	2	4	6	8	0	2	3	11					
		1.65%	2.28%	2.19%	2.79%	1.08%	0.92%	0.85%	1.54%	1.89%	0.0%	0.42%	0.92%	2.66%					
37	"20. ""Политическая партия ""Единая Россия"""	3816	281	671	336	566	146	316	265	238	151	343	205	298					
		62.68%	53.52%	56.57%	52.09%	68.52%	67.28%	67.66%	68.12%	56.26%	74.01%	73.13%	63.07%	72.33%					
38	"21. ""Российская Конституционно-демократическая партия"""	20	3	4	0	0	4	3	0	1	1	2	1	1					
		0.32%	0.57%	0.33%	0.0%	0.0%	1.84%	0.64%	0.0%	0.23%	0.49%	0.42%	0.30%	0.24%					
39	"22. ""Развитие предпринимательства"""	10	2	2	2	1	0	2	0	0	0	1	0	0					
		0.16%	0.38%	0.16%	0.31%	0.12%	0.0%	0.42%	0.0%	0.0%	0.0%	0.21%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	641	58	138	71	73	25	36	54	61	18	29	51	27					
		10.52%	11.04%	11.63%	11.00%	8.83%	11.52%	7.70%	13.88%	14.42%	8.82%	6.18%	15.69%	6.55%					
																			
41	Против всех	102	9	17	25	12	4	4	2	9	1	6	10	3					
		1.67%	1.71%	1.43%	3.87%	1.45%	1.84%	0.85%	0.51%	2.12%	0.49%	1.27%	3.07%	0.72%					
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
