Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																														
Дата голосования: 18.09.2016																																																														
																																																														
Наименование Избирательной комиссии:    Чайковская																																																														
																																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																																														
																																																														
		Сумма	УИК №4001	УИК №4002	УИК №4003	УИК №4004	УИК №4005	УИК №4006	УИК №4007	УИК №4008	УИК №4009	УИК №4010	УИК №4011	УИК №4012	УИК №4013	УИК №4014	УИК №4015	УИК №4016	УИК №4017	УИК №4018	УИК №4019	УИК №4020	УИК №4021	УИК №4022	УИК №4023	УИК №4024	УИК №4025	УИК №4026	УИК №4027	УИК №4028	УИК №4029	УИК №4030	УИК №4031	УИК №4032	УИК №4033	УИК №4034	УИК №4035	УИК №4036	УИК №4037	УИК №4038	УИК №4040	УИК №4041	УИК №4042	УИК №4043	УИК №4044	УИК №4045	УИК №4046	УИК №4047	УИК №4048	УИК №4049	УИК №4050	УИК №4051	УИК №4052									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	205	7	8	1	3	3	11	8	3	2	8	6	6	4	2	6	4	8	6	5	7	2	2	12	2	3	14	4	7	5	8	3	0	11	1	1	6	0	0	1	0	2	4	1	0	2	1	0	1	1	3	0									
		0.70%	0.92%	1.67%	0.10%	0.43%	0.34%	1.20%	1.01%	0.79%	0.28%	1.00%	0.88%	0.85%	0.62%	0.26%	1.11%	0.51%	0.90%	0.75%	0.71%	0.71%	0.20%	0.22%	1.21%	0.32%	0.77%	1.71%	2.80%	0.90%	0.70%	1.29%	0.53%	0.00%	2.06%	0.30%	0.47%	0.57%	0.00%	0.00%	0.42%	0.00%	0.33%	0.53%	0.56%	0.00%	0.54%	0.54%	0.00%	0.54%	0.30%	0.76%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	718	23	16	25	18	15	39	20	11	13	17	21	16	12	21	16	36	18	35	19	28	30	15	34	9	15	28	4	20	12	20	6	4	26	0	2	14	7	3	0	0	12	16	1	0	5	2	1	2	3	7	1									
		2.45%	3.03%	3.34%	2.61%	2.58%	1.72%	4.27%	2.51%	2.88%	1.82%	2.13%	3.09%	2.26%	1.86%	2.70%	2.96%	4.63%	2.04%	4.35%	2.71%	2.84%	2.99%	1.68%	3.42%	1.45%	3.85%	3.42%	2.80%	2.57%	1.69%	3.24%	1.07%	2.70%	4.86%	0.00%	0.93%	1.33%	1.86%	0.76%	0.00%	0.00%	1.98%	2.14%	0.56%	0.00%	1.34%	1.08%	0.53%	1.08%	0.91%	1.76%	0.60%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	48	0	0	1	1	1	1	2	1	2	0	3	2	1	0	1	0	1	1	0	1	2	2	0	1	1	0	0	1	2	2	1	2	2	1	0	1	2	0	0	1	0	2	2	0	1	0	0	1	0	0	2									
		0.16%	0.00%	0.00%	0.10%	0.14%	0.11%	0.11%	0.25%	0.26%	0.28%	0.00%	0.44%	0.28%	0.16%	0.00%	0.18%	0.00%	0.11%	0.12%	0.00%	0.10%	0.20%	0.22%	0.00%	0.16%	0.26%	0.00%	0.00%	0.13%	0.28%	0.32%	0.18%	1.35%	0.37%	0.30%	0.00%	0.09%	0.53%	0.00%	0.00%	0.63%	0.00%	0.27%	1.11%	0.00%	0.27%	0.00%	0.00%	0.54%	0.00%	0.00%	1.19%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	490	14	7	19	17	17	22	9	3	7	15	10	16	6	12	17	17	27	22	11	10	28	15	28	4	10	10	2	11	6	11	5	6	12	3	5	15	5	5	0	0	6	6	1	2	7	1	1	3	1	2	1									
		1.67%	1.85%	1.46%	1.98%	2.43%	1.95%	2.41%	1.13%	0.79%	0.98%	1.88%	1.47%	2.26%	0.93%	1.54%	3.14%	2.19%	3.05%	2.73%	1.57%	1.01%	2.80%	1.68%	2.81%	0.65%	2.56%	1.22%	1.40%	1.42%	0.84%	1.78%	0.89%	4.05%	2.24%	0.91%	2.34%	1.42%	1.33%	1.27%	0.00%	0.00%	0.99%	0.80%	0.56%	1.49%	1.88%	0.54%	0.53%	1.62%	0.30%	0.50%	0.60%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4264	80	65	130	98	116	100	113	51	120	127	88	113	78	127	89	95	141	129	90	147	158	136	138	78	59	109	20	133	101	101	96	13	89	33	24	184	58	52	28	26	107	133	30	27	30	23	25	28	51	45	32									
		14.53%	10.55%	13.57%	13.57%	14.02%	13.33%	10.95%	14.20%	13.35%	16.81%	15.93%	12.96%	15.94%	12.11%	16.32%	16.45%	12.21%	15.95%	16.02%	12.82%	14.89%	15.78%	15.20%	13.87%	12.58%	15.13%	13.31%	13.99%	17.12%	14.19%	16.34%	17.11%	8.78%	16.64%	10.03%	11.21%	17.42%	15.43%	13.23%	11.72%	16.46%	17.66%	17.76%	16.67%	20.15%	8.04%	12.43%	13.37%	15.14%	15.50%	11.34%	19.05%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	100	5	3	3	1	7	0	0	1	3	4	9	1	3	3	2	3	2	3	3	4	2	2	2	1	1	1	1	3	2	3	3	3	2	0	1	2	3	0	0	0	2	4	0	1	0	0	0	0	0	1	0									
		0.34%	0.66%	0.63%	0.31%	0.14%	0.80%	0.00%	0.00%	0.26%	0.42%	0.50%	1.33%	0.14%	0.47%	0.39%	0.37%	0.39%	0.23%	0.37%	0.43%	0.41%	0.20%	0.22%	0.20%	0.16%	0.26%	0.12%	0.70%	0.39%	0.28%	0.49%	0.53%	2.03%	0.37%	0.00%	0.47%	0.19%	0.80%	0.00%	0.00%	0.00%	0.33%	0.53%	0.00%	0.75%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2943	80	44	108	69	107	103	78	45	66	100	75	76	87	82	67	79	121	80	68	99	110	105	93	41	33	86	27	100	67	61	57	6	43	25	18	118	33	21	5	11	48	45	20	8	18	15	15	12	16	40	12									
		10.03%	10.55%	9.19%	11.27%	9.87%	12.30%	11.28%	9.80%	11.78%	9.24%	12.55%	11.05%	10.72%	13.51%	10.54%	12.38%	10.15%	13.69%	9.94%	9.69%	10.03%	10.99%	11.73%	9.35%	6.61%	8.46%	10.50%	18.88%	12.87%	9.41%	9.87%	10.16%	4.05%	8.04%	7.60%	8.41%	11.17%	8.78%	5.34%	2.09%	6.96%	7.92%	6.01%	11.11%	5.97%	4.83%	8.11%	8.02%	6.49%	4.86%	10.08%	7.14%									
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
