Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																										
Дата голосования: 07.12.2003 0:00:00																										
																										
Наименование Избирательной комиссии:    Чудовская																										
																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																										
																										
		Сумма	УИК  532	УИК  533	УИК  534	УИК  535	УИК  536	УИК  537	УИК  538	УИК  539	УИК  540	УИК  541	УИК  542	УИК  543	УИК  544	УИК  545	УИК  546	УИК  547	УИК  548	УИК  549	УИК  550					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	69	19	3	0	2	5	2	0	0	1	0	0	6	4	8	5	4	1	5	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	55	9	3	3	1	2	6	2	2	0	1	1	5	1	5	2	4	2	2	4					
14	Число погашенных открепительных удостоверений	226	1	2	5	8	10	13	10	10	14	10	5	14	11	17	20	21	19	15	21					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																										
18	"1. ""ЕДИНЕНИЕ"""	118	7	1	0	3	3	1	8	6	3	4	0	16	5	10	15	9	11	7	9					
		1.19%	1.52%	1.02%	0.0%	1.44%	0.80%	0.31%	3.13%	5.08%	0.52%	1.08%	0.0%	2.07%	1.65%	0.82%	1.25%	0.79%	2.04%	0.91%	0.85%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	211	5	2	0	4	8	2	1	3	7	5	0	5	3	48	35	34	11	10	28					
		2.13%	1.09%	2.04%	0.0%	1.92%	2.15%	0.62%	0.39%	2.54%	1.22%	1.35%	0.0%	0.64%	0.99%	3.94%	2.93%	3.01%	2.04%	1.30%	2.67%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	320	9	4	2	7	14	3	3	4	13	3	0	33	12	35	41	47	20	34	36					
		3.24%	1.96%	4.08%	3.33%	3.36%	3.76%	0.93%	1.17%	3.38%	2.28%	0.81%	0.0%	4.28%	3.97%	2.87%	3.44%	4.16%	3.72%	4.42%	3.43%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	306	7	0	1	8	5	2	5	0	10	1	0	22	2	35	41	73	20	16	58					
		3.09%	1.52%	0.0%	1.66%	3.84%	1.34%	0.62%	1.96%	0.0%	1.75%	0.27%	0.0%	2.85%	0.66%	2.87%	3.44%	6.46%	3.72%	2.08%	5.53%					
22	"5. ""За Русь Святую"""	47	1	0	2	2	5	3	2	1	1	0	0	2	1	8	3	8	2	4	2					
		0.47%	0.21%	0.0%	3.33%	0.96%	1.34%	0.93%	0.78%	0.84%	0.17%	0.0%	0.0%	0.25%	0.33%	0.65%	0.25%	0.70%	0.37%	0.52%	0.19%					
23	"6. ""Объединенная Российская партия ""Русь"""	30	3	0	0	1	1	0	1	0	0	0	0	0	1	5	7	2	1	2	6					
		0.30%	0.65%	0.0%	0.0%	0.48%	0.26%	0.0%	0.39%	0.0%	0.0%	0.0%	0.0%	0.0%	0.33%	0.41%	0.58%	0.17%	0.18%	0.26%	0.57%					
24	"7. ""Новый курс - Автомобильная Россия"""	52	4	1	0	0	0	2	0	0	1	0	0	4	2	9	6	4	7	2	10					
		0.52%	0.87%	1.02%	0.0%	0.0%	0.0%	0.62%	0.0%	0.0%	0.17%	0.0%	0.0%	0.51%	0.66%	0.73%	0.50%	0.35%	1.30%	0.26%	0.95%					
25	"8. ""Народно-республиканская партия России"""	14	0	0	0	0	1	0	0	0	1	0	0	2	1	3	0	3	0	1	2					
		0.14%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.0%	0.17%	0.0%	0.0%	0.25%	0.33%	0.24%	0.0%	0.26%	0.0%	0.13%	0.19%					
26	"9. ""Российская экологическая партия ""Зеленые"""	27	2	1	0	0	4	1	0	0	1	0	0	1	0	3	6	2	1	2	3					
		0.27%	0.43%	1.02%	0.0%	0.0%	1.07%	0.31%	0.0%	0.0%	0.17%	0.0%	0.0%	0.12%	0.0%	0.24%	0.50%	0.17%	0.18%	0.26%	0.28%					
27	"10. ""Аграрная партия России"""	478	35	24	1	1	23	24	20	8	46	11	6	23	13	47	72	46	16	24	38					
		4.84%	7.64%	24.48%	1.66%	0.48%	6.18%	7.45%	7.84%	6.77%	8.07%	2.98%	7.14%	2.98%	4.30%	3.86%	6.04%	4.07%	2.97%	3.12%	3.62%					
28	"11. ""Истинные патриоты России"""	10	0	0	0	1	1	0	0	3	0	0	0	0	0	0	1	2	0	1	1					
		0.10%	0.0%	0.0%	0.0%	0.48%	0.26%	0.0%	0.0%	2.54%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.08%	0.17%	0.0%	0.13%	0.09%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	104	8	0	0	3	4	0	6	0	9	1	0	9	4	9	10	13	7	9	12					
		1.05%	1.74%	0.0%	0.0%	1.44%	1.07%	0.0%	2.35%	0.0%	1.57%	0.27%	0.0%	1.16%	1.32%	0.73%	0.83%	1.15%	1.30%	1.17%	1.14%					
30	"13. ""Демократическая партия России"""	32	2	0	2	1	0	1	1	1	3	0	1	3	3	4	1	6	0	1	2					
		0.32%	0.43%	0.0%	3.33%	0.48%	0.0%	0.31%	0.39%	0.84%	0.52%	0.0%	1.19%	0.38%	0.99%	0.32%	0.08%	0.53%	0.0%	0.13%	0.19%					
31	"14. ""Великая Россия - Евразийский Союз"""	28	3	0	0	0	0	0	1	0	2	0	1	2	0	0	8	1	1	3	6					
		0.28%	0.65%	0.0%	0.0%	0.0%	0.0%	0.0%	0.39%	0.0%	0.35%	0.0%	1.19%	0.25%	0.0%	0.0%	0.67%	0.08%	0.18%	0.39%	0.57%					
32	"15. ""Партия СЛОН"""	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0					
		0.06%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.25%	0.26%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	740	21	1	0	12	33	19	16	3	23	2	8	42	11	105	130	102	41	75	96					
		7.49%	4.58%	1.02%	0.0%	5.76%	8.87%	5.90%	6.27%	2.54%	4.03%	0.54%	9.52%	5.45%	3.64%	8.62%	10.91%	9.03%	7.63%	9.75%	9.16%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	38	1	0	0	1	3	2	2	0	1	2	0	3	0	2	2	8	3	4	4					
		0.38%	0.21%	0.0%	0.0%	0.48%	0.80%	0.62%	0.78%	0.0%	0.17%	0.54%	0.0%	0.38%	0.0%	0.16%	0.16%	0.70%	0.55%	0.52%	0.38%					
35	"18. ""ЛДПР"""	1360	84	8	7	14	45	41	52	14	83	19	12	112	52	180	152	161	91	78	155					
		13.77%	18.34%	8.16%	11.66%	6.73%	12.09%	12.73%	20.39%	11.86%	14.56%	5.14%	14.28%	14.54%	17.21%	14.79%	12.76%	14.26%	16.94%	10.14%	14.80%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	271	8	1	0	2	7	10	8	4	12	2	1	34	9	37	36	20	30	23	27					
		2.74%	1.74%	1.02%	0.0%	0.96%	1.88%	3.10%	3.13%	3.38%	2.10%	0.54%	1.19%	4.41%	2.98%	3.04%	3.02%	1.77%	5.58%	2.99%	2.57%					
37	"20. ""Политическая партия ""Единая Россия"""	4176	194	43	34	123	167	165	92	44	295	290	49	314	154	463	431	401	199	350	368					
		42.28%	42.35%	43.87%	56.66%	59.13%	44.89%	51.24%	36.07%	37.28%	51.75%	78.59%	58.33%	40.77%	50.99%	38.04%	36.18%	35.51%	37.05%	45.51%	35.14%					
38	"21. ""Российская Конституционно-демократическая партия"""	26	1	0	0	1	2	0	1	2	0	2	0	3	0	2	5	2	0	1	4					
		0.26%	0.21%	0.0%	0.0%	0.48%	0.53%	0.0%	0.39%	1.69%	0.0%	0.54%	0.0%	0.38%	0.0%	0.16%	0.41%	0.17%	0.0%	0.13%	0.38%					
39	"22. ""Развитие предпринимательства"""	29	1	0	0	0	2	1	2	0	3	0	1	1	0	10	0	1	1	1	5					
		0.29%	0.21%	0.0%	0.0%	0.0%	0.53%	0.31%	0.78%	0.0%	0.52%	0.0%	1.19%	0.12%	0.0%	0.82%	0.0%	0.08%	0.18%	0.13%	0.47%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	950	42	5	6	20	37	28	14	12	26	23	4	94	21	126	125	107	53	89	118					
		9.61%	9.17%	5.10%	10.0%	9.61%	9.94%	8.69%	5.49%	10.16%	4.56%	6.23%	4.76%	12.20%	6.95%	10.35%	10.49%	9.47%	9.86%	11.57%	11.27%					
																										
41	Против всех	393	11	2	5	4	6	11	12	6	26	3	0	29	7	67	49	68	20	17	50					
		3.97%	2.40%	2.04%	8.33%	1.92%	1.61%	3.41%	4.70%	5.08%	4.56%	0.81%	0.0%	3.76%	2.31%	5.50%	4.11%	6.02%	3.72%	2.21%	4.77%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
