Выборы Президента Российской Федерации																																																																																
																																																																																
"Наименование Избирательной комиссии:    Тула, Пролетарская"																																																																																
																																																																																
Итоги голосования 																																																																																
																																																																																
		Сумма	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478					
11	Число полученных открепительных  удостоверений	2952	20	56	55	55	55	0	55	55	55	55	56	55	55	55	55	55	55	0	20	40	40	0	30	40	30	55	55	50	40	55	55	30	20	0	40	0	0	0	0	90	0	30	55	55	55	55	55	55	55	30	50	40	55	50	50	20	0	20	30	55	30	60	55	50	30	40	40	40	50	50	50	50	55					
12	Число выданных открепительных удостоверений	1544	7	24	23	40	29	0	42	40	30	35	30	33	35	22	32	31	25	0	4	10	26	0	17	16	17	10	19	14	23	19	20	18	10	0	22	0	0	0	0	59	0	16	33	29	24	21	36	34	27	14	36	11	28	27	23	3	0	9	14	35	28	37	24	27	24	29	18	31	27	26	18	15	38					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1628	11	26	15	27	14	45	22	20	18	22	15	21	8	3	17	17	15	25	1	7	25	4	17	16	14	16	20	8	13	13	9	3	10	20	17	53	58	139	22	24	51	13	26	16	19	8	21	5	12	8	18	7	16	11	20	317	10	2	12	16	6	14	13	13	13	15	4	6	13	44	8	11	10					
14	Число неиспользованных открепительных удостоверений	1408	13	32	32	15	26	0	13	15	25	20	26	22	20	33	23	24	30	0	16	30	14	0	13	24	13	45	36	36	17	36	35	12	10	0	18	0	0	0	0	31	0	14	22	26	31	34	19	21	28	16	14	29	27	23	27	17	0	11	16	20	2	23	31	23	6	11	22	9	23	24	32	35	17					
15	"Число открепительных удостоверений, выданных в ТИК"	198	4	2	4	2	1	0	3	4	1	2	6	4	5	2	6	1	1	0	1	4	4	0	2	5	7	1	2	1	4	4	8	1	1	0	1	0	0	0	0	5	0	3	3	1	2	0	7	4	2	4	2	1	2	12	4	0	0	4	0	8	6	8	5	2	2	3	3	0	1	0	3	4	3					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																
18	. Глазьев Сергей Юрьевич	4744	27	109	83	93	94	2	104	97	96	95	76	74	108	129	98	104	79	3	27	46	47	1	52	47	61	57	76	57	75	78	90	89	23	2	58	3	12	34	5	72	6	26	116	91	97	95	86	119	95	48	87	59	100	69	78	59	3	20	40	102	51	82	99	79	48	59	64	53	70	72	50	68	70					
		6.14%	4.76%	7.80%	5.35%	6.53%	5.98%	2.35%	6.28%	5.59%	6.74%	5.90%	5.63%	6.09%	6.35%	6.99%	7.29%	7.94%	6.69%	5.66%	4.79%	5.44%	3.71%	2.04%	5.04%	3.76%	6.07%	4.16%	5.87%	5.31%	6.95%	5.91%	7.05%	8.33%	5.81%	2.44%	5.71%	2.54%	5.97%	4.34%	3.91%	5.39%	3.43%	2.78%	8.12%	6.43%	6.82%	6.85%	5.57%	8.06%	6.76%	5.16%	6.63%	6.24%	7.54%	6.49%	6.39%	6.55%	2.80%	4.50%	7.37%	6.55%	6.51%	7.09%	6.85%	6.94%	5.86%	5.42%	6.85%	5.75%	5.07%	6.37%	5.05%	5.97%	5.90%					
19	. Малышкин Олег Александрович	1228	4	20	27	26	22	0	18	13	11	24	16	32	32	28	19	15	12	0	16	21	20	0	14	18	12	16	19	25	12	17	31	9	5	1	22	1	3	15	1	18	3	21	25	26	35	17	27	21	30	8	28	10	20	10	26	20	2	9	12	42	11	24	15	17	15	23	9	20	20	15	20	17	15					
		1.59%	0.71%	1.43%	1.74%	1.83%	1.40%	0.00%	1.09%	0.75%	0.77%	1.49%	1.19%	2.63%	1.88%	1.52%	1.41%	1.15%	1.02%	0.00%	2.84%	2.48%	1.58%	0.00%	1.36%	1.44%	1.19%	1.17%	1.47%	2.33%	1.11%	1.29%	2.43%	0.84%	1.26%	1.22%	2.17%	0.85%	1.49%	1.91%	0.78%	1.35%	1.71%	2.24%	1.75%	1.84%	2.46%	1.23%	1.75%	1.42%	2.13%	0.86%	2.13%	1.06%	1.51%	0.94%	2.13%	2.22%	1.87%	2.03%	2.21%	2.70%	1.40%	2.08%	1.04%	1.49%	1.83%	2.11%	0.96%	2.17%	1.45%	1.33%	2.02%	1.49%	1.26%					
20	. Миронов Сергей Михайлович	455	4	4	10	10	10	0	8	10	9	19	7	8	13	19	5	5	7	0	2	1	4	0	6	5	8	5	3	5	9	7	7	2	3	0	2	0	2	8	0	6	1	5	9	11	7	9	6	10	12	8	10	3	3	5	9	3	1	7	5	7	5	6	10	10	6	2	11	10	4	6	5	8	8					
		0.59%	0.71%	0.29%	0.64%	0.70%	0.64%	0.00%	0.48%	0.58%	0.63%	1.18%	0.52%	0.66%	0.76%	1.03%	0.37%	0.38%	0.59%	0.00%	0.35%	0.12%	0.32%	0.00%	0.58%	0.40%	0.80%	0.36%	0.23%	0.47%	0.83%	0.53%	0.55%	0.19%	0.76%	0.00%	0.20%	0.00%	1.00%	1.02%	0.00%	0.45%	0.57%	0.53%	0.63%	0.78%	0.49%	0.65%	0.39%	0.68%	0.85%	0.86%	0.76%	0.32%	0.23%	0.47%	0.74%	0.33%	0.93%	1.58%	0.92%	0.45%	0.64%	0.52%	0.69%	0.88%	0.73%	0.18%	1.18%	1.08%	0.29%	0.53%	0.50%	0.70%	0.67%					
21	. Путин Владимир Владимирович	52781	416	928	1142	955	1087	60	1152	1214	1004	1066	964	779	1119	1261	871	869	855	40	414	581	900	35	783	917	725	1032	867	720	697	909	814	706	273	54	759	91	127	516	95	973	125	736	999	972	969	894	1084	955	947	627	883	637	861	726	804	586	81	294	353	1057	540	762	943	747	493	746	633	615	987	741	658	765	791					
		68.34%	73.37%	66.38%	73.63%	67.06%	69.19%	70.59%	69.61%	69.93%	70.46%	66.17%	71.46%	64.06%	65.75%	68.31%	64.76%	66.39%	72.46%	75.47%	73.40%	68.68%	71.09%	71.43%	75.87%	73.30%	72.14%	75.27%	67.00%	67.04%	64.60%	68.86%	63.79%	66.10%	68.94%	65.85%	74.78%	77.12%	63.18%	65.82%	74.22%	72.77%	71.43%	78.63%	69.96%	68.64%	68.14%	64.46%	70.25%	64.66%	67.35%	67.35%	67.25%	67.41%	64.93%	68.30%	65.85%	65.04%	75.70%	66.22%	65.01%	67.84%	68.88%	65.92%	65.21%	65.64%	60.20%	68.57%	67.77%	66.70%	71.47%	65.52%	66.40%	67.16%	66.64%					
22	. Хакамада Ирина Муцуовна	3328	15	109	77	92	86	6	85	55	69	83	46	55	122	85	69	71	51	0	8	28	80	3	35	41	25	36	31	47	33	32	62	28	12	6	32	5	3	23	6	48	10	22	55	52	70	68	78	53	50	41	51	39	63	43	44	39	2	14	26	57	37	63	71	55	37	56	41	25	70	42	59	40	55					
		4.31%	2.65%	7.80%	4.96%	6.46%	5.47%	7.06%	5.14%	3.17%	4.84%	5.15%	3.41%	4.52%	7.17%	4.60%	5.13%	5.42%	4.32%	0.00%	1.42%	3.31%	6.32%	6.12%	3.39%	3.28%	2.49%	2.63%	2.40%	4.38%	3.06%	2.42%	4.86%	2.62%	3.03%	7.32%	3.15%	4.24%	1.49%	2.93%	4.69%	3.59%	5.71%	2.35%	3.85%	3.67%	4.92%	4.90%	5.06%	3.59%	3.56%	4.40%	3.88%	4.13%	4.75%	4.05%	3.60%	4.33%	1.87%	3.15%	4.79%	3.66%	4.72%	5.45%	4.91%	4.83%	4.52%	5.15%	4.39%	2.71%	5.07%	3.71%	5.95%	3.51%	4.63%					
23	. Харитонов Николай Михайлович	10029	75	125	118	147	147	6	213	230	177	222	166	195	210	241	196	147	92	7	78	132	153	7	100	176	129	171	222	158	161	204	176	172	53	12	93	9	32	123	11	141	15	84	145	163	160	144	159	224	161	115	179	148	197	153	190	117	11	78	77	236	115	157	221	178	164	134	126	127	137	200	139	188	160					
		12.98%	13.23%	8.94%	7.61%	10.32%	9.36%	7.06%	12.87%	13.25%	12.42%	13.78%	12.31%	16.04%	12.34%	13.06%	14.57%	11.23%	7.80%	13.21%	13.83%	15.60%	12.09%	14.29%	9.69%	14.07%	12.84%	12.47%	17.16%	14.71%	14.92%	15.45%	13.79%	16.10%	13.38%	14.63%	9.16%	7.63%	15.92%	15.69%	8.59%	10.55%	8.57%	8.97%	10.15%	11.51%	11.25%	10.38%	10.30%	15.17%	11.45%	12.35%	13.63%	15.66%	14.86%	14.39%	15.56%	12.99%	10.28%	17.57%	14.18%	15.15%	14.67%	13.58%	15.28%	15.64%	20.02%	12.32%	13.49%	13.77%	9.92%	17.68%	14.03%	16.51%	13.48%					
																																																																																
24	Против всех	4212	21	100	86	94	125	7	69	97	56	91	63	66	94	74	80	86	68	3	15	33	58	3	39	40	40	54	76	60	79	66	92	53	25	4	44	8	21	61	8	64	15	33	73	94	78	153	95	83	102	66	63	41	71	45	63	71	6	21	24	57	20	55	76	50	48	63	49	65	84	45	55	47	78					
		5.45%	3.70%	7.15%	5.54%	6.60%	7.96%	8.24%	4.17%	5.59%	3.93%	5.65%	4.67%	5.43%	5.52%	4.01%	5.95%	6.57%	5.76%	5.66%	2.66%	3.90%	4.58%	6.12%	3.78%	3.20%	3.98%	3.94%	5.87%	5.59%	7.32%	5.00%	7.21%	4.96%	6.31%	4.88%	4.33%	6.78%	10.45%	7.78%	6.25%	4.79%	8.57%	3.53%	5.11%	6.64%	5.49%	11.03%	6.16%	5.62%	7.25%	7.09%	4.80%	4.34%	5.35%	4.23%	5.16%	7.88%	5.61%	4.73%	4.42%	3.66%	2.55%	4.76%	5.26%	4.39%	5.86%	5.79%	5.25%	7.05%	6.08%	3.98%	5.55%	4.13%	6.57%					
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
