Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																						
Дата голосования: 18.09.2016																																																						
																																																						
Наименование Избирательной комиссии:    район Кунцево																																																						
																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																						
																																																						
		Сумма	УИК №2591	УИК №2592	УИК №2593	УИК №2594	УИК №2595	УИК №2596	УИК №2597	УИК №2598	УИК №2599	УИК №2600	УИК №2601	УИК №2602	УИК №2603	УИК №2604	УИК №2605	УИК №2606	УИК №2607	УИК №2608	УИК №2609	УИК №2610	УИК №2611	УИК №2612	УИК №2613	УИК №2614	УИК №2615	УИК №2616	УИК №2617	УИК №2618	УИК №2619	УИК №2620	УИК №2621	УИК №2622	УИК №2623	УИК №2624	УИК №2625	УИК №2626	УИК №2627	УИК №2628	УИК №2629	УИК №3751	УИК №3752	УИК №3753	УИК №3756									
		4.29%	4.78%	4.33%	5.03%	3.90%	5.05%	1.24%	2.43%	5.80%	6.93%	3.87%	4.52%	4.25%	5.88%	3.40%	4.44%	6.51%	4.30%	5.42%	4.40%	3.40%	3.68%	2.53%	3.92%	4.47%	3.68%	1.82%	4.24%	4.74%	5.17%	3.45%	5.28%	3.18%	5.36%	3.18%	4.46%	4.66%	5.37%	5.49%	2.22%	2.68%	2.35%	2.00%	1.75%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	521	18	7	8	12	12	14	22	16	15	20	16	17	13	12	22	10	14	11	17	16	11	7	11	4	18	6	11	10	13	16	19	12	19	10	5	10	12	16	6	6	3	2	2									
		1.75%	1.72%	2.53%	0.96%	1.38%	1.55%	1.57%	2.97%	2.90%	1.57%	2.04%	1.76%	2.00%	1.91%	1.78%	3.05%	1.41%	1.72%	1.46%	2.20%	2.02%	1.50%	1.77%	1.27%	0.69%	2.37%	0.84%	1.41%	1.35%	1.40%	1.90%	2.64%	1.47%	2.08%	1.27%	0.83%	1.46%	1.53%	2.25%	2.67%	4.03%	0.88%	4.00%	3.51%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	917	38	7	28	22	30	18	32	17	39	35	20	29	22	24	25	22	17	18	22	23	25	13	25	18	26	6	22	23	27	31	22	24	24	29	14	18	25	22	13	3	16	1	2									
		3.08%	3.63%	2.53%	3.35%	2.52%	3.88%	2.02%	4.32%	3.08%	4.09%	3.56%	2.20%	3.42%	3.24%	3.55%	3.47%	3.11%	2.09%	2.38%	2.85%	2.90%	3.41%	3.28%	2.88%	3.09%	3.42%	0.84%	2.83%	3.11%	2.91%	3.69%	3.06%	2.93%	2.63%	3.69%	2.31%	2.62%	3.20%	3.09%	5.78%	2.01%	4.69%	2.00%	3.51%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	9857	325	66	255	226	230	598	311	193	269	324	300	284	219	239	250	198	265	285	265	283	257	106	260	185	254	65	287	273	240	253	216	254	280	250	219	248	256	237	92	58	141	15	26									
		33.10%	31.07%	23.83%	30.54%	25.92%	29.75%	67.27%	42.03%	34.96%	28.23%	32.99%	33.04%	33.49%	32.21%	35.36%	34.67%	28.01%	32.56%	37.70%	34.28%	35.69%	35.06%	26.77%	29.95%	31.79%	33.38%	9.09%	36.89%	36.94%	25.83%	30.08%	30.00%	31.05%	30.63%	31.85%	36.14%	36.10%	32.74%	33.33%	40.89%	38.93%	41.35%	30.00%	45.61%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	493	10	5	14	17	21	13	7	10	8	15	15	20	8	15	9	12	10	8	4	20	8	6	16	16	15	6	15	13	21	16	11	16	17	19	12	13	7	14	6	1	3	1	0									
		1.66%	0.96%	1.81%	1.68%	1.95%	2.72%	1.46%	0.95%	1.81%	0.84%	1.53%	1.65%	2.36%	1.18%	2.22%	1.25%	1.70%	1.23%	1.06%	0.52%	2.52%	1.09%	1.52%	1.84%	2.75%	1.97%	0.84%	1.93%	1.76%	2.26%	1.90%	1.53%	1.96%	1.86%	2.42%	1.98%	1.89%	0.90%	1.97%	2.67%	0.67%	0.88%	2.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	71	1	0	1	3	1	4	1	2	3	3	3	1	0	0	1	1	4	3	2	1	3	0	1	0	4	1	1	2	4	0	1	3	2	2	0	1	3	1	2	2	3	0	0									
		0.24%	0.10%	0.00%	0.12%	0.34%	0.13%	0.45%	0.14%	0.36%	0.31%	0.31%	0.33%	0.12%	0.00%	0.00%	0.14%	0.14%	0.49%	0.40%	0.26%	0.13%	0.41%	0.00%	0.12%	0.00%	0.53%	0.14%	0.13%	0.27%	0.43%	0.00%	0.14%	0.37%	0.22%	0.25%	0.00%	0.15%	0.38%	0.14%	0.89%	1.34%	0.88%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3709	102	45	106	55	91	58	122	106	124	93	133	105	82	115	98	90	112	106	132	118	125	70	107	83	112	40	128	111	73	88	99	91	87	84	58	84	103	77	30	19	28	12	7									
		12.45%	9.75%	16.25%	12.69%	6.31%	11.77%	6.52%	16.49%	19.20%	13.01%	9.47%	14.65%	12.38%	12.06%	17.01%	13.59%	12.73%	13.76%	14.02%	17.08%	14.88%	17.05%	17.68%	12.33%	14.26%	14.72%	5.59%	16.45%	15.02%	7.86%	10.46%	13.75%	11.12%	9.52%	10.70%	9.57%	12.23%	13.17%	10.83%	13.33%	12.75%	8.21%	24.00%	12.28%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	833	41	8	28	27	24	16	10	8	9	31	29	33	15	21	20	21	16	21	19	13	18	16	31	17	20	3	15	21	37	29	19	26	33	27	23	24	33	23	3	3	1	0	1									
		2.80%	3.92%	2.89%	3.35%	3.10%	3.10%	1.80%	1.35%	1.45%	0.94%	3.16%	3.19%	3.89%	2.21%	3.11%	2.77%	2.97%	1.97%	2.78%	2.46%	1.64%	2.46%	4.04%	3.57%	2.92%	2.63%	0.42%	1.93%	2.84%	3.98%	3.45%	2.64%	3.18%	3.61%	3.44%	3.80%	3.49%	4.22%	3.23%	1.33%	2.01%	0.29%	0.00%	1.75%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	1229	64	13	44	51	35	17	14	20	51	52	45	41	17	19	27	35	24	29	14	30	21	9	40	20	23	16	27	23	59	49	27	20	46	26	42	37	39	31	10	3	15	3	1									
		4.13%	6.12%	4.69%	5.27%	5.85%	4.53%	1.91%	1.89%	3.62%	5.35%	5.30%	4.96%	4.83%	2.50%	2.81%	3.74%	4.95%	2.95%	3.84%	1.81%	3.78%	2.86%	2.27%	4.61%	3.44%	3.02%	2.24%	3.47%	3.11%	6.35%	5.83%	3.75%	2.44%	5.03%	3.31%	6.93%	5.39%	4.99%	4.36%	4.44%	2.01%	4.40%	6.00%	1.75%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	80	2	0	1	4	5	5	2	3	1	3	3	4	1	3	2	1	0	0	3	0	1	2	2	1	3	0	2	3	4	4	2	1	2	0	2	1	1	4	2	0	0	0	0									
		0.27%	0.19%	0.00%	0.12%	0.46%	0.65%	0.56%	0.27%	0.54%	0.10%	0.31%	0.33%	0.47%	0.15%	0.44%	0.28%	0.14%	0.00%	0.00%	0.39%	0.00%	0.14%	0.51%	0.23%	0.17%	0.39%	0.00%	0.26%	0.41%	0.43%	0.48%	0.28%	0.12%	0.22%	0.00%	0.33%	0.15%	0.13%	0.56%	0.89%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	3187	100	33	116	119	95	30	58	33	72	119	112	86	53	50	53	94	101	70	59	56	68	37	124	68	84	24	85	69	180	107	85	108	153	136	69	83	82	78	11	7	16	0	4									
		10.70%	9.56%	11.91%	13.89%	13.65%	12.29%	3.37%	7.84%	5.98%	7.56%	12.12%	12.33%	10.14%	7.79%	7.40%	7.35%	13.30%	12.41%	9.26%	7.63%	7.06%	9.28%	9.34%	14.29%	11.68%	11.04%	3.36%	10.93%	9.34%	19.38%	12.72%	11.81%	13.20%	16.74%	17.32%	11.39%	12.08%	10.49%	10.97%	4.89%	4.70%	4.69%	0.00%	7.02%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4429	214	45	115	223	105	59	92	63	201	196	140	129	121	98	113	105	111	107	97	120	99	66	127	81	106	21	98	109	132	125	84	144	123	117	78	83	116	102	30	27	86	11	10									
		14.87%	20.46%	16.25%	13.77%	25.57%	13.58%	6.64%	12.43%	11.41%	21.09%	19.96%	15.42%	15.21%	17.79%	14.50%	15.67%	14.85%	13.64%	14.15%	12.55%	15.13%	13.51%	16.67%	14.63%	13.92%	13.93%	2.94%	12.60%	14.75%	14.21%	14.86%	11.67%	17.60%	13.46%	14.90%	12.87%	12.08%	14.83%	14.35%	13.33%	18.12%	25.22%	22.00%	17.54%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	146	8	0	2	1	3	5	2	2	13	13	3	3	3	2	6	1	2	5	3	4	2	3	6	4	1	0	3	3	8	4	4	1	9	4	1	3	1	4	0	1	2	1	0									
		0.49%	0.76%	0.00%	0.24%	0.11%	0.39%	0.56%	0.27%	0.36%	1.36%	1.32%	0.33%	0.35%	0.44%	0.30%	0.83%	0.14%	0.25%	0.66%	0.39%	0.50%	0.27%	0.76%	0.69%	0.69%	0.13%	0.00%	0.39%	0.41%	0.86%	0.48%	0.56%	0.12%	0.98%	0.51%	0.17%	0.44%	0.13%	0.56%	0.00%	0.67%	0.59%	2.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2048	64	27	63	63	68	19	37	34	68	26	41	44	78	46	52	61	91	40	90	62	52	43	69	46	53	11	32	31	74	73	85	84	51	40	45	41	49	53	9	13	16	3	1									
		6.88%	6.12%	9.75%	7.54%	7.22%	8.80%	2.14%	5.00%	6.16%	7.14%	2.65%	4.52%	5.19%	11.47%	6.80%	7.21%	8.63%	11.18%	5.29%	11.64%	7.82%	7.09%	10.86%	7.95%	7.90%	6.96%	1.54%	4.11%	4.19%	7.97%	8.68%	11.81%	10.27%	5.58%	5.10%	7.43%	5.97%	6.27%	7.45%	4.00%	8.72%	4.69%	6.00%	1.75%									
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
