Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																											
Дата голосования: 02.12.2007																																																																											
																																																																											
Наименование Избирательной комиссии:    Павловская																																																																											
																																																																											
Сводная таблица результатов выборов																																																																											
																																																																											
		Сумма	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878	УИК №1879	УИК №1880	УИК №1881	УИК №1882	УИК №1883	УИК №1884	УИК №1885	УИК №1886	УИК №1887	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1898	УИК №1899	УИК №1900	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	975	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	0	15	10	10	10	10	10	10	10	10	10	20	20	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	423	4	14	13	12	14	16	9	8	0	13	8	6	10	8	7	5	16	14	9	7	16	15	13	5	13	7	10	0	11	8	7	4	1	10	10	7	5	0	13	14	4	1	0	1	0	4	4	1	0	1	0	3	0	3	0	3	3	5	0	0	10	5	2	0	1	0	2	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	362	4	6	13	18	2	12	2	5	4	2	2	11	3	4	6	7	4	6	18	11	5	2	8	3	10	7	11	11	4	4	9	0	8	3	3	11	1	5	19	1	7	1	2	1	1	9	3	3	0	2	2	3	1	2	1	3	3	8	2	2	4	3	2	3	0	4	10	15					
14	Число погашенных неиспользованных открепительных удостоверений	552	16	6	7	8	6	4	11	12	20	7	12	14	10	12	13	15	4	6	11	13	4	5	7	15	7	13	10	0	4	2	3	6	9	0	0	3	5	10	7	6	6	9	10	9	10	6	6	9	10	9	10	7	10	7	10	7	7	5	10	10	0	5	8	10	9	10	8	12					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																											
18	1.Политическая партия «Аграрная партия России»	1137	9	20	12	22	24	25	17	27	8	28	28	23	15	17	23	16	26	33	30	24	19	16	31	29	25	14	39	7	8	11	10	9	17	12	4	33	72	6	16	21	7	7	5	6	1	25	13	9	6	11	1	19	0	13	4	18	21	36	9	3	27	11	8	1	7	25	3	15					
		2.32%	0.90%	1.65%	1.21%	1.52%	1.64%	1.92%	1.56%	2.27%	1.46%	1.85%	2.45%	2.36%	1.58%	2.57%	2.89%	2.35%	1.93%	3.12%	2.57%	2.25%	1.48%	1.29%	2.65%	2.60%	1.89%	2.22%	3.86%	1.84%	1.16%	1.77%	1.59%	1.26%	2.32%	1.42%	0.59%	4.64%	13.31%	6.98%	1.22%	2.95%	0.93%	4.90%	1.86%	5.22%	1.05%	3.10%	4.26%	2.81%	5.22%	8.15%	0.62%	2.55%	0.00%	1.91%	3.20%	3.56%	2.51%	4.97%	2.92%	3.37%	3.21%	1.38%	2.52%	2.08%	3.48%	17.24%	1.19%	1.48%					
19	2.Всероссийская политическая партия «Гражданская Сила»	440	8	5	9	13	13	14	9	11	7	11	21	9	11	14	7	7	16	12	13	8	17	18	12	13	15	10	13	2	3	7	3	3	4	5	5	3	2	2	11	1	3	1	1	0	2	6	0	2	0	0	1	3	0	3	0	3	3	6	0	0	9	6	2	0	6	0	5	11					
		0.90%	0.80%	0.41%	0.90%	0.90%	0.89%	1.07%	0.83%	0.93%	1.28%	0.73%	1.84%	0.92%	1.16%	2.11%	0.88%	1.03%	1.19%	1.14%	1.11%	0.75%	1.32%	1.45%	1.03%	1.16%	1.13%	1.59%	1.29%	0.52%	0.43%	1.12%	0.48%	0.42%	0.55%	0.59%	0.74%	0.42%	0.37%	2.33%	0.84%	0.14%	0.40%	0.70%	0.37%	0.00%	2.11%	0.74%	0.00%	0.63%	0.00%	0.00%	0.62%	0.40%	0.00%	0.44%	0.00%	0.59%	0.36%	0.83%	0.00%	0.00%	1.07%	0.75%	0.63%	0.00%	2.99%	0.00%	1.98%	1.09%					
20	3.Политическая партия «Демократическая партия России»	60	0	1	0	2	5	1	1	0	2	0	1	2	0	2	2	0	3	2	3	4	4	1	0	1	0	0	3	0	2	0	1	0	2	1	1	0	0	0	1	1	2	1	0	0	0	1	1	0	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0					
		0.12%	0.00%	0.08%	0.00%	0.14%	0.34%	0.08%	0.09%	0.00%	0.36%	0.00%	0.09%	0.21%	0.00%	0.30%	0.25%	0.00%	0.22%	0.19%	0.26%	0.38%	0.31%	0.08%	0.00%	0.09%	0.00%	0.00%	0.30%	0.00%	0.29%	0.00%	0.16%	0.00%	0.27%	0.12%	0.15%	0.00%	0.00%	0.00%	0.08%	0.14%	0.26%	0.70%	0.00%	0.00%	0.00%	0.12%	0.33%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.15%	0.00%	0.00%	0.12%	0.00%	0.32%	0.00%	0.00%	0.13%	0.00%	0.00%	0.50%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	5993	110	129	79	172	168	168	237	200	56	184	157	132	104	78	128	106	249	134	217	171	158	134	122	128	197	96	145	40	73	64	84	83	91	97	85	88	35	11	172	69	94	6	27	21	16	48	47	33	10	7	26	35	19	40	8	47	94	78	41	34	66	72	27	3	18	7	14	104					
		12.24%	11.03%	10.63%	7.94%	11.92%	11.51%	12.88%	21.80%	16.85%	10.20%	12.18%	13.72%	13.55%	10.98%	11.78%	16.06%	15.59%	18.53%	12.68%	18.56%	16.06%	12.28%	10.82%	10.45%	11.46%	14.87%	15.24%	14.36%	10.50%	10.55%	10.27%	13.40%	11.66%	12.43%	11.44%	12.63%	12.38%	6.47%	12.79%	13.07%	9.69%	12.43%	4.20%	10.04%	18.26%	16.84%	5.95%	15.41%	10.31%	8.70%	5.19%	16.05%	4.70%	23.75%	5.89%	6.40%	9.31%	11.23%	10.76%	13.31%	38.20%	7.84%	9.06%	8.49%	6.25%	8.96%	4.83%	5.56%	10.27%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	197	6	5	3	10	4	4	4	5	2	4	2	5	2	9	3	3	13	2	3	4	6	7	4	6	11	1	11	2	3	5	2	1	0	6	2	1	4	0	5	0	1	1	0	0	0	4	1	0	0	0	0	2	0	1	0	0	2	2	0	0	1	5	1	0	0	1	1	4					
		0.40%	0.60%	0.41%	0.30%	0.69%	0.27%	0.31%	0.37%	0.42%	0.36%	0.26%	0.17%	0.51%	0.21%	1.36%	0.38%	0.44%	0.97%	0.19%	0.26%	0.38%	0.47%	0.57%	0.34%	0.54%	0.83%	0.16%	1.09%	0.52%	0.43%	0.80%	0.32%	0.14%	0.00%	0.71%	0.30%	0.14%	0.74%	0.00%	0.38%	0.00%	0.13%	0.70%	0.00%	0.00%	0.00%	0.50%	0.33%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.15%	0.00%	0.00%	0.24%	0.28%	0.00%	0.00%	0.12%	0.63%	0.31%	0.00%	0.00%	0.69%	0.40%	0.39%					
23	6.Политическая партия «Партия социальной справедливости»	130	3	2	4	3	6	4	3	1	2	2	5	4	6	2	3	5	2	4	7	4	4	4	2	3	5	2	0	0	0	0	1	4	2	1	3	0	0	0	4	3	6	1	0	0	1	0	1	0	0	0	0	0	0	2	0	0	3	0	0	0	0	1	1	0	0	0	1	3					
		0.27%	0.30%	0.16%	0.40%	0.21%	0.41%	0.31%	0.28%	0.08%	0.36%	0.13%	0.44%	0.41%	0.63%	0.30%	0.38%	0.74%	0.15%	0.38%	0.60%	0.38%	0.31%	0.32%	0.17%	0.27%	0.38%	0.32%	0.00%	0.00%	0.00%	0.00%	0.16%	0.56%	0.27%	0.12%	0.45%	0.00%	0.00%	0.00%	0.30%	0.42%	0.79%	0.70%	0.00%	0.00%	1.05%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.13%	0.31%	0.00%	0.00%	0.00%	0.40%	0.30%					
24	7.Политическая партия «Либерально-демократическая партия России»	4574	95	146	135	138	140	121	85	108	58	153	106	96	101	76	71	58	114	111	98	124	138	141	145	103	121	61	83	45	69	53	55	64	61	74	56	66	52	6	117	57	57	21	20	5	8	76	30	26	9	13	5	48	7	66	13	32	72	44	24	5	85	55	24	5	14	8	14	87					
		9.35%	9.53%	12.03%	13.57%	9.56%	9.59%	9.28%	7.82%	9.10%	10.56%	10.13%	9.27%	9.86%	10.67%	11.48%	8.91%	8.53%	8.48%	10.50%	8.38%	11.64%	10.72%	11.39%	12.41%	9.22%	9.13%	9.68%	8.22%	11.81%	9.97%	8.51%	8.77%	8.99%	8.33%	8.73%	8.32%	9.28%	9.61%	6.98%	8.89%	8.01%	7.54%	14.69%	7.43%	4.35%	8.42%	9.42%	9.84%	8.13%	7.83%	9.63%	3.09%	6.45%	8.75%	9.72%	10.40%	6.34%	8.60%	6.07%	7.79%	5.62%	10.10%	6.92%	7.55%	10.42%	6.97%	5.52%	5.56%	8.59%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	5580	160	158	115	200	262	158	154	183	57	177	147	104	107	78	99	74	164	146	134	141	163	125	152	129	135	83	134	33	73	63	76	90	73	90	65	46	45	6	172	63	84	19	23	5	1	67	15	15	6	4	5	59	4	47	8	37	64	78	24	6	95	72	23	3	7	7	25	143					
		11.40%	16.05%	13.01%	11.56%	13.86%	17.95%	12.12%	14.17%	15.42%	10.38%	11.71%	12.85%	10.68%	11.30%	11.78%	12.42%	10.88%	12.20%	13.81%	11.46%	13.24%	12.67%	10.10%	13.01%	11.55%	10.19%	13.17%	13.27%	8.66%	10.55%	10.11%	12.12%	12.64%	9.97%	10.61%	9.66%	6.47%	8.32%	6.98%	13.07%	8.85%	11.11%	13.29%	8.55%	4.35%	1.05%	8.30%	4.92%	4.69%	5.22%	2.96%	3.09%	7.93%	5.00%	6.92%	6.40%	7.33%	7.65%	10.76%	7.79%	6.74%	11.28%	9.06%	7.23%	6.25%	3.48%	4.83%	9.92%	14.12%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	414	1	7	7	8	11	4	15	8	4	13	10	2	7	21	17	4	19	7	6	12	25	17	20	17	17	4	13	2	0	2	2	2	2	7	5	5	1	1	8	8	8	2	2	3	1	3	0	3	0	0	2	3	0	7	2	0	3	0	3	2	8	6	2	1	1	1	1	9					
		0.85%	0.10%	0.58%	0.70%	0.55%	0.75%	0.31%	1.38%	0.67%	0.73%	0.86%	0.87%	0.21%	0.74%	3.17%	2.13%	0.59%	1.41%	0.66%	0.51%	1.13%	1.94%	1.37%	1.71%	1.52%	1.28%	0.63%	1.29%	0.52%	0.00%	0.32%	0.32%	0.28%	0.27%	0.83%	0.74%	0.70%	0.18%	1.16%	0.61%	1.12%	1.06%	1.40%	0.74%	2.61%	1.05%	0.37%	0.00%	0.94%	0.00%	0.00%	1.23%	0.40%	0.00%	1.03%	1.60%	0.00%	0.36%	0.00%	0.97%	2.25%	0.95%	0.75%	0.63%	2.08%	0.50%	0.69%	0.40%	0.89%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	29584	590	733	619	838	804	781	543	609	338	914	647	583	568	342	426	389	709	578	637	552	732	757	657	661	775	343	551	248	446	406	390	446	466	545	442	451	319	54	794	479	489	81	186	72	65	568	192	229	81	99	122	559	49	487	86	367	565	471	205	39	540	555	228	35	143	94	186	629					
		60.45%	59.18%	60.38%	62.21%	58.07%	55.07%	59.89%	49.95%	51.31%	61.57%	60.49%	56.56%	59.86%	59.98%	51.66%	53.45%	57.21%	52.75%	54.68%	54.49%	51.83%	56.88%	61.15%	56.25%	59.18%	58.49%	54.44%	54.55%	65.09%	64.45%	65.17%	62.20%	62.64%	63.66%	64.27%	65.68%	63.43%	58.96%	62.79%	60.33%	67.28%	64.68%	56.64%	69.14%	62.61%	68.42%	70.38%	62.95%	71.56%	70.43%	73.33%	75.31%	75.13%	61.25%	71.72%	68.80%	72.67%	67.50%	64.97%	66.56%	43.82%	64.13%	69.81%	71.70%	72.92%	71.14%	64.83%	73.81%	62.09%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	358	5	4	5	16	14	12	8	13	4	14	7	5	8	14	12	9	15	13	12	10	10	7	13	14	8	12	14	1	8	6	2	4	4	5	0	3	4	0	1	4	2	0	0	1	0	6	1	2	3	1	0	3	0	5	1	0	1	0	0	0	2	4	0	0	1	1	0	4					
		0.73%	0.50%	0.33%	0.50%	1.11%	0.96%	0.92%	0.74%	1.10%	0.73%	0.93%	0.61%	0.51%	0.84%	2.11%	1.51%	1.32%	1.12%	1.23%	1.03%	0.94%	0.78%	0.57%	1.11%	1.25%	0.60%	1.90%	1.39%	0.26%	1.16%	0.96%	0.32%	0.56%	0.55%	0.59%	0.00%	0.42%	0.74%	0.00%	0.08%	0.56%	0.26%	0.00%	0.00%	0.87%	0.00%	0.74%	0.33%	0.63%	2.61%	0.74%	0.00%	0.40%	0.00%	0.74%	0.80%	0.00%	0.12%	0.00%	0.00%	0.00%	0.24%	0.50%	0.00%	0.00%	0.50%	0.69%	0.00%	0.39%					
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
