Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва															
Дата голосования: 07.12.2003 0:00:00															
															
Наименование Избирательной комиссии:    Бородинская городская															
															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)															
															
		Сумма	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69					
		0.18%	0.10%	0.22%	0.32%	0.33%	0.11%	0.14%	0.12%	0.14%					
35	"18. ""ЛДПР"""	935	169	139	112	128	111	97	77	102					
		14.79%	18.30%	15.83%	17.92%	14.44%	13.07%	14.05%	9.96%	14.67%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	60	15	9	5	7	10	7	3	4					
		0.94%	1.62%	1.02%	0.8%	0.79%	1.17%	1.01%	0.38%	0.57%					
37	"20. ""Политическая партия ""Единая Россия"""	1423	205	226	165	209	150	140	173	155					
		22.51%	22.21%	25.74%	26.4%	23.58%	17.66%	20.28%	22.38%	22.30%					
38	"21. ""Российская Конституционно-демократическая партия"""	7	2	0	2	1	0	0	2	0					
		0.11%	0.21%	0.0%	0.32%	0.11%	0.0%	0.0%	0.25%	0.0%					
39	"22. ""Развитие предпринимательства"""	20	6	3	2	1	0	2	2	4					
		0.31%	0.65%	0.34%	0.32%	0.11%	0.0%	0.28%	0.25%	0.57%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1169	135	124	81	163	185	144	181	156					
		18.49%	14.62%	14.12%	12.96%	18.39%	21.79%	20.86%	23.41%	22.44%					
															
41	Против всех	401	63	48	48	59	57	53	40	33					
		6.34%	6.82%	5.46%	7.68%	6.65%	6.71%	7.68%	5.17%	4.74%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
