Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																														
Дата голосования: 18.09.2016																																																														
																																																														
Наименование Избирательной комиссии:    Новоусманская																																																														
																																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																																														
																																																														
		Сумма	УИК №2301	УИК №2302	УИК №2303	УИК №2304	УИК №2305	УИК №2306	УИК №2307	УИК №2308	УИК №2309	УИК №2310	УИК №2311	УИК №2312	УИК №2313	УИК №2314	УИК №2315	УИК №2316	УИК №2317	УИК №2318	УИК №2319	УИК №2320	УИК №2321	УИК №2322	УИК №2323	УИК №2324	УИК №2325	УИК №2326	УИК №2327	УИК №2328	УИК №2329	УИК №2330	УИК №2331	УИК №2332	УИК №2333	УИК №2334	УИК №2335	УИК №2336	УИК №2337	УИК №2338	УИК №2339	УИК №2340	УИК №2341	УИК №2342	УИК №2343	УИК №2344	УИК №2345	УИК №2346	УИК №2347	УИК №2348	УИК №2349	УИК №2350	УИК №2351									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	635	15	20	15	20	15	12	15	12	15	10	20	15	12	15	10	12	12	12	20	15	10	10	10	15	5	10	12	15	6	5	10	10	10	10	10	5	34	10	5	10	10	10	10	10	10	15	15	12	15	12	12									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	316	10	5	6	8	4	8	15	4	8	4	8	10	5	5	3	3	7	12	20	0	8	10	10	15	5	0	4	12	2	1	1	0	3	0	0	3	33	10	1	5	1	1	1	2	10	15	6	3	3	1	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	173	5	7	7	4	0	3	7	1	5	4	4	6	8	3	3	1	2	3	8	10	6	3	1	0	2	2	2	2	1	0	2	0	0	6	3	2	0	0	5	2	4	2	5	11	5	1	4	0	5	2	4									
14	Число погашенных неиспользованных открепительных удостоверений	319	5	15	9	12	11	4	0	8	7	6	12	5	7	10	7	9	5	0	0	15	2	0	0	0	0	10	8	3	4	4	9	10	7	10	10	2	1	0	4	5	9	9	9	8	0	0	9	9	12	11	7									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	95	8	5	6	3	2	9	3	0	2	1	1	5	1	0	1	2	2	2	4	1	0	1	0	3	0	3	3	4	1	1	0	0	0	0	0	0	4	0	1	1	2	0	0	0	2	4	0	0	1	2	4									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	401	12	15	19	12	29	15	12	13	7	1	5	16	8	12	7	5	3	2	27	18	8	6	7	6	0	2	7	4	6	6	5	0	3	2	1	0	3	3	0	3	5	0	7	12	5	6	9	24	4	10	9									
		0.94%	1.37%	0.84%	1.81%	0.69%	2.53%	1.98%	1.03%	1.20%	0.81%	0.30%	0.56%	2.45%	0.84%	0.86%	0.96%	1.27%	0.67%	0.30%	1.49%	1.94%	1.43%	0.66%	0.81%	0.67%	0.00%	0.44%	0.69%	0.36%	1.52%	3.00%	0.77%	0.00%	0.53%	0.27%	0.12%	0.00%	0.28%	0.50%	0.00%	0.46%	0.93%	0.00%	1.13%	1.67%	0.71%	1.26%	0.73%	1.88%	0.26%	0.90%	0.77%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	738	23	17	19	17	53	23	9	10	15	9	10	19	15	31	17	9	8	25	39	21	6	14	11	17	4	20	29	27	7	9	4	3	10	10	14	3	2	9	3	10	5	0	4	17	11	20	15	15	20	16	14									
		1.73%	2.62%	0.95%	1.81%	0.98%	4.63%	3.03%	0.77%	0.92%	1.73%	2.69%	1.12%	2.91%	1.57%	2.23%	2.32%	2.29%	1.78%	3.74%	2.15%	2.26%	1.08%	1.55%	1.27%	1.89%	1.85%	4.42%	2.85%	2.45%	1.78%	4.50%	0.62%	0.43%	1.76%	1.35%	1.69%	1.30%	0.18%	1.49%	0.80%	1.54%	0.93%	0.00%	0.65%	2.37%	1.57%	4.20%	1.22%	1.18%	1.29%	1.43%	1.19%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	519	11	13	18	11	50	12	9	5	8	8	7	37	9	10	12	5	7	8	13	10	4	5	7	7	2	4	15	5	5	2	4	2	12	4	2	4	7	16	1	15	3	4	2	12	12	8	54	1	4	21	12									
		1.21%	1.25%	0.73%	1.72%	0.63%	4.37%	1.58%	0.77%	0.46%	0.92%	2.40%	0.79%	5.66%	0.94%	0.72%	1.64%	1.27%	1.56%	1.20%	0.72%	1.08%	0.72%	0.55%	0.81%	0.78%	0.93%	0.88%	1.47%	0.45%	1.27%	1.00%	0.62%	0.29%	2.11%	0.54%	0.24%	1.74%	0.65%	2.64%	0.27%	2.31%	0.56%	0.68%	0.32%	1.67%	1.71%	1.68%	4.38%	0.08%	0.26%	1.88%	1.02%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	26734	426	793	559	1207	484	424	721	765	494	166	575	264	445	898	516	202	234	336	1165	565	378	599	581	588	148	316	679	789	269	96	493	609	450	554	668	186	720	436	240	398	332	483	430	357	401	262	672	850	1128	536	847									
		62.58%	48.57%	44.33%	53.34%	69.33%	42.27%	55.86%	61.99%	70.51%	56.85%	49.70%	64.53%	40.37%	46.45%	64.65%	70.49%	51.40%	52.12%	50.22%	64.15%	60.88%	67.74%	66.11%	66.94%	65.33%	68.52%	69.76%	66.70%	71.60%	68.27%	48.00%	75.96%	87.88%	79.23%	74.66%	80.48%	80.87%	66.42%	72.07%	64.17%	61.23%	61.82%	82.42%	69.47%	49.72%	57.29%	55.04%	54.50%	66.61%	72.59%	48.07%	72.09%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	234	8	6	9	8	20	6	4	4	3	0	2	3	2	1	1	0	2	2	13	5	6	6	2	4	1	3	2	15	3	0	4	1	3	2	3	0	3	7	1	2	0	3	1	4	3	2	22	7	5	17	3									
		0.55%	0.91%	0.34%	0.86%	0.46%	1.75%	0.79%	0.34%	0.37%	0.35%	0.00%	0.22%	0.46%	0.21%	0.07%	0.14%	0.00%	0.45%	0.30%	0.72%	0.54%	1.08%	0.66%	0.23%	0.44%	0.46%	0.66%	0.20%	1.36%	0.76%	0.00%	0.62%	0.14%	0.53%	0.27%	0.36%	0.00%	0.28%	1.16%	0.27%	0.31%	0.00%	0.51%	0.16%	0.56%	0.43%	0.42%	1.78%	0.55%	0.32%	1.52%	0.26%									
24	"6. Политическая партия ""Гражданская Платформа"""	87	1	0	7	3	17	3	0	1	2	0	0	0	1	0	1	0	3	1	0	2	0	2	1	0	0	1	1	0	1	0	0	0	1	1	2	0	1	3	0	1	0	2	0	1	0	1	14	0	0	12	0									
		0.20%	0.11%	0.00%	0.67%	0.17%	1.48%	0.40%	0.00%	0.09%	0.23%	0.00%	0.00%	0.00%	0.10%	0.00%	0.14%	0.00%	0.67%	0.15%	0.00%	0.22%	0.00%	0.22%	0.12%	0.00%	0.00%	0.22%	0.10%	0.00%	0.25%	0.00%	0.00%	0.00%	0.18%	0.13%	0.24%	0.00%	0.09%	0.50%	0.00%	0.15%	0.00%	0.34%	0.00%	0.14%	0.00%	0.21%	1.14%	0.00%	0.00%	1.08%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4436	90	301	134	127	143	73	121	53	94	45	69	97	178	102	36	51	74	112	189	97	53	116	113	111	28	31	97	54	26	21	69	29	12	54	43	11	68	34	19	52	96	18	56	86	118	80	103	165	184	224	79									
		10.38%	10.26%	16.83%	12.79%	7.29%	12.49%	9.62%	10.40%	4.88%	10.82%	13.47%	7.74%	14.83%	18.58%	7.34%	4.92%	12.98%	16.48%	16.74%	10.41%	10.45%	9.50%	12.80%	13.02%	12.33%	12.96%	6.84%	9.53%	4.90%	6.60%	10.50%	10.63%	4.18%	2.11%	7.28%	5.18%	4.78%	6.27%	5.62%	5.08%	8.00%	17.88%	3.07%	9.05%	11.98%	16.86%	16.81%	8.35%	12.93%	11.84%	20.09%	6.72%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	175	6	4	13	8	14	3	5	4	5	3	1	3	5	7	2	1	5	3	7	11	1	1	0	6	0	1	2	0	0	0	0	0	2	2	0	2	1	3	0	1	2	0	0	1	5	3	8	2	0	18	4									
		0.41%	0.68%	0.22%	1.24%	0.46%	1.22%	0.40%	0.43%	0.37%	0.58%	0.90%	0.11%	0.46%	0.52%	0.50%	0.27%	0.25%	1.11%	0.45%	0.39%	1.19%	0.18%	0.11%	0.00%	0.67%	0.00%	0.22%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.27%	0.00%	0.87%	0.09%	0.50%	0.00%	0.15%	0.37%	0.00%	0.00%	0.14%	0.71%	0.63%	0.65%	0.16%	0.00%	1.61%	0.34%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	274	7	6	10	13	24	14	4	6	3	2	5	6	7	4	1	3	2	7	10	17	7	3	1	4	2	5	2	4	0	1	2	1	0	1	0	1	3	1	2	0	1	1	2	4	5	1	48	3	0	13	5									
		0.64%	0.80%	0.34%	0.95%	0.75%	2.10%	1.84%	0.34%	0.55%	0.35%	0.60%	0.56%	0.92%	0.73%	0.29%	0.14%	0.76%	0.45%	1.05%	0.55%	1.83%	1.25%	0.33%	0.12%	0.44%	0.93%	1.10%	0.20%	0.36%	0.00%	0.50%	0.31%	0.14%	0.00%	0.13%	0.00%	0.43%	0.28%	0.17%	0.53%	0.00%	0.19%	0.17%	0.32%	0.56%	0.71%	0.21%	3.89%	0.24%	0.00%	1.17%	0.43%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	126	2	2	7	2	58	1	0	1	0	0	0	1	1	2	0	3	0	1	0	0	2	0	0	1	0	0	0	0	0	0	1	0	2	1	0	0	1	0	0	0	0	2	0	0	0	0	20	1	2	11	1									
		0.29%	0.23%	0.11%	0.67%	0.11%	5.07%	0.13%	0.00%	0.09%	0.00%	0.00%	0.00%	0.15%	0.10%	0.14%	0.00%	0.76%	0.00%	0.15%	0.00%	0.00%	0.36%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.35%	0.13%	0.00%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	1.62%	0.08%	0.13%	0.99%	0.09%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	331	9	5	8	4	85	11	12	5	9	3	9	4	7	2	5	7	4	2	15	6	2	5	5	3	1	0	4	5	0	4	1	3	2	1	2	0	8	0	1	0	5	2	3	3	2	1	16	5	5	23	7									
		0.77%	1.03%	0.28%	0.76%	0.23%	7.42%	1.45%	1.03%	0.46%	1.04%	0.90%	1.01%	0.61%	0.73%	0.14%	0.68%	1.78%	0.89%	0.30%	0.83%	0.65%	0.36%	0.55%	0.58%	0.33%	0.46%	0.00%	0.39%	0.45%	0.00%	2.00%	0.15%	0.43%	0.35%	0.13%	0.24%	0.00%	0.74%	0.00%	0.27%	0.00%	0.93%	0.34%	0.48%	0.42%	0.29%	0.21%	1.30%	0.39%	0.32%	2.06%	0.60%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	5722	215	305	170	293	116	135	172	151	163	80	141	117	192	232	84	86	73	118	229	136	51	79	72	90	11	34	123	155	70	57	29	11	29	67	52	20	151	58	80	127	61	25	71	125	76	64	200	128	173	139	86									
		13.39%	24.52%	17.05%	16.22%	16.83%	10.13%	17.79%	14.79%	13.92%	18.76%	23.95%	15.82%	17.89%	20.04%	16.70%	11.48%	21.88%	16.26%	17.64%	12.61%	14.66%	9.14%	8.72%	8.29%	10.00%	5.09%	7.51%	12.08%	14.07%	17.77%	28.50%	4.47%	1.59%	5.11%	9.03%	6.27%	8.70%	13.93%	9.59%	21.39%	19.54%	11.36%	4.27%	11.47%	17.41%	10.86%	13.45%	16.22%	10.03%	11.13%	12.47%	7.32%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	200	8	4	10	15	15	7	3	7	3	1	3	3	5	3	2	0	3	5	13	2	4	2	4	3	1	0	4	4	2	0	1	1	2	8	1	0	3	1	1	1	0	3	1	12	3	1	8	0	2	9	6									
		0.47%	0.91%	0.22%	0.95%	0.86%	1.31%	0.92%	0.26%	0.65%	0.35%	0.30%	0.34%	0.46%	0.52%	0.22%	0.27%	0.00%	0.67%	0.75%	0.72%	0.22%	0.72%	0.22%	0.46%	0.33%	0.46%	0.00%	0.39%	0.36%	0.51%	0.00%	0.15%	0.14%	0.35%	1.08%	0.12%	0.00%	0.28%	0.17%	0.27%	0.15%	0.00%	0.51%	0.16%	1.67%	0.43%	0.21%	0.65%	0.00%	0.13%	0.81%	0.51%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2228	42	299	49	12	24	19	70	49	43	14	51	64	80	70	42	17	23	39	65	25	28	60	57	55	14	36	45	28	4	2	35	31	36	23	42	2	99	30	26	34	21	37	36	81	52	14	32	5	15	58	93									
		5.22%	4.79%	16.71%	4.68%	0.69%	2.10%	2.50%	6.02%	4.52%	4.95%	4.19%	5.72%	9.79%	8.35%	5.04%	5.74%	4.33%	5.12%	5.83%	3.58%	2.69%	5.02%	6.62%	6.57%	6.11%	6.48%	7.95%	4.42%	2.54%	1.02%	1.00%	5.39%	4.47%	6.34%	3.10%	5.06%	0.87%	9.13%	4.96%	6.95%	5.23%	3.91%	6.31%	5.82%	11.28%	7.43%	2.94%	2.60%	0.39%	0.97%	5.20%	7.91%									
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
