Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																															
Дата голосования: 18.09.2016																															
																															
Наименование Избирательной комиссии:    Куйбышевская																															
																															
Сводная таблица итогов голосования по федеральному избирательному округу																															
																															
		Сумма	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420									
		0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.79%	1.43%	0.00%	0.00%	0.00%	0.00%	1.85%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	519	154	74	7	28	39	21	7	10	10	20	10	20	28	27	12	4	20	10	10	8									
		14.48%	15.98%	15.71%	10.45%	16.18%	19.50%	9.13%	5.60%	13.51%	12.50%	11.43%	12.05%	13.07%	18.42%	21.26%	17.14%	18.18%	10.15%	18.87%	16.39%	7.41%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	10	2	2	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	1	0	1									
		0.28%	0.21%	0.42%	0.00%	0.00%	0.00%	0.87%	0.00%	0.00%	0.00%	1.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.89%	0.00%	0.93%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	12	4	5	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.33%	0.41%	1.06%	1.49%	0.58%	0.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.03%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	15	5	2	0	1	1	1	1	0	0	1	0	1	0	0	2	0	0	0	0	0									
		0.42%	0.52%	0.42%	0.00%	0.58%	0.50%	0.43%	0.80%	0.00%	0.00%	0.57%	0.00%	0.65%	0.00%	0.00%	2.86%	0.00%	0.00%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1110	246	133	13	61	44	118	39	23	26	96	41	41	53	33	16	9	50	22	14	32									
		30.96%	25.52%	28.24%	19.40%	35.26%	22.00%	51.30%	31.20%	31.08%	32.50%	54.86%	49.40%	26.80%	34.87%	25.98%	22.86%	40.91%	25.38%	41.51%	22.95%	29.63%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	9	3	1	0	2	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0									
		0.25%	0.31%	0.21%	0.00%	1.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.57%	0.00%	0.00%	0.00%	0.79%	1.43%	0.00%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	60	21	12	2	4	4	2	2	0	0	2	0	0	0	0	2	0	2	4	0	3									
		1.67%	2.18%	2.55%	2.99%	2.31%	2.00%	0.87%	1.60%	0.00%	0.00%	1.14%	0.00%	0.00%	0.00%	0.00%	2.86%	0.00%	1.02%	7.55%	0.00%	2.78%									
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
