Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																								
Дата голосования: 18.09.2016																																																																								
																																																																								
Наименование Избирательной комиссии:    район Выхино-Жулебино																																																																								
																																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																																								
																																																																								
		Сумма	УИК №1277	УИК №1278	УИК №1279	УИК №1280	УИК №1281	УИК №1282	УИК №1283	УИК №1284	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №1292	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №3698	УИК №3795									
		1.95%	2.50%	2.53%	1.82%	0.70%	2.17%	2.38%	2.44%	2.77%	1.36%	1.63%	1.47%	2.15%	1.49%	2.07%	1.60%	2.02%	2.41%	2.03%	1.04%	1.51%	1.74%	2.07%	2.36%	1.77%	3.03%	2.47%	1.52%	1.79%	1.02%	2.47%	2.22%	1.67%	2.13%	3.42%	1.57%	1.56%	1.27%	1.44%	1.76%	2.23%	2.16%	1.05%	2.43%	2.66%	1.78%	2.13%	2.60%	1.25%	2.03%	1.97%	1.69%	0.95%	2.37%	1.61%	0.94%	1.69%	2.07%	1.98%	2.29%	3.65%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1441	14	25	24	5	24	32	31	33	22	18	29	25	25	27	24	32	31	29	39	9	12	29	30	19	23	17	25	21	12	13	19	23	19	13	22	19	23	31	26	33	17	21	24	15	38	13	26	19	22	40	33	30	20	28	21	22	30	34	29	32	0									
		3.05%	1.94%	3.71%	3.13%	1.17%	3.07%	3.32%	3.79%	4.35%	2.99%	2.45%	3.55%	3.36%	3.10%	3.29%	2.74%	3.40%	3.73%	3.67%	5.78%	2.27%	4.17%	3.34%	3.93%	2.40%	2.68%	2.21%	3.17%	3.14%	1.75%	2.68%	3.02%	2.96%	2.53%	2.12%	3.14%	2.97%	2.92%	3.43%	3.06%	3.68%	3.33%	2.20%	2.33%	1.74%	3.97%	1.63%	2.93%	2.17%	2.48%	4.15%	3.48%	4.75%	2.37%	3.22%	2.20%	2.47%	2.70%	2.93%	3.17%	5.56%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	18115	282	227	297	155	286	359	303	271	270	257	315	282	319	311	337	348	281	283	270	170	136	364	291	323	305	288	289	253	242	176	223	304	298	260	282	260	276	336	324	321	188	407	351	357	376	328	369	347	358	384	373	242	345	321	309	322	418	475	384	249	38									
		38.30%	39.11%	33.73%	38.67%	36.21%	36.57%	37.20%	36.99%	35.70%	36.78%	35.01%	38.56%	37.85%	39.53%	37.88%	38.51%	37.02%	33.86%	35.82%	40.00%	42.82%	47.22%	41.94%	38.09%	40.78%	35.55%	37.40%	36.63%	37.82%	35.38%	36.29%	35.40%	39.12%	39.73%	42.35%	40.29%	40.63%	35.07%	37.13%	38.07%	35.83%	36.86%	42.66%	34.08%	41.32%	39.29%	41.00%	41.65%	39.57%	40.32%	39.83%	39.35%	38.35%	40.93%	36.90%	32.42%	36.18%	37.66%	40.91%	41.92%	43.23%	50.00%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	755	10	11	17	11	20	11	21	8	17	10	11	13	9	17	10	12	9	14	6	21	2	11	11	10	25	16	17	10	11	4	11	6	11	7	5	13	12	10	18	15	7	12	12	10	10	8	20	13	19	18	20	8	16	22	14	15	14	21	10	1	2									
		1.60%	1.39%	1.63%	2.21%	2.57%	2.56%	1.14%	2.56%	1.05%	2.32%	1.36%	1.35%	1.74%	1.12%	2.07%	1.14%	1.28%	1.08%	1.77%	0.89%	5.29%	0.69%	1.27%	1.44%	1.26%	2.91%	2.08%	2.15%	1.49%	1.61%	0.82%	1.75%	0.77%	1.47%	1.14%	0.71%	2.03%	1.52%	1.10%	2.12%	1.67%	1.37%	1.26%	1.17%	1.16%	1.04%	1.00%	2.26%	1.48%	2.14%	1.87%	2.11%	1.27%	1.90%	2.53%	1.47%	1.69%	1.26%	1.81%	1.09%	0.17%	2.63%									
24	"6. Политическая партия ""Гражданская Платформа"""	133	0	2	3	1	2	3	4	3	3	2	3	2	6	1	2	1	3	0	1	0	0	4	5	2	2	1	1	1	7	1	1	4	3	0	4	1	5	3	2	0	0	3	1	4	2	2	0	1	3	4	3	2	2	3	1	0	3	5	1	4	0									
		0.28%	0.00%	0.30%	0.39%	0.23%	0.26%	0.31%	0.49%	0.40%	0.41%	0.27%	0.37%	0.27%	0.74%	0.12%	0.23%	0.11%	0.36%	0.00%	0.15%	0.00%	0.00%	0.46%	0.65%	0.25%	0.23%	0.13%	0.13%	0.15%	1.02%	0.21%	0.16%	0.51%	0.40%	0.00%	0.57%	0.16%	0.64%	0.33%	0.24%	0.00%	0.00%	0.31%	0.10%	0.46%	0.21%	0.25%	0.00%	0.11%	0.34%	0.41%	0.32%	0.32%	0.24%	0.34%	0.10%	0.00%	0.27%	0.43%	0.11%	0.69%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6529	95	69	91	81	121	116	86	96	104	102	86	83	103	108	155	133	138	103	93	52	42	109	91	118	110	139	104	118	103	72	102	106	105	76	117	98	103	107	114	100	79	131	168	121	105	85	100	136	136	142	137	90	100	118	137	121	178	164	132	83	17									
		13.80%	13.18%	10.25%	11.85%	18.93%	15.47%	12.02%	10.50%	12.65%	14.17%	13.90%	10.53%	11.14%	12.76%	13.15%	17.71%	14.15%	16.63%	13.04%	13.78%	13.10%	14.58%	12.56%	11.91%	14.90%	12.82%	18.05%	13.18%	17.64%	15.06%	14.85%	16.19%	13.64%	14.00%	12.38%	16.71%	15.31%	13.09%	11.82%	13.40%	11.16%	15.49%	13.73%	16.31%	14.00%	10.97%	10.63%	11.29%	15.51%	15.32%	14.73%	14.45%	14.26%	11.86%	13.56%	14.38%	13.60%	16.04%	14.13%	14.41%	14.41%	22.37%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	1039	19	17	14	21	15	13	17	13	21	10	15	12	15	16	10	22	13	15	20	7	4	21	14	22	17	17	31	12	14	10	15	12	11	11	8	16	24	12	24	16	12	13	22	26	21	26	25	14	14	15	16	21	28	20	36	29	29	32	18	5	1									
		2.20%	2.64%	2.53%	1.82%	4.91%	1.92%	1.35%	2.08%	1.71%	2.86%	1.36%	1.84%	1.61%	1.86%	1.95%	1.14%	2.34%	1.57%	1.90%	2.96%	1.76%	1.39%	2.42%	1.83%	2.78%	1.98%	2.21%	3.93%	1.79%	2.05%	2.06%	2.38%	1.54%	1.47%	1.79%	1.14%	2.50%	3.05%	1.33%	2.82%	1.79%	2.35%	1.36%	2.14%	3.01%	2.19%	3.25%	2.82%	1.60%	1.58%	1.56%	1.69%	3.33%	3.32%	2.30%	3.78%	3.26%	2.61%	2.76%	1.97%	0.87%	1.32%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	1479	28	31	29	6	24	37	28	25	12	26	24	19	29	19	26	29	28	23	15	7	2	23	12	28	29	18	24	9	19	11	22	14	26	13	19	9	33	33	16	39	20	24	31	31	36	40	36	30	34	17	41	24	33	29	58	26	42	30	26	3	4									
		3.13%	3.88%	4.61%	3.78%	1.40%	3.07%	3.83%	3.42%	3.29%	1.63%	3.54%	2.94%	2.55%	3.59%	2.31%	2.97%	3.09%	3.37%	2.91%	2.22%	1.76%	0.69%	2.65%	1.57%	3.54%	3.38%	2.34%	3.04%	1.35%	2.78%	2.27%	3.49%	1.80%	3.47%	2.12%	2.71%	1.41%	4.19%	3.65%	1.88%	4.35%	3.92%	2.52%	3.01%	3.59%	3.76%	5.00%	4.06%	3.42%	3.83%	1.76%	4.32%	3.80%	3.91%	3.33%	6.09%	2.92%	3.78%	2.58%	2.84%	0.52%	5.26%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	87	3	1	1	1	2	0	0	1	2	1	0	0	1	2	2	1	2	0	2	1	0	1	1	1	1	3	2	0	7	1	1	4	1	2	1	0	1	1	2	0	0	0	2	4	1	0	2	0	2	2	2	5	3	1	1	3	1	2	1	1	1									
		0.18%	0.42%	0.15%	0.13%	0.23%	0.26%	0.00%	0.00%	0.13%	0.27%	0.14%	0.00%	0.00%	0.12%	0.24%	0.23%	0.11%	0.24%	0.00%	0.30%	0.25%	0.00%	0.12%	0.13%	0.13%	0.12%	0.39%	0.25%	0.00%	1.02%	0.21%	0.16%	0.51%	0.13%	0.33%	0.14%	0.00%	0.13%	0.11%	0.24%	0.00%	0.00%	0.00%	0.19%	0.46%	0.10%	0.00%	0.23%	0.00%	0.23%	0.21%	0.21%	0.79%	0.36%	0.11%	0.10%	0.34%	0.09%	0.17%	0.11%	0.17%	1.32%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	3467	62	75	68	37	51	69	58	68	55	60	84	63	65	40	65	69	58	70	40	33	18	57	57	50	61	34	65	45	56	25	45	63	35	32	43	40	76	60	64	107	32	74	69	42	81	81	67	54	50	59	61	51	67	83	102	64	51	86	57	10	3									
		7.33%	8.60%	11.14%	8.85%	8.64%	6.52%	7.15%	7.08%	8.96%	7.49%	8.17%	10.28%	8.46%	8.05%	4.87%	7.43%	7.34%	6.99%	8.86%	5.93%	8.31%	6.25%	6.57%	7.46%	6.31%	7.11%	4.42%	8.24%	6.73%	8.19%	5.15%	7.14%	8.11%	4.67%	5.21%	6.14%	6.25%	9.66%	6.63%	7.52%	11.94%	6.27%	7.76%	6.70%	4.86%	8.46%	10.13%	7.56%	6.16%	5.63%	6.12%	6.43%	8.08%	7.95%	9.54%	10.70%	7.19%	4.59%	7.41%	6.22%	1.74%	3.95%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	7462	96	123	104	56	126	181	121	135	118	145	139	138	127	150	133	164	152	146	109	46	32	139	124	113	172	116	136	108	115	96	106	148	134	119	115	96	119	138	121	127	82	132	175	122	139	97	106	156	122	128	143	89	107	118	147	166	172	141	132	102	3									
		15.78%	13.31%	18.28%	13.54%	13.08%	16.11%	18.76%	14.77%	17.79%	16.08%	19.75%	17.01%	18.52%	15.74%	18.27%	15.20%	17.45%	18.31%	18.48%	16.15%	11.59%	11.11%	16.01%	16.23%	14.27%	20.05%	15.06%	17.24%	16.14%	16.81%	19.79%	16.83%	19.05%	17.87%	19.38%	16.43%	15.00%	15.12%	15.25%	14.22%	14.17%	16.08%	13.84%	16.99%	14.12%	14.52%	12.13%	11.96%	17.79%	13.74%	13.28%	15.08%	14.10%	12.69%	13.56%	15.42%	18.65%	15.50%	12.14%	14.41%	17.71%	3.95%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	412	3	5	6	3	3	8	12	8	6	4	6	5	5	3	1	4	5	4	4	0	4	2	3	9	6	5	4	4	3	6	3	3	4	0	5	6	10	19	20	22	5	10	10	10	12	11	8	8	5	15	7	7	11	11	4	9	15	9	6	6	0									
		0.87%	0.42%	0.74%	0.78%	0.70%	0.38%	0.83%	1.47%	1.05%	0.82%	0.54%	0.73%	0.67%	0.62%	0.37%	0.11%	0.43%	0.60%	0.51%	0.59%	0.00%	1.39%	0.23%	0.39%	1.14%	0.70%	0.65%	0.51%	0.60%	0.44%	1.24%	0.48%	0.39%	0.53%	0.00%	0.71%	0.94%	1.27%	2.10%	2.35%	2.46%	0.98%	1.05%	0.97%	1.16%	1.25%	1.38%	0.90%	0.91%	0.56%	1.56%	0.74%	1.11%	1.30%	1.26%	0.42%	1.01%	1.35%	0.78%	0.66%	1.04%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3117	62	39	61	23	51	68	68	50	64	45	64	47	53	56	55	69	44	58	39	24	12	39	57	50	41	54	36	42	41	38	34	43	45	30	48	38	61	94	57	46	30	65	97	55	71	54	67	58	68	71	51	33	57	60	54	46	63	64	63	41	3									
		6.59%	8.60%	5.79%	7.94%	5.37%	6.52%	7.05%	8.30%	6.59%	8.72%	6.13%	7.83%	6.31%	6.57%	6.82%	6.29%	7.34%	5.30%	7.34%	5.78%	6.05%	4.17%	4.49%	7.46%	6.31%	4.78%	7.01%	4.56%	6.28%	5.99%	7.84%	5.40%	5.53%	6.00%	4.89%	6.86%	5.94%	7.75%	10.39%	6.70%	5.13%	5.88%	6.81%	9.42%	6.37%	7.42%	6.75%	7.56%	6.61%	7.66%	7.37%	5.38%	5.23%	6.76%	6.90%	5.67%	5.17%	5.68%	5.51%	6.88%	7.12%	3.95%									
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
