Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																					
Дата голосования: 18.09.2016																																																																					
																																																																					
Наименование Избирательной комиссии:    Магаданская																																																																					
																																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																																					
																																																																					
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №8183									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	561	21	15	15	20	10	10	10	20	20	15	20	20	20	10	10	15	15	20	20	15	10	10	20	20	10	10	10	20	20	15	10	10	10	10	10	10	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	126	7	4	4	4	1	0	0	2	5	3	2	6	10	2	3	2	4	5	2	5	0	0	4	9	3	0	2	5	8	3	1	0	0	0	3	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	120	4	4	9	3	3	0	1	12	2	4	6	4	6	5	4	2	7	0	5	2	1	0	5	1	1	0	3	5	4	3	0	0	2	0	2	4	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4									
14	Число погашенных неиспользованных открепительных удостоверений	435	14	11	11	16	9	10	10	18	15	12	18	14	10	8	7	13	11	15	18	10	10	10	16	11	7	10	8	15	12	12	9	10	10	10	7	6	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	54	3	2	3	2	2	2	0	3	3	2	1	5	0	0	2	2	3	0	3	0	1	1	5	1	0	1	1	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	397	19	19	12	7	4	1	4	16	10	17	16	12	15	3	9	12	4	11	19	11	7	1	24	9	3	5	11	16	12	10	0	2	4	2	6	4	5	4	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	1	2	40									
		1.48%	2.14%	2.12%	1.49%	0.87%	1.02%	0.74%	2.11%	1.87%	1.28%	2.24%	1.80%	1.37%	1.60%	0.95%	1.47%	1.47%	0.51%	1.21%	2.44%	1.34%	1.38%	0.53%	2.61%	1.03%	0.50%	3.94%	1.79%	1.76%	1.31%	1.52%	0.00%	0.96%	1.28%	1.30%	1.50%	1.28%	0.60%	2.11%	1.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.69%	0.00%	8.33%	7.14%	3.70%	7.14%	1.39%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	755	29	32	17	20	16	3	4	21	19	26	20	26	30	13	17	18	15	22	34	25	14	3	24	36	20	5	31	30	29	24	16	1	8	5	12	9	24	3	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3	0	0	41									
		2.81%	3.27%	3.57%	2.11%	2.47%	4.09%	2.21%	2.11%	2.46%	2.43%	3.43%	2.25%	2.97%	3.21%	4.11%	2.77%	2.20%	1.89%	2.43%	4.37%	3.04%	2.75%	1.59%	2.61%	4.14%	3.30%	3.94%	5.05%	3.29%	3.18%	3.66%	5.65%	0.48%	2.56%	3.25%	3.00%	2.88%	2.86%	1.58%	3.86%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.69%	0.00%	4.17%	10.71%	0.00%	0.00%	1.42%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	667	23	23	16	34	6	2	7	20	21	22	20	28	26	6	24	23	9	32	15	21	11	2	35	21	14	2	19	20	23	19	8	6	8	5	8	9	26	8	5	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	2	2	0	32									
		2.49%	2.59%	2.57%	1.98%	4.20%	1.53%	1.47%	3.68%	2.34%	2.69%	2.90%	2.25%	3.20%	2.78%	1.90%	3.92%	2.81%	1.14%	3.53%	1.93%	2.55%	2.16%	1.06%	3.80%	2.41%	2.31%	1.57%	3.09%	2.20%	2.52%	2.90%	2.83%	2.88%	2.56%	3.25%	2.00%	2.88%	3.10%	4.21%	2.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	5.08%	0.00%	4.17%	7.14%	7.41%	0.00%	1.11%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	10917	290	310	269	272	131	43	45	320	268	258	306	262	345	92	221	276	381	289	299	290	160	67	353	290	222	42	197	273	300	228	85	76	105	49	196	128	309	122	73	4	35	34	20	20	19	20	20	19	4	6	5	31	9	8	3	12	14	2392									
		40.69%	32.66%	34.60%	33.33%	33.62%	33.50%	31.62%	23.68%	37.43%	34.27%	33.99%	34.38%	29.91%	36.86%	29.11%	36.05%	33.70%	48.11%	31.90%	38.43%	35.24%	31.43%	35.45%	38.33%	33.33%	36.63%	33.07%	32.08%	29.97%	32.86%	34.76%	30.04%	36.54%	33.55%	31.82%	49.00%	40.89%	36.83%	64.21%	35.27%	66.67%	76.09%	89.47%	80.00%	76.92%	79.17%	74.07%	80.00%	79.17%	66.67%	100.00%	29.41%	52.54%	37.50%	33.33%	10.71%	44.44%	50.00%	82.94%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	265	14	7	11	11	9	0	5	11	13	11	9	13	14	4	10	10	6	4	6	8	5	2	8	8	4	0	2	8	5	7	4	2	0	1	4	4	6	3	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	4	0	2	5									
		0.99%	1.58%	0.78%	1.36%	1.36%	2.30%	0.00%	2.63%	1.29%	1.66%	1.45%	1.01%	1.48%	1.50%	1.27%	1.63%	1.22%	0.76%	0.44%	0.77%	0.97%	0.98%	1.06%	0.87%	0.92%	0.66%	0.00%	0.33%	0.88%	0.55%	1.07%	1.41%	0.96%	0.00%	0.65%	1.00%	1.28%	0.72%	1.58%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	11.76%	5.08%	0.00%	0.00%	14.29%	0.00%	7.14%	0.17%									
24	"6. Политическая партия ""Гражданская Платформа"""	115	8	4	4	2	6	0	1	11	7	10	4	3	7	4	1	4	0	0	2	5	3	0	2	5	2	0	3	0	8	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3									
		0.43%	0.90%	0.45%	0.50%	0.25%	1.53%	0.00%	0.53%	1.29%	0.90%	1.32%	0.45%	0.34%	0.75%	1.27%	0.16%	0.49%	0.00%	0.00%	0.26%	0.61%	0.59%	0.00%	0.22%	0.57%	0.33%	0.00%	0.49%	0.00%	0.88%	0.15%	0.00%	0.48%	0.32%	0.65%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.57%	0.10%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4927	149	160	150	159	63	34	54	149	127	159	165	178	163	73	121	166	146	187	153	127	118	40	210	198	118	27	128	165	201	138	54	51	90	43	109	79	221	33	56	0	0	0	0	0	0	0	0	0	0	0	6	14	12	9	9	6	4	105									
		18.36%	16.78%	17.86%	18.59%	19.65%	16.11%	25.00%	28.42%	17.43%	16.24%	20.95%	18.54%	20.32%	17.41%	23.10%	19.74%	20.27%	18.43%	20.64%	19.67%	15.43%	23.18%	21.16%	22.80%	22.76%	19.47%	21.26%	20.85%	18.11%	22.02%	21.04%	19.08%	24.52%	28.75%	27.92%	27.25%	25.24%	26.34%	17.37%	27.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	35.29%	23.73%	50.00%	37.50%	32.14%	22.22%	14.29%	3.64%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	219	15	9	10	8	1	0	0	16	6	2	10	12	5	5	3	3	3	12	9	6	3	1	11	14	4	0	7	8	11	4	1	1	2	0	2	1	9	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3									
		0.82%	1.69%	1.00%	1.24%	0.99%	0.26%	0.00%	0.00%	1.87%	0.77%	0.26%	1.12%	1.37%	0.53%	1.58%	0.49%	0.37%	0.38%	1.32%	1.16%	0.73%	0.59%	0.53%	1.19%	1.61%	0.66%	0.00%	1.14%	0.88%	1.20%	0.61%	0.35%	0.48%	0.64%	0.00%	0.50%	0.32%	1.07%	0.00%	0.97%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	420	22	6	16	18	12	1	2	17	17	11	22	24	23	7	12	19	13	14	10	18	12	4	13	18	6	0	4	26	16	6	5	1	1	0	3	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10									
		1.57%	2.48%	0.67%	1.98%	2.22%	3.07%	0.74%	1.05%	1.99%	2.17%	1.45%	2.47%	2.74%	2.46%	2.22%	1.96%	2.32%	1.64%	1.55%	1.29%	2.19%	2.36%	2.12%	1.41%	2.07%	0.99%	0.00%	0.65%	2.85%	1.75%	0.91%	1.77%	0.48%	0.32%	0.00%	0.75%	1.60%	0.72%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	30	3	4	0	0	0	0	0	0	1	1	2	1	0	0	2	1	1	2	1	1	0	0	0	1	0	0	1	0	3	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.11%	0.34%	0.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.13%	0.22%	0.11%	0.00%	0.00%	0.33%	0.12%	0.13%	0.22%	0.13%	0.12%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.16%	0.00%	0.33%	0.15%	0.00%	0.48%	0.32%	0.00%	0.00%	0.00%	0.12%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	351	27	11	12	17	7	3	1	16	12	14	12	18	20	5	5	16	9	19	10	17	10	1	7	14	10	3	1	10	9	9	2	1	1	3	0	1	6	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	9									
		1.31%	3.04%	1.23%	1.49%	2.10%	1.79%	2.21%	0.53%	1.87%	1.53%	1.84%	1.35%	2.05%	2.14%	1.58%	0.82%	1.95%	1.14%	2.10%	1.29%	2.07%	1.96%	0.53%	0.76%	1.61%	1.65%	2.36%	0.16%	1.10%	0.99%	1.37%	0.71%	0.48%	0.32%	1.95%	0.00%	0.32%	0.72%	0.00%	0.97%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	5.88%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4440	175	191	146	141	81	33	35	142	150	121	163	162	172	56	115	136	97	161	130	171	110	46	141	155	111	33	122	186	176	108	55	44	61	29	32	37	126	10	36	2	11	4	5	6	5	7	5	5	2	0	1	6	3	1	5	5	5	166									
		16.55%	19.71%	21.32%	18.09%	17.43%	20.72%	24.26%	18.42%	16.61%	19.18%	15.94%	18.31%	18.49%	18.38%	17.72%	18.76%	16.61%	12.25%	17.77%	16.71%	20.78%	21.61%	24.34%	15.31%	17.82%	18.32%	25.98%	19.87%	20.42%	19.28%	16.46%	19.43%	21.15%	19.49%	18.83%	8.00%	11.82%	15.02%	5.26%	17.39%	33.33%	23.91%	10.53%	20.00%	23.08%	20.83%	25.93%	20.00%	20.83%	33.33%	0.00%	5.88%	10.17%	12.50%	4.17%	17.86%	18.52%	17.86%	5.76%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	160	6	6	8	2	3	0	2	10	3	4	5	6	4	3	3	3	2	9	3	9	1	4	5	6	4	1	4	7	8	5	2	3	1	0	2	2	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6									
		0.60%	0.68%	0.67%	0.99%	0.25%	0.77%	0.00%	1.05%	1.17%	0.38%	0.53%	0.56%	0.68%	0.43%	0.95%	0.49%	0.37%	0.25%	0.99%	0.39%	1.09%	0.20%	2.12%	0.54%	0.69%	0.66%	0.79%	0.65%	0.77%	0.88%	0.76%	0.71%	1.44%	0.32%	0.00%	0.50%	0.64%	0.83%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2656	95	100	116	106	41	12	26	90	110	81	121	117	99	39	63	115	99	116	62	103	48	18	70	80	78	8	62	139	90	79	42	17	26	15	26	28	72	2	18	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	1	0	22									
		9.90%	10.70%	11.16%	14.37%	13.10%	10.49%	8.82%	13.68%	10.53%	14.07%	10.67%	13.60%	13.36%	10.58%	12.34%	10.28%	14.04%	12.50%	12.80%	7.97%	12.52%	9.43%	9.52%	7.60%	9.20%	12.87%	6.30%	10.10%	15.26%	9.86%	12.04%	14.84%	8.17%	8.31%	9.74%	6.50%	8.95%	8.58%	1.05%	8.70%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	11.76%	0.00%	0.00%	8.33%	0.00%	3.70%	0.00%	0.76%									
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
