Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																										
Дата голосования: 07.12.2003 0:00:00																																																																										
																																																																										
Наименование Избирательной комиссии:    Чишминская																																																																										
																																																																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																										
																																																																										
		Сумма	УИК №3338	УИК №3339	УИК №3340	УИК №3341	УИК №3342	УИК №3343	УИК №3344	УИК №3345	УИК №3346	УИК №3347	УИК №3348	УИК №3349	УИК №3350	УИК №3351	УИК №3352	УИК №3353	УИК №3354	УИК №3355	УИК №3356	УИК №3357	УИК №3358	УИК №3359	УИК №3360	УИК №3361	УИК №3362	УИК №3363	УИК №3364	УИК №3365	УИК №3366	УИК №3367	УИК №3368	УИК №3369	УИК №3370	УИК №3371	УИК №3372	УИК №3373	УИК №3374	УИК №3375	УИК №3376	УИК №3377	УИК №3378	УИК №3379	УИК №3380	УИК №3381	УИК №3382	УИК №3383	УИК №3384	УИК №3385	УИК №3386	УИК №3387	УИК №3388	УИК №3389	УИК №3390	УИК №3391	УИК №3392	УИК №3393	УИК №3394	УИК №3395	УИК №3396	УИК №3397	УИК №3398	УИК №3399	УИК №3400	УИК №3401	УИК №3402	УИК №3403	УИК №3404					
		0.42%	0.0%	0.0%	0.0%	1.02%	1.27%	0.57%	0.0%	0.31%	0.25%	4.05%	0.45%	0.44%	0.62%	0.55%	0.46%	0.36%	0.69%	0.0%	0.0%	0.0%	1.82%	0.0%	0.90%	0.79%	0.38%	0.0%	0.92%	0.0%	1.16%	0.81%	0.0%	0.47%	0.0%	0.0%	0.0%	1.64%	0.0%	0.77%	0.0%	1.12%	0.0%	0.22%	0.0%	0.0%	0.10%	1.61%	0.62%	0.0%	0.89%	0.0%	1.43%	0.0%	0.48%	0.0%	0.66%	0.45%	0.42%	0.15%	0.44%	0.15%	0.46%	0.23%	0.27%	0.22%	0.08%	0.36%	0.42%					
23	"6. ""Объединенная Российская партия ""Русь"""	96	0	1	0	2	0	0	0	1	3	2	4	0	3	3	2	0	1	0	0	0	1	0	1	4	0	3	3	0	0	2	0	1	0	1	0	4	0	2	1	3	3	1	1	0	2	0	1	0	2	2	3	3	0	2	5	2	0	0	2	3	0	4	1	1	2	5	3					
		0.33%	0.0%	0.44%	0.0%	0.68%	0.0%	0.0%	0.0%	0.31%	0.76%	2.70%	0.91%	0.0%	0.93%	1.66%	0.92%	0.0%	0.69%	0.0%	0.0%	0.0%	0.30%	0.0%	0.30%	1.05%	0.0%	0.97%	1.38%	0.0%	0.0%	0.81%	0.0%	0.23%	0.0%	0.45%	0.0%	1.31%	0.0%	0.77%	0.59%	0.56%	1.03%	0.22%	0.48%	0.0%	0.21%	0.0%	0.62%	0.0%	0.59%	0.77%	0.42%	0.50%	0.0%	0.56%	0.47%	0.22%	0.0%	0.0%	0.14%	0.45%	0.0%	0.47%	0.06%	0.07%	0.17%	0.36%	0.21%					
24	"7. ""Новый курс - Автомобильная Россия"""	236	0	2	2	3	1	1	2	2	0	0	6	0	3	1	2	0	0	0	0	1	0	1	5	4	2	0	2	4	0	3	3	1	2	0	1	1	0	1	1	3	1	0	1	0	6	2	0	0	1	1	7	6	1	0	11	8	13	4	21	8	4	6	13	19	9	16	18					
		0.83%	0.0%	0.88%	0.80%	1.02%	0.63%	0.57%	1.44%	0.62%	0.0%	0.0%	1.37%	0.0%	0.93%	0.55%	0.92%	0.0%	0.0%	0.0%	0.0%	0.71%	0.0%	0.52%	1.50%	1.05%	0.77%	0.0%	0.92%	1.29%	0.0%	1.22%	0.75%	0.23%	0.85%	0.0%	0.46%	0.32%	0.0%	0.38%	0.59%	0.56%	0.34%	0.0%	0.48%	0.0%	0.65%	1.07%	0.0%	0.0%	0.29%	0.38%	1.00%	1.00%	0.48%	0.0%	1.05%	0.90%	1.36%	0.61%	1.55%	1.21%	1.85%	0.70%	0.89%	1.40%	0.80%	1.16%	1.28%					
25	"8. ""Народно-республиканская партия России"""	119	0	1	3	0	0	2	0	1	8	0	4	0	1	0	1	2	1	0	0	0	1	1	3	3	2	1	6	1	0	0	0	1	2	2	3	1	1	5	1	0	0	0	1	0	4	0	1	0	4	1	2	6	5	3	0	3	1	2	7	1	1	2	2	2	3	7	3					
		0.42%	0.0%	0.44%	1.20%	0.0%	0.0%	1.14%	0.0%	0.31%	2.03%	0.0%	0.91%	0.0%	0.31%	0.0%	0.46%	0.72%	0.69%	0.0%	0.0%	0.0%	0.30%	0.52%	0.90%	0.79%	0.77%	0.32%	2.77%	0.32%	0.0%	0.0%	0.0%	0.23%	0.85%	0.90%	1.38%	0.32%	0.38%	1.93%	0.59%	0.0%	0.0%	0.0%	0.48%	0.0%	0.43%	0.0%	0.62%	0.0%	1.19%	0.38%	0.28%	1.00%	2.40%	0.85%	0.0%	0.33%	0.10%	0.30%	0.51%	0.15%	0.46%	0.23%	0.13%	0.14%	0.26%	0.51%	0.21%					
26	"9. ""Российская экологическая партия ""Зеленые"""	120	0	1	1	2	0	0	0	1	0	0	1	2	1	3	1	1	1	0	0	0	1	1	0	2	0	1	1	0	0	0	0	1	0	1	3	0	1	0	0	5	1	0	1	0	0	0	0	0	1	0	3	3	0	1	8	8	6	3	5	9	0	6	9	5	2	6	11					
		0.42%	0.0%	0.44%	0.40%	0.68%	0.0%	0.0%	0.0%	0.31%	0.0%	0.0%	0.22%	0.89%	0.31%	1.66%	0.46%	0.36%	0.69%	0.0%	0.0%	0.0%	0.30%	0.52%	0.0%	0.52%	0.0%	0.32%	0.46%	0.0%	0.0%	0.0%	0.0%	0.23%	0.0%	0.45%	1.38%	0.0%	0.38%	0.0%	0.0%	0.93%	0.34%	0.0%	0.48%	0.0%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%	0.42%	0.50%	0.0%	0.28%	0.76%	0.90%	0.63%	0.46%	0.37%	1.36%	0.0%	0.70%	0.62%	0.36%	0.17%	0.43%	0.78%					
27	"10. ""Аграрная партия России"""	1582	5	9	17	70	18	19	8	37	30	7	54	19	27	17	26	37	12	22	3	4	26	10	22	33	18	13	27	9	6	11	27	13	5	17	17	11	22	30	11	49	25	25	8	6	82	6	8	5	25	19	66	31	2	28	13	18	20	45	48	21	11	29	43	38	34	49	59					
		5.60%	2.60%	3.96%	6.82%	23.97%	11.46%	10.85%	5.79%	11.59%	7.63%	9.45%	12.35%	8.52%	8.38%	9.44%	11.98%	13.40%	8.33%	19.13%	3.40%	2.87%	7.90%	5.29%	6.62%	8.73%	6.94%	4.23%	12.5%	2.90%	3.50%	4.50%	6.83%	3.06%	2.13%	7.72%	7.83%	3.61%	8.42%	11.58%	6.54%	9.17%	8.62%	5.55%	3.90%	8.10%	8.96%	3.22%	4.96%	4.54%	7.48%	7.39%	9.44%	5.18%	0.96%	7.95%	1.24%	2.02%	2.10%	6.91%	3.55%	3.19%	5.09%	3.42%	2.97%	2.81%	3.04%	3.57%	4.19%					
28	"11. ""Истинные патриоты России"""	116	0	0	1	1	0	0	1	0	4	1	5	1	0	0	0	0	0	0	0	1	1	0	2	1	3	1	0	0	0	1	3	0	0	1	0	2	1	3	0	1	0	3	2	0	0	2	0	0	0	0	0	1	4	1	15	8	29	2	0	0	0	2	1	4	1	4	2					
		0.41%	0.0%	0.0%	0.40%	0.34%	0.0%	0.0%	0.72%	0.0%	1.01%	1.35%	1.14%	0.44%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.71%	0.30%	0.0%	0.60%	0.26%	1.15%	0.32%	0.0%	0.0%	0.0%	0.40%	0.75%	0.0%	0.0%	0.45%	0.0%	0.65%	0.38%	1.15%	0.0%	0.18%	0.0%	0.66%	0.97%	0.0%	0.0%	1.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	1.92%	0.28%	1.43%	0.90%	3.04%	0.30%	0.0%	0.0%	0.0%	0.23%	0.06%	0.29%	0.08%	0.29%	0.14%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	234	2	3	0	3	0	2	2	3	7	0	4	4	5	2	1	5	1	1	0	1	3	5	2	2	4	4	1	4	6	2	1	0	2	2	2	2	4	2	0	4	3	1	2	1	3	2	1	1	2	3	10	6	0	5	4	6	10	0	14	6	1	7	7	5	5	12	19					
		0.82%	1.04%	1.32%	0.0%	1.02%	0.0%	1.14%	1.44%	0.94%	1.78%	0.0%	0.91%	1.79%	1.55%	1.11%	0.46%	1.81%	0.69%	0.86%	0.0%	0.71%	0.91%	2.64%	0.60%	0.52%	1.54%	1.30%	0.46%	1.29%	3.50%	0.81%	0.25%	0.0%	0.85%	0.90%	0.92%	0.65%	1.53%	0.77%	0.0%	0.74%	1.03%	0.22%	0.97%	1.35%	0.32%	1.07%	0.62%	0.90%	0.59%	1.16%	1.43%	1.00%	0.0%	1.42%	0.38%	0.67%	1.05%	0.0%	1.03%	0.91%	0.46%	0.82%	0.48%	0.36%	0.44%	0.87%	1.35%					
30	"13. ""Демократическая партия России"""	115	1	0	0	1	0	0	3	2	4	1	0	0	0	0	0	2	1	2	0	1	2	0	0	1	0	1	2	6	0	2	2	2	0	0	0	2	1	1	0	2	3	1	1	0	4	0	1	1	4	1	1	3	0	0	3	2	6	2	6	0	1	2	10	9	1	4	7					
		0.40%	0.52%	0.0%	0.0%	0.34%	0.0%	0.0%	2.17%	0.62%	1.01%	1.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.72%	0.69%	1.73%	0.0%	0.71%	0.60%	0.0%	0.0%	0.26%	0.0%	0.32%	0.92%	1.93%	0.0%	0.81%	0.50%	0.47%	0.0%	0.0%	0.0%	0.65%	0.38%	0.38%	0.0%	0.37%	1.03%	0.22%	0.48%	0.0%	0.43%	0.0%	0.62%	0.90%	1.19%	0.38%	0.14%	0.50%	0.0%	0.0%	0.28%	0.22%	0.63%	0.30%	0.44%	0.0%	0.46%	0.23%	0.69%	0.66%	0.08%	0.29%	0.49%					
31	"14. ""Великая Россия - Евразийский Союз"""	110	0	2	1	1	0	1	0	3	4	0	0	1	3	0	0	2	1	0	0	1	1	2	0	1	1	4	2	1	0	2	5	2	0	0	0	1	2	2	0	2	2	0	1	0	2	0	0	0	2	1	5	5	1	1	2	2	3	1	4	0	0	1	8	3	3	5	10					
		0.38%	0.0%	0.88%	0.40%	0.34%	0.0%	0.57%	0.0%	0.94%	1.01%	0.0%	0.0%	0.44%	0.93%	0.0%	0.0%	0.72%	0.69%	0.0%	0.0%	0.71%	0.30%	1.05%	0.0%	0.26%	0.38%	1.30%	0.92%	0.32%	0.0%	0.81%	1.26%	0.47%	0.0%	0.0%	0.0%	0.32%	0.76%	0.77%	0.0%	0.37%	0.68%	0.0%	0.48%	0.0%	0.21%	0.0%	0.0%	0.0%	0.59%	0.38%	0.71%	0.83%	0.48%	0.28%	0.19%	0.22%	0.31%	0.15%	0.29%	0.0%	0.0%	0.11%	0.55%	0.22%	0.26%	0.36%	0.71%					
32	"15. ""Партия СЛОН"""	71	1	2	1	1	0	0	0	0	1	0	0	1	3	0	0	0	0	0	1	0	3	0	0	4	0	0	0	1	0	0	2	0	0	1	1	0	1	3	0	2	0	0	1	0	2	1	1	0	1	2	1	2	0	1	4	5	1	0	3	1	0	2	3	4	2	3	2					
		0.25%	0.52%	0.88%	0.40%	0.34%	0.0%	0.0%	0.0%	0.0%	0.25%	0.0%	0.0%	0.44%	0.93%	0.0%	0.0%	0.0%	0.0%	0.0%	1.13%	0.0%	0.91%	0.0%	0.0%	1.05%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%	0.50%	0.0%	0.0%	0.45%	0.46%	0.0%	0.38%	1.15%	0.0%	0.37%	0.0%	0.0%	0.48%	0.0%	0.21%	0.53%	0.62%	0.0%	0.29%	0.77%	0.14%	0.33%	0.0%	0.28%	0.38%	0.56%	0.10%	0.0%	0.22%	0.15%	0.0%	0.23%	0.20%	0.29%	0.17%	0.21%	0.14%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1386	11	14	15	9	8	16	6	20	17	6	22	6	17	1	2	14	3	0	0	0	12	6	16	19	15	6	5	6	8	6	17	32	4	8	2	6	7	7	0	33	3	14	13	0	37	3	10	0	9	6	33	27	9	10	70	41	38	36	91	39	5	48	100	81	73	84	104					
		4.90%	5.72%	6.16%	6.02%	3.08%	5.09%	9.14%	4.34%	6.26%	4.32%	8.10%	5.03%	2.69%	5.27%	0.55%	0.92%	5.07%	2.08%	0.0%	0.0%	0.0%	3.64%	3.17%	4.81%	5.02%	5.79%	1.95%	2.31%	1.93%	4.67%	2.45%	4.30%	7.54%	1.70%	3.63%	0.92%	1.97%	2.68%	2.70%	0.0%	6.17%	1.03%	3.11%	6.34%	0.0%	4.04%	1.61%	6.21%	0.0%	2.69%	2.33%	4.72%	4.51%	4.32%	2.84%	6.69%	4.62%	3.99%	5.52%	6.73%	5.92%	2.31%	5.67%	6.91%	5.99%	6.54%	6.12%	7.40%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	273	1	3	3	4	1	2	0	6	14	0	7	4	9	5	3	6	1	0	1	2	1	2	3	6	3	11	5	1	0	0	2	1	5	2	4	0	1	5	0	4	3	11	6	0	8	1	1	0	11	7	4	4	2	2	4	4	6	1	20	7	3	7	9	4	9	5	6					
		0.96%	0.52%	1.32%	1.20%	1.36%	0.63%	1.14%	0.0%	1.88%	3.56%	0.0%	1.60%	1.79%	2.79%	2.77%	1.38%	2.17%	0.69%	0.0%	1.13%	1.43%	0.30%	1.05%	0.90%	1.58%	1.15%	3.58%	2.31%	0.32%	0.0%	0.0%	0.50%	0.23%	2.13%	0.90%	1.84%	0.0%	0.38%	1.93%	0.0%	0.74%	1.03%	2.44%	2.92%	0.0%	0.87%	0.53%	0.62%	0.0%	3.29%	2.72%	0.57%	0.66%	0.96%	0.56%	0.38%	0.45%	0.63%	0.15%	1.48%	1.06%	1.38%	0.82%	0.62%	0.29%	0.80%	0.36%	0.42%					
35	"18. ""ЛДПР"""	3091	42	27	29	19	14	15	11	21	29	8	53	32	45	15	9	22	9	15	5	6	41	15	30	38	21	19	9	10	15	21	11	36	13	26	7	13	32	19	6	43	31	16	16	14	129	27	1	11	25	28	67	71	24	34	137	146	95	84	181	92	25	115	204	180	113	152	222					
		10.94%	21.87%	11.89%	11.64%	6.50%	8.91%	8.57%	7.97%	6.58%	7.37%	10.81%	12.12%	14.34%	13.97%	8.33%	4.14%	7.97%	6.25%	13.04%	5.68%	4.31%	12.46%	7.93%	9.03%	10.05%	8.10%	6.18%	4.16%	3.22%	8.77%	8.60%	2.78%	8.49%	5.55%	11.81%	3.22%	4.27%	12.26%	7.33%	3.57%	8.05%	10.68%	3.55%	7.80%	18.91%	14.09%	14.51%	0.62%	10.0%	7.48%	10.89%	9.58%	11.87%	11.53%	9.65%	13.11%	16.45%	9.98%	12.90%	13.39%	13.98%	11.57%	13.59%	14.09%	13.31%	10.12%	11.08%	15.80%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	586	2	6	3	6	2	5	2	1	9	1	5	7	7	2	1	4	2	2	1	0	8	2	8	7	3	24	6	1	2	3	5	8	3	5	0	4	1	3	1	15	3	3	3	0	17	2	2	0	4	3	23	14	12	9	21	20	19	16	28	25	5	18	20	26	25	42	49					
		2.07%	1.04%	2.64%	1.20%	2.05%	1.27%	2.85%	1.44%	0.31%	2.29%	1.35%	1.14%	3.13%	2.17%	1.11%	0.46%	1.44%	1.38%	1.73%	1.13%	0.0%	2.43%	1.05%	2.40%	1.85%	1.15%	7.81%	2.77%	0.32%	1.16%	1.22%	1.26%	1.88%	1.28%	2.27%	0.0%	1.31%	0.38%	1.15%	0.59%	2.80%	1.03%	0.66%	1.46%	0.0%	1.85%	1.07%	1.24%	0.0%	1.19%	1.16%	3.29%	2.34%	5.76%	2.55%	2.00%	2.25%	1.99%	2.45%	2.07%	3.79%	2.31%	2.12%	1.38%	1.92%	2.24%	3.06%	3.48%					
37	"20. ""Политическая партия ""Единая Россия"""	11121	78	105	93	86	37	55	55	108	120	9	119	66	72	68	96	100	58	11	49	61	126	83	138	89	68	125	71	138	94	79	198	207	147	95	97	148	133	86	141	139	119	275	81	41	348	76	97	43	99	89	276	231	65	170	440	384	483	273	475	263	108	339	517	538	499	496	448					
