Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																										
Дата голосования: 18.09.2016																																																										
																																																										
Наименование Избирательной комиссии:    Звениговская																																																										
																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																										
																																																										
		Сумма	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	132	2	2	3	2	1	3	5	6	2	7	10	5	1	1	7	3	7	2	4	3	2	4	4	2	1	0	5	0	1	3	0	1	4	0	1	2	0	2	2	1	3	3	1	2	4	4	4									
		0.70%	0.65%	0.47%	0.88%	0.54%	0.24%	0.57%	0.90%	1.03%	0.41%	1.09%	1.39%	3.31%	0.48%	0.47%	0.99%	0.49%	1.86%	0.42%	0.62%	0.49%	0.96%	0.51%	0.75%	0.27%	0.21%	0.00%	1.03%	0.00%	0.32%	1.08%	0.00%	0.31%	1.50%	0.00%	0.29%	0.57%	0.00%	2.38%	1.36%	0.44%	0.83%	1.12%	1.61%	2.47%	0.63%	0.66%	1.47%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	609	6	27	9	13	16	1	17	24	22	19	26	2	9	4	5	14	9	11	26	23	10	36	20	22	11	0	20	5	5	11	14	11	9	1	14	12	17	4	3	8	10	13	1	4	25	24	16									
		3.25%	1.94%	6.40%	2.65%	3.49%	3.88%	0.19%	3.05%	4.14%	4.52%	2.95%	3.63%	1.32%	4.31%	1.90%	0.71%	2.27%	2.39%	2.29%	4.03%	3.75%	4.78%	4.63%	3.75%	2.96%	2.35%	0.00%	4.12%	1.69%	1.59%	3.94%	4.20%	3.44%	3.37%	0.72%	4.01%	3.42%	3.99%	4.76%	2.04%	3.52%	2.78%	4.87%	1.61%	4.94%	3.92%	3.99%	5.86%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	228	0	4	6	8	3	0	9	4	12	6	16	2	3	1	20	13	9	6	14	3	2	13	7	7	2	0	1	6	4	2	3	6	1	1	2	3	3	0	1	4	4	1	0	2	2	8	4									
		1.22%	0.00%	0.95%	1.76%	2.14%	0.73%	0.00%	1.61%	0.69%	2.46%	0.93%	2.23%	1.32%	1.44%	0.47%	2.83%	2.10%	2.39%	1.25%	2.17%	0.49%	0.96%	1.67%	1.31%	0.94%	0.43%	0.00%	0.21%	2.03%	1.27%	0.72%	0.90%	1.88%	0.37%	0.72%	0.57%	0.85%	0.70%	0.00%	0.68%	1.76%	1.11%	0.37%	0.00%	2.47%	0.31%	1.33%	1.47%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8576	130	171	126	143	172	369	226	263	194	252	315	69	94	157	402	344	185	224	304	288	87	305	267	329	284	184	188	137	150	123	129	128	91	74	167	120	253	46	95	111	211	146	34	48	161	198	82									
		45.80%	42.07%	40.52%	37.06%	38.34%	41.75%	70.42%	40.50%	45.34%	39.84%	39.07%	43.93%	45.70%	44.98%	74.41%	56.94%	55.66%	49.20%	46.67%	47.13%	46.98%	41.63%	39.25%	50.09%	44.34%	60.55%	57.86%	38.76%	46.28%	47.77%	44.09%	38.74%	40.00%	34.08%	53.24%	47.85%	34.19%	59.39%	54.76%	64.63%	48.90%	58.61%	54.68%	54.84%	59.26%	25.24%	32.89%	30.04%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	86	3	2	1	2	3	0	2	0	2	5	5	0	1	2	3	2	2	3	2	4	3	1	1	2	1	1	1	3	0	0	1	2	2	1	2	0	3	1	1	4	1	4	1	1	2	1	2									
		0.46%	0.97%	0.47%	0.29%	0.54%	0.73%	0.00%	0.36%	0.00%	0.41%	0.78%	0.70%	0.00%	0.48%	0.95%	0.42%	0.32%	0.53%	0.63%	0.31%	0.65%	1.44%	0.13%	0.19%	0.27%	0.21%	0.31%	0.21%	1.01%	0.00%	0.00%	0.30%	0.63%	0.75%	0.72%	0.57%	0.00%	0.70%	1.19%	0.68%	1.76%	0.28%	1.50%	1.61%	1.23%	0.31%	0.17%	0.73%									
24	"6. Политическая партия ""Гражданская Платформа"""	29	1	0	0	0	2	0	1	1	0	3	1	1	0	0	0	2	0	0	1	0	1	1	2	3	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	2	0	0	1	1	0									
		0.15%	0.32%	0.00%	0.00%	0.00%	0.49%	0.00%	0.18%	0.17%	0.00%	0.47%	0.14%	0.66%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.16%	0.00%	0.48%	0.13%	0.38%	0.40%	0.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.44%	0.00%	0.75%	0.00%	0.00%	0.16%	0.17%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1509	31	41	38	38	36	20	50	62	32	54	26	15	26	5	74	61	44	47	44	52	16	82	66	57	24	23	46	18	24	23	18	21	9	13	21	18	37	8	11	25	19	15	8	10	41	45	15									
		8.06%	10.03%	9.72%	11.18%	10.19%	8.74%	3.82%	8.96%	10.69%	6.57%	8.37%	3.63%	9.93%	12.44%	2.37%	10.48%	9.87%	11.70%	9.79%	6.82%	8.48%	7.66%	10.55%	12.38%	7.68%	5.12%	7.23%	9.48%	6.08%	7.64%	8.24%	5.41%	6.56%	3.37%	9.35%	6.02%	5.13%	8.69%	9.52%	7.48%	11.01%	5.28%	5.62%	12.90%	12.35%	6.43%	7.48%	5.49%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	48	0	1	1	1	2	0	2	0	2	0	9	1	0	0	2	0	4	1	0	0	0	3	2	0	2	2	1	0	1	1	2	2	0	0	0	0	0	2	0	0	0	1	0	0	1	1	1									
		0.26%	0.00%	0.24%	0.29%	0.27%	0.49%	0.00%	0.36%	0.00%	0.41%	0.00%	1.26%	0.66%	0.00%	0.00%	0.28%	0.00%	1.06%	0.21%	0.00%	0.00%	0.00%	0.39%	0.38%	0.00%	0.43%	0.63%	0.21%	0.00%	0.32%	0.36%	0.60%	0.63%	0.00%	0.00%	0.00%	0.00%	0.00%	2.38%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%	0.16%	0.17%	0.37%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	54	2	2	2	3	3	0	2	3	1	4	4	0	1	0	2	0	0	5	1	3	0	1	2	0	0	1	0	0	2	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	3	3	0									
		0.29%	0.65%	0.47%	0.59%	0.80%	0.73%	0.00%	0.36%	0.52%	0.21%	0.62%	0.56%	0.00%	0.48%	0.00%	0.28%	0.00%	0.00%	1.04%	0.16%	0.49%	0.00%	0.13%	0.38%	0.00%	0.00%	0.31%	0.00%	0.00%	0.64%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.19%	1.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.47%	0.50%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	12	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	2	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0									
		0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.66%	0.00%	0.00%	0.14%	0.00%	0.27%	0.00%	0.31%	0.00%	0.00%	0.00%	0.19%	0.00%	0.21%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.17%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	94	1	0	2	0	2	0	4	1	1	6	4	1	3	1	7	4	3	5	4	4	0	7	0	7	1	1	1	3	1	0	2	0	1	0	0	1	6	1	0	2	1	1	0	0	3	0	2									
		0.50%	0.32%	0.00%	0.59%	0.00%	0.49%	0.00%	0.72%	0.17%	0.21%	0.93%	0.56%	0.66%	1.44%	0.47%	0.99%	0.65%	0.80%	1.04%	0.62%	0.65%	0.00%	0.90%	0.00%	0.94%	0.21%	0.31%	0.21%	1.01%	0.32%	0.00%	0.60%	0.00%	0.37%	0.00%	0.00%	0.28%	1.41%	1.19%	0.00%	0.88%	0.28%	0.37%	0.00%	0.00%	0.47%	0.00%	0.73%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	6460	107	140	132	146	144	131	208	189	189	239	277	49	61	31	136	139	92	155	204	200	81	287	134	280	133	101	203	104	116	100	154	138	144	47	129	183	82	15	29	65	89	69	13	9	364	288	134									
		34.50%	34.63%	33.18%	38.82%	39.14%	34.95%	25.00%	37.28%	32.59%	38.81%	37.05%	38.63%	32.45%	29.19%	14.69%	19.26%	22.49%	24.47%	32.29%	31.63%	32.63%	38.76%	36.94%	25.14%	37.74%	28.36%	31.76%	41.86%	35.14%	36.94%	35.84%	46.25%	43.13%	53.93%	33.81%	36.96%	52.14%	19.25%	17.86%	19.73%	28.63%	24.72%	25.84%	20.97%	11.11%	57.05%	47.84%	49.08%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	29	1	1	0	0	0	0	2	0	0	0	1	1	1	0	2	2	1	2	0	1	0	0	0	1	0	1	3	0	3	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	1	0	1									
		0.15%	0.32%	0.24%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.14%	0.66%	0.48%	0.00%	0.28%	0.32%	0.27%	0.42%	0.00%	0.16%	0.00%	0.00%	0.00%	0.13%	0.00%	0.31%	0.62%	0.00%	0.96%	0.00%	0.00%	0.00%	0.00%	0.00%	0.57%	0.28%	0.00%	0.00%	0.00%	0.44%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.37%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	434	16	15	13	10	23	0	14	13	14	37	17	2	3	3	25	22	4	8	24	21	1	16	18	17	3	1	1	6	3	7	3	2	0	1	4	2	14	3	2	5	10	8	1	3	7	5	7									
		2.32%	5.18%	3.55%	3.82%	2.68%	5.58%	0.00%	2.51%	2.24%	2.87%	5.74%	2.37%	1.32%	1.44%	1.42%	3.54%	3.56%	1.06%	1.67%	3.72%	3.43%	0.48%	2.06%	3.38%	2.29%	0.64%	0.31%	0.21%	2.03%	0.96%	2.51%	0.90%	0.63%	0.00%	0.72%	1.15%	0.57%	3.29%	3.57%	1.36%	2.20%	2.78%	2.99%	1.61%	3.70%	1.10%	0.83%	2.56%									
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
