Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																							
Дата голосования: 18.09.2016																																																																							
																																																																							
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №24																																																																							
																																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																																							
																																																																							
		Сумма	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2150	85	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1209	63	19	20	22	16	18	19	19	22	15	18	19	14	7	13	22	19	22	23	25	23	17	22	17	16	17	18	22	24	12	10	18	35	16	18	10	14	14	20	21	23	20	15	27	22	14	35	15	18	18	16	26	29	12	21	26	19	26	23	25									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	758	6	14	9	3	2	9	6	15	11	7	13	20	12	3	14	4	11	20	8	18	4	9	8	3	9	8	0	21	13	12	7	5	18	11	11	2	7	43	13	6	4	12	6	75	16	4	7	86	31	13	12	3	12	7	6	15	13	14	1	6									
14	Число погашенных неиспользованных открепительных удостоверений	941	22	16	15	13	19	17	16	16	13	20	17	16	21	28	22	13	16	13	12	10	12	18	13	18	19	18	17	13	11	23	25	17	0	19	17	25	21	21	15	14	12	15	20	8	13	21	0	20	17	17	19	9	6	23	14	9	16	9	12	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	177	9	4	0	7	0	4	1	3	1	2	5	5	7	1	1	2	0	1	7	3	4	4	4	1	1	1	2	10	2	0	0	1	3	5	2	2	1	1	4	2	1	4	5	2	3	1	2	0	7	3	1	4	0	2	4	7	2	4	5	7									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	881	24	16	15	8	11	13	23	19	22	11	28	15	12	13	11	11	17	6	4	10	8	9	16	21	20	8	11	16	13	18	3	2	28	18	10	3	14	9	11	4	13	28	9	14	16	19	24	13	30	19	0	13	21	20	15	17	6	24	30	19									
		2.50%	2.92%	3.21%	2.83%	1.70%	2.17%	3.46%	4.33%	3.42%	4.72%	2.05%	4.63%	2.57%	1.89%	2.25%	2.35%	2.27%	3.29%	1.38%	0.91%	1.89%	1.42%	1.81%	3.00%	4.26%	3.11%	1.35%	1.93%	2.52%	1.79%	3.77%	0.60%	0.38%	3.34%	3.41%	1.87%	0.68%	3.06%	2.47%	2.19%	0.76%	2.94%	4.21%	1.29%	2.04%	2.34%	2.56%	3.24%	1.97%	4.46%	3.26%	0.00%	1.59%	2.25%	3.51%	2.44%	2.83%	0.91%	3.00%	4.04%	2.68%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	367	10	10	5	6	4	3	5	9	10	7	5	16	12	4	7	6	3	2	1	7	4	3	4	3	8	9	6	11	9	5	4	0	6	2	1	8	8	6	12	2	7	5	8	6	4	14	4	8	4	7	0	5	6	7	3	4	11	4	10	7									
		1.04%	1.22%	2.00%	0.94%	1.27%	0.79%	0.80%	0.94%	1.62%	2.15%	1.31%	0.83%	2.74%	1.89%	0.69%	1.50%	1.24%	0.58%	0.46%	0.23%	1.32%	0.71%	0.60%	0.75%	0.61%	1.24%	1.52%	1.05%	1.73%	1.24%	1.05%	0.80%	0.00%	0.72%	0.38%	0.19%	1.81%	1.75%	1.64%	2.39%	0.38%	1.58%	0.75%	1.15%	0.88%	0.58%	1.89%	0.54%	1.21%	0.59%	1.20%	0.00%	0.61%	0.64%	1.23%	0.49%	0.67%	1.67%	0.50%	1.35%	0.99%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	715	18	13	10	4	11	12	11	6	6	9	14	16	13	20	12	11	9	13	8	12	14	7	15	9	18	6	14	16	18	3	6	3	22	16	13	4	9	4	12	1	6	7	12	10	6	33	20	20	20	17	0	9	15	13	12	14	13	15	21	14									
		2.03%	2.19%	2.61%	1.89%	0.85%	2.17%	3.19%	2.07%	1.08%	1.29%	1.68%	2.31%	2.74%	2.05%	3.46%	2.56%	2.27%	1.74%	2.99%	1.81%	2.26%	2.48%	1.41%	2.81%	1.83%	2.80%	1.02%	2.46%	2.52%	2.48%	0.63%	1.21%	0.57%	2.63%	3.03%	2.43%	0.90%	1.97%	1.10%	2.39%	0.19%	1.36%	1.05%	1.72%	1.46%	0.88%	4.45%	2.70%	3.03%	2.97%	2.92%	0.00%	1.10%	1.60%	2.28%	1.95%	2.33%	1.97%	1.88%	2.83%	1.98%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	14298	316	181	167	183	193	131	184	225	170	201	243	194	270	244	185	181	200	164	230	223	199	163	181	159	223	266	201	245	322	194	204	274	286	182	264	271	148	151	180	232	166	251	303	284	324	315	310	270	316	202	368	400	418	242	272	219	252	314	288	354									
		40.61%	38.40%	36.27%	31.51%	38.85%	38.14%	34.84%	34.65%	40.47%	36.48%	37.50%	40.17%	33.28%	42.59%	42.21%	39.53%	37.40%	38.76%	37.79%	52.15%	42.08%	35.22%	32.86%	33.96%	32.25%	34.68%	45.01%	35.33%	38.52%	44.35%	40.67%	41.05%	52.49%	34.13%	34.47%	49.35%	61.17%	32.31%	41.37%	35.79%	44.27%	37.56%	37.74%	43.53%	41.46%	47.37%	42.45%	41.89%	40.91%	46.95%	34.71%	54.28%	48.84%	44.71%	42.46%	44.23%	36.44%	38.24%	39.30%	38.76%	50.00%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	481	14	11	7	9	6	7	9	7	10	8	19	11	8	12	3	10	6	7	3	7	8	8	7	7	5	9	5	6	11	4	7	1	13	5	7	1	4	5	5	1	6	15	8	13	8	31	10	7	7	9	0	6	18	1	8	9	9	14	4	5									
		1.37%	1.70%	2.20%	1.32%	1.91%	1.19%	1.86%	1.69%	1.26%	2.15%	1.49%	3.14%	1.89%	1.26%	2.08%	0.64%	2.07%	1.16%	1.61%	0.68%	1.32%	1.42%	1.61%	1.31%	1.42%	0.78%	1.52%	0.88%	0.94%	1.52%	0.84%	1.41%	0.19%	1.55%	0.95%	1.31%	0.23%	0.87%	1.37%	0.99%	0.19%	1.36%	2.26%	1.15%	1.90%	1.17%	4.18%	1.35%	1.06%	1.04%	1.55%	0.00%	0.73%	1.93%	0.18%	1.30%	1.50%	1.37%	1.75%	0.54%	0.71%									
24	"6. Политическая партия ""Гражданская Платформа"""	87	4	1	2	0	3	0	0	0	1	4	5	0	0	0	0	1	1	1	0	0	0	1	0	1	3	0	0	0	2	1	0	0	1	0	1	2	1	2	1	2	1	0	6	3	1	14	3	2	2	1	0	4	3	0	0	0	0	0	1	5									
		0.25%	0.49%	0.20%	0.38%	0.00%	0.59%	0.00%	0.00%	0.00%	0.21%	0.75%	0.83%	0.00%	0.00%	0.00%	0.00%	0.21%	0.19%	0.23%	0.00%	0.00%	0.00%	0.20%	0.00%	0.20%	0.47%	0.00%	0.00%	0.00%	0.28%	0.21%	0.00%	0.00%	0.12%	0.00%	0.19%	0.45%	0.22%	0.55%	0.20%	0.38%	0.23%	0.00%	0.86%	0.44%	0.15%	1.89%	0.41%	0.30%	0.30%	0.17%	0.00%	0.49%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.71%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4444	134	80	59	46	70	53	63	69	35	74	82	73	76	70	49	65	81	50	54	58	66	60	52	59	81	59	74	80	72	54	52	91	99	52	58	60	70	47	62	78	60	77	128	78	86	65	100	93	64	80	90	80	187	75	76	79	80	81	100	98									
		12.62%	16.28%	16.03%	11.13%	9.77%	13.83%	14.10%	11.86%	12.41%	7.51%	13.81%	13.55%	12.52%	11.99%	12.11%	10.47%	13.43%	15.70%	11.52%	12.24%	10.94%	11.68%	12.10%	9.76%	11.97%	12.60%	9.98%	13.01%	12.58%	9.92%	11.32%	10.46%	17.43%	11.81%	9.85%	10.84%	13.54%	15.28%	12.88%	12.33%	14.89%	13.57%	11.58%	18.39%	11.39%	12.57%	8.76%	13.51%	14.09%	9.51%	13.75%	13.27%	9.77%	20.00%	13.16%	12.36%	13.14%	12.14%	10.14%	13.46%	13.84%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	715	25	16	15	9	10	5	11	11	18	12	11	17	16	13	9	13	18	11	8	7	9	8	13	10	15	13	13	14	18	6	7	4	23	7	8	11	10	5	17	5	8	17	7	6	5	35	12	18	12	16	7	2	13	9	12	17	17	14	9	8									
		2.03%	3.04%	3.21%	2.83%	1.91%	1.98%	1.33%	2.07%	1.98%	3.86%	2.24%	1.82%	2.92%	2.52%	2.25%	1.92%	2.69%	3.49%	2.53%	1.81%	1.32%	1.59%	1.61%	2.44%	2.03%	2.33%	2.20%	2.28%	2.20%	2.48%	1.26%	1.41%	0.77%	2.74%	1.33%	1.50%	2.48%	2.18%	1.37%	3.38%	0.95%	1.81%	2.56%	1.01%	0.88%	0.73%	4.72%	1.62%	2.73%	1.78%	2.75%	1.03%	0.24%	1.39%	1.58%	1.95%	2.83%	2.58%	1.75%	1.21%	1.13%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	4002	45	48	56	52	66	42	57	55	54	46	49	59	69	63	68	54	59	55	22	73	63	58	70	69	104	67	94	82	129	66	88	89	140	68	58	61	61	51	71	77	76	86	53	74	62	59	71	51	56	69	54	84	103	51	53	53	72	88	81	48									
		11.37%	5.47%	9.62%	10.57%	11.04%	13.04%	11.17%	10.73%	9.89%	11.59%	8.58%	8.10%	10.12%	10.88%	10.90%	14.53%	11.16%	11.43%	12.67%	4.99%	13.77%	11.15%	11.69%	13.13%	13.99%	16.17%	11.34%	16.52%	12.89%	17.77%	13.84%	17.71%	17.05%	16.71%	12.88%	10.84%	13.77%	13.32%	13.97%	14.12%	14.69%	17.19%	12.93%	7.61%	10.80%	9.06%	7.95%	9.59%	7.73%	8.32%	11.86%	7.96%	10.26%	11.02%	8.95%	8.62%	8.82%	10.93%	11.01%	10.90%	6.78%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	145	3	3	3	4	2	3	1	1	0	0	2	1	1	2	4	0	1	1	0	2	3	3	2	1	2	3	2	2	4	2	3	1	0	1	1	0	0	1	2	0	3	4	2	4	1	27	4	3	3	1	0	1	3	2	0	0	6	3	1	10									
		0.41%	0.36%	0.60%	0.57%	0.85%	0.40%	0.80%	0.19%	0.18%	0.00%	0.00%	0.33%	0.17%	0.16%	0.35%	0.85%	0.00%	0.19%	0.23%	0.00%	0.38%	0.53%	0.60%	0.38%	0.20%	0.31%	0.51%	0.35%	0.31%	0.55%	0.42%	0.60%	0.19%	0.00%	0.19%	0.19%	0.00%	0.00%	0.27%	0.40%	0.00%	0.68%	0.60%	0.29%	0.58%	0.15%	3.64%	0.54%	0.45%	0.45%	0.17%	0.00%	0.12%	0.32%	0.35%	0.00%	0.00%	0.91%	0.38%	0.13%	1.41%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	2538	87	34	67	51	51	27	55	41	35	40	45	63	39	34	27	28	40	32	33	43	68	59	61	59	43	43	45	37	25	24	28	13	90	58	41	7	25	19	29	22	22	43	43	57	29	37	12	43	60	44	42	61	40	30	27	54	44	96	49	37									
		7.21%	10.57%	6.81%	12.64%	10.83%	10.08%	7.18%	10.36%	7.37%	7.51%	7.46%	7.44%	10.81%	6.15%	5.88%	5.77%	5.79%	7.75%	7.37%	7.48%	8.11%	12.04%	11.90%	11.44%	11.97%	6.69%	7.28%	7.91%	5.82%	3.44%	5.03%	5.63%	2.49%	10.74%	10.98%	7.66%	1.58%	5.46%	5.21%	5.77%	4.20%	4.98%	6.47%	6.18%	8.32%	4.24%	4.99%	1.62%	6.52%	8.92%	7.56%	6.19%	7.45%	4.28%	5.26%	4.39%	8.99%	6.68%	12.02%	6.59%	5.23%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3743	80	42	70	59	59	45	63	69	62	68	59	62	63	64	63	77	49	61	56	66	68	65	81	72	72	78	58	78	68	62	40	29	67	67	37	5	57	31	58	58	37	75	54	76	86	16	106	81	60	68	55	74	52	64	94	86	73	84	78	36									
		10.63%	9.72%	8.42%	13.21%	12.53%	11.66%	11.97%	11.86%	12.41%	13.30%	12.69%	9.75%	10.63%	9.94%	11.07%	13.46%	15.91%	9.50%	14.06%	12.70%	12.45%	12.04%	13.10%	15.20%	14.60%	11.20%	13.20%	10.19%	12.26%	9.37%	12.99%	8.05%	5.56%	7.99%	12.69%	6.92%	1.13%	12.45%	8.49%	11.53%	11.07%	8.37%	11.28%	7.76%	11.09%	12.57%	2.16%	14.32%	12.27%	8.92%	11.68%	8.11%	9.04%	5.56%	11.23%	15.28%	14.31%	11.08%	10.51%	10.50%	5.08%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	168	5	3	1	4	1	4	3	3	4	0	1	3	2	2	1	1	2	0	1	2	3	5	1	3	2	0	0	3	1	0	4	1	4	4	1	1	2	2	3	0	4	6	2	4	3	24	3	4	2	1	0	4	3	2	2	2	1	4	1	13									
		0.48%	0.61%	0.60%	0.19%	0.85%	0.20%	1.06%	0.56%	0.54%	0.86%	0.00%	0.17%	0.51%	0.32%	0.35%	0.21%	0.21%	0.39%	0.00%	0.23%	0.38%	0.53%	1.01%	0.19%	0.61%	0.31%	0.00%	0.00%	0.47%	0.14%	0.00%	0.80%	0.19%	0.48%	0.76%	0.19%	0.23%	0.44%	0.55%	0.60%	0.00%	0.90%	0.90%	0.29%	0.58%	0.44%	3.23%	0.41%	0.61%	0.30%	0.17%	0.00%	0.49%	0.32%	0.35%	0.33%	0.33%	0.15%	0.50%	0.13%	1.84%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1915	31	25	34	32	14	22	38	30	28	36	32	35	35	27	22	18	22	24	17	15	29	35	20	16	33	25	30	40	25	24	32	14	37	40	29	6	35	23	31	33	15	36	57	48	42	46	44	36	37	35	56	47	45	39	41	36	48	43	48	22									
		5.44%	3.77%	5.01%	6.42%	6.79%	2.77%	5.85%	7.16%	5.40%	6.01%	6.72%	5.29%	6.00%	5.52%	4.67%	4.70%	3.72%	4.26%	5.53%	3.85%	2.83%	5.13%	7.06%	3.75%	3.25%	5.13%	4.23%	5.27%	6.29%	3.44%	5.03%	6.44%	2.68%	4.42%	7.58%	5.42%	1.35%	7.64%	6.30%	6.16%	6.30%	3.39%	5.41%	8.19%	7.01%	6.14%	6.20%	5.95%	5.45%	5.50%	6.01%	8.26%	5.74%	4.81%	6.84%	6.67%	5.99%	7.28%	5.38%	6.46%	3.11%									
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
