Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																			
Дата голосования: 07.12.2003 0:00:00																																																			
																																																			
Наименование Избирательной комиссии:    Кармаскалинская																																																			
																																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																			
																																																			
		Сумма	УИК  2528	УИК  2529	УИК  2530	УИК  2531	УИК  2532	УИК  2533	УИК  2534	УИК  2535	УИК  2536	УИК  2537	УИК  2538	УИК  2539	УИК  2540	УИК  2541	УИК  2542	УИК  2543	УИК  2544	УИК  2545	УИК  2546	УИК  2547	УИК  2548	УИК  2549	УИК  2550	УИК  2551	УИК  2552	УИК  2553	УИК  2554	УИК  2555	УИК  2556	УИК  2557	УИК  2558	УИК  2559	УИК  2560	УИК  2561	УИК  2562	УИК  2563	УИК  2564	УИК  2565	УИК  2566	УИК  2567	УИК  2568	УИК  2569	УИК  2570	УИК  2571					
		0.44%	1.17%	0.0%	0.19%	0.54%	0.58%	0.55%	0.0%	0.23%	0.0%	0.0%	3.27%	0.0%	0.0%	0.0%	0.24%	0.47%	1.85%	0.42%	0.37%	0.06%	0.74%	0.82%	0.18%	0.27%	0.64%	0.37%	0.55%	1.03%	0.57%	0.12%	0.58%	1.63%	0.0%	0.84%	0.0%	0.44%	0.32%	1.03%	0.35%	0.76%	1.69%	1.45%	0.71%	0.07%					
35	"18. ""ЛДПР"""	1490	20	13	42	5	49	42	8	46	17	18	9	2	0	61	102	10	20	92	71	99	18	29	91	18	11	2	4	6	51	54	19	31	9	4	18	62	12	6	22	8	23	20	134	112					
		5.40%	3.91%	4.86%	8.30%	1.35%	4.10%	5.83%	2.33%	2.72%	2.79%	6.12%	7.37%	0.90%	0.0%	5.01%	8.42%	2.39%	9.25%	6.52%	6.67%	6.53%	4.46%	5.99%	8.29%	2.45%	2.35%	0.75%	2.22%	3.10%	5.82%	6.49%	3.70%	4.59%	3.86%	1.69%	5.05%	9.14%	1.95%	3.10%	3.94%	3.05%	4.33%	4.85%	10.65%	8.46%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	356	12	1	7	6	23	9	1	12	13	0	2	0	1	14	16	6	0	38	19	32	1	12	13	9	5	1	1	0	9	1	6	7	1	2	2	11	8	1	7	6	10	3	25	3					
		1.29%	2.34%	0.37%	1.38%	1.62%	1.92%	1.25%	0.29%	0.71%	2.13%	0.0%	1.63%	0.0%	0.30%	1.15%	1.32%	1.43%	0.0%	2.69%	1.78%	2.11%	0.24%	2.47%	1.18%	1.22%	1.07%	0.37%	0.55%	0.0%	1.02%	0.12%	1.16%	1.03%	0.42%	0.84%	0.56%	1.62%	1.30%	0.51%	1.25%	2.29%	1.88%	0.72%	1.98%	0.22%					
37	"20. ""Политическая партия ""Единая Россия"""	16110	257	204	302	296	754	374	246	1287	475	197	52	174	234	719	522	264	87	617	436	724	272	269	665	478	175	206	115	137	524	492	367	339	165	144	247	380	499	148	394	155	285	247	517	669					
		58.39%	50.29%	76.40%	59.68%	80.21%	63.14%	51.94%	71.72%	76.28%	77.99%	67.00%	42.62%	79.09%	71.34%	59.12%	43.14%	63.30%	40.27%	43.78%	41.01%	47.75%	67.49%	55.57%	60.61%	65.21%	37.47%	78.03%	63.88%	70.98%	59.81%	59.13%	71.53%	50.29%	70.81%	61.01%	69.38%	56.04%	81.13%	76.68%	70.60%	59.16%	53.77%	59.95%	41.09%	50.56%					
38	"21. ""Российская Конституционно-демократическая партия"""	88	3	0	0	0	4	1	1	3	0	0	3	4	0	3	4	2	1	5	5	2	2	0	0	0	5	0	1	1	5	2	4	2	0	0	0	0	4	0	1	2	5	11	1	1					
		0.31%	0.58%	0.0%	0.0%	0.0%	0.33%	0.13%	0.29%	0.17%	0.0%	0.0%	2.45%	1.81%	0.0%	0.24%	0.33%	0.47%	0.46%	0.35%	0.47%	0.13%	0.49%	0.0%	0.0%	0.0%	1.07%	0.0%	0.55%	0.51%	0.57%	0.24%	0.77%	0.29%	0.0%	0.0%	0.0%	0.0%	0.65%	0.0%	0.17%	0.76%	0.94%	2.66%	0.07%	0.07%					
39	"22. ""Развитие предпринимательства"""	49	0	0	0	0	1	0	0	2	0	0	1	0	0	0	4	0	1	2	7	7	0	4	2	0	0	0	5	0	0	0	0	2	0	0	0	0	1	0	2	0	3	0	2	3					
		0.17%	0.0%	0.0%	0.0%	0.0%	0.08%	0.0%	0.0%	0.11%	0.0%	0.0%	0.81%	0.0%	0.0%	0.0%	0.33%	0.0%	0.46%	0.14%	0.65%	0.46%	0.0%	0.82%	0.18%	0.0%	0.0%	0.0%	2.77%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%	0.0%	0.0%	0.0%	0.16%	0.0%	0.35%	0.0%	0.56%	0.0%	0.15%	0.22%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	3266	74	7	26	10	151	127	29	146	50	37	17	3	31	138	149	46	22	221	176	220	37	51	90	118	133	24	18	19	79	87	30	79	24	24	24	59	25	16	42	18	38	42	219	290					
		11.83%	14.48%	2.62%	5.13%	2.71%	12.64%	17.63%	8.45%	8.65%	8.21%	12.58%	13.93%	1.36%	9.45%	11.34%	12.31%	11.03%	10.18%	15.68%	16.55%	14.51%	9.18%	10.53%	8.20%	16.09%	28.47%	9.09%	10.0%	9.84%	9.01%	10.45%	5.84%	11.72%	10.30%	10.16%	6.74%	8.70%	4.06%	8.29%	7.52%	6.87%	7.16%	10.19%	17.40%	21.91%					
																																																			
41	Против всех	657	0	4	4	4	9	12	2	28	19	9	1	0	6	69	76	7	8	47	43	44	8	11	23	12	17	2	4	3	13	9	10	26	3	0	0	12	6	2	3	4	6	6	53	32					
		2.38%	0.0%	1.49%	0.79%	1.08%	0.75%	1.66%	0.58%	1.65%	3.11%	3.06%	0.81%	0.0%	1.82%	5.67%	6.28%	1.67%	3.70%	3.33%	4.04%	2.90%	1.98%	2.27%	2.09%	1.63%	3.64%	0.75%	2.22%	1.55%	1.48%	1.08%	1.94%	3.85%	1.28%	0.0%	0.0%	1.76%	0.97%	1.03%	0.53%	1.52%	1.13%	1.45%	4.21%	2.41%					
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
