Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																						
Дата голосования: 18.09.2016																						
																						
Наименование Избирательной комиссии:    Тандинская																						
																						
Сводная таблица итогов голосования по федеральному избирательному округу																						
																						
		Сумма	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	11	2	2	1	0	0	0	1	0	5	0	0									
		0.18%	0.13%	0.24%	0.23%	0.00%	0.00%	0.00%	0.77%	0.00%	1.05%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	3	2	1	0	0	0	0	0	0	0	0	0									
		0.05%	0.13%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	17	3	4	5	0	3	0	1	1	0	0	0									
		0.28%	0.19%	0.48%	1.17%	0.00%	0.22%	0.00%	0.77%	0.26%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	199	42	5	33	0	57	0	17	23	14	5	3									
		3.27%	2.63%	0.60%	7.71%	0.00%	4.18%	0.00%	13.08%	6.05%	2.95%	2.34%	0.85%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	9	2	3	2	0	0	0	1	0	1	0	0									
		0.15%	0.13%	0.36%	0.47%	0.00%	0.00%	0.00%	0.77%	0.00%	0.21%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	103	14	5	20	0	11	0	1	18	14	5	15									
		1.69%	0.88%	0.60%	4.67%	0.00%	0.81%	0.00%	0.77%	4.74%	2.95%	2.34%	4.24%									
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
