Выборы Президента Российской Федерации																																					
																																					
Наименование Избирательной комиссии:    Первомайский район																																					
																																					
Итоги голосования 																																					
																																					
		Сумма	УИК  552	УИК  553	УИК  554	УИК  555	УИК  556	УИК  557	УИК  558	УИК  559	УИК  560	УИК  561	УИК  562	УИК  563	УИК  564	УИК  565	УИК  566	УИК  567	УИК  568	УИК  569	УИК  570	УИК  571	УИК  572	УИК  573	УИК  574	УИК  575	УИК  576	УИК  577	УИК  578	УИК  579	УИК  580	УИК  581					
21	. Путин Владимир Владимирович	7715	72	491	181	536	79	63	398	108	151	108	62	141	104	194	681	704	720	516	406	180	185	120	137	219	185	288	244	115	113	214					
		66.79%	58.06%	70.55%	49.32%	58.77%	66.39%	58.33%	70.69%	81.20%	68.33%	72.48%	65.26%	49.13%	46.64%	72.93%	62.19%	68.55%	74.38%	73.93%	79.14%	76.27%	68.52%	59.41%	59.05%	77.94%	73.12%	70.59%	66.85%	62.50%	64.57%	56.17%					
22	. Хакамада Ирина Муцуовна	267	1	28	9	24	4	2	8	1	4	0	3	9	10	1	31	33	26	17	4	1	3	8	2	2	4	17	6	2	2	5					
		2.31%	0.81%	4.02%	2.45%	2.63%	3.36%	1.85%	1.42%	0.75%	1.81%	0.00%	3.16%	3.14%	4.48%	0.38%	2.83%	3.21%	2.69%	2.44%	0.78%	0.42%	1.11%	3.96%	0.86%	0.71%	1.58%	4.17%	1.64%	1.09%	1.14%	1.31%					
23	. Харитонов Николай Михайлович	2369	35	98	130	268	15	21	89	18	47	15	19	96	88	44	263	202	127	100	64	27	56	61	58	41	47	63	83	42	34	118					
		20.51%	28.23%	14.08%	35.42%	29.39%	12.61%	19.44%	15.81%	13.53%	21.27%	10.07%	20.00%	33.45%	39.46%	16.54%	24.02%	19.67%	13.12%	14.33%	12.48%	11.44%	20.74%	30.20%	25.00%	14.59%	18.58%	15.44%	22.74%	22.83%	19.43%	30.97%					
																																					
24	Против всех	351	5	24	10	31	3	3	16	0	7	1	1	4	4	10	58	33	39	28	11	8	7	3	8	3	4	8	12	0	1	9					
		3.04%	4.03%	3.45%	2.72%	3.40%	2.52%	2.78%	2.84%	0.00%	3.17%	0.67%	1.05%	1.39%	1.79%	3.76%	5.30%	3.21%	4.03%	4.01%	2.14%	3.39%	2.59%	1.49%	3.45%	1.07%	1.58%	1.96%	3.29%	0.00%	0.57%	2.36%					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
