Выборы Президента Российской Федерации																																																																		
																																																																		
"Наименование Избирательной комиссии:    Нижний Новгород, Советская"																																																																		
																																																																		
Итоги голосования 																																																																		
																																																																		
		Сумма	УИК  1709	УИК  1710	УИК  1711	УИК  1712	УИК  1713	УИК  1714	УИК  1715	УИК  1716	УИК  1717	УИК  1718	УИК  1719	УИК  1720	УИК  1721	УИК  1722	УИК  1723	УИК  1724	УИК  1725	УИК  1726	УИК  1727	УИК  1728	УИК  1729	УИК  1730	УИК  1731	УИК  1732	УИК  1733	УИК  1734	УИК  1735	УИК  1736	УИК  1737	УИК  1738	УИК  1739	УИК  1740	УИК  1741	УИК  1742	УИК  1743	УИК  1744	УИК  1745	УИК  1746	УИК  1747	УИК  1748	УИК  1749	УИК  1750	УИК  1751	УИК  1752	УИК  1753	УИК  1754	УИК  1755	УИК  1756	УИК  1757	УИК  1758	УИК  1759	УИК  1760	УИК  1761	УИК  1762	УИК  1763	УИК  1764	УИК  1765	УИК  1766	УИК  1767					
11	Число полученных открепительных  удостоверений	1150	20	15	20	15	10	20	20	10	10	30	20	20	60	20	20	40	20	20	20	20	10	15	15	20	19	20	20	25	10	20	25	20	15	20	21	15	30	20	30	25	20	10	20	20	15	15	15	10	20	30	20	30	10	20	20	20	20	10	0					
12	Число выданных открепительных удостоверений	752	14	11	13	11	7	10	14	5	4	24	10	16	53	10	9	5	15	13	17	10	5	12	10	16	14	11	11	18	10	18	19	17	9	11	14	6	21	14	13	18	16	6	15	10	10	5	8	5	16	24	13	24	6	11	13	12	17	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	690	8	12	7	9	10	6	7	8	7	19	16	8	15	13	11	20	25	20	22	17	14	12	6	9	7	6	7	12	17	18	7	11	8	6	14	8	11	15	11	8	12	4	10	11	14	13	5	5	15	5	22	5	14	5	7	3	3	8	62					
14	Число неиспользованных открепительных удостоверений	398	6	4	7	4	3	10	6	5	6	6	10	4	7	10	11	35	5	7	3	10	5	3	5	4	5	9	9	7	0	2	6	3	6	9	7	9	9	6	17	7	4	4	5	10	5	10	7	5	4	6	7	6	4	9	7	8	3	7	0					
15	"Число открепительных удостоверений, выданных в ТИК"	6	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																		
18	. Глазьев Сергей Юрьевич	3529	73	48	64	52	58	51	35	45	35	68	64	44	40	63	45	21	58	66	40	27	20	41	38	64	55	45	68	79	71	94	87	64	55	42	64	39	74	85	74	77	57	66	59	52	75	50	51	70	72	98	94	66	87	60	96	120	84	11	28					
		5.22%	6.11%	3.98%	4.84%	4.26%	5.29%	5.60%	3.73%	5.47%	5.35%	5.32%	4.87%	4.84%	3.15%	6.15%	4.86%	2.15%	5.28%	5.35%	3.67%	3.01%	3.75%	4.62%	5.92%	4.00%	6.67%	4.33%	6.82%	5.59%	5.47%	5.22%	6.92%	5.37%	5.32%	4.59%	5.95%	3.89%	5.22%	6.09%	5.65%	6.01%	5.00%	5.43%	4.79%	4.86%	6.40%	4.67%	4.68%	5.71%	5.33%	7.81%	6.89%	4.98%	7.23%	5.85%	6.58%	7.51%	6.51%	3.77%	1.48%					
19	. Малышкин Олег Александрович	860	17	21	15	9	8	14	11	17	6	12	16	7	13	10	12	12	9	12	13	10	6	10	6	21	10	13	11	13	23	20	11	12	10	13	8	11	15	21	18	11	13	12	11	11	15	11	9	21	18	17	14	17	16	14	9	23	17	3	102					
		1.27%	1.42%	1.74%	1.13%	0.74%	0.73%	1.54%	1.17%	2.07%	0.92%	0.94%	1.22%	0.77%	1.02%	0.98%	1.30%	1.23%	0.82%	0.97%	1.19%	1.11%	1.13%	1.13%	0.93%	1.31%	1.21%	1.25%	1.10%	0.92%	1.77%	1.11%	0.87%	1.01%	0.97%	1.42%	0.74%	1.10%	1.06%	1.50%	1.38%	0.86%	1.14%	0.99%	0.89%	1.03%	1.28%	1.03%	0.83%	1.71%	1.33%	1.36%	1.03%	1.28%	1.33%	1.37%	0.62%	1.44%	1.32%	1.03%	5.37%					
20	. Миронов Сергей Михайлович	513	8	14	12	9	10	5	4	7	8	6	14	3	3	4	3	6	5	10	6	2	1	4	2	6	3	5	2	20	13	15	10	9	5	0	5	4	14	8	15	8	9	7	9	11	10	1	9	14	10	18	19	14	6	11	15	22	17	5	18					
		0.76%	0.67%	1.16%	0.91%	0.74%	0.91%	0.55%	0.43%	0.85%	1.22%	0.47%	1.07%	0.33%	0.24%	0.39%	0.32%	0.61%	0.45%	0.81%	0.55%	0.22%	0.19%	0.45%	0.31%	0.37%	0.36%	0.48%	0.20%	1.42%	1.00%	0.83%	0.79%	0.76%	0.48%	0.00%	0.46%	0.40%	0.99%	0.57%	1.15%	0.62%	0.79%	0.58%	0.73%	1.03%	0.85%	0.09%	0.83%	1.14%	0.74%	1.44%	1.39%	1.06%	0.50%	1.07%	1.03%	1.38%	1.32%	1.71%	0.95%					
21	. Путин Владимир Владимирович	42351	784	750	827	831	679	573	663	529	396	816	822	567	939	638	548	834	665	777	686	556	411	548	403	966	469	611	600	855	739	1108	696	713	606	595	642	760	915	877	797	803	745	802	803	675	689	652	655	717	806	706	837	781	718	601	875	917	722	218	1438					
		62.67%	65.61%	62.14%	62.51%	68.00%	61.90%	62.90%	70.61%	64.28%	60.55%	63.90%	62.60%	62.38%	74.00%	62.24%	59.18%	85.45%	60.51%	63.02%	62.94%	61.92%	77.11%	61.71%	62.77%	60.34%	56.85%	58.75%	60.18%	60.51%	56.89%	61.52%	55.33%	59.82%	58.66%	64.96%	59.67%	75.77%	64.53%	62.82%	60.89%	62.64%	65.41%	66.01%	65.13%	63.14%	58.79%	60.88%	60.09%	58.53%	59.62%	56.30%	61.36%	58.94%	59.68%	58.63%	60.01%	57.42%	55.97%	74.66%	75.76%					
22	. Хакамада Ирина Муцуовна	6767	92	102	109	99	99	87	71	63	72	112	113	86	111	101	84	23	128	108	111	103	34	89	72	209	132	155	132	148	159	211	164	151	127	107	108	62	129	167	127	127	96	103	119	95	133	111	122	125	163	143	117	136	151	95	155	164	175	10	70					
		10.01%	7.70%	8.45%	8.24%	8.10%	9.02%	9.55%	7.56%	7.65%	11.01%	8.77%	8.61%	9.46%	8.75%	9.85%	9.07%	2.36%	11.65%	8.76%	10.18%	11.47%	6.38%	10.02%	11.21%	13.05%	16.00%	14.90%	13.24%	10.47%	12.24%	11.72%	13.04%	12.67%	12.29%	11.68%	10.04%	6.18%	9.10%	11.96%	9.70%	9.91%	8.43%	8.48%	9.65%	8.89%	11.35%	10.36%	11.19%	10.20%	12.06%	11.40%	8.58%	10.26%	12.55%	9.27%	10.63%	10.27%	13.57%	3.42%	3.69%					
23	. Харитонов Николай Михайлович	9583	158	219	226	157	172	135	112	125	92	191	214	148	101	161	176	26	174	184	158	129	23	122	75	238	117	133	130	205	211	227	233	168	168	111	189	88	171	148	199	189	174	165	167	165	193	192	181	203	220	200	211	227	163	167	237	255	207	34	19					
		14.18%	13.22%	18.14%	17.08%	12.85%	15.68%	14.82%	11.93%	15.19%	14.07%	14.96%	16.30%	16.28%	7.96%	15.71%	19.01%	2.66%	15.83%	14.92%	14.50%	14.37%	4.32%	13.74%	11.68%	14.87%	14.18%	12.79%	13.04%	14.51%	16.24%	12.60%	18.52%	14.09%	16.26%	12.12%	17.57%	8.77%	12.06%	10.60%	15.20%	14.74%	15.28%	13.58%	13.54%	15.43%	16.47%	17.93%	16.61%	16.57%	16.27%	15.95%	15.47%	17.13%	13.55%	16.29%	16.26%	15.97%	16.05%	11.64%	1.00%					
																																																																		
24	Против всех	3617	61	48	65	60	63	45	37	30	38	64	61	49	57	44	47	52	56	72	73	65	38	72	44	95	37	70	50	89	76	121	48	71	58	40	57	35	93	82	77	63	41	55	52	56	50	43	57	74	56	68	64	76	57	76	65	92	58	8	166					
		5.35%	5.10%	3.98%	4.91%	4.91%	5.74%	4.94%	3.94%	3.65%	5.81%	5.01%	4.65%	5.39%	4.49%	4.29%	5.08%	5.33%	5.10%	5.84%	6.70%	7.24%	7.13%	8.11%	6.85%	5.93%	4.48%	6.73%	5.02%	6.30%	5.85%	6.72%	3.82%	5.96%	5.61%	4.37%	5.30%	3.49%	6.56%	5.87%	5.88%	4.91%	3.60%	4.53%	4.22%	5.24%	4.27%	4.01%	5.23%	6.04%	4.14%	5.42%	4.69%	5.74%	4.74%	7.41%	4.46%	5.76%	4.50%	2.74%	8.75%					
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
