Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																									
Дата голосования: 07.12.2003 0:00:00																																																																																									
																																																																																									
Наименование Избирательной комиссии:    Томская																																																																																									
																																																																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																									
																																																																																									
		Сумма	УИК №369	УИК №370	УИК №387	УИК №388	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																									
18	"1. ""ЕДИНЕНИЕ"""	630	3	0	2	8	8	0	3	5	6	5	4	11	16	1	3	2	11	10	18	20	17	19	7	5	11	1	5	1	8	4	4	1	14	0	6	6	14	13	8	37	3	5	11	2	9	3	18	3	8	2	5	2	8	11	0	3	0	8	4	6	7	13	9	2	3	15	6	18	2	3	7	21	4	21	14	11	9	1	5	8	2	21					
		1.74%	3.12%	0.0%	3.44%	1.34%	1.05%	0.0%	2.12%	2.47%	2.07%	2.82%	4.49%	2.72%	2.30%	1.08%	0.70%	0.76%	1.35%	1.22%	2.33%	1.93%	1.41%	1.58%	2.65%	0.73%	2.97%	0.98%	1.39%	0.86%	1.56%	2.27%	2.73%	0.81%	2.88%	0.0%	1.71%	3.01%	1.93%	2.77%	2.52%	3.11%	0.77%	1.17%	1.94%	0.22%	1.44%	2.80%	2.20%	0.62%	2.33%	0.82%	2.82%	1.01%	3.96%	1.34%	0.0%	2.72%	0.0%	1.54%	1.32%	4.19%	1.31%	1.70%	1.15%	2.29%	0.77%	2.50%	1.92%	3.07%	1.06%	1.76%	3.15%	2.64%	0.63%	1.63%	3.39%	0.80%	1.38%	0.75%	1.53%	2.27%	1.07%	2.38%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1143	0	0	1	33	36	0	3	6	11	4	0	10	8	1	7	0	15	17	24	28	37	54	5	18	14	0	8	2	7	7	2	2	0	0	8	1	28	25	10	60	11	10	11	65	48	0	23	16	9	6	6	5	6	12	4	2	8	12	6	2	12	25	17	3	4	5	2	10	3	3	4	40	26	54	13	81	34	5	16	13	1	18					
		3.16%	0.0%	0.0%	1.72%	5.53%	4.73%	0.0%	2.12%	2.97%	3.80%	2.25%	0.0%	2.48%	1.15%	1.08%	1.64%	0.0%	1.84%	2.07%	3.11%	2.70%	3.07%	4.50%	1.89%	2.65%	3.78%	0.0%	2.22%	1.72%	1.36%	3.97%	1.36%	1.63%	0.0%	0.0%	2.28%	0.50%	3.86%	5.34%	3.15%	5.05%	2.84%	2.34%	1.94%	7.27%	7.72%	0.0%	2.81%	3.31%	2.63%	2.46%	3.38%	2.52%	2.97%	1.47%	4.25%	1.81%	6.15%	2.31%	1.98%	1.39%	2.25%	3.27%	2.17%	3.44%	1.03%	0.83%	0.64%	1.70%	1.60%	1.76%	1.80%	5.03%	4.15%	4.21%	3.15%	5.91%	5.21%	3.78%	4.92%	3.70%	0.53%	2.04%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	2178	10	0	7	36	27	1	5	10	12	11	10	32	34	3	19	8	81	90	64	59	72	54	16	37	20	3	31	9	41	13	6	1	27	1	20	7	37	26	24	51	21	31	45	40	33	9	42	58	14	18	7	1	7	60	13	4	6	33	11	7	87	66	79	1	24	23	30	25	12	6	9	42	33	61	25	50	23	3	26	19	5	54					
		6.02%	10.41%	0.0%	12.06%	6.04%	3.54%	1.61%	3.54%	4.95%	4.15%	6.21%	11.23%	7.94%	4.90%	3.26%	4.47%	3.04%	9.96%	10.98%	8.30%	5.70%	5.98%	4.50%	6.06%	5.45%	5.40%	2.94%	8.63%	7.75%	8.02%	7.38%	4.10%	0.81%	5.56%	0.90%	5.71%	3.51%	5.11%	5.55%	7.57%	4.30%	5.44%	7.27%	7.93%	4.47%	5.31%	8.41%	5.14%	12.00%	4.09%	7.40%	3.95%	0.50%	3.46%	7.35%	13.82%	3.63%	4.61%	6.35%	3.64%	4.89%	16.38%	8.65%	10.10%	1.14%	6.23%	3.83%	9.61%	4.27%	6.41%	3.52%	4.05%	5.28%	5.27%	4.76%	6.06%	3.64%	3.52%	2.27%	8.0%	5.41%	2.68%	6.13%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	1504	0	0	3	30	47	0	1	10	18	10	1	7	15	0	6	13	26	22	28	39	50	58	5	24	19	2	5	7	7	4	0	0	3	1	1	2	36	24	14	68	6	10	13	53	43	2	50	21	11	6	4	0	7	18	1	1	1	23	13	1	29	28	31	0	2	13	11	23	7	3	8	49	45	108	15	135	53	7	7	8	3	29					
		4.16%	0.0%	0.0%	5.17%	5.03%	6.17%	0.0%	0.70%	4.95%	6.22%	5.64%	1.12%	1.73%	2.16%	0.0%	1.41%	4.94%	3.19%	2.68%	3.63%	3.76%	4.15%	4.84%	1.89%	3.53%	5.13%	1.96%	1.39%	6.03%	1.36%	2.27%	0.0%	0.0%	0.61%	0.90%	0.28%	1.00%	4.97%	5.12%	4.41%	5.73%	1.55%	2.34%	2.29%	5.92%	6.92%	1.86%	6.12%	4.34%	3.21%	2.46%	2.25%	0.0%	3.46%	2.20%	1.06%	0.90%	0.76%	4.43%	4.30%	0.69%	5.46%	3.66%	3.96%	0.0%	0.51%	2.17%	3.52%	3.93%	3.74%	1.76%	3.60%	6.16%	7.18%	8.43%	3.64%	9.85%	8.12%	5.30%	2.15%	2.27%	1.61%	3.29%					
22	"5. ""За Русь Святую"""	172	0	0	0	2	1	0	1	2	0	1	0	2	5	0	1	2	5	5	6	8	3	4	4	1	2	0	1	0	3	3	0	1	2	1	0	2	2	4	1	7	2	1	1	2	1	1	2	2	2	0	1	0	1	2	2	1	1	4	1	7	3	3	4	0	4	2	3	2	2	1	0	5	1	4	3	3	4	1	1	4	3	3					
		0.47%	0.0%	0.0%	0.0%	0.33%	0.13%	0.0%	0.70%	0.99%	0.0%	0.56%	0.0%	0.49%	0.72%	0.0%	0.23%	0.76%	0.61%	0.61%	0.77%	0.77%	0.24%	0.33%	1.51%	0.14%	0.54%	0.0%	0.27%	0.0%	0.58%	1.70%	0.0%	0.81%	0.41%	0.90%	0.0%	1.00%	0.27%	0.85%	0.31%	0.59%	0.51%	0.23%	0.17%	0.22%	0.16%	0.93%	0.24%	0.41%	0.58%	0.0%	0.56%	0.0%	0.49%	0.24%	2.12%	0.90%	0.76%	0.77%	0.33%	4.89%	0.56%	0.39%	0.51%	0.0%	1.03%	0.33%	0.96%	0.34%	1.06%	0.58%	0.0%	0.62%	0.15%	0.31%	0.72%	0.21%	0.61%	0.75%	0.30%	1.13%	1.61%	0.34%					
23	"6. ""Объединенная Российская партия ""Русь"""	122	1	0	0	1	1	0	1	2	1	1	0	2	2	0	2	2	2	4	2	7	4	1	0	3	0	1	3	0	2	0	0	0	2	0	0	2	1	1	5	3	1	1	2	3	1	0	1	0	4	1	0	0	3	3	0	0	2	0	0	0	3	3	0	1	3	3	0	4	1	2	2	0	5	4	1	2	2	1	0	0	0	4					
		0.33%	1.04%	0.0%	0.0%	0.16%	0.13%	0.0%	0.70%	0.99%	0.34%	0.56%	0.0%	0.49%	0.28%	0.0%	0.47%	0.76%	0.24%	0.48%	0.25%	0.67%	0.33%	0.08%	0.0%	0.44%	0.0%	0.98%	0.83%	0.0%	0.39%	0.0%	0.0%	0.0%	0.41%	0.0%	0.0%	1.00%	0.13%	0.21%	1.57%	0.25%	0.25%	0.23%	0.35%	0.33%	0.16%	0.0%	0.12%	0.0%	1.16%	0.41%	0.0%	0.0%	1.48%	0.36%	0.0%	0.0%	1.53%	0.0%	0.0%	0.0%	0.56%	0.39%	0.0%	1.14%	0.77%	0.50%	0.0%	0.68%	0.53%	1.17%	0.90%	0.0%	0.79%	0.31%	0.24%	0.14%	0.30%	0.75%	0.0%	0.0%	0.0%	0.45%					
24	"7. ""Новый курс - Автомобильная Россия"""	149	0	1	0	5	6	0	0	0	3	3	1	3	1	0	0	0	4	2	3	6	6	5	1	2	3	0	0	0	3	0	0	0	1	0	1	0	4	1	2	5	0	3	1	8	2	0	0	0	1	0	2	0	0	0	0	2	0	3	2	1	1	4	2	1	1	2	2	7	1	0	1	5	3	8	1	7	0	0	1	2	0	3					
		0.41%	0.0%	2.17%	0.0%	0.83%	0.78%	0.0%	0.0%	0.0%	1.03%	1.69%	1.12%	0.74%	0.14%	0.0%	0.0%	0.0%	0.49%	0.24%	0.38%	0.57%	0.49%	0.41%	0.37%	0.29%	0.81%	0.0%	0.0%	0.0%	0.58%	0.0%	0.0%	0.0%	0.20%	0.0%	0.28%	0.0%	0.55%	0.21%	0.63%	0.42%	0.0%	0.70%	0.17%	0.89%	0.32%	0.0%	0.0%	0.0%	0.29%	0.0%	1.12%	0.0%	0.0%	0.0%	0.0%	1.81%	0.0%	0.57%	0.66%	0.69%	0.18%	0.52%	0.25%	1.14%	0.25%	0.33%	0.64%	1.19%	0.53%	0.0%	0.45%	0.62%	0.47%	0.62%	0.24%	0.51%	0.0%	0.0%	0.30%	0.56%	0.0%	0.34%					
25	"8. ""Народно-республиканская партия России"""	72	0	0	0	1	1	0	0	1	0	0	0	2	1	0	1	0	1	1	0	3	0	5	1	0	0	1	1	2	2	1	0	0	1	0	0	3	0	3	0	0	1	2	0	2	1	0	3	0	1	1	1	0	1	3	0	0	0	2	0	0	2	2	0	0	2	2	1	1	0	1	0	0	2	1	2	1	0	0	0	1	2	2					
		0.19%	0.0%	0.0%	0.0%	0.16%	0.13%	0.0%	0.0%	0.49%	0.0%	0.0%	0.0%	0.49%	0.14%	0.0%	0.23%	0.0%	0.12%	0.12%	0.0%	0.28%	0.0%	0.41%	0.37%	0.0%	0.0%	0.98%	0.27%	1.72%	0.39%	0.56%	0.0%	0.0%	0.20%	0.0%	0.0%	1.50%	0.0%	0.64%	0.0%	0.0%	0.25%	0.46%	0.0%	0.22%	0.16%	0.0%	0.36%	0.0%	0.29%	0.41%	0.56%	0.0%	0.49%	0.36%	0.0%	0.0%	0.0%	0.38%	0.0%	0.0%	0.37%	0.26%	0.0%	0.0%	0.51%	0.33%	0.32%	0.17%	0.0%	0.58%	0.0%	0.0%	0.31%	0.07%	0.48%	0.07%	0.0%	0.0%	0.0%	0.28%	1.07%	0.22%					
26	"9. ""Российская экологическая партия ""Зеленые"""	122	0	0	0	3	2	0	1	0	0	0	1	0	0	0	1	0	2	3	2	3	8	7	0	1	1	0	2	1	0	0	0	1	0	1	2	0	3	2	1	7	0	1	1	3	2	1	4	1	2	0	0	0	0	2	0	0	0	0	0	2	1	0	0	0	1	2	1	6	1	0	0	1	4	6	1	11	5	0	2	2	1	3					
		0.33%	0.0%	0.0%	0.0%	0.50%	0.26%	0.0%	0.70%	0.0%	0.0%	0.0%	1.12%	0.0%	0.0%	0.0%	0.23%	0.0%	0.24%	0.36%	0.25%	0.28%	0.66%	0.58%	0.0%	0.14%	0.27%	0.0%	0.55%	0.86%	0.0%	0.0%	0.0%	0.81%	0.0%	0.90%	0.57%	0.0%	0.41%	0.42%	0.31%	0.59%	0.0%	0.23%	0.17%	0.33%	0.32%	0.93%	0.49%	0.20%	0.58%	0.0%	0.0%	0.0%	0.0%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	1.39%	0.18%	0.0%	0.0%	0.0%	0.25%	0.33%	0.32%	1.02%	0.53%	0.0%	0.0%	0.12%	0.63%	0.46%	0.24%	0.80%	0.76%	0.0%	0.61%	0.56%	0.53%	0.34%					
27	"10. ""Аграрная партия России"""	887	4	1	2	11	10	2	23	1	1	3	1	6	10	2	1	6	26	22	13	17	28	20	9	29	8	4	21	5	38	2	6	15	24	4	19	9	13	18	3	25	5	15	21	13	7	1	4	14	2	6	4	1	8	30	6	10	1	19	6	3	9	13	8	2	17	11	5	6	1	3	9	20	13	29	8	31	23	4	12	10	9	6					
		2.45%	4.16%	2.17%	3.44%	1.84%	1.31%	3.22%	16.31%	0.49%	0.34%	1.69%	1.12%	1.48%	1.44%	2.17%	0.23%	2.28%	3.19%	2.68%	1.68%	1.64%	2.32%	1.66%	3.40%	4.27%	2.16%	3.92%	5.84%	4.31%	7.43%	1.13%	4.10%	12.29%	4.94%	3.63%	5.42%	4.52%	1.79%	3.84%	0.94%	2.10%	1.29%	3.52%	3.70%	1.45%	1.12%	0.93%	0.49%	2.89%	0.58%	2.46%	2.25%	0.50%	3.96%	3.67%	6.38%	9.09%	0.76%	3.66%	1.98%	2.09%	1.69%	1.70%	1.02%	2.29%	4.41%	1.83%	1.60%	1.02%	0.53%	1.76%	4.05%	2.51%	2.07%	2.26%	1.94%	2.26%	3.52%	3.03%	3.69%	2.84%	4.83%	0.68%					
28	"11. ""Истинные патриоты России"""	55	1	0	0	0	1	0	1	0	0	0	0	0	2	0	1	3	1	1	1	1	0	3	0	2	0	0	0	0	1	0	0	1	0	0	0	0	2	4	0	1	0	1	0	2	0	0	3	2	0	0	0	1	0	1	0	0	0	0	1	0	0	1	4	0	0	0	0	1	0	0	1	0	2	1	0	2	1	0	0	1	0	3					
		0.15%	1.04%	0.0%	0.0%	0.0%	0.13%	0.0%	0.70%	0.0%	0.0%	0.0%	0.0%	0.0%	0.28%	0.0%	0.23%	1.14%	0.12%	0.12%	0.12%	0.09%	0.0%	0.25%	0.0%	0.29%	0.0%	0.0%	0.0%	0.0%	0.19%	0.0%	0.0%	0.81%	0.0%	0.0%	0.0%	0.0%	0.27%	0.85%	0.0%	0.08%	0.0%	0.23%	0.0%	0.22%	0.0%	0.0%	0.36%	0.41%	0.0%	0.0%	0.0%	0.50%	0.0%	0.12%	0.0%	0.0%	0.0%	0.0%	0.33%	0.0%	0.0%	0.13%	0.51%	0.0%	0.0%	0.0%	0.0%	0.17%	0.0%	0.0%	0.45%	0.0%	0.31%	0.07%	0.0%	0.14%	0.15%	0.0%	0.0%	0.28%	0.0%	0.34%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	353	1	0	2	5	4	0	3	2	0	1	1	9	7	0	1	10	9	6	12	11	13	11	1	9	3	0	0	2	3	2	3	0	7	0	2	2	11	8	2	9	4	2	0	3	5	1	9	5	5	1	2	1	3	11	1	0	1	5	1	8	7	4	3	1	6	3	5	14	1	8	4	8	7	8	4	9	5	0	0	3	0	13					
		0.97%	1.04%	0.0%	3.44%	0.83%	0.52%	0.0%	2.12%	0.99%	0.0%	0.56%	1.12%	2.23%	1.01%	0.0%	0.23%	3.80%	1.10%	0.73%	1.55%	1.06%	1.08%	0.91%	0.37%	1.32%	0.81%	0.0%	0.0%	1.72%	0.58%	1.13%	2.05%	0.0%	1.44%	0.0%	0.57%	1.00%	1.51%	1.70%	0.63%	0.75%	1.03%	0.46%	0.0%	0.33%	0.80%	0.93%	1.10%	1.03%	1.46%	0.41%	1.12%	0.50%	1.48%	1.34%	1.06%	0.0%	0.76%	0.96%	0.33%	5.59%	1.31%	0.52%	0.38%	1.14%	1.55%	0.50%	1.60%	2.39%	0.53%	4.70%	1.80%	1.00%	1.11%	0.62%	0.97%	0.65%	0.76%	0.0%	0.0%	0.85%	0.0%	1.47%					
30	"13. ""Демократическая партия России"""	139	2	0	1	1	1	1	1	2	0	0	2	2	4	0	1	3	1	7	7	4	2	2	0	1	0	3	1	1	1	0	0	0	0	0	0	0	2	3	2	3	3	5	2	3	4	0	1	1	1	2	0	0	0	6	0	0	0	4	0	1	2	3	4	0	2	1	1	3	0	2	1	2	1	5	1	5	3	0	1	0	2	6					
		0.38%	2.08%	0.0%	1.72%	0.16%	0.13%	1.61%	0.70%	0.99%	0.0%	0.0%	2.24%	0.49%	0.57%	0.0%	0.23%	1.14%	0.12%	0.85%	0.90%	0.38%	0.16%	0.16%	0.0%	0.14%	0.0%	2.94%	0.27%	0.86%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.27%	0.64%	0.63%	0.25%	0.77%	1.17%	0.35%	0.33%	0.64%	0.0%	0.12%	0.20%	0.29%	0.82%	0.0%	0.0%	0.0%	0.73%	0.0%	0.0%	0.0%	0.77%	0.0%	0.69%	0.37%	0.39%	0.51%	0.0%	0.51%	0.16%	0.32%	0.51%	0.0%	1.17%	0.45%	0.25%	0.15%	0.39%	0.24%	0.36%	0.46%	0.0%	0.30%	0.0%	1.07%	0.68%					
31	"14. ""Великая Россия - Евразийский Союз"""	136	1	0	0	1	4	0	0	0	0	0	1	0	7	0	2	0	4	5	5	2	10	3	1	1	0	1	1	0	6	1	2	0	0	0	0	0	5	2	0	5	3	7	2	5	2	1	5	5	2	1	0	0	0	3	0	1	1	2	0	0	1	0	0	0	0	0	1	3	0	0	0	5	5	2	2	2	1	0	2	0	0	2					
		0.37%	1.04%	0.0%	0.0%	0.16%	0.52%	0.0%	0.0%	0.0%	0.0%	0.0%	1.12%	0.0%	1.01%	0.0%	0.47%	0.0%	0.49%	0.61%	0.64%	0.19%	0.83%	0.25%	0.37%	0.14%	0.0%	0.98%	0.27%	0.0%	1.17%	0.56%	1.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.69%	0.42%	0.0%	0.42%	0.77%	1.64%	0.35%	0.55%	0.32%	0.93%	0.61%	1.03%	0.58%	0.41%	0.0%	0.0%	0.0%	0.36%	0.0%	0.90%	0.76%	0.38%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.32%	0.51%	0.0%	0.0%	0.0%	0.62%	0.79%	0.15%	0.48%	0.14%	0.15%	0.0%	0.61%	0.0%	0.0%	0.22%					
32	"15. ""Партия СЛОН"""	91	2	1	1	3	1	0	0	1	0	0	0	0	1	1	0	0	0	0	4	1	3	8	0	4	0	0	0	0	1	0	0	0	0	0	4	1	0	1	0	11	0	0	0	0	3	1	2	0	0	0	0	0	0	1	0	0	0	3	1	0	0	2	0	0	0	2	0	3	1	0	1	4	3	0	0	11	2	0	2	0	0	0					
		0.25%	2.08%	2.17%	1.72%	0.50%	0.13%	0.0%	0.0%	0.49%	0.0%	0.0%	0.0%	0.0%	0.14%	1.08%	0.0%	0.0%	0.0%	0.0%	0.51%	0.09%	0.24%	0.66%	0.0%	0.58%	0.0%	0.0%	0.0%	0.0%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	1.14%	0.50%	0.0%	0.21%	0.0%	0.92%	0.0%	0.0%	0.0%	0.0%	0.48%	0.93%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.12%	0.0%	0.0%	0.0%	0.57%	0.33%	0.0%	0.0%	0.26%	0.0%	0.0%	0.0%	0.33%	0.0%	0.51%	0.53%	0.0%	0.45%	0.50%	0.47%	0.0%	0.0%	0.80%	0.30%	0.0%	0.61%	0.0%	0.0%	0.0%					
