Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																			
Дата голосования: 07.12.2003 0:00:00																																																																			
																																																																			
Наименование Избирательной комиссии:    Куртамышская																																																																			
																																																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																			
																																																																			
		Сумма	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК  562					
		0.19%	0.09%	0.10%	0.34%	0.0%	0.16%	0.0%	0.0%	0.19%	0.13%	0.0%	0.0%	0.38%	0.0%	1.10%	0.27%	0.0%	0.47%	0.0%	0.0%	0.0%	0.35%	0.0%	0.98%	0.0%	0.0%	4.08%	1.57%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.64%	0.26%	0.0%	0.0%	0.0%	0.65%	0.0%	0.0%	1.00%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.50%	0.0%	0.0%	0.0%	0.90%	1.35%	0.0%					
32	"15. ""Партия СЛОН"""	23	1	0	6	1	1	0	1	0	3	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.13%	0.09%	0.0%	1.02%	0.24%	0.16%	0.0%	0.10%	0.0%	0.41%	0.15%	0.0%	0.38%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.35%	0.0%	0.0%	0.0%	1.07%	0.0%	0.0%	0.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	1.20%	0.0%	0.40%	0.0%	0.0%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	606	41	34	25	23	23	42	35	32	55	26	10	9	1	12	7	3	5	1	8	1	8	5	1	12	1	4	7	10	8	8	1	2	0	1	4	5	21	1	12	3	20	6	1	5	1	9	1	11	11	3	1	7	5	10	0	4	0	3	0	1					
		3.51%	4.08%	3.71%	4.28%	5.59%	3.69%	5.92%	3.62%	6.22%	7.62%	3.95%	3.01%	3.44%	0.75%	2.66%	1.93%	2.67%	2.36%	1.04%	2.97%	1.11%	2.84%	6.09%	0.98%	3.50%	1.07%	8.16%	5.51%	2.94%	15.09%	3.31%	1.49%	4.87%	0.0%	0.57%	2.73%	3.22%	5.51%	1.23%	5.02%	3.61%	3.26%	2.43%	0.62%	2.51%	0.28%	9.47%	0.56%	3.21%	2.52%	1.89%	1.14%	8.64%	1.24%	1.69%	0.0%	4.25%	0.0%	2.72%	0.0%	2.56%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	42	3	5	1	1	5	0	0	0	2	2	0	1	0	4	0	0	0	0	3	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	3	0	2	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0					
		0.24%	0.29%	0.54%	0.17%	0.24%	0.80%	0.0%	0.0%	0.0%	0.27%	0.30%	0.0%	0.38%	0.0%	0.88%	0.0%	0.0%	0.0%	0.0%	1.11%	0.0%	0.0%	0.0%	0.98%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%	0.41%	0.0%	0.0%	0.33%	0.0%	0.68%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	1.87%	0.0%	0.56%	0.0%	0.0%	0.0%	0.22%	0.63%	0.0%	0.0%	0.0%	0.16%	0.0%	1.06%	0.0%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	3437	215	170	129	76	104	98	191	92	131	132	49	52	16	113	64	27	45	10	63	29	44	16	23	87	20	5	19	33	12	33	18	5	55	49	22	52	63	11	59	20	109	64	61	28	90	20	29	80	111	43	42	31	160	76	14	6	8	2	1	10					
		19.93%	21.43%	18.57%	22.12%	18.49%	16.69%	13.82%	19.77%	17.89%	18.16%	20.06%	14.75%	19.92%	12.12%	25.05%	17.67%	24.10%	21.32%	10.41%	23.42%	32.22%	15.65%	19.51%	22.54%	25.43%	21.50%	10.20%	14.96%	9.70%	22.64%	13.69%	26.86%	12.19%	18.15%	28.0%	15.06%	33.54%	16.53%	13.58%	24.68%	24.09%	17.78%	26.01%	38.12%	14.07%	25.64%	21.05%	16.47%	23.39%	25.51%	27.21%	48.27%	38.27%	39.70%	12.90%	16.47%	6.38%	7.92%	1.81%	1.35%	25.64%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	282	13	17	9	11	10	24	11	12	23	12	3	6	1	6	4	1	1	0	7	0	11	0	3	6	1	0	1	6	1	1	3	1	4	2	1	0	4	0	6	1	17	0	3	0	4	1	2	10	5	1	2	0	4	6	1	0	1	1	0	1					
		1.63%	1.29%	1.85%	1.54%	2.67%	1.60%	3.38%	1.13%	2.33%	3.19%	1.82%	0.90%	2.29%	0.75%	1.33%	1.10%	0.89%	0.47%	0.0%	2.60%	0.0%	3.91%	0.0%	2.94%	1.75%	1.07%	0.0%	0.78%	1.76%	1.88%	0.41%	4.47%	2.43%	1.32%	1.14%	0.68%	0.0%	1.04%	0.0%	2.51%	1.20%	2.77%	0.0%	1.87%	0.0%	1.13%	1.05%	1.13%	2.92%	1.14%	0.63%	2.29%	0.0%	0.99%	1.01%	1.17%	0.0%	0.99%	0.90%	0.0%	2.56%					
37	"20. ""Политическая партия ""Единая Россия"""	4752	289	266	149	125	178	198	280	125	227	231	104	77	20	110	73	14	36	21	64	31	101	24	35	63	15	5	24	117	11	79	23	21	75	36	36	35	110	41	48	28	152	78	34	66	92	35	64	127	94	60	23	11	96	134	9	23	35	28	33	13					
		27.56%	28.81%	29.07%	25.55%	30.41%	28.57%	27.92%	28.98%	24.31%	31.48%	35.10%	31.32%	29.50%	15.15%	24.39%	20.16%	12.49%	17.06%	21.87%	23.79%	34.44%	35.94%	29.26%	34.31%	18.42%	16.12%	10.20%	18.89%	34.41%	20.75%	32.78%	34.32%	51.21%	24.75%	20.57%	24.65%	22.58%	28.87%	50.61%	20.08%	33.73%	24.79%	31.70%	21.25%	33.16%	26.21%	36.84%	36.36%	37.13%	21.60%	37.97%	26.43%	13.58%	23.82%	22.75%	10.58%	24.46%	34.65%	25.45%	44.59%	33.33%					
38	"21. ""Российская Конституционно-демократическая партия"""	27	3	0	0	2	3	0	3	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0					
		0.15%	0.29%	0.0%	0.0%	0.48%	0.48%	0.0%	0.31%	0.19%	0.27%	0.30%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.98%	0.0%	0.0%	2.04%	0.0%	0.0%	0.0%	0.82%	0.0%	2.43%	0.0%	0.57%	0.0%	0.0%	0.0%	0.0%	0.41%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.98%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	42	6	2	1	0	2	3	5	3	0	4	3	0	0	2	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0					
		0.24%	0.59%	0.21%	0.17%	0.0%	0.32%	0.42%	0.51%	0.58%	0.0%	0.60%	0.90%	0.0%	0.0%	0.44%	0.55%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.78%	0.0%	0.83%	0.0%	0.0%	0.0%	0.0%	0.0%	0.28%	0.0%	0.0%	0.0%	0.0%	0.63%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	4486	235	280	166	115	164	212	268	167	158	137	95	67	41	110	113	42	65	44	42	10	58	21	9	98	29	8	31	103	7	57	11	3	103	46	64	22	96	18	50	21	202	65	21	47	115	16	48	32	110	28	9	7	51	194	40	23	26	42	15	9					
