Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																				
Дата голосования: 18.09.2016																																																																				
																																																																				
Наименование Избирательной комиссии:    Чановская																																																																				
																																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																																				
																																																																				
		Сумма	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1209									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	433	14	28	25	18	24	7	6	18	19	2	6	14	2	5	2	2	9	4	1	2	9	5	5	2	2	7	2	2	7	8	1	14	5	19	3	7	8	14	1	5	2	2	9	19	8	7	2	2	14	7	2	5	2	9	2	5	2									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	168	10	26	18	16	13	2	1	17	9	2	1	2	0	0	0	0	0	2	1	0	2	2	1	1	0	7	2	2	1	2	0	2	4	1	2	0	2	0	0	1	0	2	1	3	0	0	1	0	0	0	1	0	2	4	0	2	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	182	6	7	7	10	9	4	5	4	11	3	2	1	3	2	3	3	4	3	2	3	0	2	2	3	3	6	4	2	2	2	1	6	10	6	1	2	2	1	2	3	1	2	2	2	1	0	1	1	3	3	1	5	2	2	3	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	265	4	2	7	2	11	5	5	1	10	0	5	12	2	5	2	2	9	2	0	2	7	3	4	1	2	0	0	0	6	6	1	12	1	18	1	7	6	14	1	4	2	0	8	16	8	7	1	2	14	7	1	5	0	5	2	3	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	65	5	7	8	8	8	1	1	7	7	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	1	2	0	2	0	0	0	0	0	0	0	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	78	2	1	6	2	5	4	1	3	7	0	1	2	0	0	0	0	0	2	0	0	2	1	3	2	2	1	1	0	2	0	0	0	1	7	1	0	3	1	0	1	1	1	0	0	1	1	1	3	3	1	0	2	0	0	0	0	0									
		0.86%	0.66%	0.20%	1.48%	0.68%	1.16%	2.96%	1.10%	1.03%	1.98%	0.00%	0.63%	0.83%	0.00%	0.00%	0.00%	0.00%	0.00%	2.00%	0.00%	0.00%	0.70%	0.61%	2.44%	2.33%	2.00%	0.61%	1.75%	0.00%	1.32%	0.00%	0.00%	0.00%	0.76%	2.00%	1.04%	0.00%	2.61%	0.39%	0.00%	0.78%	1.30%	1.56%	0.00%	0.00%	0.79%	0.47%	1.75%	6.67%	1.47%	0.74%	0.00%	1.65%	0.00%	0.00%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	304	14	17	15	12	14	3	4	17	14	1	7	6	1	1	0	3	10	6	0	0	18	2	3	0	3	3	0	2	5	6	1	8	3	9	6	10	5	7	0	4	2	0	5	9	0	3	0	4	9	12	1	8	3	2	3	3	0									
		3.34%	4.61%	3.45%	3.69%	4.08%	3.26%	2.22%	4.40%	5.82%	3.95%	1.30%	4.43%	2.48%	1.79%	1.27%	0.00%	2.91%	3.86%	6.00%	0.00%	0.00%	6.29%	1.22%	2.44%	0.00%	3.00%	1.84%	0.00%	2.63%	3.31%	4.58%	2.33%	3.81%	2.27%	2.57%	6.25%	9.09%	4.35%	2.73%	0.00%	3.10%	2.60%	0.00%	2.86%	2.70%	0.00%	1.41%	0.00%	8.89%	4.41%	8.89%	1.32%	6.61%	4.84%	0.88%	3.16%	1.94%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	137	10	10	8	1	6	5	0	2	6	0	0	2	4	0	0	3	4	0	0	0	7	0	0	0	0	3	0	1	0	4	4	2	6	20	0	0	1	2	1	0	0	0	1	2	1	6	1	0	1	2	0	0	0	8	0	1	2									
		1.51%	3.29%	2.03%	1.97%	0.34%	1.40%	3.70%	0.00%	0.68%	1.69%	0.00%	0.00%	0.83%	7.14%	0.00%	0.00%	2.91%	1.54%	0.00%	0.00%	0.00%	2.45%	0.00%	0.00%	0.00%	0.00%	1.84%	0.00%	1.32%	0.00%	3.05%	9.30%	0.95%	4.55%	5.71%	0.00%	0.00%	0.87%	0.78%	2.50%	0.00%	0.00%	0.00%	0.57%	0.60%	0.79%	2.82%	1.75%	0.00%	0.49%	1.48%	0.00%	0.00%	0.00%	3.52%	0.00%	0.65%	5.13%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4667	130	211	178	135	183	56	42	129	136	46	84	125	27	53	78	45	127	49	33	30	148	110	68	36	78	101	24	40	88	71	19	106	64	159	43	48	56	179	18	82	44	39	87	187	71	128	37	15	105	49	50	51	32	147	56	113	21									
		51.28%	42.76%	42.80%	43.84%	45.92%	42.56%	41.48%	46.15%	44.18%	38.42%	59.74%	53.16%	51.65%	48.21%	67.09%	70.27%	43.69%	49.03%	49.00%	78.57%	57.69%	51.75%	67.07%	55.28%	41.86%	78.00%	61.96%	42.11%	52.63%	58.28%	54.20%	44.19%	50.48%	48.48%	45.43%	44.79%	43.64%	48.70%	69.92%	45.00%	63.57%	57.14%	60.94%	49.71%	56.16%	55.91%	60.09%	64.91%	33.33%	51.47%	36.30%	65.79%	42.15%	51.61%	64.76%	58.95%	72.90%	53.85%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	35	1	4	1	2	1	1	0	2	2	0	0	1	0	0	0	0	0	0	0	0	2	0	1	1	0	1	0	0	1	0	0	1	0	1	0	0	1	2	1	0	0	0	1	0	0	0	1	0	1	0	0	1	1	1	1	1	0									
		0.38%	0.33%	0.81%	0.25%	0.68%	0.23%	0.74%	0.00%	0.68%	0.56%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.70%	0.00%	0.81%	1.16%	0.00%	0.61%	0.00%	0.00%	0.66%	0.00%	0.00%	0.48%	0.00%	0.29%	0.00%	0.00%	0.87%	0.78%	2.50%	0.00%	0.00%	0.00%	0.57%	0.00%	0.00%	0.00%	1.75%	0.00%	0.49%	0.00%	0.00%	0.83%	1.61%	0.44%	1.05%	0.65%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	23	1	0	1	0	1	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	1	1	0	0	2	0	1	0	0	0	0	1	0	0	0	1	0	0	3	0	1	1	0	0									
		0.25%	0.33%	0.00%	0.25%	0.00%	0.23%	0.00%	1.10%	0.68%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.81%	0.00%	0.00%	0.00%	1.75%	0.00%	0.00%	0.76%	0.00%	0.00%	0.76%	0.29%	1.04%	0.00%	0.00%	0.78%	0.00%	0.78%	0.00%	0.00%	0.00%	0.00%	0.79%	0.00%	0.00%	0.00%	0.49%	0.00%	0.00%	2.48%	0.00%	0.44%	1.05%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1678	70	106	77	53	90	38	16	36	81	22	15	39	16	15	24	30	66	18	5	7	60	20	25	26	6	29	26	25	24	12	8	47	12	43	15	16	14	32	8	19	17	11	44	74	28	24	5	9	41	11	18	24	9	40	8	17	7									
		18.44%	23.03%	21.50%	18.97%	18.03%	20.93%	28.15%	17.58%	12.33%	22.88%	28.57%	9.49%	16.12%	28.57%	18.99%	21.62%	29.13%	25.48%	18.00%	11.90%	13.46%	20.98%	12.20%	20.33%	30.23%	6.00%	17.79%	45.61%	32.89%	15.89%	9.16%	18.60%	22.38%	9.09%	12.29%	15.63%	14.55%	12.17%	12.50%	20.00%	14.73%	22.08%	17.19%	25.14%	22.22%	22.05%	11.27%	8.77%	20.00%	20.10%	8.15%	23.68%	19.83%	14.52%	17.62%	8.42%	10.97%	17.95%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	16	1	2	1	3	0	0	1	0	0	0	1	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0									
		0.18%	0.33%	0.41%	0.25%	1.02%	0.00%	0.00%	1.10%	0.00%	0.00%	0.00%	0.63%	0.83%	0.00%	0.00%	0.00%	0.00%	0.39%	1.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.82%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.61%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	21	1	1	0	2	2	0	0	2	3	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.23%	0.33%	0.20%	0.00%	0.68%	0.47%	0.00%	0.00%	0.68%	0.85%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%	0.97%	0.00%	0.00%	0.00%	1.92%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.33%	0.95%	0.00%	0.00%	0.00%	0.91%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.60%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	16	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	1	0	0	0	1	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0									
		0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.10%	0.68%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.70%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.32%	0.00%	0.00%	2.33%	0.00%	0.00%	0.29%	1.04%	0.00%	0.87%	0.39%	0.00%	0.00%	0.00%	1.56%	0.57%	0.60%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.83%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	58	3	12	3	6	1	0	0	2	4	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	3	3	3	0	1	0	0	0	2	0	0	0	0	0	1	0	0	3	0	0	1	1	2	0	1	0									
		0.64%	0.99%	2.43%	0.74%	2.04%	0.23%	0.00%	0.00%	0.68%	1.13%	0.00%	0.63%	0.41%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%	0.00%	1.92%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.32%	0.66%	0.00%	0.00%	1.43%	2.27%	0.86%	0.00%	0.91%	0.00%	0.00%	0.00%	1.55%	0.00%	0.00%	0.00%	0.00%	0.00%	0.47%	0.00%	0.00%	1.47%	0.00%	0.00%	0.83%	1.61%	0.88%	0.00%	0.65%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1537	52	107	87	61	96	15	21	78	75	4	40	47	5	8	4	19	36	16	3	8	33	22	9	16	5	17	3	5	24	23	5	26	29	88	23	22	22	21	10	15	11	9	24	45	14	37	9	8	27	50	5	23	10	17	22	17	9									
		16.89%	17.11%	21.70%	21.43%	20.75%	22.33%	11.11%	23.08%	26.71%	21.19%	5.19%	25.32%	19.42%	8.93%	10.13%	3.60%	18.45%	13.90%	16.00%	7.14%	15.38%	11.54%	13.41%	7.32%	18.60%	5.00%	10.43%	5.26%	6.58%	15.89%	17.56%	11.63%	12.38%	21.97%	25.14%	23.96%	20.00%	19.13%	8.20%	25.00%	11.63%	14.29%	14.06%	13.71%	13.51%	11.02%	17.37%	15.79%	17.78%	13.24%	37.04%	6.58%	19.01%	16.13%	7.49%	23.16%	10.97%	23.08%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	26	1	0	2	0	3	1	0	1	2	0	0	0	0	1	0	1	1	0	0	0	2	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0									
		0.29%	0.33%	0.00%	0.49%	0.00%	0.70%	0.74%	0.00%	0.34%	0.56%	0.00%	0.00%	0.00%	0.00%	1.27%	0.00%	0.97%	0.39%	0.00%	0.00%	0.00%	0.70%	0.61%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.33%	0.95%	0.00%	0.00%	0.00%	0.00%	0.87%	0.39%	0.00%	0.00%	1.30%	1.56%	0.00%	0.00%	0.79%	0.00%	0.00%	0.00%	0.49%	0.00%	0.00%	0.00%	1.61%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	272	12	15	14	7	18	6	4	10	12	2	7	11	2	0	0	1	4	3	0	1	8	2	6	4	1	3	1	1	4	8	0	8	11	11	5	3	8	1	2	2	0	2	7	8	2	11	1	4	5	4	0	5	2	2	0	1	0									
		2.99%	3.95%	3.04%	3.45%	2.38%	4.19%	4.44%	4.40%	3.42%	3.39%	2.60%	4.43%	4.55%	3.57%	0.00%	0.00%	0.97%	1.54%	3.00%	0.00%	1.92%	2.80%	1.22%	4.88%	4.65%	1.00%	1.84%	1.75%	1.32%	2.65%	6.11%	0.00%	3.81%	8.33%	3.14%	5.21%	2.73%	6.96%	0.39%	5.00%	1.55%	0.00%	3.13%	4.00%	2.40%	1.57%	5.16%	1.75%	8.89%	2.45%	2.96%	0.00%	4.13%	3.23%	0.88%	0.00%	0.65%	0.00%									
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
