Выборы Президента Российской Федерации																															
																															
Наименование Избирательной комиссии:    Селивановская																															
																															
Итоги голосования 																															
																															
		Сумма	УИК  905	УИК  906	УИК  907	УИК  908	УИК  909	УИК  910	УИК  911	УИК  912	УИК  913	УИК  914	УИК  915	УИК  916	УИК  917	УИК  918	УИК  919	УИК  920	УИК  921	УИК  922	УИК  923	УИК  924	УИК  925	УИК  926	УИК  927	УИК  928					
18	. Глазьев Сергей Юрьевич	233	6	12	16	4	4	9	4	5	2	7	5	3	1	2	13	3	2	3	3	32	36	41	18	2					
		2.11%	1.59%	2.17%	2.91%	2.23%	1.20%	1.86%	1.31%	1.04%	0.62%	2.30%	2.17%	1.09%	0.78%	0.72%	1.65%	4.76%	1.23%	1.14%	0.94%	2.74%	2.80%	3.31%	2.19%	1.71%					
19	. Малышкин Олег Александрович	336	6	26	21	1	5	13	5	23	11	9	3	6	2	7	23	6	0	5	18	28	49	36	28	5					
		3.05%	1.59%	4.71%	3.83%	0.56%	1.50%	2.68%	1.63%	4.78%	3.38%	2.96%	1.30%	2.19%	1.56%	2.54%	2.93%	9.52%	0.00%	1.90%	5.62%	2.39%	3.81%	2.91%	3.40%	4.27%					
20	. Миронов Сергей Михайлович	91	1	2	4	0	1	9	2	8	5	1	0	1	2	2	3	0	3	1	1	4	16	20	5	0					
		0.83%	0.27%	0.36%	0.73%	0.00%	0.30%	1.86%	0.65%	1.66%	1.54%	0.33%	0.00%	0.36%	1.56%	0.72%	0.38%	0.00%	1.84%	0.38%	0.31%	0.34%	1.25%	1.61%	0.61%	0.00%					
21	. Путин Владимир Владимирович	7845	285	414	399	141	274	314	213	348	189	237	168	224	93	230	579	46	136	176	240	833	852	788	580	86					
		71.14%	75.60%	75.00%	72.68%	78.77%	82.28%	64.74%	69.61%	72.35%	58.15%	77.96%	73.04%	81.75%	72.66%	83.33%	73.66%	73.02%	83.44%	66.92%	75.00%	71.20%	66.30%	63.60%	70.47%	73.50%					
22	. Хакамада Ирина Муцуовна	182	5	4	8	5	1	7	1	3	23	5	3	0	4	4	3	0	1	1	3	25	39	25	11	1					
		1.65%	1.33%	0.72%	1.46%	2.79%	0.30%	1.44%	0.33%	0.62%	7.08%	1.64%	1.30%	0.00%	3.12%	1.45%	0.38%	0.00%	0.61%	0.38%	0.94%	2.14%	3.04%	2.02%	1.34%	0.85%					
23	. Харитонов Николай Михайлович	2015	62	87	90	23	40	116	74	86	86	33	44	37	23	31	148	8	16	72	50	204	227	283	154	21					
		18.27%	16.45%	15.76%	16.39%	12.85%	12.01%	23.92%	24.18%	17.88%	26.46%	10.86%	19.13%	13.50%	17.97%	11.23%	18.83%	12.70%	9.82%	27.38%	15.62%	17.44%	17.67%	22.84%	18.71%	17.95%					
																															
24	Против всех	231	9	2	7	4	8	11	3	6	5	8	4	1	2	0	12	0	2	1	1	34	55	39	15	2					
		2.09%	2.39%	0.36%	1.28%	2.23%	2.40%	2.27%	0.98%	1.25%	1.54%	2.63%	1.74%	0.36%	1.56%	0.00%	1.53%	0.00%	1.23%	0.38%	0.31%	2.91%	4.28%	3.15%	1.82%	1.71%					
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
