Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																				
Дата голосования: 18.09.2016																																																																																				
																																																																																				
Наименование Избирательной комиссии:    Тарская																																																																																				
																																																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																				
																																																																																				
		Сумма	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	801	18	10	12	26	4	14	22	24	24	10	38	17	9	13	20	24	21	29	17	11	0	0	0	2	4	0	8	2	11	21	7	22	6	26	5	28	2	7	0	4	6	2	3	8	2	0	14	3	0	10	18	15	2	13	16	6	6	2	28	8	7	21	8	22	12	11	6	3	14	1	4	9	3									
		4.90%	4.46%	6.71%	5.97%	5.15%	3.74%	3.38%	5.23%	4.54%	5.53%	2.25%	6.77%	3.29%	3.96%	6.16%	5.71%	4.48%	6.34%	5.93%	3.66%	4.89%	0.00%	0.00%	0.00%	1.45%	3.05%	0.00%	2.68%	2.86%	9.65%	6.31%	8.33%	8.12%	15.00%	6.75%	5.38%	9.43%	1.98%	3.85%	0.00%	5.97%	8.57%	2.70%	8.33%	3.70%	2.67%	0.00%	5.15%	1.66%	0.00%	5.65%	5.14%	8.06%	3.17%	6.81%	3.79%	2.82%	4.03%	3.17%	7.91%	6.61%	5.60%	7.32%	5.97%	4.25%	5.13%	4.31%	2.36%	5.00%	7.61%	1.59%	6.25%	8.49%	4.29%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	263	4	3	3	12	6	6	8	9	8	3	17	12	1	2	6	12	6	14	6	0	0	3	0	3	1	1	4	0	1	3	0	1	1	5	1	6	3	4	2	2	0	3	1	2	1	0	6	6	1	0	1	2	0	1	10	6	3	0	3	1	1	4	6	13	1	4	2	2	1	0	0	2	1									
		1.61%	0.99%	2.01%	1.49%	2.38%	5.61%	1.45%	1.90%	1.70%	1.84%	0.67%	3.03%	2.33%	0.44%	0.95%	1.71%	2.24%	1.81%	2.86%	1.29%	0.00%	0.00%	1.17%	0.00%	2.17%	0.76%	1.28%	1.34%	0.00%	0.88%	0.90%	0.00%	0.37%	2.50%	1.30%	1.08%	2.02%	2.97%	2.20%	3.92%	2.99%	0.00%	4.05%	2.78%	0.93%	1.33%	0.00%	2.21%	3.31%	1.54%	0.00%	0.29%	1.08%	0.00%	0.52%	2.37%	2.82%	2.01%	0.00%	0.85%	0.83%	0.80%	1.39%	4.48%	2.51%	0.43%	1.57%	0.79%	3.33%	0.54%	0.00%	0.00%	1.89%	1.43%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7892	157	53	70	209	67	153	197	204	162	192	197	203	89	73	126	195	116	218	173	170	139	213	22	98	78	50	152	37	47	169	40	114	21	212	56	123	70	73	33	41	37	44	17	139	26	20	183	112	46	96	218	84	37	104	237	82	115	47	153	58	82	130	46	243	110	170	169	41	92	40	22	48	32									
		48.24%	38.86%	35.57%	34.83%	41.39%	62.62%	36.96%	46.79%	38.56%	37.33%	43.15%	35.12%	39.34%	39.21%	34.60%	36.00%	36.38%	35.05%	44.58%	37.28%	75.56%	95.86%	83.20%	53.66%	71.01%	59.54%	64.10%	50.84%	52.86%	41.23%	50.75%	47.62%	42.07%	52.50%	55.06%	60.22%	41.41%	69.31%	40.11%	64.71%	61.19%	52.86%	59.46%	47.22%	64.35%	34.67%	58.82%	67.28%	61.88%	70.77%	54.24%	62.29%	45.16%	58.73%	54.45%	56.16%	38.50%	77.18%	74.60%	43.22%	47.93%	65.60%	45.30%	34.33%	46.91%	47.01%	66.67%	66.54%	68.33%	50.00%	63.49%	34.38%	45.28%	45.71%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	83	0	1	1	2	2	2	1	4	1	3	1	2	2	1	0	3	3	1	4	2	0	1	0	1	1	0	1	0	2	1	1	2	0	3	2	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	1	0	6	0	0	5	0	0	2	1	2	1	3	0	0	3	0	0	0	1									
		0.51%	0.00%	0.67%	0.50%	0.40%	1.87%	0.48%	0.24%	0.76%	0.23%	0.67%	0.18%	0.39%	0.88%	0.47%	0.00%	0.56%	0.91%	0.20%	0.86%	0.89%	0.00%	0.39%	0.00%	0.72%	0.76%	0.00%	0.33%	0.00%	1.75%	0.30%	1.19%	0.74%	0.00%	0.78%	2.15%	0.67%	0.99%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.54%	0.00%	0.57%	0.54%	0.00%	0.52%	0.00%	2.82%	0.00%	0.00%	1.41%	0.00%	0.00%	0.70%	0.75%	0.39%	0.43%	1.18%	0.00%	0.00%	1.63%	0.00%	0.00%	0.00%	1.43%									
24	"6. Политическая партия ""Гражданская Платформа"""	51	3	0	0	0	1	1	0	2	0	1	3	0	1	0	2	2	1	1	1	0	0	0	0	1	0	0	1	0	0	2	1	1	0	2	0	1	0	0	0	0	1	4	1	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	1	0	2	1	1	2	3	0	0	1	0	1	0	0									
		0.31%	0.74%	0.00%	0.00%	0.00%	0.93%	0.24%	0.00%	0.38%	0.00%	0.22%	0.53%	0.00%	0.44%	0.00%	0.57%	0.37%	0.30%	0.20%	0.22%	0.00%	0.00%	0.00%	0.00%	0.72%	0.00%	0.00%	0.33%	0.00%	0.00%	0.60%	1.19%	0.37%	0.00%	0.52%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	1.43%	5.41%	2.78%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.57%	0.00%	0.00%	0.00%	0.00%	1.41%	0.00%	0.00%	0.00%	0.83%	0.00%	0.70%	0.75%	0.19%	0.85%	1.18%	0.00%	0.00%	0.54%	0.00%	1.56%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2752	94	32	45	95	10	70	66	112	80	62	87	71	48	36	73	121	73	79	130	17	5	16	14	21	18	11	54	12	24	51	15	34	4	58	11	55	16	43	8	8	6	5	5	40	25	5	35	30	14	31	12	30	12	18	47	27	12	7	61	36	9	54	25	117	54	22	33	10	27	7	19	21	17									
		16.82%	23.27%	21.48%	22.39%	18.81%	9.35%	16.91%	15.68%	21.17%	18.43%	13.93%	15.51%	13.76%	21.15%	17.06%	20.86%	22.57%	22.05%	16.16%	28.02%	7.56%	3.45%	6.25%	34.15%	15.22%	13.74%	14.10%	18.06%	17.14%	21.05%	15.32%	17.86%	12.55%	10.00%	15.06%	11.83%	18.52%	15.84%	23.63%	15.69%	11.94%	8.57%	6.76%	13.89%	18.52%	33.33%	14.71%	12.87%	16.57%	21.54%	17.51%	3.43%	16.13%	19.05%	9.42%	11.14%	12.68%	8.05%	11.11%	17.23%	29.75%	7.20%	18.82%	18.66%	22.59%	23.08%	8.63%	12.99%	16.67%	14.67%	11.11%	29.69%	19.81%	24.29%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	62	0	2	0	0	0	6	3	2	2	1	1	5	1	3	0	3	2	1	5	0	0	0	0	0	1	0	0	0	0	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	4	1	0	0	0	1	1	0	0	1	1	1	0	3	0	1	1	0									
		0.38%	0.00%	1.34%	0.00%	0.00%	0.00%	1.45%	0.71%	0.38%	0.46%	0.22%	0.18%	0.97%	0.44%	1.42%	0.00%	0.56%	0.60%	0.20%	1.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.76%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.37%	2.50%	0.26%	1.08%	0.00%	0.00%	0.55%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.33%	2.94%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	1.88%	0.67%	0.00%	0.00%	0.00%	0.80%	0.35%	0.00%	0.00%	0.43%	0.39%	0.39%	0.00%	1.63%	0.00%	1.56%	0.94%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	148	6	1	2	12	3	8	5	7	5	9	7	15	2	1	6	6	4	9	4	1	0	2	0	0	0	0	1	0	1	1	0	2	0	0	2	3	0	0	0	0	0	0	0	1	0	0	0	4	0	1	0	1	0	2	0	2	0	0	2	0	0	4	0	1	1	1	0	0	0	2	1	0	0									
		0.90%	1.49%	0.67%	0.99%	2.38%	2.80%	1.93%	1.19%	1.32%	1.15%	2.02%	1.25%	2.91%	0.88%	0.47%	1.71%	1.12%	1.21%	1.84%	0.86%	0.44%	0.00%	0.78%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.88%	0.30%	0.00%	0.74%	0.00%	0.00%	2.15%	1.01%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.46%	0.00%	0.00%	0.00%	2.21%	0.00%	0.56%	0.00%	0.54%	0.00%	1.05%	0.00%	0.94%	0.00%	0.00%	0.56%	0.00%	0.00%	1.39%	0.00%	0.19%	0.43%	0.39%	0.00%	0.00%	0.00%	3.17%	1.56%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	25	1	0	0	2	0	1	0	1	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	1	0	2	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0									
		0.15%	0.25%	0.00%	0.00%	0.40%	0.00%	0.24%	0.00%	0.19%	0.00%	0.22%	0.18%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	1.45%	0.76%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.37%	0.00%	0.52%	1.08%	0.00%	0.00%	0.55%	1.96%	0.00%	0.00%	0.00%	0.00%	0.00%	1.33%	0.00%	0.00%	0.00%	0.00%	1.13%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.75%	0.00%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	153	2	1	2	2	1	3	7	8	5	8	5	11	2	2	9	4	5	4	6	2	0	0	0	0	1	0	1	1	1	2	1	2	0	4	2	3	1	1	0	0	0	0	0	1	0	0	5	5	0	2	2	1	0	1	2	4	0	0	2	1	4	6	0	0	4	1	2	0	0	0	0	1	0									
		0.94%	0.50%	0.67%	0.99%	0.40%	0.93%	0.72%	1.66%	1.51%	1.15%	1.80%	0.89%	2.13%	0.88%	0.95%	2.57%	0.75%	1.51%	0.82%	1.29%	0.89%	0.00%	0.00%	0.00%	0.00%	0.76%	0.00%	0.33%	1.43%	0.88%	0.60%	1.19%	0.74%	0.00%	1.04%	2.15%	1.01%	0.99%	0.55%	0.00%	0.00%	0.00%	0.00%	0.00%	0.46%	0.00%	0.00%	1.84%	2.76%	0.00%	1.13%	0.57%	0.54%	0.00%	0.52%	0.47%	1.88%	0.00%	0.00%	0.56%	0.83%	3.20%	2.09%	0.00%	0.00%	1.71%	0.39%	0.79%	0.00%	0.00%	0.00%	0.00%	0.94%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3208	89	41	54	116	3	136	83	129	123	116	172	141	58	56	81	128	80	108	91	17	1	18	2	8	19	12	58	12	22	67	15	79	5	37	6	64	6	40	3	9	20	14	9	17	15	7	17	16	2	34	78	38	12	40	83	23	10	5	84	15	20	41	39	86	36	20	34	3	39	13	5	18	10									
		19.61%	22.03%	27.52%	26.87%	22.97%	2.80%	32.85%	19.71%	24.39%	28.34%	26.07%	30.66%	27.33%	25.55%	26.54%	23.14%	23.88%	24.17%	22.09%	19.61%	7.56%	0.69%	7.03%	4.88%	5.80%	14.50%	15.38%	19.40%	17.14%	19.30%	20.12%	17.86%	29.15%	12.50%	9.61%	6.45%	21.55%	5.94%	21.98%	5.88%	13.43%	28.57%	18.92%	25.00%	7.87%	20.00%	20.59%	6.25%	8.84%	3.08%	19.21%	22.29%	20.43%	19.05%	20.94%	19.67%	10.80%	6.71%	7.94%	23.73%	12.40%	16.00%	14.29%	29.10%	16.60%	15.38%	7.84%	13.39%	5.00%	21.20%	20.63%	7.81%	16.98%	14.29%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	40	0	0	1	3	0	1	0	0	0	3	0	1	1	3	2	1	3	2	2	1	0	0	0	0	0	0	1	0	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	2	1	1	1	0	0	0	0	0	1									
		0.24%	0.00%	0.00%	0.50%	0.59%	0.00%	0.24%	0.00%	0.00%	0.00%	0.67%	0.00%	0.19%	0.44%	1.42%	0.57%	0.19%	0.91%	0.41%	0.43%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.74%	2.50%	0.52%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.54%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.49%	0.39%	0.43%	0.39%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	1.43%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	370	18	1	4	20	2	9	13	16	16	16	14	17	5	18	15	14	10	8	12	2	0	0	1	0	2	3	4	3	3	5	1	8	1	10	0	4	0	5	3	1	0	0	0	4	4	1	5	5	0	0	2	1	0	3	8	3	1	1	6	1	0	10	2	11	2	2	4	1	2	0	1	3	3									
		2.26%	4.46%	0.67%	1.99%	3.96%	1.87%	2.17%	3.09%	3.02%	3.69%	3.60%	2.50%	3.29%	2.20%	8.53%	4.29%	2.61%	3.02%	1.64%	2.59%	0.89%	0.00%	0.00%	2.44%	0.00%	1.53%	3.85%	1.34%	4.29%	2.63%	1.50%	1.19%	2.95%	2.50%	2.60%	0.00%	1.35%	0.00%	2.75%	5.88%	1.49%	0.00%	0.00%	0.00%	1.85%	5.33%	2.94%	1.84%	2.76%	0.00%	0.00%	0.57%	0.54%	0.00%	1.57%	1.90%	1.41%	0.67%	1.59%	1.69%	0.83%	0.00%	3.48%	1.49%	2.12%	0.85%	0.78%	1.57%	1.67%	1.09%	0.00%	1.56%	2.83%	4.29%									
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
