Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																
Дата голосования: 07.12.2003 0:00:00																																																
																																																
Наименование Избирательной комиссии:    Нелидовская																																																
																																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																
																																																
		Сумма	УИК  711	УИК  712	УИК  713	УИК  714	УИК  715	УИК  716	УИК  717	УИК  718	УИК  719	УИК  720	УИК  721	УИК  722	УИК  723	УИК  724	УИК  725	УИК  726	УИК  727	УИК  728	УИК  729	УИК  730	УИК  731	УИК  732	УИК  733	УИК  734	УИК  735	УИК  736	УИК  737	УИК  738	УИК  739	УИК  740	УИК  741	УИК  742	УИК  743	УИК  744	УИК  745	УИК  746	УИК  747	УИК  748	УИК  749	УИК  750	УИК  751					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	490	15	15	15	15	15	20	15	15	15	15	15	10	15	15	15	15	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	15	15	10	10	10	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	172	6	9	7	5	10	18	12	9	6	10	11	2	5	2	14	10	0	3	0	1	1	4	0	0	1	1	0	2	0	0	1	0	0	0	2	1	3	5	2	1	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	145	2	7	2	2	7	5	8	4	2	4	6	3	4	2	4	5	10	3	0	5	9	2	1	2	6	0	5	0	1	1	3	0	5	5	3	2	2	4	1	5	3					
14	Число погашенных открепительных удостоверений	318	9	6	8	10	5	2	3	6	9	5	4	8	10	13	1	5	0	7	10	9	9	6	10	10	9	9	10	8	10	10	9	10	10	10	13	14	7	5	8	9	2					
15	Число открепительных удостоверений выданных ТИК	10	0	0	0	0	0	1	0	0	0	3	2	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																
18	"1. ""ЕДИНЕНИЕ"""	239	10	6	6	7	12	8	9	10	12	12	12	8	20	0	10	10	0	4	2	2	10	8	3	6	1	5	2	0	1	0	1	0	0	2	4	11	7	10	2	1	5					
		1.46%	1.50%	0.85%	0.71%	0.93%	1.31%	0.88%	1.01%	1.27%	1.69%	1.37%	1.79%	2.97%	2.33%	0.0%	1.30%	1.14%	0.0%	1.62%	6.45%	1.20%	2.53%	5.40%	1.73%	5.88%	0.99%	1.90%	2.81%	0.0%	1.20%	0.0%	0.59%	0.0%	0.0%	1.88%	0.87%	2.96%	2.21%	1.84%	2.04%	1.58%	1.21%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	533	16	22	41	33	37	28	44	24	32	36	25	12	21	10	34	28	0	8	0	2	6	1	1	1	7	8	2	2	4	0	0	3	1	2	8	9	2	7	2	1	13					
		3.25%	2.40%	3.12%	4.85%	4.39%	4.06%	3.08%	4.97%	3.06%	4.51%	4.12%	3.73%	4.46%	2.45%	3.74%	4.43%	3.21%	0.0%	3.25%	0.0%	1.20%	1.51%	0.67%	0.57%	0.98%	6.93%	3.04%	2.81%	2.12%	4.81%	0.0%	0.0%	4.34%	1.51%	1.88%	1.75%	2.42%	0.63%	1.29%	2.04%	1.58%	3.17%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	460	18	16	22	14	22	30	33	32	19	20	10	8	27	11	31	25	2	11	1	3	11	4	4	2	2	2	4	2	1	1	2	3	1	1	16	7	4	19	2	5	12					
		2.81%	2.70%	2.27%	2.60%	1.86%	2.41%	3.30%	3.73%	4.08%	2.67%	2.29%	1.49%	2.97%	3.15%	4.11%	4.04%	2.86%	8.0%	4.47%	3.22%	1.80%	2.78%	2.70%	2.31%	1.96%	1.98%	0.76%	5.63%	2.12%	1.20%	1.51%	1.19%	4.34%	1.51%	0.94%	3.51%	1.88%	1.26%	3.51%	2.04%	7.93%	2.92%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	373	14	23	19	21	31	18	26	28	0	21	14	3	20	2	11	24	0	4	0	0	9	3	0	5	2	5	2	1	7	1	0	0	2	9	3	11	7	8	3	0	16					
		2.28%	2.10%	3.26%	2.24%	2.79%	3.40%	1.98%	2.94%	3.57%	0.0%	2.40%	2.09%	1.11%	2.33%	0.74%	1.43%	2.75%	0.0%	1.62%	0.0%	0.0%	2.27%	2.02%	0.0%	4.90%	1.98%	1.90%	2.81%	1.06%	8.43%	1.51%	0.0%	0.0%	3.03%	8.49%	0.65%	2.96%	2.21%	1.47%	3.06%	0.0%	3.90%					
22	"5. ""За Русь Святую"""	112	2	4	3	4	3	5	4	7	5	6	4	0	7	4	6	8	0	1	0	0	1	1	0	0	1	2	0	0	1	1	0	0	0	5	2	6	9	3	1	3	3					
		0.68%	0.30%	0.56%	0.35%	0.53%	0.32%	0.55%	0.45%	0.89%	0.70%	0.68%	0.59%	0.0%	0.81%	1.49%	0.78%	0.91%	0.0%	0.40%	0.0%	0.0%	0.25%	0.67%	0.0%	0.0%	0.99%	0.76%	0.0%	0.0%	1.20%	1.51%	0.0%	0.0%	0.0%	4.71%	0.43%	1.61%	2.84%	0.55%	1.02%	4.76%	0.73%					
23	"6. ""Объединенная Российская партия ""Русь"""	44	1	1	3	0	1	0	5	0	1	6	1	5	4	0	2	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	3	3	1	1	0	2					
		0.26%	0.15%	0.14%	0.35%	0.0%	0.10%	0.0%	0.56%	0.0%	0.14%	0.68%	0.14%	1.85%	0.46%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%	0.60%	0.25%	0.0%	0.0%	0.98%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%	0.80%	0.94%	0.18%	1.02%	0.0%	0.48%					
24	"7. ""Новый курс - Автомобильная Россия"""	122	4	5	6	8	8	11	1	5	8	6	8	1	5	3	8	8	0	2	0	1	5	0	1	1	0	4	0	0	0	1	0	0	0	1	3	1	2	2	2	0	1					
		0.74%	0.60%	0.71%	0.71%	1.06%	0.87%	1.21%	0.11%	0.63%	1.12%	0.68%	1.19%	0.37%	0.58%	1.12%	1.04%	0.91%	0.0%	0.81%	0.0%	0.60%	1.26%	0.0%	0.57%	0.98%	0.0%	1.52%	0.0%	0.0%	0.0%	1.51%	0.0%	0.0%	0.0%	0.94%	0.65%	0.26%	0.63%	0.36%	2.04%	0.0%	0.24%					
25	"8. ""Народно-республиканская партия России"""	47	0	1	0	0	0	5	1	1	0	2	2	0	0	12	1	0	0	0	0	0	0	0	1	0	1	0	1	1	0	1	0	0	8	0	0	2	2	4	0	0	1					
		0.28%	0.0%	0.14%	0.0%	0.0%	0.0%	0.55%	0.11%	0.12%	0.0%	0.22%	0.29%	0.0%	0.0%	4.49%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.57%	0.0%	0.99%	0.0%	1.40%	1.06%	0.0%	1.51%	0.0%	0.0%	12.12%	0.0%	0.0%	0.53%	0.63%	0.73%	0.0%	0.0%	0.24%					
26	"9. ""Российская экологическая партия ""Зеленые"""	61	4	1	4	2	1	3	0	4	3	3	4	0	4	4	3	10	0	2	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	0	0	2	0	0	2					
		0.37%	0.60%	0.14%	0.47%	0.26%	0.10%	0.33%	0.0%	0.51%	0.42%	0.34%	0.59%	0.0%	0.46%	1.49%	0.39%	1.14%	0.0%	0.81%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.06%	1.20%	0.0%	0.59%	0.0%	0.0%	0.94%	0.21%	0.0%	0.0%	0.36%	0.0%	0.0%	0.48%					
27	"10. ""Аграрная партия России"""	740	50	17	27	20	37	36	23	18	26	23	25	12	53	5	38	41	0	12	1	6	21	13	19	7	13	37	1	18	2	6	4	5	12	12	21	15	14	20	12	1	17					
		4.52%	7.51%	2.41%	3.19%	2.66%	4.06%	3.96%	2.60%	2.29%	3.66%	2.63%	3.73%	4.46%	6.19%	1.87%	4.96%	4.70%	0.0%	4.87%	3.22%	3.61%	5.31%	8.78%	10.98%	6.86%	12.87%	14.06%	1.40%	19.14%	2.40%	9.09%	2.38%	7.24%	18.18%	11.32%	4.61%	4.04%	4.43%	3.69%	12.24%	1.58%	4.14%					
28	"11. ""Истинные патриоты России"""	16	0	1	0	1	0	0	0	1	0	1	0	0	0	3	2	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0					
		0.09%	0.0%	0.14%	0.0%	0.13%	0.0%	0.0%	0.0%	0.12%	0.0%	0.11%	0.0%	0.0%	0.0%	1.12%	0.26%	0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	2.02%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%	0.0%	0.31%	0.18%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	219	6	7	18	7	12	7	12	10	9	14	8	1	10	3	6	7	0	6	0	6	11	1	0	1	1	1	0	0	4	0	5	2	1	6	13	7	2	10	2	2	1					
		1.33%	0.90%	0.99%	2.13%	0.93%	1.31%	0.77%	1.35%	1.27%	1.26%	1.60%	1.19%	0.37%	1.16%	1.12%	0.78%	0.80%	0.0%	2.43%	0.0%	3.61%	2.78%	0.67%	0.0%	0.98%	0.99%	0.38%	0.0%	0.0%	4.81%	0.0%	2.97%	2.89%	1.51%	5.66%	2.85%	1.88%	0.63%	1.84%	2.04%	3.17%	0.24%					
30	"13. ""Демократическая партия России"""	46	2	3	1	0	1	1	2	0	3	1	0	2	3	0	2	4	0	0	0	1	3	1	0	0	0	1	1	0	0	0	0	1	0	1	5	1	1	1	1	1	2					
		0.28%	0.30%	0.42%	0.11%	0.0%	0.10%	0.11%	0.22%	0.0%	0.42%	0.11%	0.0%	0.74%	0.35%	0.0%	0.26%	0.45%	0.0%	0.0%	0.0%	0.60%	0.75%	0.67%	0.0%	0.0%	0.0%	0.38%	1.40%	0.0%	0.0%	0.0%	0.0%	1.44%	0.0%	0.94%	1.09%	0.26%	0.31%	0.18%	1.02%	1.58%	0.48%					
31	"14. ""Великая Россия - Евразийский Союз"""	39	2	0	1	0	3	3	2	0	0	1	4	0	3	0	1	2	1	0	0	1	1	3	0	2	0	0	0	0	0	0	1	0	0	0	4	1	0	2	1	0	0					
		0.23%	0.30%	0.0%	0.11%	0.0%	0.32%	0.33%	0.22%	0.0%	0.0%	0.11%	0.59%	0.0%	0.35%	0.0%	0.13%	0.22%	4.0%	0.0%	0.0%	0.60%	0.25%	2.02%	0.0%	1.96%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.59%	0.0%	0.0%	0.0%	0.87%	0.26%	0.0%	0.36%	1.02%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	29	3	2	2	1	1	4	3	1	0	1	2	0	2	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0					
		0.17%	0.45%	0.28%	0.23%	0.13%	0.10%	0.44%	0.33%	0.12%	0.0%	0.11%	0.29%	0.0%	0.23%	0.0%	0.13%	0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.57%	0.0%	0.0%	0.38%	0.0%	0.0%	0.0%	1.51%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	1.58%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1677	75	64	120	80	116	123	80	104	68	134	67	26	128	18	86	64	1	15	0	13	26	10	10	6	6	12	7	7	4	2	6	3	2	8	24	41	20	51	5	1	44					
		10.25%	11.27%	9.09%	14.20%	10.65%	12.74%	13.53%	9.04%	13.28%	9.59%	15.36%	10.01%	9.66%	14.95%	6.74%	11.22%	7.33%	4.0%	6.09%	0.0%	7.83%	6.58%	6.75%	5.78%	5.88%	5.94%	4.56%	9.85%	7.44%	4.81%	3.03%	3.57%	4.34%	3.03%	7.54%	5.27%	11.05%	6.32%	9.42%	5.10%	1.58%	10.73%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	51	2	0	1	1	3	5	2	1	0	3	1	0	0	0	5	2	0	0	0	2	1	0	1	1	1	0	0	1	1	0	0	0	0	1	7	2	4	2	1	0	0					
		0.31%	0.30%	0.0%	0.11%	0.13%	0.32%	0.55%	0.22%	0.12%	0.0%	0.34%	0.14%	0.0%	0.0%	0.0%	0.65%	0.22%	0.0%	0.0%	0.0%	1.20%	0.25%	0.0%	0.57%	0.98%	0.99%	0.0%	0.0%	1.06%	1.20%	0.0%	0.0%	0.0%	0.0%	0.94%	1.53%	0.53%	1.26%	0.36%	1.02%	0.0%	0.0%					
35	"18. ""ЛДПР"""	2394	85	97	106	140	101	139	116	102	122	120	122	28	118	44	107	121	4	47	14	33	52	12	22	13	17	21	3	12	13	8	16	10	0	13	99	74	78	85	9	8	63					
		14.63%	12.78%	13.77%	12.54%	18.64%	11.09%	15.29%	13.12%	13.02%	17.20%	13.76%	18.23%	10.40%	13.78%	16.47%	13.96%	13.87%	16.0%	19.10%	45.16%	19.87%	13.16%	8.10%	12.71%	12.74%	16.83%	7.98%	4.22%	12.76%	15.66%	12.12%	9.52%	14.49%	0.0%	12.26%	21.75%	19.94%	24.68%	15.71%	9.18%	12.69%	15.36%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	357	19	16	10	16	29	16	21	16	12	16	14	7	19	5	21	17	0	13	1	6	4	3	1	0	0	2	7	2	0	6	3	1	1	4	9	10	5	16	1	1	7					
		2.18%	2.85%	2.27%	1.18%	2.13%	3.18%	1.76%	2.37%	2.04%	1.69%	1.83%	2.09%	2.60%	2.21%	1.87%	2.74%	1.94%	0.0%	5.28%	3.22%	3.61%	1.01%	2.02%	0.57%	0.0%	0.0%	0.76%	9.85%	2.12%	0.0%	9.09%	1.78%	1.44%	1.51%	3.77%	1.97%	2.69%	1.58%	2.95%	1.02%	1.58%	1.70%					
37	"20. ""Политическая партия ""Единая Россия"""	5075	201	268	229	251	236	262	282	215	231	258	217	74	217	88	233	283	9	86	10	40	140	52	88	32	25	124	24	27	33	26	75	14	26	19	126	100	72	181	40	14	147					
		31.02%	30.22%	38.06%	27.10%	33.42%	25.93%	28.82%	31.90%	27.45%	32.58%	29.58%	32.43%	27.50%	25.35%	32.95%	30.41%	32.45%	36.0%	34.95%	32.25%	24.09%	35.44%	35.13%	50.86%	31.37%	24.75%	47.14%	33.80%	28.72%	39.75%	39.39%	44.64%	20.28%	39.39%	17.92%	27.69%	26.95%	22.78%	33.45%	40.81%	22.22%	35.85%					
38	"21. ""Российская Конституционно-демократическая партия"""	36	3	1	1	0	0	1	1	2	1	0	2	2	4	1	2	2	0	1	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	1	2	1	0	3	0	0	0					
		0.22%	0.45%	0.14%	0.11%	0.0%	0.0%	0.11%	0.11%	0.25%	0.14%	0.0%	0.29%	0.74%	0.46%	0.37%	0.26%	0.22%	0.0%	0.40%	0.0%	0.0%	0.50%	0.0%	0.0%	0.0%	0.0%	1.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.94%	0.43%	0.26%	0.0%	0.55%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	38	2	4	0	3	4	1	5	3	0	0	0	0	5	0	0	1	0	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1					
		0.23%	0.30%	0.56%	0.0%	0.39%	0.43%	0.11%	0.56%	0.38%	0.0%	0.0%	0.0%	0.0%	0.58%	0.0%	0.0%	0.11%	0.0%	0.40%	0.0%	0.60%	0.25%	0.67%	0.57%	0.0%	0.99%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%	0.26%	0.0%	0.18%	0.0%	0.0%	0.24%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	2666	107	102	195	94	177	145	172	150	98	149	88	69	132	37	108	144	5	28	2	34	60	19	18	21	19	30	10	13	8	10	42	22	10	17	71	47	60	69	7	23	54					
		16.29%	16.09%	14.48%	23.07%	12.51%	19.45%	15.95%	19.45%	19.15%	13.82%	17.08%	13.15%	25.65%	15.42%	13.85%	14.09%	16.51%	20.0%	11.38%	6.45%	20.48%	15.18%	12.83%	10.40%	20.58%	18.81%	11.40%	14.08%	13.82%	9.63%	15.15%	25.0%	31.88%	15.15%	16.03%	15.60%	12.66%	18.98%	12.75%	7.14%	36.50%	13.17%					
																																																
41	Против всех	668	26	32	22	43	49	41	30	15	43	31	29	10	37	17	30	53	3	5	0	8	11	7	2	3	4	4	6	6	2	2	11	3	2	1	12	15	18	12	6	0	17					
		4.08%	3.90%	4.54%	2.60%	5.72%	5.38%	4.51%	3.39%	1.91%	6.06%	3.55%	4.33%	3.71%	4.32%	6.36%	3.91%	6.07%	12.0%	2.03%	0.0%	4.81%	2.78%	4.72%	1.15%	2.94%	3.96%	1.52%	8.45%	6.38%	2.40%	3.03%	6.54%	4.34%	3.03%	0.94%	2.63%	4.04%	5.69%	2.21%	6.12%	0.0%	4.14%					
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
