Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																									
Дата голосования: 18.09.2016																																																																																									
																																																																																									
Наименование Избирательной комиссии:    Коломенская городская																																																																																									
																																																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																									
																																																																																									
		Сумма	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1061	10	20	14	12	23	15	21	15	20	8	21	11	22	14	10	7	8	6	23	9	20	23	8	4	1	16	7	18	21	16	10	23	15	16	19	15	29	22	24	19	18	10	8	23	19	19	10	19	6	14	9	19	15	27	13	19	19	12	7	13	15	23	26	3	7	10	14	12	10	8	7	2	4	1	2	1	1	1									
		2.37%	1.88%	3.76%	2.56%	2.52%	3.70%	2.65%	2.07%	2.05%	2.71%	1.52%	3.46%	3.19%	3.10%	2.68%	2.09%	1.20%	1.37%	1.53%	2.65%	2.03%	2.45%	3.12%	2.28%	1.54%	0.32%	1.97%	2.72%	2.73%	2.98%	4.15%	1.21%	3.32%	2.32%	2.19%	2.91%	2.02%	3.79%	2.66%	2.80%	2.71%	2.96%	1.68%	1.34%	3.11%	2.83%	3.17%	1.40%	2.60%	2.82%	2.28%	3.27%	2.56%	1.93%	3.12%	1.72%	2.49%	2.26%	2.49%	1.08%	2.28%	2.45%	3.30%	3.21%	0.49%	3.17%	2.02%	2.33%	1.73%	2.41%	1.93%	0.76%	0.48%	2.02%	1.22%	1.68%	2.63%	2.78%	5.56%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	806	6	12	14	12	10	9	9	14	13	8	14	5	15	13	7	9	11	5	16	7	12	7	9	7	6	23	3	10	5	11	19	14	10	16	10	15	11	10	16	11	6	7	9	8	13	9	15	23	4	5	4	16	16	18	7	17	9	13	18	8	10	11	14	16	3	7	12	15	11	8	10	12	14	1	2	1	0	0									
		1.80%	1.13%	2.26%	2.56%	2.52%	1.61%	1.59%	0.89%	1.91%	1.76%	1.52%	2.31%	1.45%	2.11%	2.49%	1.46%	1.54%	1.88%	1.28%	1.85%	1.58%	1.47%	0.95%	2.56%	2.70%	1.91%	2.83%	1.17%	1.52%	0.71%	2.85%	2.30%	2.02%	1.55%	2.19%	1.53%	2.02%	1.44%	1.21%	1.86%	1.57%	0.99%	1.17%	1.51%	1.08%	1.94%	1.50%	2.10%	3.14%	1.88%	0.82%	1.45%	2.15%	2.06%	2.08%	0.92%	2.23%	1.07%	2.70%	2.77%	1.41%	1.63%	1.58%	1.73%	2.59%	1.36%	1.41%	2.00%	2.16%	2.65%	1.93%	1.09%	2.86%	7.07%	1.22%	1.68%	2.63%	0.00%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1380	20	21	20	16	15	16	29	28	26	15	19	15	25	20	19	19	14	13	23	20	19	26	8	9	10	24	5	11	21	14	40	19	21	26	17	19	26	23	30	18	21	23	17	40	24	19	20	25	5	13	3	20	25	19	21	31	30	11	21	17	25	18	19	13	10	9	15	19	10	11	11	9	20	2	3	1	1	0									
		3.08%	3.75%	3.95%	3.66%	3.35%	2.42%	2.82%	2.86%	3.83%	3.52%	2.85%	3.13%	4.35%	3.52%	3.83%	3.97%	3.25%	2.39%	3.32%	2.65%	4.51%	2.33%	3.53%	2.28%	3.47%	3.18%	2.95%	1.95%	1.67%	2.98%	3.63%	4.84%	2.75%	3.25%	3.57%	2.60%	2.55%	3.39%	2.78%	3.50%	2.57%	3.45%	3.86%	2.85%	5.41%	3.58%	3.17%	2.80%	3.42%	2.35%	2.12%	1.09%	2.69%	3.21%	2.19%	2.77%	4.06%	3.57%	2.28%	3.23%	2.99%	4.08%	2.58%	2.35%	2.10%	4.52%	1.81%	2.50%	2.73%	2.41%	2.65%	1.19%	2.14%	10.10%	2.44%	2.52%	2.63%	2.78%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	18086	241	224	214	196	251	240	444	284	277	224	233	111	263	202	214	219	251	156	318	166	347	240	146	99	126	307	92	258	258	160	296	284	248	284	251	282	266	346	341	289	241	241	239	294	246	247	299	295	83	271	129	319	296	317	343	297	361	197	249	217	236	270	328	275	90	194	231	282	173	163	616	164	88	41	56	27	16	7									
		40.39%	45.22%	42.11%	39.19%	41.09%	40.42%	42.33%	43.74%	38.80%	37.53%	42.59%	38.39%	32.17%	37.04%	38.70%	44.77%	37.50%	42.83%	39.90%	36.68%	37.47%	42.58%	32.56%	41.60%	38.22%	40.13%	37.76%	35.80%	39.15%	36.60%	41.45%	35.79%	41.04%	38.33%	38.96%	38.38%	37.90%	34.73%	41.89%	39.74%	41.29%	39.64%	40.44%	40.03%	39.73%	36.66%	41.17%	41.88%	40.30%	38.97%	44.21%	46.91%	42.93%	38.05%	36.61%	45.31%	38.87%	42.98%	40.87%	38.31%	38.14%	38.50%	38.68%	40.54%	44.50%	40.72%	39.11%	38.50%	40.58%	41.69%	39.28%	66.88%	39.05%	44.44%	50.00%	47.06%	71.05%	44.44%	38.89%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	647	5	5	7	4	5	6	20	10	16	4	4	7	7	6	12	8	9	4	13	7	9	15	4	5	3	13	3	13	25	7	9	4	10	5	7	9	15	18	16	11	6	16	10	14	15	7	6	7	5	5	2	8	18	15	8	15	12	7	13	9	11	16	6	10	1	3	3	7	6	9	9	6	0	1	1	0	0	0									
		1.44%	0.94%	0.94%	1.28%	0.84%	0.81%	1.06%	1.97%	1.37%	2.17%	0.76%	0.66%	2.03%	0.99%	1.15%	2.51%	1.37%	1.54%	1.02%	1.50%	1.58%	1.10%	2.04%	1.14%	1.93%	0.96%	1.60%	1.17%	1.97%	3.55%	1.81%	1.09%	0.58%	1.55%	0.69%	1.07%	1.21%	1.96%	2.18%	1.86%	1.57%	0.99%	2.68%	1.68%	1.89%	2.24%	1.17%	0.84%	0.96%	2.35%	0.82%	0.73%	1.08%	2.31%	1.73%	1.06%	1.96%	1.43%	1.45%	2.00%	1.58%	1.79%	2.29%	0.74%	1.62%	0.45%	0.60%	0.50%	1.01%	1.45%	2.17%	0.98%	1.43%	0.00%	1.22%	0.84%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	93	0	1	1	0	2	3	2	1	0	2	3	2	2	3	1	1	0	1	2	0	0	3	0	1	0	3	0	1	1	0	4	0	2	4	2	2	2	2	0	0	1	2	1	0	0	2	1	0	0	4	1	4	2	1	0	1	1	2	1	1	2	2	3	1	0	0	0	1	1	0	2	1	0	0	0	0	1	0									
		0.21%	0.00%	0.19%	0.18%	0.00%	0.32%	0.53%	0.20%	0.14%	0.00%	0.38%	0.49%	0.58%	0.28%	0.57%	0.21%	0.17%	0.00%	0.26%	0.23%	0.00%	0.00%	0.41%	0.00%	0.39%	0.00%	0.37%	0.00%	0.15%	0.14%	0.00%	0.48%	0.00%	0.31%	0.55%	0.31%	0.27%	0.26%	0.24%	0.00%	0.00%	0.16%	0.34%	0.17%	0.00%	0.00%	0.33%	0.14%	0.00%	0.00%	0.65%	0.36%	0.54%	0.26%	0.12%	0.00%	0.13%	0.12%	0.41%	0.15%	0.18%	0.33%	0.29%	0.37%	0.16%	0.00%	0.00%	0.00%	0.14%	0.24%	0.00%	0.22%	0.24%	0.00%	0.00%	0.00%	0.00%	2.78%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	7483	77	69	98	79	173	112	207	127	97	90	95	66	111	85	68	94	108	75	128	71	140	98	55	34	62	100	53	95	91	49	155	110	134	140	106	120	112	120	137	120	119	106	99	112	100	98	111	71	40	113	56	131	116	196	111	132	132	70	118	109	105	133	135	133	36	98	113	126	55	83	108	77	27	20	14	3	13	3									
		16.71%	14.45%	12.97%	17.95%	16.56%	27.86%	19.75%	20.39%	17.35%	13.14%	17.11%	15.65%	19.13%	15.63%	16.28%	14.23%	16.10%	18.43%	19.18%	14.76%	16.03%	17.18%	13.30%	15.67%	13.13%	19.75%	12.30%	20.62%	14.42%	12.91%	12.69%	18.74%	15.90%	20.71%	19.20%	16.21%	16.13%	14.62%	14.53%	15.97%	17.14%	19.57%	17.79%	16.58%	15.14%	14.90%	16.33%	15.55%	9.70%	18.78%	18.43%	20.36%	17.63%	14.91%	22.63%	14.66%	17.28%	15.71%	14.52%	18.15%	19.16%	17.13%	19.05%	16.69%	21.52%	16.29%	19.76%	18.83%	18.13%	13.25%	20.00%	11.73%	18.33%	13.64%	24.39%	11.76%	7.89%	36.11%	16.67%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	438	1	4	4	1	12	3	8	7	15	3	9	5	4	4	2	4	10	8	8	8	8	6	10	2	1	9	4	10	7	1	8	10	5	8	10	7	9	14	16	9	1	3	5	6	12	6	11	4	4	3	0	3	6	6	9	5	10	8	9	5	13	4	4	2	0	5	4	6	2	5	1	2	0	0	0	0	0	0									
		0.98%	0.19%	0.75%	0.73%	0.21%	1.93%	0.53%	0.79%	0.96%	2.03%	0.57%	1.48%	1.45%	0.56%	0.77%	0.42%	0.68%	1.71%	2.05%	0.92%	1.81%	0.98%	0.81%	2.85%	0.77%	0.32%	1.11%	1.56%	1.52%	0.99%	0.26%	0.97%	1.45%	0.77%	1.10%	1.53%	0.94%	1.17%	1.69%	1.86%	1.29%	0.16%	0.50%	0.84%	0.81%	1.79%	1.00%	1.54%	0.55%	1.88%	0.49%	0.00%	0.40%	0.77%	0.69%	1.19%	0.65%	1.19%	1.66%	1.38%	0.88%	2.12%	0.57%	0.49%	0.32%	0.00%	1.01%	0.67%	0.86%	0.48%	1.20%	0.11%	0.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	786	10	13	10	7	15	26	13	11	25	13	9	6	18	9	11	8	8	5	26	8	27	22	6	7	6	29	3	8	20	3	21	16	10	12	3	13	23	21	15	5	8	12	16	9	12	11	8	8	3	11	2	13	4	8	9	8	17	5	7	12	6	12	12	3	3	3	10	8	3	8	8	2	1	1	1	1	0	0									
		1.76%	1.88%	2.44%	1.83%	1.47%	2.42%	4.59%	1.28%	1.50%	3.39%	2.47%	1.48%	1.74%	2.54%	1.72%	2.30%	1.37%	1.37%	1.28%	2.99%	1.81%	3.31%	2.99%	1.71%	2.70%	1.91%	3.57%	1.17%	1.21%	2.84%	0.78%	2.54%	2.31%	1.55%	1.65%	0.46%	1.75%	3.00%	2.54%	1.75%	0.71%	1.32%	2.01%	2.68%	1.22%	1.79%	1.83%	1.12%	1.09%	1.41%	1.79%	0.73%	1.75%	0.51%	0.92%	1.19%	1.05%	2.02%	1.04%	1.08%	2.11%	0.98%	1.72%	1.48%	0.49%	1.36%	0.60%	1.67%	1.15%	0.72%	1.93%	0.87%	0.48%	0.51%	1.22%	0.84%	2.63%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	65	6	0	0	0	7	1	5	0	1	2	0	0	0	1	1	2	3	0	0	1	0	0	0	0	0	1	1	1	2	0	1	1	3	1	1	1	1	1	1	1	0	0	0	1	0	0	0	1	0	2	0	0	2	1	0	0	2	2	0	0	0	1	3	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0									
		0.15%	1.13%	0.00%	0.00%	0.00%	1.13%	0.18%	0.49%	0.00%	0.14%	0.38%	0.00%	0.00%	0.00%	0.19%	0.21%	0.34%	0.51%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.39%	0.15%	0.28%	0.00%	0.12%	0.14%	0.46%	0.14%	0.15%	0.13%	0.13%	0.12%	0.12%	0.14%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.14%	0.00%	0.33%	0.00%	0.00%	0.26%	0.12%	0.00%	0.00%	0.24%	0.41%	0.00%	0.00%	0.00%	0.14%	0.37%	0.00%	0.45%	0.00%	0.00%	0.00%	0.24%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1212	16	13	18	15	8	21	11	32	32	12	22	12	24	14	8	15	19	4	23	13	18	37	14	5	7	16	10	18	37	10	33	16	23	14	20	20	18	35	27	20	17	21	16	22	21	15	16	14	4	17	7	19	22	11	14	10	14	16	20	14	14	22	30	10	8	11	9	21	11	7	16	8	3	0	0	1	0	1									
		2.71%	3.00%	2.44%	3.30%	3.14%	1.29%	3.70%	1.08%	4.37%	4.34%	2.28%	3.62%	3.48%	3.38%	2.68%	1.67%	2.57%	3.24%	1.02%	2.65%	2.93%	2.21%	5.02%	3.99%	1.93%	2.23%	1.97%	3.89%	2.73%	5.25%	2.59%	3.99%	2.31%	3.55%	1.92%	3.06%	2.69%	2.35%	4.24%	3.15%	2.86%	2.80%	3.52%	2.68%	2.97%	3.13%	2.50%	2.24%	1.91%	1.88%	2.77%	2.55%	2.56%	2.83%	1.27%	1.85%	1.31%	1.67%	3.32%	3.08%	2.46%	2.28%	3.15%	3.71%	1.62%	3.62%	2.22%	1.50%	3.02%	2.65%	1.69%	1.74%	1.90%	1.52%	0.00%	0.00%	2.63%	0.00%	5.56%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	7352	87	86	95	64	52	65	121	132	136	97	111	70	129	93	73	122	90	83	173	92	120	170	58	58	51	154	41	126	133	73	137	120	99	119	123	129	154	118	139	109	86	98	106	120	108	101	120	176	22	76	31	90	135	140	133	139	116	82	105	81	100	107	93	92	32	78	110	100	70	76	84	82	20	9	23	2	3	4									
		16.42%	16.32%	16.17%	17.40%	13.42%	8.37%	11.46%	11.92%	18.03%	18.43%	18.44%	18.29%	20.29%	18.17%	17.82%	15.27%	20.89%	15.36%	21.23%	19.95%	20.77%	14.72%	23.07%	16.52%	22.39%	16.24%	18.94%	15.95%	19.12%	18.87%	18.91%	16.57%	17.34%	15.30%	16.32%	18.81%	17.34%	20.10%	14.29%	16.20%	15.57%	14.14%	16.44%	17.76%	16.22%	16.10%	16.83%	16.81%	24.04%	10.33%	12.40%	11.27%	12.11%	17.35%	16.17%	17.57%	18.19%	13.81%	17.01%	16.15%	14.24%	16.31%	15.33%	11.50%	14.89%	14.48%	15.73%	18.33%	14.39%	16.87%	18.31%	9.12%	19.52%	10.10%	10.98%	19.33%	5.26%	8.33%	22.22%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	200	1	3	1	1	7	2	6	2	2	5	1	3	6	1	1	1	1	2	7	1	4	1	3	1	3	3	0	6	5	0	2	1	1	5	3	1	2	8	3	3	2	1	2	9	4	5	1	1	0	4	0	4	6	5	1	5	3	2	7	1	2	3	1	1	0	1	6	3	1	0	3	3	2	1	1	0	0	0									
		0.45%	0.19%	0.56%	0.18%	0.21%	1.13%	0.35%	0.59%	0.27%	0.27%	0.95%	0.16%	0.87%	0.85%	0.19%	0.21%	0.17%	0.17%	0.51%	0.81%	0.23%	0.49%	0.14%	0.85%	0.39%	0.96%	0.37%	0.00%	0.91%	0.71%	0.00%	0.24%	0.14%	0.15%	0.69%	0.46%	0.13%	0.26%	0.97%	0.35%	0.43%	0.33%	0.17%	0.34%	1.22%	0.60%	0.83%	0.14%	0.14%	0.00%	0.65%	0.00%	0.54%	0.77%	0.58%	0.13%	0.65%	0.36%	0.41%	1.08%	0.18%	0.33%	0.43%	0.12%	0.16%	0.00%	0.20%	1.00%	0.43%	0.24%	0.00%	0.33%	0.71%	1.01%	1.22%	0.84%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3809	34	37	32	50	19	30	72	51	64	26	48	26	67	43	32	60	40	21	78	28	80	69	20	21	21	82	31	70	57	28	64	59	51	55	60	90	74	67	75	61	62	44	55	62	76	47	73	69	31	58	19	72	78	71	65	58	93	41	58	63	63	60	85	45	20	40	49	78	44	29	35	43	13	4	9	1	1	2									
		8.51%	6.38%	6.95%	5.86%	10.48%	3.06%	5.29%	7.09%	6.97%	8.67%	4.94%	7.91%	7.54%	9.44%	8.24%	6.69%	10.27%	6.83%	5.37%	8.99%	6.32%	9.82%	9.36%	5.70%	8.11%	6.69%	10.09%	12.06%	10.62%	8.09%	7.25%	7.74%	8.53%	7.88%	7.54%	9.17%	12.10%	9.66%	8.11%	8.74%	8.71%	10.20%	7.38%	9.21%	8.38%	11.33%	7.83%	10.22%	9.43%	14.55%	9.46%	6.91%	9.69%	10.03%	8.20%	8.59%	7.59%	11.07%	8.51%	8.92%	11.07%	10.28%	8.60%	10.51%	7.28%	9.05%	8.06%	8.17%	11.22%	10.60%	6.99%	3.80%	10.24%	6.57%	4.88%	7.56%	2.63%	2.78%	11.11%									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
