Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																		
Дата голосования: 18.09.2016																																																																																		
																																																																																		
Наименование Избирательной комиссии:    Кукморская																																																																																		
																																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																		
																																																																																		
		Сумма	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	297	9	0	36	15	19	22	2	22	0	10	2	1	8	2	2	9	2	3	8	3	0	2	3	0	7	1	2	2	0	0	8	9	0	1	2	1	0	0	0	4	0	6	2	6	4	2	3	0	2	2	2	0	2	2	1	0	1	7	10	4	0	1	6	0	7	7	2	0	0	1	0									
		0.81%	0.93%	0.00%	3.20%	0.96%	1.75%	1.40%	0.13%	1.28%	0.00%	1.18%	0.84%	0.72%	1.08%	0.32%	0.54%	1.57%	0.58%	0.47%	3.24%	1.32%	0.00%	0.67%	1.49%	0.00%	2.36%	0.24%	0.72%	0.30%	0.00%	0.00%	2.22%	2.43%	0.00%	0.10%	0.63%	0.32%	0.00%	0.00%	0.00%	1.16%	0.00%	1.53%	0.87%	1.10%	0.89%	0.32%	1.09%	0.00%	0.54%	0.45%	0.89%	0.00%	0.73%	0.37%	0.19%	0.00%	0.51%	1.80%	1.42%	0.92%	0.00%	0.25%	3.77%	0.00%	3.23%	2.07%	0.39%	0.00%	0.00%	0.16%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	999	2	0	10	9	4	8	0	16	898	3	0	4	0	0	0	0	0	2	1	1	0	1	0	0	4	1	1	0	0	1	6	3	0	0	0	0	0	0	0	7	0	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	1	0	1	0	0	0	1	2	0									
		2.72%	0.21%	0.00%	0.89%	0.58%	0.37%	0.51%	0.00%	0.93%	95.43%	0.35%	0.00%	2.88%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.40%	0.44%	0.00%	0.33%	0.00%	0.00%	1.35%	0.24%	0.36%	0.00%	0.00%	0.25%	1.67%	0.81%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.03%	0.00%	0.00%	0.87%	0.37%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.85%	0.00%	0.00%	0.00%	0.63%	0.00%	0.46%	0.00%	0.00%	0.00%	0.21%	0.31%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	33142	891	1355	815	1418	931	1282	1511	1509	0	805	225	122	714	611	357	550	340	520	189	220	353	279	185	185	276	407	271	651	146	390	277	277	689	961	298	300	420	177	247	328	280	327	213	514	423	606	267	219	363	439	220	565	256	526	510	288	195	348	611	420	299	400	148	485	184	313	481	300	463	630	367									
		90.15%	92.33%	93.84%	72.38%	91.07%	85.96%	81.55%	96.24%	87.68%	0.00%	95.04%	94.94%	87.77%	95.97%	98.07%	97.01%	95.82%	97.98%	82.28%	76.52%	96.92%	98.88%	93.31%	92.04%	85.65%	93.24%	96.45%	98.19%	97.89%	97.99%	97.74%	76.94%	74.66%	99.28%	95.24%	94.60%	96.46%	97.67%	96.20%	98.41%	95.07%	97.22%	83.63%	92.61%	94.14%	94.21%	96.04%	96.74%	95.63%	98.11%	98.21%	97.78%	95.44%	93.43%	97.77%	97.14%	98.97%	98.48%	89.46%	86.79%	96.99%	98.68%	99.01%	93.08%	97.98%	84.79%	92.60%	94.87%	97.09%	97.89%	98.28%	96.83%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	34	0	0	6	0	3	7	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0									
		0.09%	0.00%	0.00%	0.53%	0.00%	0.28%	0.45%	0.00%	0.29%	0.00%	0.00%	0.00%	0.72%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.50%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.54%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	8	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.02%	0.00%	0.00%	0.09%	0.00%	0.09%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.51%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	503	12	16	58	29	18	81	0	66	5	5	1	2	0	0	2	0	0	6	17	3	1	3	9	2	3	3	0	2	0	4	25	22	0	7	2	2	1	0	0	4	2	9	0	3	4	1	0	1	1	2	1	5	4	5	3	1	0	6	25	0	4	0	1	0	2	1	7	1	2	1	0									
		1.37%	1.24%	1.11%	5.15%	1.86%	1.66%	5.15%	0.00%	3.83%	0.53%	0.59%	0.42%	1.44%	0.00%	0.00%	0.54%	0.00%	0.00%	0.95%	6.88%	1.32%	0.28%	1.00%	4.48%	0.93%	1.01%	0.71%	0.00%	0.30%	0.00%	1.00%	6.94%	5.93%	0.00%	0.69%	0.63%	0.64%	0.23%	0.00%	0.00%	1.16%	0.69%	2.30%	0.00%	0.55%	0.89%	0.16%	0.00%	0.44%	0.27%	0.45%	0.44%	0.84%	1.46%	0.93%	0.57%	0.34%	0.00%	1.54%	3.55%	0.00%	1.32%	0.00%	0.63%	0.00%	0.92%	0.30%	1.38%	0.32%	0.42%	0.16%	0.00%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	59	2	0	6	7	7	1	0	10	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	4	4	1	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	2	0	0	0	2	0	0									
		0.16%	0.21%	0.00%	0.53%	0.45%	0.65%	0.06%	0.00%	0.58%	0.00%	0.00%	0.84%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.56%	0.00%	0.00%	0.40%	1.27%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.55%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.63%	0.00%	0.92%	0.00%	0.00%	0.00%	0.42%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	21	0	0	6	0	2	3	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0									
		0.06%	0.00%	0.00%	0.53%	0.00%	0.18%	0.19%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.40%	0.00%	0.00%	0.00%	0.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	10	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.03%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.51%	0.00%	0.00%	0.00%	0.00%	0.00%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	73	0	0	15	5	6	2	1	14	0	8	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	3	2	0	2	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	3	0	0	0	0	0	0									
		0.20%	0.00%	0.00%	1.33%	0.32%	0.55%	0.13%	0.06%	0.81%	0.00%	0.94%	0.00%	0.72%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.71%	0.00%	0.00%	0.00%	0.00%	0.83%	0.54%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.22%	0.16%	0.00%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	1.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1007	38	44	120	48	67	78	51	35	38	12	4	5	10	4	7	13	3	16	25	0	3	3	2	4	3	4	0	4	2	1	29	12	5	27	5	4	8	5	3	1	5	37	12	4	10	17	6	4	3	3	1	10	9	4	5	1	2	20	40	6	0	1	1	6	12	16	10	6	3	3	7									
		2.74%	3.94%	3.05%	10.66%	3.08%	6.19%	4.96%	3.25%	2.03%	4.04%	1.42%	1.69%	3.60%	1.34%	0.64%	1.90%	2.26%	0.86%	2.53%	10.12%	0.00%	0.84%	1.00%	0.99%	1.85%	1.01%	0.95%	0.00%	0.60%	1.34%	0.25%	8.06%	3.23%	0.72%	2.68%	1.59%	1.29%	1.86%	2.72%	1.20%	0.29%	1.74%	9.46%	5.22%	0.73%	2.23%	2.69%	2.17%	1.75%	0.81%	0.67%	0.44%	1.69%	3.28%	0.74%	0.95%	0.34%	1.01%	5.14%	5.68%	1.39%	0.00%	0.25%	0.63%	1.21%	5.53%	4.73%	1.97%	1.94%	0.63%	0.47%	1.85%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	30	0	0	4	0	2	2	2	0	0	0	0	0	3	2	0	2	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0									
		0.08%	0.00%	0.00%	0.36%	0.00%	0.18%	0.13%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	0.32%	0.00%	0.35%	0.00%	0.16%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.51%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	204	6	29	19	6	5	16	2	15	0	2	3	3	9	1	0	0	1	3	3	0	0	3	0	1	1	3	2	3	0	2	3	5	0	3	2	2	1	2	1	0	1	1	1	6	4	2	0	3	1	0	0	0	0	1	0	1	0	3	2	3	0	1	1	2	2	0	1	1	2	3	5									
		0.55%	0.62%	2.01%	1.69%	0.39%	0.46%	1.02%	0.13%	0.87%	0.00%	0.24%	1.27%	2.16%	1.21%	0.16%	0.00%	0.00%	0.29%	0.47%	1.21%	0.00%	0.00%	1.00%	0.00%	0.46%	0.34%	0.71%	0.72%	0.45%	0.00%	0.50%	0.83%	1.35%	0.00%	0.30%	0.63%	0.64%	0.23%	1.09%	0.40%	0.00%	0.35%	0.26%	0.43%	1.10%	0.89%	0.32%	0.00%	1.31%	0.27%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.34%	0.00%	0.77%	0.28%	0.69%	0.00%	0.25%	0.63%	0.40%	0.92%	0.00%	0.20%	0.32%	0.42%	0.47%	1.32%									
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
