Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																													
Дата голосования: 07.12.2003 0:00:00																													
																													
Наименование Избирательной комиссии:    Белоглинская																													
																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																													
																													
		Сумма	УИК  501	УИК  502	УИК  503	УИК  504	УИК  505	УИК  506	УИК  507	УИК  508	УИК  509	УИК  510	УИК  511	УИК  512	УИК  513	УИК  514	УИК  515	УИК  516	УИК  517	УИК  518	УИК  519	УИК  520	УИК  521	УИК  522					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																													
18	"1. ""ЕДИНЕНИЕ"""	251	16	11	16	11	3	9	8	15	9	2	4	19	8	2	5	18	23	4	17	21	27	3					
		1.65%	1.71%	1.36%	1.69%	1.96%	0.38%	1.00%	0.97%	1.33%	1.14%	2.53%	1.23%	2.81%	2.58%	1.6%	1.74%	1.54%	2.20%	0.68%	3.00%	2.31%	2.62%	0.66%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	156	6	6	6	2	4	20	6	15	17	2	5	4	2	0	4	15	11	1	5	7	13	5					
		1.02%	0.64%	0.74%	0.63%	0.35%	0.51%	2.22%	0.73%	1.33%	2.16%	2.53%	1.54%	0.59%	0.64%	0.0%	1.39%	1.28%	1.05%	0.17%	0.88%	0.77%	1.26%	1.11%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	191	24	14	8	5	2	15	13	13	12	1	5	7	6	7	4	10	4	1	11	13	9	7					
		1.25%	2.57%	1.73%	0.84%	0.89%	0.25%	1.66%	1.58%	1.15%	1.53%	1.26%	1.54%	1.03%	1.94%	5.6%	1.39%	0.85%	0.38%	0.17%	1.94%	1.43%	0.87%	1.56%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	223	19	7	18	5	11	34	14	21	14	0	8	13	2	1	8	18	4	1	8	4	9	4					
		1.46%	2.03%	0.86%	1.90%	0.89%	1.41%	3.78%	1.70%	1.86%	1.78%	0.0%	2.47%	1.92%	0.64%	0.8%	2.78%	1.54%	0.38%	0.17%	1.41%	0.44%	0.87%	0.89%					
22	"5. ""За Русь Святую"""	65	4	4	2	2	2	5	5	1	7	1	4	1	1	1	0	8	1	0	1	5	9	1					
		0.42%	0.42%	0.49%	0.21%	0.35%	0.25%	0.55%	0.60%	0.08%	0.89%	1.26%	1.23%	0.14%	0.32%	0.8%	0.0%	0.68%	0.09%	0.0%	0.17%	0.55%	0.87%	0.22%					
23	"6. ""Объединенная Российская партия ""Русь"""	42	1	3	7	4	1	0	3	4	1	0	2	3	1	0	0	6	2	0	1	0	3	0					
		0.27%	0.10%	0.37%	0.73%	0.71%	0.12%	0.0%	0.36%	0.35%	0.12%	0.0%	0.61%	0.44%	0.32%	0.0%	0.0%	0.51%	0.19%	0.0%	0.17%	0.0%	0.29%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	101	5	8	14	10	13	9	3	8	4	0	3	2	0	0	5	8	3	0	0	1	5	0					
		0.66%	0.53%	0.99%	1.47%	1.78%	1.67%	1.00%	0.36%	0.71%	0.51%	0.0%	0.92%	0.29%	0.0%	0.0%	1.74%	0.68%	0.28%	0.0%	0.0%	0.11%	0.48%	0.0%					
25	"8. ""Народно-республиканская партия России"""	22	0	2	2	1	0	1	1	1	0	0	0	1	1	1	0	2	4	3	1	0	1	0					
		0.14%	0.0%	0.24%	0.21%	0.17%	0.0%	0.11%	0.12%	0.08%	0.0%	0.0%	0.0%	0.14%	0.32%	0.8%	0.0%	0.17%	0.38%	0.51%	0.17%	0.0%	0.09%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	26	2	2	5	5	0	1	0	0	1	0	1	0	0	0	0	3	1	1	1	2	1	0					
		0.17%	0.21%	0.24%	0.52%	0.89%	0.0%	0.11%	0.0%	0.0%	0.12%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.25%	0.09%	0.17%	0.17%	0.22%	0.09%	0.0%					
27	"10. ""Аграрная партия России"""	817	20	43	43	23	53	32	26	26	35	1	13	17	10	1	24	131	73	46	47	55	55	43					
		5.37%	2.14%	5.32%	4.54%	4.11%	6.82%	3.55%	3.16%	2.31%	4.46%	1.26%	4.02%	2.51%	3.23%	0.8%	8.36%	11.21%	6.99%	7.91%	8.30%	6.06%	5.35%	9.59%					
28	"11. ""Истинные патриоты России"""	12	0	0	0	0	0	3	2	1	0	0	0	0	0	0	1	1	1	0	0	1	1	1					
		0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.33%	0.24%	0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.08%	0.09%	0.0%	0.0%	0.11%	0.09%	0.22%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	130	9	3	9	4	9	7	12	7	7	1	5	4	3	0	1	4	10	2	5	7	14	7					
		0.85%	0.96%	0.37%	0.95%	0.71%	1.15%	0.77%	1.46%	0.62%	0.89%	1.26%	1.54%	0.59%	0.97%	0.0%	0.34%	0.34%	0.95%	0.34%	0.88%	0.77%	1.36%	1.56%					
30	"13. ""Демократическая партия России"""	27	4	2	2	0	0	2	0	2	4	0	1	0	0	0	2	2	1	0	1	0	3	1					
		0.17%	0.42%	0.24%	0.21%	0.0%	0.0%	0.22%	0.0%	0.17%	0.51%	0.0%	0.30%	0.0%	0.0%	0.0%	0.69%	0.17%	0.09%	0.0%	0.17%	0.0%	0.29%	0.22%					
31	"14. ""Великая Россия - Евразийский Союз"""	18	2	0	1	0	2	1	3	0	1	1	1	0	0	0	3	1	0	0	0	0	2	0					
		0.11%	0.21%	0.0%	0.10%	0.0%	0.25%	0.11%	0.36%	0.0%	0.12%	1.26%	0.30%	0.0%	0.0%	0.0%	1.04%	0.08%	0.0%	0.0%	0.0%	0.0%	0.19%	0.0%					
32	"15. ""Партия СЛОН"""	9	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	2	1	0	0	0	1					
		0.05%	0.10%	0.12%	0.0%	0.0%	0.12%	0.0%	0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.08%	0.19%	0.17%	0.0%	0.0%	0.0%	0.22%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1393	59	65	89	37	78	81	73	130	56	2	12	75	19	0	15	120	81	78	49	100	141	33					
		9.17%	6.33%	8.05%	9.40%	6.61%	10.03%	9.01%	8.89%	11.57%	7.14%	2.53%	3.71%	11.09%	6.14%	0.0%	5.22%	10.27%	7.75%	13.42%	8.65%	11.02%	13.72%	7.36%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	48	4	3	3	1	3	2	2	0	1	0	2	1	3	0	2	5	7	0	3	3	2	1					
		0.31%	0.42%	0.37%	0.31%	0.17%	0.38%	0.22%	0.24%	0.0%	0.12%	0.0%	0.61%	0.14%	0.97%	0.0%	0.69%	0.42%	0.67%	0.0%	0.53%	0.33%	0.19%	0.22%					
35	"18. ""ЛДПР"""	1324	74	67	63	41	47	45	64	122	74	14	32	64	29	15	19	67	76	42	57	110	127	75					
		8.71%	7.93%	8.30%	6.65%	7.33%	6.04%	5.00%	7.79%	10.86%	9.43%	17.72%	9.90%	9.46%	9.38%	12.0%	6.62%	5.73%	7.27%	7.22%	10.07%	12.12%	12.36%	16.74%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	147	11	9	3	6	1	4	7	16	3	0	6	10	4	0	3	20	9	5	6	9	10	5					
		0.96%	1.18%	1.11%	0.31%	1.07%	0.12%	0.44%	0.85%	1.42%	0.38%	0.0%	1.85%	1.47%	1.29%	0.0%	1.04%	1.71%	0.86%	0.86%	1.06%	0.99%	0.97%	1.11%					
37	"20. ""Политическая партия ""Единая Россия"""	6026	330	314	344	187	296	347	311	410	315	31	171	328	177	71	129	485	444	231	187	400	402	116					
		39.67%	35.40%	38.90%	36.36%	33.45%	38.09%	38.59%	37.88%	36.50%	40.17%	39.24%	52.94%	48.52%	57.28%	56.8%	44.94%	41.52%	42.52%	39.75%	33.03%	44.10%	39.14%	25.89%					
38	"21. ""Российская Конституционно-демократическая партия"""	39	1	0	0	0	3	3	2	6	1	0	2	2	2	0	1	3	5	1	3	0	2	2					
		0.25%	0.10%	0.0%	0.0%	0.0%	0.38%	0.33%	0.24%	0.53%	0.12%	0.0%	0.61%	0.29%	0.64%	0.0%	0.34%	0.25%	0.47%	0.17%	0.53%	0.0%	0.19%	0.44%					
39	"22. ""Развитие предпринимательства"""	29	2	0	4	2	1	2	3	3	3	0	0	0	1	0	0	2	2	0	1	2	1	0					
		0.19%	0.21%	0.0%	0.42%	0.35%	0.12%	0.22%	0.36%	0.26%	0.38%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%	0.17%	0.19%	0.0%	0.17%	0.22%	0.09%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	3333	290	200	253	178	202	221	223	258	173	16	25	98	23	16	45	165	228	149	142	148	154	126					
		21.94%	31.11%	24.78%	26.74%	31.84%	25.99%	24.58%	27.16%	22.97%	22.06%	20.25%	7.73%	14.49%	7.44%	12.8%	15.67%	14.12%	21.83%	25.64%	25.08%	16.31%	14.99%	28.12%					
																													
41	Против всех	549	30	33	40	25	34	47	28	53	33	5	8	23	12	6	7	53	37	11	17	11	22	14					
		3.61%	3.21%	4.08%	4.22%	4.47%	4.37%	5.22%	3.41%	4.71%	4.20%	6.32%	2.47%	3.40%	3.88%	4.8%	2.43%	4.53%	3.54%	1.89%	3.00%	1.21%	2.14%	3.12%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
