Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    ЗАТО Северск																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК  181	УИК  182	УИК  183	УИК  184	УИК  185	УИК  186	УИК  187	УИК  188	УИК  189	УИК  190	УИК  191	УИК  192	УИК  193	УИК  194	УИК  195	УИК  196	УИК  197	УИК  198	УИК  199	УИК  200	УИК  201	УИК  202	УИК  203	УИК  204	УИК  205	УИК  206	УИК  207	УИК  208	УИК  209	УИК  210	УИК  211	УИК  212	УИК  213	УИК  214	УИК  215	УИК  216	УИК  217	УИК  218	УИК  219	УИК  220					
15	"Число открепительных удостоверений, выданных в ТИК"	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																															
18	. Глазьев Сергей Юрьевич	3021	78	8	75	96	79	74	112	89	138	149	95	82	85	93	75	77	83	93	89	83	60	71	38	66	65	61	86	71	105	115	85	89	59	72	71	22	11	58	53	10					
		4.66%	4.44%	2.52%	4.04%	5.71%	4.36%	3.98%	5.83%	4.58%	6.61%	7.33%	4.86%	4.15%	4.84%	5.79%	4.22%	4.43%	4.68%	5.17%	4.59%	4.39%	3.81%	4.14%	3.18%	4.03%	4.44%	2.47%	6.94%	4.22%	5.30%	6.67%	3.75%	5.04%	3.46%	4.75%	4.49%	6.59%	4.31%	5.08%	3.01%	2.53%					
19	. Малышкин Олег Александрович	1545	34	11	44	35	29	31	51	41	47	37	37	47	30	46	56	33	30	38	65	45	58	53	22	43	32	37	34	56	64	27	34	57	44	30	40	6	8	46	48	19					
		2.38%	1.94%	3.46%	2.37%	2.08%	1.60%	1.67%	2.65%	2.11%	2.25%	1.82%	1.89%	2.38%	1.71%	2.86%	3.15%	1.90%	1.69%	2.11%	3.35%	2.38%	3.68%	3.09%	1.84%	2.63%	2.19%	1.50%	2.74%	3.33%	3.23%	1.57%	1.50%	3.23%	2.58%	1.98%	2.53%	1.80%	3.14%	4.03%	2.73%	4.81%					
20	. Миронов Сергей Михайлович	853	29	6	40	26	30	52	45	37	51	26	30	20	31	46	31	24	13	13	25	22	21	8	8	16	12	14	7	9	14	15	30	21	22	11	12	3	4	8	14	7					
		1.31%	1.65%	1.89%	2.15%	1.55%	1.66%	2.80%	2.34%	1.90%	2.44%	1.28%	1.53%	1.01%	1.77%	2.86%	1.75%	1.38%	0.73%	0.72%	1.29%	1.16%	1.33%	0.47%	0.67%	0.98%	0.82%	0.57%	0.56%	0.53%	0.71%	0.87%	1.32%	1.19%	1.29%	0.73%	0.76%	0.90%	1.57%	0.70%	0.80%	1.77%					
21	. Путин Владимир Владимирович	40051	1056	185	1126	1048	1116	1098	1070	1178	1151	1189	1177	1256	1086	921	1078	1012	1111	1115	1105	1166	983	1058	783	1053	902	1874	684	1047	1178	975	1534	1093	1074	875	986	227	153	771	1279	278					
		61.73%	60.10%	58.18%	60.60%	62.38%	61.66%	59.10%	55.67%	60.60%	55.10%	58.48%	60.17%	63.56%	61.85%	57.35%	60.70%	58.19%	62.70%	62.01%	56.99%	61.69%	62.41%	61.76%	65.52%	64.32%	61.65%	75.96%	55.16%	62.21%	59.43%	56.55%	67.67%	61.89%	62.95%	57.68%	62.29%	67.96%	60.00%	67.51%	72.75%	70.38%					
22	. Хакамада Ирина Муцуовна	5842	185	23	170	176	188	159	225	197	256	204	190	167	176	136	131	161	139	156	183	157	121	162	95	116	129	136	142	167	185	221	180	155	168	185	136	13	20	35	88	9					
		9.00%	10.53%	7.23%	9.15%	10.48%	10.39%	8.56%	11.71%	10.13%	12.25%	10.03%	9.71%	8.45%	10.02%	8.47%	7.38%	9.26%	7.84%	8.68%	9.44%	8.31%	7.68%	9.46%	7.95%	7.09%	8.82%	5.51%	11.45%	9.92%	9.33%	12.82%	7.94%	8.78%	9.85%	12.20%	8.59%	3.89%	7.84%	3.06%	5.01%	2.28%					
23	. Харитонов Николай Михайлович	8052	192	53	212	173	188	287	228	209	236	256	257	255	199	219	215	251	255	253	267	280	204	218	176	210	205	213	174	205	221	229	214	213	169	209	209	44	40	167	202	45					
		12.41%	10.93%	16.67%	11.41%	10.30%	10.39%	15.45%	11.86%	10.75%	11.30%	12.59%	13.14%	12.90%	11.33%	13.64%	12.11%	14.43%	14.39%	14.07%	13.77%	14.81%	12.95%	12.73%	14.73%	12.83%	14.01%	8.63%	14.03%	12.18%	11.15%	13.28%	9.44%	12.06%	9.91%	13.78%	13.20%	13.17%	15.69%	14.62%	11.49%	11.39%					
																																															
24	Против всех	5094	172	27	184	120	167	140	183	182	205	158	159	137	138	136	174	161	127	125	195	119	117	129	66	119	113	125	106	112	195	136	166	133	159	128	114	18	18	50	61	20					
		7.85%	9.79%	8.49%	9.90%	7.14%	9.23%	7.53%	9.52%	9.36%	9.81%	7.77%	8.13%	6.93%	7.86%	8.47%	9.80%	9.26%	7.17%	6.95%	10.06%	6.30%	7.43%	7.53%	5.52%	7.27%	7.72%	5.07%	8.55%	6.65%	9.84%	7.89%	7.32%	7.53%	9.32%	8.44%	7.20%	5.39%	7.06%	4.38%	3.47%	5.06%					
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
