Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																															
Дата голосования: 18.09.2016																																																															
																																																															
"Наименование Избирательной комиссии:    Бийск, Восточная"																																																															
																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																															
																																																															
		Сумма	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	910	20	15	10	10	20	20	15	15	15	15	10	25	20	15	15	20	15	20	20	20	25	10	20	15	20	25	10	20	15	25	15	15	10	20	15	20	15	20	15	15	20	20	15	15	10	15	25	25	25	20	15	25									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	243	5	1	1	0	6	11	3	5	0	3	1	2	2	4	2	8	10	7	7	7	1	3	7	5	1	4	3	8	7	7	9	5	0	2	4	10	7	7	5	10	2	2	1	1	2	3	12	11	11	2	2	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	187	3	7	3	1	0	1	4	4	0	6	1	2	1	9	4	1	1	8	5	5	4	9	9	0	2	3	3	5	0	3	3	5	0	1	2	12	4	2	4	3	1	5	0	17	0	5	4	1	5	1	1	7									
14	Число погашенных неиспользованных открепительных удостоверений	667	15	14	9	10	14	9	12	10	15	12	9	23	18	11	13	12	5	13	13	13	24	7	13	10	19	21	7	12	8	18	6	10	10	18	11	10	8	13	10	5	18	18	14	14	8	12	13	14	14	18	13	21									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	55	1	0	0	0	1	0	0	2	1	1	0	2	0	1	3	3	5	1	0	3	0	0	4	0	0	1	0	2	0	0	0	0	1	0	1	1	3	1	1	1	0	2	0	1	0	0	1	4	2	0	0	5									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	378	4	6	6	1	8	13	8	10	8	11	1	6	6	4	12	12	8	7	13	10	3	4	6	9	7	5	3	9	6	13	4	9	4	10	5	13	1	9	1	7	5	12	6	3	2	2	10	16	13	3	8	16									
		1.37%	0.78%	1.39%	4.17%	0.69%	1.57%	1.84%	1.44%	1.90%	1.81%	1.96%	0.30%	0.87%	0.95%	0.79%	2.09%	1.84%	1.37%	0.92%	2.02%	1.48%	0.60%	1.82%	0.82%	1.66%	2.24%	0.77%	1.20%	1.69%	1.07%	1.90%	0.80%	1.77%	1.97%	2.13%	1.06%	1.61%	0.33%	1.91%	0.22%	1.40%	0.99%	2.03%	1.26%	0.71%	0.65%	0.51%	1.15%	1.78%	1.37%	0.59%	1.87%	1.64%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1162	17	18	3	5	20	31	20	20	16	26	12	22	30	22	30	31	28	38	26	24	24	8	21	25	16	27	13	23	27	34	18	28	11	21	19	26	15	19	25	15	17	26	18	18	9	22	36	48	35	23	18	38									
		4.21%	3.31%	4.18%	2.08%	3.47%	3.91%	4.40%	3.59%	3.80%	3.61%	4.63%	3.64%	3.18%	4.77%	4.34%	5.22%	4.75%	4.80%	4.99%	4.04%	3.55%	4.76%	3.64%	2.88%	4.62%	5.11%	4.16%	5.18%	4.31%	4.82%	4.96%	3.60%	5.50%	5.42%	4.48%	4.04%	3.22%	4.93%	4.03%	5.53%	2.99%	3.37%	4.41%	3.79%	4.24%	2.94%	5.58%	4.15%	5.33%	3.69%	4.52%	4.22%	3.90%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	468	8	8	3	0	8	10	13	10	6	12	1	10	9	7	14	11	9	17	15	12	6	4	13	11	4	6	2	3	10	10	11	7	5	5	9	4	9	6	3	12	7	5	5	5	6	10	27	20	35	6	5	14									
		1.70%	1.56%	1.86%	2.08%	0.00%	1.57%	1.42%	2.33%	1.90%	1.35%	2.14%	0.30%	1.45%	1.43%	1.38%	2.43%	1.69%	1.54%	2.23%	2.33%	1.78%	1.19%	1.82%	1.78%	2.03%	1.28%	0.92%	0.80%	0.56%	1.79%	1.46%	2.20%	1.38%	2.46%	1.07%	1.91%	0.50%	2.96%	1.27%	0.66%	2.40%	1.39%	0.85%	1.05%	1.18%	1.96%	2.54%	3.11%	2.22%	3.69%	1.18%	1.17%	1.44%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8116	162	122	45	43	145	206	163	143	151	177	93	235	182	145	157	158	162	218	208	204	168	52	232	139	82	180	71	150	181	176	137	148	80	133	133	303	86	130	148	144	132	185	148	141	73	130	230	247	275	138	124	301									
		29.43%	31.58%	28.31%	31.25%	29.86%	28.38%	29.22%	29.26%	27.13%	34.09%	31.55%	28.18%	33.96%	28.93%	28.60%	27.30%	24.23%	27.79%	28.65%	32.35%	30.18%	33.33%	23.64%	31.82%	25.69%	26.20%	27.73%	28.29%	28.09%	32.32%	25.66%	27.40%	29.08%	39.41%	28.36%	28.30%	37.50%	28.29%	27.54%	32.74%	28.74%	26.14%	31.36%	31.16%	33.18%	23.86%	32.99%	26.53%	27.44%	29.01%	27.11%	29.04%	30.90%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	212	3	5	1	1	7	4	2	5	3	3	3	6	8	5	3	9	5	6	5	7	2	3	4	4	0	6	1	2	4	4	4	3	0	2	3	5	2	9	2	3	1	3	6	5	2	1	6	1	15	4	3	11									
		0.77%	0.58%	1.16%	0.69%	0.69%	1.37%	0.57%	0.36%	0.95%	0.68%	0.53%	0.91%	0.87%	1.27%	0.99%	0.52%	1.38%	0.86%	0.79%	0.78%	1.04%	0.40%	1.36%	0.55%	0.74%	0.00%	0.92%	0.40%	0.37%	0.71%	0.58%	0.80%	0.59%	0.00%	0.43%	0.64%	0.62%	0.66%	1.91%	0.44%	0.60%	0.20%	0.51%	1.26%	1.18%	0.65%	0.25%	0.69%	0.11%	1.58%	0.79%	0.70%	1.13%									
24	"6. Политическая партия ""Гражданская Платформа"""	30	0	0	0	0	0	1	1	0	0	0	2	1	1	1	1	1	1	0	1	1	1	0	2	0	0	0	0	2	0	0	0	0	1	1	1	2	0	0	1	0	0	1	0	0	0	0	2	0	3	0	0	1									
		0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.18%	0.00%	0.00%	0.00%	0.61%	0.14%	0.16%	0.20%	0.17%	0.15%	0.17%	0.00%	0.16%	0.15%	0.20%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	0.00%	0.49%	0.21%	0.21%	0.25%	0.00%	0.00%	0.22%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.32%	0.00%	0.00%	0.10%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6345	160	106	30	46	114	150	103	121	85	99	82	179	214	86	89	135	136	149	136	135	148	47	143	128	93	139	62	118	119	151	102	116	36	125	123	227	78	96	106	136	141	145	118	88	77	96	194	204	183	161	100	190									
		23.01%	31.19%	24.59%	20.83%	31.94%	22.31%	21.28%	18.49%	22.96%	19.19%	17.65%	24.85%	25.87%	34.02%	16.96%	15.48%	20.71%	23.33%	19.58%	21.15%	19.97%	29.37%	21.36%	19.62%	23.66%	29.71%	21.42%	24.70%	22.10%	21.25%	22.01%	20.40%	22.79%	17.73%	26.65%	26.17%	28.09%	25.66%	20.34%	23.45%	27.15%	27.92%	24.58%	24.84%	20.71%	25.16%	24.37%	22.38%	22.67%	19.30%	31.63%	23.42%	19.51%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	222	1	4	0	0	2	2	3	4	6	10	5	2	4	5	9	5	3	2	6	10	3	9	5	4	6	5	2	3	5	3	1	2	4	0	2	9	3	4	3	0	5	8	5	3	3	1	7	8	10	3	3	10									
		0.80%	0.19%	0.93%	0.00%	0.00%	0.39%	0.28%	0.54%	0.76%	1.35%	1.78%	1.52%	0.29%	0.64%	0.99%	1.57%	0.77%	0.51%	0.26%	0.93%	1.48%	0.60%	4.09%	0.69%	0.74%	1.92%	0.77%	0.80%	0.56%	0.89%	0.44%	0.20%	0.39%	1.97%	0.00%	0.43%	1.11%	0.99%	0.85%	0.66%	0.00%	0.99%	1.36%	1.05%	0.71%	0.98%	0.25%	0.81%	0.89%	1.05%	0.59%	0.70%	1.03%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	312	1	8	1	0	3	8	15	12	5	7	4	7	5	7	6	8	5	12	6	9	3	6	6	5	0	5	4	11	2	6	8	3	3	6	7	12	4	12	5	2	5	3	2	7	0	5	12	7	5	4	4	19									
		1.13%	0.19%	1.86%	0.69%	0.00%	0.59%	1.13%	2.69%	2.28%	1.13%	1.25%	1.21%	1.01%	0.79%	1.38%	1.04%	1.23%	0.86%	1.58%	0.93%	1.33%	0.60%	2.73%	0.82%	0.92%	0.00%	0.77%	1.59%	2.06%	0.36%	0.87%	1.60%	0.59%	1.48%	1.28%	1.49%	1.49%	1.32%	2.54%	1.11%	0.40%	0.99%	0.51%	0.42%	1.65%	0.00%	1.27%	1.38%	0.78%	0.53%	0.79%	0.94%	1.95%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	39	1	1	0	1	1	0	0	0	0	0	0	1	1	1	1	1	2	0	0	1	0	1	2	0	0	2	1	5	1	1	0	1	0	0	2	0	0	0	0	0	0	0	1	1	0	1	1	3	2	1	1	0									
		0.14%	0.19%	0.23%	0.00%	0.69%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.16%	0.20%	0.17%	0.15%	0.34%	0.00%	0.00%	0.15%	0.00%	0.45%	0.27%	0.00%	0.00%	0.31%	0.40%	0.94%	0.18%	0.15%	0.00%	0.20%	0.00%	0.00%	0.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.24%	0.00%	0.25%	0.12%	0.33%	0.21%	0.20%	0.23%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	593	4	17	6	1	7	4	19	18	5	14	8	11	2	15	10	24	9	19	9	13	6	7	21	14	6	19	4	13	13	24	15	9	7	14	16	20	10	10	11	8	12	13	6	5	7	9	6	13	16	8	4	32									
		2.15%	0.78%	3.94%	4.17%	0.69%	1.37%	0.57%	3.41%	3.42%	1.13%	2.50%	2.42%	1.59%	0.32%	2.96%	1.74%	3.68%	1.54%	2.50%	1.40%	1.92%	1.19%	3.18%	2.88%	2.59%	1.92%	2.93%	1.59%	2.43%	2.32%	3.50%	3.00%	1.77%	3.45%	2.99%	3.40%	2.48%	3.29%	2.12%	2.43%	1.60%	2.38%	2.20%	1.26%	1.18%	2.29%	2.28%	0.69%	1.44%	1.69%	1.57%	0.94%	3.29%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	5444	80	78	37	27	112	160	129	95	88	122	59	98	102	127	148	157	122	202	113	142	79	53	144	125	56	156	48	110	97	148	107	101	32	74	74	104	46	98	80	92	95	115	90	77	60	56	173	175	199	76	113	193									
		19.74%	15.59%	18.10%	25.69%	18.75%	21.92%	22.70%	23.16%	18.03%	19.86%	21.75%	17.88%	14.16%	16.22%	25.05%	25.74%	24.08%	20.93%	26.54%	17.57%	21.01%	15.67%	24.09%	19.75%	23.11%	17.89%	24.04%	19.12%	20.60%	17.32%	21.57%	21.40%	19.84%	15.76%	15.78%	15.74%	12.87%	15.13%	20.76%	17.70%	18.36%	18.81%	19.49%	18.95%	18.12%	19.61%	14.21%	19.95%	19.44%	20.99%	14.93%	26.46%	19.82%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	76	1	1	0	0	0	4	2	1	0	2	2	0	4	0	3	2	0	1	1	2	2	0	3	2	2	1	1	0	0	1	2	3	1	1	1	3	0	1	1	0	0	1	2	1	1	3	3	1	3	0	2	8									
		0.28%	0.19%	0.23%	0.00%	0.00%	0.00%	0.57%	0.36%	0.19%	0.00%	0.36%	0.61%	0.00%	0.64%	0.00%	0.52%	0.31%	0.00%	0.13%	0.16%	0.30%	0.40%	0.00%	0.41%	0.37%	0.64%	0.15%	0.40%	0.00%	0.00%	0.15%	0.40%	0.59%	0.49%	0.21%	0.21%	0.37%	0.00%	0.21%	0.22%	0.00%	0.00%	0.17%	0.42%	0.24%	0.33%	0.76%	0.35%	0.11%	0.32%	0.00%	0.47%	0.82%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3347	55	42	10	9	62	89	62	72	64	62	47	85	43	62	70	84	79	81	82	95	35	24	101	60	36	73	31	64	75	91	72	66	17	58	63	66	43	69	58	62	72	59	61	58	54	46	136	116	125	65	25	111									
		12.14%	10.72%	9.74%	6.94%	6.25%	12.13%	12.62%	11.13%	13.66%	14.45%	11.05%	14.24%	12.28%	6.84%	12.23%	12.17%	12.88%	13.55%	10.64%	12.75%	14.05%	6.94%	10.91%	13.85%	11.09%	11.50%	11.25%	12.35%	11.99%	13.39%	13.27%	14.40%	12.97%	8.37%	12.37%	13.40%	8.17%	14.14%	14.62%	12.83%	12.38%	14.26%	10.00%	12.84%	13.65%	17.65%	11.68%	15.69%	12.89%	13.19%	12.77%	5.85%	11.40%									
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
