Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																								
Дата голосования: 07.12.2003 0:00:00																																																																																								
																																																																																								
Наименование Избирательной комиссии:    Муромская																																																																																								
																																																																																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																								
																																																																																								
		Сумма	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903					
14	Число погашенных открепительных удостоверений	1033	14	0	21	11	17	20	14	8	10	16	21	16	12	19	18	19	11	10	13	12	9	8	9	13	19	19	20	8	35	23	19	15	25	26	20	15	19	28	36	26	7	28	24	22	26	26	22	10	5	5	0	5	4	10	11	14	10	15	5	5	5	4	10	5	10	5	4	3	5	5	5	2	5	3	5	5	5	5	5	4	5					
15	Число открепительных удостоверений выданных ТИК	12	0	0	1	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																								
18	"1. ""ЕДИНЕНИЕ"""	424	3	11	9	6	7	8	7	3	2	6	7	7	4	8	3	6	3	2	2	8	6	4	5	1	4	8	3	4	9	5	3	13	9	7	8	17	7	7	6	2	6	10	4	17	4	2	15	4	1	6	8	2	1	5	6	15	0	5	5	5	3	6	3	6	8	3	1	5	1	1	7	5	1	1	1	2	2	3	2	1	1					
		0.71%	0.59%	1.61%	0.96%	0.70%	0.58%	0.64%	0.58%	0.58%	0.28%	0.77%	0.67%	0.78%	0.34%	0.61%	0.29%	0.50%	0.28%	0.22%	0.15%	0.84%	0.58%	0.53%	1.28%	0.11%	0.34%	0.94%	0.25%	0.44%	0.68%	0.47%	0.33%	1.13%	0.62%	0.56%	0.73%	1.49%	0.66%	0.68%	0.52%	0.25%	0.67%	0.90%	0.36%	1.39%	0.34%	0.22%	1.15%	0.58%	0.55%	1.77%	1.75%	1.07%	0.51%	0.47%	0.85%	1.68%	0.0%	0.63%	1.75%	2.21%	2.34%	2.54%	0.70%	1.64%	1.53%	2.30%	0.68%	1.97%	0.39%	0.36%	1.83%	2.39%	0.76%	0.28%	0.14%	1.57%	0.79%	1.06%	1.25%	0.51%	0.83%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1625	10	26	21	33	32	32	28	15	12	24	20	34	41	61	33	42	46	37	56	48	28	24	12	30	46	28	28	15	46	36	33	21	48	31	37	32	30	31	36	26	26	22	21	27	18	21	33	12	1	8	17	3	1	17	6	21	1	30	7	2	5	1	6	1	5	1	0	3	4	6	4	3	1	0	12	1	4	2	1	2	0					
		2.74%	1.98%	3.81%	2.25%	3.90%	2.67%	2.56%	2.34%	2.93%	1.68%	3.09%	1.93%	3.79%	3.49%	4.69%	3.25%	3.50%	4.38%	4.16%	4.44%	5.06%	2.73%	3.18%	3.09%	3.38%	3.91%	3.30%	2.35%	1.66%	3.49%	3.39%	3.63%	1.83%	3.33%	2.49%	3.39%	2.81%	2.83%	3.02%	3.17%	3.36%	2.90%	1.98%	1.92%	2.21%	1.54%	2.4%	2.53%	1.74%	0.55%	2.36%	3.71%	1.61%	0.51%	1.60%	0.85%	2.36%	0.71%	3.83%	2.45%	0.88%	3.90%	0.42%	1.41%	0.27%	0.95%	0.76%	0.0%	1.18%	1.59%	2.19%	1.04%	1.43%	0.76%	0.0%	1.74%	0.78%	1.59%	0.70%	0.62%	1.02%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1928	17	11	35	27	47	43	26	15	19	30	39	22	34	37	32	45	36	35	41	36	33	27	8	37	36	26	47	23	51	34	43	33	57	53	33	56	46	40	32	27	29	24	38	46	47	27	33	22	5	10	9	5	6	32	17	27	7	10	23	4	5	2	15	8	16	2	4	2	8	19	7	4	2	10	16	4	2	3	6	3	0					
		3.25%	3.36%	1.61%	3.76%	3.19%	3.92%	3.44%	2.18%	2.93%	2.66%	3.86%	3.77%	2.45%	2.90%	2.85%	3.15%	3.75%	3.42%	3.93%	3.25%	3.79%	3.22%	3.58%	2.06%	4.18%	3.06%	3.06%	3.94%	2.54%	3.87%	3.21%	4.74%	2.88%	3.96%	4.26%	3.02%	4.93%	4.35%	3.89%	2.81%	3.49%	3.24%	2.16%	3.48%	3.77%	4.03%	3.08%	2.53%	3.20%	2.79%	2.95%	1.96%	2.68%	3.10%	3.03%	2.43%	3.04%	5.03%	1.27%	8.07%	1.76%	3.90%	0.84%	3.54%	2.19%	3.06%	1.53%	2.73%	0.79%	3.18%	6.95%	1.83%	1.91%	1.53%	2.82%	2.33%	3.14%	0.79%	1.06%	3.75%	1.53%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	2355	21	13	39	39	53	49	55	26	31	21	40	34	56	82	53	51	66	39	72	49	64	29	24	45	75	33	70	23	71	47	39	63	62	40	46	46	46	35	35	35	43	37	39	45	41	27	50	34	4	13	8	2	4	47	17	28	0	17	3	4	0	2	4	2	4	4	3	2	4	4	6	3	1	4	12	1	5	9	3	2	0					
		3.97%	4.15%	1.90%	4.19%	4.60%	4.42%	3.92%	4.61%	5.08%	4.35%	2.70%	3.87%	3.79%	4.77%	6.31%	5.22%	4.25%	6.28%	4.38%	5.71%	5.16%	6.25%	3.84%	6.18%	5.08%	6.37%	3.89%	5.87%	2.54%	5.39%	4.43%	4.29%	5.50%	4.30%	3.22%	4.22%	4.05%	4.35%	3.41%	3.08%	4.53%	4.80%	3.33%	3.57%	3.68%	3.51%	3.08%	3.84%	4.94%	2.23%	3.84%	1.75%	1.07%	2.07%	4.45%	2.43%	3.15%	0.0%	2.17%	1.05%	1.76%	0.0%	0.84%	0.94%	0.54%	0.76%	3.07%	2.05%	0.79%	1.59%	1.46%	1.57%	1.43%	0.76%	1.12%	1.74%	0.78%	1.99%	3.19%	1.87%	1.02%	0.0%					
22	"5. ""За Русь Святую"""	336	3	4	5	6	6	10	11	10	1	7	8	5	4	8	3	8	5	8	3	5	7	4	2	5	9	4	7	11	5	6	6	5	10	4	1	8	5	6	2	5	4	5	6	10	2	2	7	4	0	2	1	0	4	4	6	5	0	5	0	2	0	0	4	2	0	0	0	4	0	1	2	1	1	4	4	3	4	3	1	0	1					
		0.56%	0.59%	0.58%	0.53%	0.70%	0.50%	0.80%	0.92%	1.95%	0.14%	0.90%	0.77%	0.55%	0.34%	0.61%	0.29%	0.66%	0.47%	0.89%	0.23%	0.52%	0.68%	0.53%	0.51%	0.56%	0.76%	0.47%	0.58%	1.21%	0.37%	0.56%	0.66%	0.43%	0.69%	0.32%	0.09%	0.70%	0.47%	0.58%	0.17%	0.64%	0.44%	0.45%	0.55%	0.81%	0.17%	0.22%	0.53%	0.58%	0.0%	0.59%	0.21%	0.0%	2.07%	0.37%	0.85%	0.56%	0.0%	0.63%	0.0%	0.88%	0.0%	0.0%	0.94%	0.54%	0.0%	0.0%	0.0%	1.58%	0.0%	0.36%	0.52%	0.47%	0.76%	1.12%	0.58%	2.36%	1.59%	1.06%	0.62%	0.0%	0.83%					
23	"6. ""Объединенная Российская партия ""Русь"""	152	1	4	3	3	2	5	3	3	3	2	2	1	1	6	0	2	1	1	2	2	0	1	0	1	4	0	6	4	1	3	1	2	2	2	5	3	1	2	3	2	1	1	2	4	6	3	3	2	0	0	2	2	0	2	2	2	3	5	1	1	1	1	3	1	1	4	1	1	3	2	0	0	0	0	1	0	0	0	1	0	0					
		0.25%	0.19%	0.58%	0.32%	0.35%	0.16%	0.40%	0.25%	0.58%	0.42%	0.25%	0.19%	0.11%	0.08%	0.46%	0.0%	0.16%	0.09%	0.11%	0.15%	0.21%	0.0%	0.13%	0.0%	0.11%	0.34%	0.0%	0.50%	0.44%	0.07%	0.28%	0.11%	0.17%	0.13%	0.16%	0.45%	0.26%	0.09%	0.19%	0.26%	0.25%	0.11%	0.09%	0.18%	0.32%	0.51%	0.34%	0.23%	0.29%	0.0%	0.0%	0.43%	1.07%	0.0%	0.18%	0.28%	0.22%	2.15%	0.63%	0.35%	0.44%	0.78%	0.42%	0.70%	0.27%	0.19%	3.07%	0.68%	0.39%	1.19%	0.73%	0.0%	0.0%	0.0%	0.0%	0.14%	0.0%	0.0%	0.0%	0.62%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	550	7	13	9	15	13	7	14	3	8	8	8	7	7	12	6	9	10	3	13	11	12	8	0	9	16	5	14	8	16	15	5	8	15	16	10	14	13	8	17	10	19	11	11	11	6	6	8	3	3	3	3	0	0	7	7	7	2	8	1	4	2	0	1	3	4	1	1	0	0	1	6	0	2	2	0	0	1	0	0	2	2					
		0.92%	1.38%	1.90%	0.96%	1.77%	1.08%	0.56%	1.17%	0.58%	1.12%	1.03%	0.77%	0.78%	0.59%	0.92%	0.59%	0.75%	0.95%	0.33%	1.03%	1.16%	1.17%	1.06%	0.0%	1.01%	1.36%	0.58%	1.17%	0.88%	1.21%	1.41%	0.55%	0.69%	1.04%	1.28%	0.91%	1.23%	1.22%	0.77%	1.49%	1.29%	2.12%	0.99%	1.00%	0.90%	0.51%	0.68%	0.61%	0.43%	1.67%	0.88%	0.65%	0.0%	0.0%	0.66%	1.00%	0.78%	1.43%	1.02%	0.35%	1.76%	1.56%	0.0%	0.23%	0.82%	0.76%	0.76%	0.68%	0.0%	0.0%	0.36%	1.57%	0.0%	1.53%	0.56%	0.0%	0.0%	0.39%	0.0%	0.0%	1.02%	1.66%					
25	"8. ""Народно-республиканская партия России"""	71	0	1	0	1	0	1	0	2	2	2	2	3	2	0	0	1	0	1	1	3	1	1	0	1	3	3	0	1	0	1	1	2	1	2	2	1	2	2	2	0	0	2	0	1	0	4	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	1	1	0	1	1	0	2	0	0	0	1	3	0	0					
		0.11%	0.0%	0.14%	0.0%	0.11%	0.0%	0.08%	0.0%	0.39%	0.28%	0.25%	0.19%	0.33%	0.17%	0.0%	0.0%	0.08%	0.0%	0.11%	0.07%	0.31%	0.09%	0.13%	0.0%	0.11%	0.25%	0.35%	0.0%	0.11%	0.0%	0.09%	0.11%	0.17%	0.06%	0.16%	0.18%	0.08%	0.18%	0.19%	0.17%	0.0%	0.0%	0.18%	0.0%	0.08%	0.0%	0.45%	0.07%	0.0%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.57%	0.0%	0.0%	0.39%	0.39%	0.0%	0.26%	0.47%	0.0%	0.56%	0.0%	0.0%	0.0%	0.35%	1.87%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	380	2	2	3	4	3	9	5	6	3	6	6	8	11	8	9	10	9	3	6	8	12	2	1	2	11	5	9	9	18	9	12	10	11	12	5	5	7	13	9	8	7	4	6	10	7	2	5	0	1	2	3	0	0	8	2	7	0	9	0	0	1	0	2	0	1	2	1	2	0	1	2	1	0	1	0	0	1	0	0	0	1					
		0.64%	0.39%	0.29%	0.32%	0.47%	0.25%	0.72%	0.41%	1.17%	0.42%	0.77%	0.58%	0.89%	0.93%	0.61%	0.88%	0.83%	0.85%	0.33%	0.47%	0.84%	1.17%	0.26%	0.25%	0.22%	0.93%	0.58%	0.75%	0.99%	1.36%	0.84%	1.32%	0.87%	0.76%	0.96%	0.45%	0.44%	0.66%	1.26%	0.79%	1.03%	0.78%	0.36%	0.55%	0.81%	0.60%	0.22%	0.38%	0.0%	0.55%	0.59%	0.65%	0.0%	0.0%	0.75%	0.28%	0.78%	0.0%	1.15%	0.0%	0.0%	0.78%	0.0%	0.47%	0.0%	0.19%	1.53%	0.68%	0.79%	0.0%	0.36%	0.52%	0.47%	0.0%	0.28%	0.0%	0.0%	0.39%	0.0%	0.0%	0.0%	0.83%					
27	"10. ""Аграрная партия России"""	1853	17	17	23	18	37	26	36	9	22	18	24	21	17	24	22	21	28	23	21	21	30	32	5	26	30	30	47	30	32	26	23	21	43	33	20	25	26	25	25	31	14	16	32	34	20	24	31	28	8	16	44	3	9	40	34	34	11	45	14	13	4	5	29	29	44	13	5	25	14	23	18	11	16	43	48	7	12	6	7	14	5					
		3.12%	3.36%	2.49%	2.47%	2.12%	3.08%	2.08%	3.02%	1.76%	3.08%	2.31%	2.32%	2.34%	1.45%	1.84%	2.16%	1.75%	2.66%	2.58%	1.66%	2.21%	2.92%	4.24%	1.28%	2.93%	2.55%	3.53%	3.94%	3.32%	2.42%	2.45%	2.53%	1.83%	2.98%	2.65%	1.83%	2.20%	2.45%	2.43%	2.20%	4.01%	1.56%	1.44%	2.93%	2.78%	1.71%	2.74%	2.38%	4.07%	4.46%	4.73%	9.62%	1.61%	4.66%	3.78%	4.87%	3.82%	7.91%	5.75%	4.91%	5.75%	3.12%	2.11%	6.85%	7.96%	8.42%	10.0%	3.42%	9.88%	5.57%	8.42%	4.72%	5.26%	12.30%	12.14%	6.99%	5.51%	4.78%	2.12%	4.37%	7.14%	4.16%					
28	"11. ""Истинные патриоты России"""	47	0	4	2	2	2	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	2	2	0	2	1	0	2	1	1	0	1	0	0	0	1	6	1	1	0	1	0	3	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0					
		0.07%	0.0%	0.58%	0.21%	0.23%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.19%	0.0%	0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.08%	0.0%	0.16%	0.22%	0.0%	0.18%	0.11%	0.0%	0.13%	0.08%	0.09%	0.0%	0.09%	0.0%	0.0%	0.0%	0.11%	0.54%	0.09%	0.08%	0.0%	0.11%	0.0%	0.43%	0.0%	0.0%	0.0%	0.0%	0.0%	0.09%	0.0%	0.0%	0.0%	0.12%	0.0%	0.0%	0.0%	0.42%	0.0%	0.0%	0.0%	0.76%	0.68%	0.0%	0.0%	0.36%	0.0%	0.0%	0.76%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	751	11	5	17	12	12	20	12	8	8	6	18	6	15	16	15	13	10	11	14	15	13	8	2	11	19	8	10	10	13	10	14	19	24	12	21	12	8	22	19	13	6	10	20	21	20	3	22	19	0	8	4	0	1	19	6	12	0	7	6	1	0	1	3	3	3	2	0	2	1	1	1	4	1	3	12	0	8	2	3	2	2					
		1.26%	2.17%	0.73%	1.82%	1.41%	1.00%	1.60%	1.00%	1.56%	1.12%	0.77%	1.74%	0.67%	1.27%	1.23%	1.47%	1.08%	0.95%	1.23%	1.11%	1.58%	1.26%	1.06%	0.51%	1.24%	1.61%	0.94%	0.83%	1.10%	0.98%	0.94%	1.54%	1.65%	1.66%	0.96%	1.92%	1.05%	0.75%	2.14%	1.67%	1.68%	0.67%	0.90%	1.83%	1.72%	1.71%	0.34%	1.68%	2.76%	0.0%	2.36%	0.87%	0.0%	0.51%	1.79%	0.85%	1.35%	0.0%	0.89%	2.10%	0.44%	0.0%	0.42%	0.70%	0.82%	0.57%	1.53%	0.0%	0.79%	0.39%	0.36%	0.26%	1.91%	0.76%	0.84%	1.74%	0.0%	3.18%	0.70%	1.87%	1.02%	1.66%					
30	"13. ""Демократическая партия России"""	135	1	2	4	0	2	1	7	0	1	2	1	5	1	4	3	2	2	2	1	1	1	3	1	3	3	0	1	1	1	0	1	2	1	1	0	5	3	3	5	3	5	1	0	3	4	2	3	0	0	4	2	0	1	1	3	5	0	5	0	0	0	3	1	1	2	0	0	0	1	0	1	0	0	1	1	1	2	0	1	1	0					
		0.22%	0.19%	0.29%	0.43%	0.0%	0.16%	0.08%	0.58%	0.0%	0.14%	0.25%	0.09%	0.55%	0.08%	0.30%	0.29%	0.16%	0.19%	0.22%	0.07%	0.10%	0.09%	0.39%	0.25%	0.33%	0.25%	0.0%	0.08%	0.11%	0.07%	0.0%	0.11%	0.17%	0.06%	0.08%	0.0%	0.44%	0.28%	0.29%	0.44%	0.38%	0.55%	0.09%	0.0%	0.24%	0.34%	0.22%	0.23%	0.0%	0.0%	1.18%	0.43%	0.0%	0.51%	0.09%	0.42%	0.56%	0.0%	0.63%	0.0%	0.0%	0.0%	1.27%	0.23%	0.27%	0.38%	0.0%	0.0%	0.0%	0.39%	0.0%	0.26%	0.0%	0.0%	0.28%	0.14%	0.78%	0.79%	0.0%	0.62%	0.51%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	129	0	4	2	4	3	7	3	0	5	3	2	0	2	2	2	2	0	2	3	2	1	1	3	3	2	0	2	1	2	2	2	2	1	1	1	3	0	0	1	4	0	7	0	1	1	3	5	2	0	0	0	0	0	2	3	4	1	5	0	1	1	0	1	1	0	0	0	0	0	3	2	1	0	1	0	0	2	2	0	0	0					
		0.21%	0.0%	0.58%	0.21%	0.47%	0.25%	0.56%	0.25%	0.0%	0.70%	0.38%	0.19%	0.0%	0.17%	0.15%	0.19%	0.16%	0.0%	0.22%	0.23%	0.21%	0.09%	0.13%	0.77%	0.33%	0.17%	0.0%	0.16%	0.11%	0.15%	0.18%	0.22%	0.17%	0.06%	0.08%	0.09%	0.26%	0.0%	0.0%	0.08%	0.51%	0.0%	0.63%	0.0%	0.08%	0.08%	0.34%	0.38%	0.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.42%	0.45%	0.71%	0.63%	0.0%	0.44%	0.78%	0.0%	0.23%	0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	1.09%	0.52%	0.47%	0.0%	0.28%	0.0%	0.0%	0.79%	0.70%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	94	0	1	2	2	4	2	3	0	0	0	1	6	1	0	1	3	2	0	0	0	4	1	0	1	0	3	1	2	1	3	2	3	1	3	1	1	0	0	2	0	6	3	1	0	1	1	1	1	0	0	1	0	1	4	2	2	0	2	1	0	0	0	2	1	1	0	0	0	1	0	1	0	2	0	1	0	0	0	0	0	1					
		0.15%	0.0%	0.14%	0.21%	0.23%	0.33%	0.16%	0.25%	0.0%	0.0%	0.0%	0.09%	0.67%	0.08%	0.0%	0.09%	0.25%	0.19%	0.0%	0.0%	0.0%	0.39%	0.13%	0.0%	0.11%	0.0%	0.35%	0.08%	0.22%	0.07%	0.28%	0.22%	0.26%	0.06%	0.24%	0.09%	0.08%	0.0%	0.0%	0.17%	0.0%	0.67%	0.27%	0.09%	0.0%	0.08%	0.11%	0.07%	0.14%	0.0%	0.0%	0.21%	0.0%	0.51%	0.37%	0.28%	0.22%	0.0%	0.25%	0.35%	0.0%	0.0%	0.0%	0.47%	0.27%	0.19%	0.0%	0.0%	0.0%	0.39%	0.0%	0.26%	0.0%	1.53%	0.0%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.83%					
