Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																											
Дата голосования: 02.12.2007																																																																																																											
																																																																																																											
Наименование Избирательной комиссии:    Балаковская																																																																																																											
																																																																																																											
Сводная таблица результатов выборов																																																																																																											
																																																																																																											
		Сумма	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	3340	40	50	50	35	40	40	40	40	35	50	30	30	40	30	40	40	45	50	30	30	30	45	0	50	40	30	30	30	31	30	30	30	30	35	40	30	30	30	30	30	30	30	30	30	30	40	30	30	40	40	40	30	30	30	30	30	30	40	30	30	30	39	35	40	30	30	30	30	40	40	35	40	30	30	40	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	35	30	30	30	30	30	30	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	2151	40	44	39	33	33	30	32	39	35	43	22	27	34	30	36	40	36	39	26	27	21	44	0	45	27	30	22	29	31	18	10	23	24	30	23	9	11	4	6	11	14	0	0	3	28	33	18	27	33	33	27	16	24	25	22	25	23	33	28	27	25	37	29	32	30	15	17	27	37	38	27	35	18	28	35	25	9	7	3	2	3	1	0	2	8	0	1	6	1	4	1	3	35	6	30	2	8	1	12	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1935	10	12	5	10	11	7	147	7	22	17	11	9	0	5	4	70	9	18	12	11	4	4	1016	34	10	9	20	8	5	51	1	6	3	2	4	3	12	4	2	1	0	1	1	0	2	5	5	3	14	3	6	8	5	3	34	3	6	4	3	9	6	10	13	6	11	3	4	3	22	8	13	21	27	2	8	5	4	3	0	2	0	2	2	1	2	1	0	5	4	3	3	4	4	6	3	8	1	1	0	3					
14	Число погашенных неиспользованных открепительных удостоверений	1189	0	6	11	2	7	10	8	1	0	7	8	3	6	0	4	0	9	11	4	3	9	1	0	5	13	0	8	1	0	12	20	7	6	5	17	21	19	26	24	19	16	30	30	27	2	7	12	3	7	7	13	14	6	5	8	5	7	7	2	3	5	2	6	8	0	15	13	3	3	2	8	5	12	2	5	5	21	23	27	28	27	29	30	28	22	30	29	24	29	26	29	27	0	24	0	28	22	29	18	21					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	96	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	40	1	0	0	0	30	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	2	0	0	1	0	0	0	0	1	2	0	1	0	0	1	2	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	1	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																											
18	1.Политическая партия «Аграрная партия России»	2007	25	25	19	22	23	21	28	18	21	22	16	13	16	22	36	43	44	26	22	26	22	41	16	34	42	21	35	32	29	22	8	12	18	13	27	11	16	2	13	11	6	2	14	6	16	30	18	21	17	35	44	20	26	14	25	38	27	23	25	46	35	31	32	50	30	18	12	33	32	26	36	33	13	26	26	16	2	11	4	12	1	13	14	9	5	1	1	10	1	10	5	10	6	0	31	23	6	5	8	4					
		2.00%	1.75%	1.95%	1.80%	2.05%	1.81%	1.57%	1.89%	1.74%	1.65%	1.64%	1.66%	1.21%	1.47%	1.89%	2.77%	2.76%	3.42%	1.87%	1.97%	2.07%	1.92%	2.71%	1.14%	2.15%	2.71%	1.83%	2.78%	2.05%	1.71%	1.68%	1.31%	1.35%	1.51%	1.45%	2.19%	2.00%	3.27%	0.54%	3.07%	1.59%	1.38%	3.03%	5.56%	1.94%	1.77%	1.85%	1.75%	1.38%	1.31%	2.31%	3.26%	2.13%	1.57%	1.05%	1.85%	2.60%	2.19%	1.66%	2.38%	2.84%	2.05%	1.80%	1.76%	2.98%	1.85%	1.52%	1.12%	2.64%	2.10%	1.49%	2.30%	1.88%	1.79%	1.87%	1.83%	1.39%	0.83%	1.85%	1.19%	5.22%	1.25%	4.76%	3.99%	3.15%	1.08%	1.08%	1.25%	2.40%	0.90%	3.02%	4.24%	2.73%	1.29%	0.00%	4.55%	2.61%	1.21%	1.49%	2.44%	1.23%					
19	2.Всероссийская политическая партия «Гражданская Сила»	756	9	7	0	8	11	12	19	11	9	9	12	10	6	9	11	7	8	11	7	5	6	12	7	14	9	9	6	9	13	5	1	4	12	3	4	5	3	1	0	2	0	0	0	1	0	8	7	12	13	12	5	4	9	15	23	14	3	12	0	22	11	35	29	12	16	20	10	17	16	25	14	5	3	17	19	11	4	1	1	0	0	0	3	0	1	1	0	4	0	0	0	4	1	2	0	6	0	0	2	0					
		0.75%	0.63%	0.55%	0.00%	0.75%	0.87%	0.90%	1.29%	1.07%	0.71%	0.67%	1.24%	0.93%	0.55%	0.77%	0.85%	0.45%	0.62%	0.79%	0.63%	0.40%	0.52%	0.79%	0.50%	0.89%	0.58%	0.78%	0.48%	0.58%	0.77%	0.38%	0.16%	0.45%	1.00%	0.33%	0.32%	0.91%	0.61%	0.27%	0.00%	0.29%	0.00%	0.00%	0.00%	0.32%	0.00%	0.49%	0.68%	0.79%	0.99%	0.79%	0.37%	0.43%	0.54%	1.13%	1.70%	0.96%	0.24%	0.87%	0.00%	1.36%	0.64%	2.03%	1.59%	0.72%	0.99%	1.69%	0.93%	1.36%	1.05%	1.43%	0.90%	0.29%	0.41%	1.22%	1.34%	0.95%	1.65%	0.17%	0.30%	0.00%	0.00%	0.00%	0.85%	0.00%	0.22%	1.08%	0.00%	0.96%	0.00%	0.00%	0.00%	1.09%	0.21%	0.65%	0.00%	0.68%	0.00%	0.00%	0.61%	0.00%					
20	3.Политическая партия «Демократическая партия России»	109	1	1	0	4	3	0	0	1	1	0	2	0	0	1	0	2	0	4	0	1	0	2	1	6	2	2	2	0	2	2	0	0	1	0	1	1	0	0	0	1	3	0	0	0	1	0	1	4	0	3	4	0	1	0	1	1	2	2	1	1	3	6	1	1	1	1	2	2	0	1	1	2	1	1	4	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	3	0	1	0	1	0					
		0.11%	0.07%	0.08%	0.00%	0.37%	0.24%	0.00%	0.00%	0.10%	0.08%	0.00%	0.21%	0.00%	0.00%	0.09%	0.00%	0.13%	0.00%	0.29%	0.00%	0.08%	0.00%	0.13%	0.07%	0.38%	0.13%	0.17%	0.16%	0.00%	0.12%	0.15%	0.00%	0.00%	0.08%	0.00%	0.08%	0.18%	0.00%	0.00%	0.00%	0.14%	0.69%	0.00%	0.00%	0.00%	0.11%	0.00%	0.10%	0.26%	0.00%	0.20%	0.30%	0.00%	0.06%	0.00%	0.07%	0.07%	0.16%	0.14%	0.10%	0.06%	0.18%	0.35%	0.05%	0.06%	0.06%	0.08%	0.19%	0.16%	0.00%	0.06%	0.06%	0.11%	0.14%	0.07%	0.28%	0.09%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.85%	0.82%	0.21%	0.00%	0.44%	0.00%	0.20%	0.00%	0.30%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	12836	197	181	127	123	165	181	172	119	176	190	95	126	124	186	208	230	156	195	185	160	204	243	94	236	334	217	178	243	234	175	61	71	155	94	188	56	50	29	31	48	53	10	9	21	133	223	144	200	181	205	149	120	314	173	208	193	168	204	133	230	201	193	248	262	240	155	78	137	147	192	202	204	111	142	177	165	36	60	19	12	6	10	44	40	37	4	1	45	10	34	20	27	21	11	50	84	36	21	28	18					
		12.82%	13.79%	14.14%	12.03%	11.47%	13.00%	13.55%	11.64%	11.53%	13.83%	14.16%	9.83%	11.71%	11.36%	16.01%	15.99%	14.74%	12.13%	14.04%	16.61%	12.74%	17.82%	16.07%	6.71%	14.94%	21.52%	18.89%	14.15%	15.54%	13.79%	13.38%	9.97%	7.98%	12.96%	10.46%	15.26%	10.18%	10.22%	7.80%	7.31%	6.95%	12.21%	15.15%	3.57%	6.77%	14.70%	13.77%	14.04%	13.10%	13.91%	13.55%	11.05%	12.75%	19.01%	12.99%	15.35%	13.18%	13.63%	14.71%	12.64%	14.21%	11.75%	11.19%	13.63%	15.63%	14.81%	13.07%	7.29%	10.98%	9.63%	11.01%	12.92%	11.64%	15.29%	10.23%	12.47%	14.30%	14.88%	10.07%	5.65%	5.22%	7.50%	3.66%	12.54%	13.99%	8.03%	4.30%	1.25%	10.82%	9.01%	10.27%	16.95%	7.38%	4.51%	3.58%	7.33%	9.52%	7.26%	6.27%	8.54%	5.56%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	284	3	1	2	3	4	4	3	6	8	5	1	6	1	10	5	2	3	2	1	5	4	6	2	4	2	2	4	2	4	3	1	1	7	0	1	3	0	0	1	0	0	0	0	0	1	2	3	5	0	3	2	1	5	8	4	13	1	6	2	2	9	10	8	6	5	8	2	10	8	9	1	4	1	4	5	4	1	0	2	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	0	0					
		0.28%	0.21%	0.08%	0.19%	0.28%	0.32%	0.30%	0.20%	0.58%	0.63%	0.37%	0.10%	0.56%	0.09%	0.86%	0.38%	0.13%	0.23%	0.14%	0.09%	0.40%	0.35%	0.40%	0.14%	0.25%	0.13%	0.17%	0.32%	0.13%	0.24%	0.23%	0.16%	0.11%	0.59%	0.00%	0.08%	0.55%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.12%	0.29%	0.33%	0.00%	0.20%	0.15%	0.11%	0.30%	0.60%	0.30%	0.89%	0.08%	0.43%	0.19%	0.12%	0.53%	0.58%	0.44%	0.36%	0.31%	0.67%	0.19%	0.80%	0.52%	0.52%	0.06%	0.23%	0.14%	0.29%	0.35%	0.35%	0.41%	0.00%	0.60%	0.87%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.21%	0.00%	0.15%	0.11%	0.00%	0.30%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	169	1	5	2	2	2	2	3	0	2	2	1	1	0	1	5	3	1	6	1	6	0	4	4	5	5	0	0	3	2	0	0	1	2	2	1	1	2	0	0	0	0	0	1	0	0	2	0	1	4	3	3	0	3	4	1	4	1	1	1	3	7	3	3	6	4	5	1	5	2	1	4	3	1	2	0	0	0	0	1	0	0	0	0	0	3	0	0	1	1	1	0	0	0	0	1	0	4	0	0	0					
		0.17%	0.07%	0.39%	0.19%	0.19%	0.16%	0.15%	0.20%	0.00%	0.16%	0.15%	0.10%	0.09%	0.00%	0.09%	0.38%	0.19%	0.08%	0.43%	0.09%	0.48%	0.00%	0.26%	0.29%	0.32%	0.32%	0.00%	0.00%	0.19%	0.12%	0.00%	0.00%	0.11%	0.17%	0.22%	0.08%	0.18%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.12%	0.00%	0.07%	0.31%	0.20%	0.22%	0.00%	0.18%	0.30%	0.07%	0.27%	0.08%	0.07%	0.10%	0.19%	0.41%	0.17%	0.16%	0.36%	0.25%	0.42%	0.09%	0.40%	0.13%	0.06%	0.26%	0.17%	0.14%	0.14%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.65%	0.00%	0.00%	0.24%	0.90%	0.30%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.81%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	6192	90	67	60	83	84	96	87	67	89	85	59	58	62	61	87	88	80	78	45	70	60	85	37	92	97	69	63	69	122	71	41	92	55	61	90	34	21	15	14	33	15	2	15	4	62	90	50	98	84	122	75	58	84	98	92	98	65	88	64	127	131	135	121	108	116	63	74	100	134	116	138	129	58	105	102	90	11	30	11	11	7	9	1	9	26	7	0	22	11	15	3	14	20	14	35	54	22	8	10	14					
		6.18%	6.30%	5.23%	5.68%	7.74%	6.62%	7.19%	5.89%	6.49%	6.99%	6.33%	6.11%	5.39%	5.68%	5.25%	6.69%	5.64%	6.22%	5.62%	4.04%	5.57%	5.24%	5.62%	2.64%	5.82%	6.25%	6.01%	5.01%	4.41%	7.19%	5.43%	6.70%	10.34%	4.60%	6.79%	7.31%	6.18%	4.29%	4.03%	3.30%	4.78%	3.46%	3.03%	5.95%	1.29%	6.85%	5.56%	4.87%	6.42%	6.46%	8.06%	5.56%	6.16%	5.08%	7.36%	6.79%	6.69%	5.27%	6.34%	6.08%	7.84%	7.66%	7.83%	6.65%	6.44%	7.16%	5.31%	6.92%	8.01%	8.78%	6.65%	8.82%	7.36%	7.99%	7.56%	7.19%	7.80%	4.55%	5.03%	3.27%	4.78%	8.75%	3.30%	0.28%	3.15%	5.64%	7.53%	0.00%	5.29%	9.91%	4.53%	2.54%	3.83%	4.29%	4.56%	5.13%	6.12%	4.44%	2.39%	3.05%	4.32%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	9872	193	158	163	112	130	135	150	91	160	160	116	151	125	156	156	176	156	172	131	150	121	185	73	172	172	130	131	239	208	137	47	59	150	87	171	53	32	37	21	45	21	5	12	20	86	144	117	125	98	159	120	73	164	98	152	131	111	146	114	179	161	148	187	154	136	114	88	112	153	160	158	189	67	127	127	118	20	15	17	10	4	10	10	12	50	7	0	20	7	31	6	11	3	17	28	53	27	7	13	9					
		9.86%	13.51%	12.34%	15.44%	10.45%	10.24%	10.10%	10.15%	8.82%	12.57%	11.92%	12.01%	14.03%	11.45%	13.43%	11.99%	11.28%	12.13%	12.38%	11.76%	11.94%	10.57%	12.24%	5.21%	10.89%	11.08%	11.31%	10.41%	15.28%	12.26%	10.47%	7.68%	6.63%	12.54%	9.68%	13.88%	9.64%	6.54%	9.95%	4.95%	6.51%	4.84%	7.58%	4.76%	6.45%	9.50%	8.89%	11.40%	8.19%	7.53%	10.51%	8.90%	7.76%	9.93%	7.36%	11.22%	8.95%	9.00%	10.53%	10.84%	11.06%	9.41%	8.58%	10.27%	9.19%	8.40%	9.61%	8.22%	8.97%	10.02%	9.17%	10.10%	10.78%	9.23%	9.15%	8.95%	10.23%	8.26%	2.52%	5.06%	4.35%	5.00%	3.66%	2.85%	4.20%	10.85%	7.53%	0.00%	4.81%	6.31%	9.37%	5.08%	3.01%	0.64%	5.54%	4.11%	6.01%	5.44%	2.09%	3.96%	2.78%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	508	10	3	0	8	8	8	8	7	11	5	3	2	8	3	6	7	5	12	8	6	9	7	1	14	4	4	7	11	4	5	1	5	6	1	9	2	1	1	3	2	3	1	3	3	2	5	7	5	4	9	6	5	11	9	4	10	6	7	6	11	10	8	10	9	7	1	6	5	9	12	7	14	4	10	9	5	3	8	2	0	0	1	1	3	0	0	1	2	0	1	0	4	1	0	7	3	0	1	1	1					
		0.51%	0.70%	0.23%	0.00%	0.75%	0.63%	0.60%	0.54%	0.68%	0.86%	0.37%	0.31%	0.19%	0.73%	0.26%	0.46%	0.45%	0.39%	0.86%	0.72%	0.48%	0.79%	0.46%	0.07%	0.89%	0.26%	0.35%	0.56%	0.70%	0.24%	0.38%	0.16%	0.56%	0.50%	0.11%	0.73%	0.36%	0.20%	0.27%	0.71%	0.29%	0.69%	1.52%	1.19%	0.97%	0.22%	0.31%	0.68%	0.33%	0.31%	0.59%	0.45%	0.53%	0.67%	0.68%	0.30%	0.68%	0.49%	0.50%	0.57%	0.68%	0.58%	0.46%	0.55%	0.54%	0.43%	0.08%	0.56%	0.40%	0.59%	0.69%	0.45%	0.80%	0.55%	0.72%	0.63%	0.43%	1.24%	1.34%	0.60%	0.00%	0.00%	0.37%	0.28%	1.05%	0.00%	0.00%	1.25%	0.48%	0.00%	0.30%	0.00%	1.09%	0.21%	0.00%	1.03%	0.34%	0.00%	0.30%	0.30%	0.31%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	63440	854	795	646	671	789	834	946	672	760	810	637	656	692	661	736	921	782	806	670	757	651	857	1136	928	825	655	776	886	1022	819	435	625	749	605	688	364	349	278	338	537	320	45	196	250	571	1056	640	979	860	897	892	618	942	851	803	902	810	841	651	947	1064	1083	1072	994	1006	740	740	751	942	1113	946	1088	441	917	858	694	148	458	276	180	62	227	268	210	332	73	76	304	72	231	76	281	404	262	508	641	386	289	261	277					
		63.35%	59.76%	62.11%	61.17%	62.59%	62.17%	62.43%	64.01%	65.12%	59.70%	60.36%	65.94%	60.97%	63.37%	56.88%	56.57%	59.04%	60.81%	58.03%	60.14%	60.27%	56.86%	56.68%	81.14%	58.73%	53.16%	57.01%	61.69%	56.65%	60.22%	62.61%	71.08%	70.22%	62.63%	67.30%	55.84%	66.18%	71.37%	74.73%	79.72%	77.71%	73.73%	68.18%	77.78%	80.65%	63.09%	65.23%	62.38%	64.11%	66.10%	59.29%	66.17%	65.67%	57.02%	63.94%	59.26%	61.61%	65.69%	60.63%	61.88%	58.49%	62.19%	62.78%	58.90%	59.31%	62.10%	62.39%	69.16%	60.18%	61.69%	63.82%	60.49%	62.07%	60.74%	66.07%	60.47%	60.14%	61.16%	76.85%	82.14%	78.26%	77.50%	83.15%	76.35%	73.43%	72.02%	78.49%	95.00%	73.08%	64.86%	69.79%	64.41%	76.78%	86.70%	85.34%	74.49%	72.68%	77.82%	86.27%	79.57%	85.49%					
