Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																			
Дата голосования: 18.09.2016																																																																			
																																																																			
"Наименование Избирательной комиссии:    Нижний Тагил, Тагилстроевская"																																																																			
																																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																																			
																																																																			
		Сумма	УИК №681	УИК №690	УИК №2238	УИК №2239	УИК №2240	УИК №2241	УИК №2242	УИК №2243	УИК №2244	УИК №2245	УИК №2246	УИК №2247	УИК №2248	УИК №2249	УИК №2250	УИК №2251	УИК №2252	УИК №2253	УИК №2254	УИК №2255	УИК №2256	УИК №2257	УИК №2258	УИК №2259	УИК №2260	УИК №2261	УИК №2262	УИК №2263	УИК №2264	УИК №2265	УИК №2266	УИК №2267	УИК №2268	УИК №2269	УИК №2270	УИК №2271	УИК №2272	УИК №2273	УИК №2274	УИК №2275	УИК №2276	УИК №2277	УИК №2278	УИК №2279	УИК №2280	УИК №2281	УИК №2282	УИК №2283	УИК №2284	УИК №2285	УИК №2286	УИК №2287	УИК №2288	УИК №2289	УИК №2290	УИК №2632									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	894	0	7	0	14	11	10	12	11	9	14	9	14	27	14	23	23	11	9	1	7	12	19	30	4	12	10	11	12	7	12	10	18	17	28	24	21	24	15	20	27	19	14	14	19	26	10	19	20	18	27	38	28	0	32	19	32									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	654	2	5	6	25	12	8	8	11	34	21	2	17	11	8	28	20	16	17	15	2	6	10	8	8	8	15	12	8	6	10	13	7	12	11	8	20	15	12	6	11	11	11	9	18	10	3	15	15	8	8	11	10	9	16	8	18									
14	Число погашенных неиспользованных открепительных удостоверений	641	15	8	0	11	19	15	13	14	16	26	16	11	3	11	2	17	14	16	14	8	13	6	10	11	13	5	14	13	18	13	15	7	13	2	16	19	1	25	20	3	11	11	16	11	14	15	6	5	7	8	12	12	0	8	11	8									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	46	0	0	0	1	0	0	0	1	0	0	0	1	2	3	2	0	1	2	0	1	2	1	1	0	0	0	0	1	0	0	0	0	0	0	2	2	0	0	0	0	2	2	0	2	1	0	1	1	0	1	5	2	0	1	4	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	469	0	2	2	4	6	6	2	5	6	13	4	5	8	5	7	6	5	4	2	2	5	14	8	0	12	11	11	2	7	7	6	5	6	13	15	10	14	7	10	14	19	13	12	18	12	9	12	9	17	4	20	12	7	8	11	15									
		1.17%	0.00%	0.74%	0.44%	0.56%	0.93%	0.94%	0.31%	0.81%	0.91%	1.84%	0.88%	0.97%	0.93%	0.76%	1.13%	0.70%	0.70%	0.63%	1.10%	0.74%	0.93%	1.45%	0.89%	0.00%	1.73%	2.34%	2.07%	0.35%	1.24%	1.11%	0.97%	0.80%	0.68%	1.53%	1.46%	1.35%	1.79%	0.70%	1.07%	1.40%	1.90%	1.56%	1.27%	1.76%	1.06%	1.28%	1.48%	1.12%	2.15%	0.60%	1.76%	1.18%	2.42%	0.84%	1.10%	1.19%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1022	2	7	10	30	29	21	13	24	23	18	17	13	15	16	15	24	25	13	6	6	11	7	22	3	20	11	4	11	19	12	9	8	25	20	24	22	14	28	23	38	26	16	23	22	24	16	25	25	19	17	22	31	6	27	29	36									
		2.55%	1.67%	2.59%	2.18%	4.18%	4.49%	3.29%	2.04%	3.87%	3.50%	2.54%	3.74%	2.53%	1.75%	2.42%	2.42%	2.79%	3.51%	2.06%	3.31%	2.23%	2.06%	0.72%	2.46%	2.36%	2.89%	2.34%	0.75%	1.92%	3.37%	1.90%	1.46%	1.28%	2.82%	2.35%	2.33%	2.98%	1.79%	2.80%	2.45%	3.80%	2.60%	1.93%	2.43%	2.15%	2.13%	2.28%	3.08%	3.11%	2.40%	2.56%	1.93%	3.05%	2.08%	2.85%	2.91%	2.85%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1043	0	11	16	27	21	25	25	19	16	16	11	9	20	18	18	22	21	21	3	11	16	33	18	3	22	13	10	5	16	10	12	12	15	23	33	13	18	23	25	25	9	33	33	28	18	19	24	22	22	29	34	22	2	22	30	21									
		2.61%	0.00%	4.07%	3.49%	3.76%	3.25%	3.92%	3.92%	3.06%	2.44%	2.26%	2.42%	1.75%	2.34%	2.72%	2.90%	2.56%	2.95%	3.32%	1.66%	4.09%	2.99%	3.41%	2.01%	2.36%	3.18%	2.76%	1.88%	0.87%	2.84%	1.58%	1.94%	1.93%	1.69%	2.70%	3.21%	1.76%	2.31%	2.30%	2.67%	2.50%	0.90%	3.97%	3.48%	2.74%	1.60%	2.70%	2.96%	2.73%	2.78%	4.37%	2.99%	2.16%	0.69%	2.32%	3.01%	1.66%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	17329	96	167	173	335	290	272	292	256	297	286	189	233	408	275	281	402	273	276	88	128	228	362	404	51	309	194	222	230	242	266	248	246	386	373	414	285	338	427	390	419	440	359	403	424	473	316	358	369	361	297	497	427	146	408	450	550									
		43.28%	80.00%	61.85%	37.69%	46.66%	44.89%	42.63%	45.77%	41.29%	45.21%	40.40%	41.54%	45.42%	47.66%	41.54%	45.32%	46.69%	38.34%	43.67%	48.62%	47.58%	42.62%	37.40%	45.14%	40.16%	44.65%	41.19%	41.73%	40.21%	42.98%	42.16%	40.13%	39.49%	43.47%	43.83%	40.23%	38.57%	43.33%	42.74%	41.58%	41.94%	44.04%	43.20%	42.56%	41.53%	41.97%	44.95%	44.14%	45.84%	45.64%	44.80%	43.71%	41.99%	50.52%	43.04%	45.09%	43.48%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	415	0	0	6	4	3	6	5	3	4	10	1	1	14	7	6	8	10	9	1	1	4	8	7	2	5	3	10	10	3	10	4	7	12	7	13	6	11	13	7	13	12	5	13	12	16	7	6	5	6	7	16	14	3	13	15	11									
		1.04%	0.00%	0.00%	1.31%	0.56%	0.46%	0.94%	0.78%	0.48%	0.61%	1.41%	0.22%	0.19%	1.64%	1.06%	0.97%	0.93%	1.40%	1.42%	0.55%	0.37%	0.75%	0.83%	0.78%	1.57%	0.72%	0.64%	1.88%	1.75%	0.53%	1.58%	0.65%	1.12%	1.35%	0.82%	1.26%	0.81%	1.41%	1.30%	0.75%	1.30%	1.20%	0.60%	1.37%	1.18%	1.42%	0.99%	0.74%	0.62%	0.76%	1.06%	1.41%	1.38%	1.04%	1.37%	1.50%	0.87%									
24	"6. Политическая партия ""Гражданская Платформа"""	60	0	1	2	2	3	1	1	1	1	0	1	0	1	1	0	1	0	0	0	0	0	1	0	0	2	0	0	1	0	2	0	0	1	0	5	3	1	1	1	0	2	2	3	2	2	0	1	1	0	0	5	2	5	1	0	0									
		0.15%	0.00%	0.37%	0.44%	0.28%	0.46%	0.16%	0.16%	0.16%	0.15%	0.00%	0.22%	0.00%	0.12%	0.15%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.29%	0.00%	0.00%	0.17%	0.00%	0.32%	0.00%	0.00%	0.11%	0.00%	0.49%	0.41%	0.13%	0.10%	0.11%	0.00%	0.20%	0.24%	0.32%	0.20%	0.18%	0.00%	0.12%	0.12%	0.00%	0.00%	0.44%	0.20%	1.73%	0.11%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5966	13	53	92	115	118	131	96	120	93	116	82	109	144	111	113	141	130	97	41	41	120	161	127	25	89	60	63	77	87	89	78	93	134	118	151	127	96	177	150	125	152	96	109	150	159	86	103	102	106	88	152	129	35	105	119	172									
		14.90%	10.83%	19.63%	20.04%	16.02%	18.27%	20.53%	15.05%	19.35%	14.16%	16.38%	18.02%	21.25%	16.82%	16.77%	18.23%	16.38%	18.26%	15.35%	22.65%	15.24%	22.43%	16.63%	14.19%	19.69%	12.86%	12.74%	11.84%	13.46%	15.45%	14.10%	12.62%	14.93%	15.09%	13.87%	14.67%	17.19%	12.31%	17.72%	15.99%	12.51%	15.22%	11.55%	11.51%	14.69%	14.11%	12.23%	12.70%	12.67%	13.40%	13.27%	13.37%	12.68%	12.11%	11.08%	11.92%	13.60%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	334	0	0	0	2	5	1	2	5	4	2	5	3	5	5	5	5	4	4	0	0	5	7	16	1	5	10	11	6	2	6	5	2	13	9	10	9	7	4	1	12	7	4	8	16	16	7	6	6	7	4	11	12	4	8	6	14									
		0.83%	0.00%	0.00%	0.00%	0.28%	0.77%	0.16%	0.31%	0.81%	0.61%	0.28%	1.10%	0.58%	0.58%	0.76%	0.81%	0.58%	0.56%	0.63%	0.00%	0.00%	0.93%	0.72%	1.79%	0.79%	0.72%	2.12%	2.07%	1.05%	0.36%	0.95%	0.81%	0.32%	1.46%	1.06%	0.97%	1.22%	0.90%	0.40%	0.11%	1.20%	0.70%	0.48%	0.84%	1.57%	1.42%	0.99%	0.74%	0.75%	0.88%	0.60%	0.97%	1.18%	1.38%	0.84%	0.60%	1.11%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	567	0	1	3	2	3	5	8	4	6	5	3	8	4	4	11	3	6	15	0	1	2	11	13	0	8	8	9	7	7	13	12	16	13	9	23	9	17	14	9	14	13	18	11	20	20	7	16	14	8	12	30	17	1	23	17	34									
		1.42%	0.00%	0.37%	0.65%	0.28%	0.46%	0.78%	1.25%	0.65%	0.91%	0.71%	0.66%	1.56%	0.47%	0.60%	1.77%	0.35%	0.84%	2.37%	0.00%	0.37%	0.37%	1.14%	1.45%	0.00%	1.16%	1.70%	1.69%	1.22%	1.24%	2.06%	1.94%	2.57%	1.46%	1.06%	2.24%	1.22%	2.18%	1.40%	0.96%	1.40%	1.30%	2.17%	1.16%	1.96%	1.77%	0.99%	1.97%	1.74%	1.01%	1.81%	2.64%	1.67%	0.35%	2.43%	1.70%	2.69%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	42	0	0	0	0	1	1	1	1	0	0	1	0	0	0	0	1	3	1	1	0	0	0	2	0	1	1	0	0	0	2	0	0	1	0	2	1	0	1	6	0	0	3	0	2	0	1	0	0	1	0	0	1	2	1	1	2									
		0.10%	0.00%	0.00%	0.00%	0.00%	0.15%	0.16%	0.16%	0.16%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.12%	0.42%	0.16%	0.55%	0.00%	0.00%	0.00%	0.22%	0.00%	0.14%	0.21%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.11%	0.00%	0.19%	0.14%	0.00%	0.10%	0.64%	0.00%	0.00%	0.36%	0.00%	0.20%	0.00%	0.14%	0.00%	0.00%	0.13%	0.00%	0.00%	0.10%	0.69%	0.11%	0.10%	0.16%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	657	1	0	6	7	7	4	8	4	10	4	4	3	8	10	9	12	7	17	2	2	9	17	10	5	19	15	5	14	9	9	14	17	12	8	17	11	23	23	9	12	22	17	15	27	14	7	15	16	5	8	35	17	7	21	19	29									
		1.64%	0.83%	0.00%	1.31%	0.97%	1.08%	0.63%	1.25%	0.65%	1.52%	0.56%	0.88%	0.58%	0.93%	1.51%	1.45%	1.39%	0.98%	2.69%	1.10%	0.74%	1.68%	1.76%	1.12%	3.94%	2.75%	3.18%	0.94%	2.45%	1.60%	1.43%	2.27%	2.73%	1.35%	0.94%	1.65%	1.49%	2.95%	2.30%	0.96%	1.20%	2.20%	2.05%	1.58%	2.64%	1.24%	0.99%	1.85%	1.99%	0.63%	1.21%	3.08%	1.67%	2.42%	2.22%	1.90%	2.29%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4470	3	18	45	91	84	91	45	67	70	86	44	52	70	72	64	103	95	69	18	34	62	129	100	10	84	67	57	65	67	75	80	66	94	84	108	88	70	101	95	106	108	98	115	116	126	71	108	88	97	91	117	121	7	123	117	138									
		11.16%	2.50%	6.67%	9.80%	12.67%	13.00%	14.26%	7.05%	10.81%	10.65%	12.15%	9.67%	10.14%	8.18%	10.88%	10.32%	11.96%	13.34%	10.92%	9.94%	12.64%	11.59%	13.33%	11.17%	7.87%	12.14%	14.23%	10.71%	11.36%	11.90%	11.89%	12.94%	10.59%	10.59%	9.87%	10.50%	11.91%	8.97%	10.11%	10.13%	10.61%	10.81%	11.79%	12.14%	11.36%	11.18%	10.10%	13.32%	10.93%	12.26%	13.73%	10.29%	11.90%	2.42%	12.97%	11.72%	10.91%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	144	1	0	2	3	1	1	2	5	3	1	2	2	5	1	4	2	1	4	0	1	1	2	6	0	3	3	4	3	3	1	1	3	3	1	4	1	3	1	4	1	2	3	8	4	5	3	2	0	9	3	4	3	1	3	3	2									
		0.36%	0.83%	0.00%	0.44%	0.42%	0.15%	0.16%	0.31%	0.81%	0.46%	0.14%	0.44%	0.39%	0.58%	0.15%	0.65%	0.23%	0.14%	0.63%	0.00%	0.37%	0.19%	0.21%	0.67%	0.00%	0.43%	0.64%	0.75%	0.52%	0.53%	0.16%	0.16%	0.48%	0.34%	0.12%	0.39%	0.14%	0.38%	0.10%	0.43%	0.10%	0.20%	0.36%	0.84%	0.39%	0.44%	0.43%	0.25%	0.00%	1.14%	0.45%	0.35%	0.29%	0.35%	0.32%	0.30%	0.16%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	6244	4	8	82	71	51	49	112	84	98	118	66	64	113	115	72	105	108	88	16	34	66	190	140	16	100	63	104	115	89	105	124	130	153	144	182	127	133	154	167	174	160	132	172	158	208	137	111	126	123	86	170	191	10	160	152	214									
		15.60%	3.33%	2.96%	17.86%	9.89%	7.89%	7.68%	17.55%	13.55%	14.92%	16.67%	14.51%	12.48%	13.20%	17.37%	11.61%	12.20%	15.17%	13.92%	8.84%	12.64%	12.34%	19.63%	15.64%	12.60%	14.45%	13.38%	19.55%	20.10%	15.81%	16.64%	20.06%	20.87%	17.23%	16.92%	17.69%	17.19%	17.05%	15.42%	17.80%	17.42%	16.02%	15.88%	18.16%	15.48%	18.46%	19.49%	13.69%	15.65%	15.55%	12.97%	14.95%	18.78%	3.46%	16.88%	15.23%	16.92%									
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
