Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																													
Дата голосования: 18.09.2016																																																													
																																																													
Наименование Избирательной комиссии:    Петровская																																																													
																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																													
																																																													
		Сумма	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365									
14	Число погашенных неиспользованных открепительных удостоверений	96	3	0	0	0	0	0	2	5	3	2	2	0	3	3	2	1	5	2	4	4	3	3	2	3	4	4	5	0	1	0	0	2	2	0	3	0	0	4	4	0	0	0	4	1	0	5	4	1	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	71	0	1	7	1	3	3	3	3	2	1	4	1	2	1	0	0	0	1	0	1	5	4	0	5	2	3	0	5	1	0	5	1	0	0	0	0	0	0	0	3	2	1	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	127	5	2	3	2	3	2	5	2	4	6	6	4	3	5	3	2	1	2	1	4	2	3	2	2	0	3	1	4	1	8	2	0	4	2	2	4	2	1	11	0	5	0	1	0	1	1	0	0	0	0									
		0.64%	1.03%	2.86%	0.73%	0.34%	0.43%	0.42%	0.91%	0.34%	1.67%	1.24%	0.82%	0.47%	0.84%	0.69%	0.67%	3.45%	0.17%	0.95%	0.41%	0.83%	0.50%	0.62%	2.17%	0.83%	0.00%	0.76%	0.42%	0.87%	0.57%	4.85%	0.68%	0.00%	0.65%	1.17%	0.67%	1.10%	0.36%	0.23%	1.27%	0.00%	0.82%	0.00%	0.29%	0.00%	0.34%	0.32%	0.00%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	337	8	2	15	11	11	7	7	19	5	6	14	13	0	13	7	1	18	5	1	14	12	22	1	9	17	0	9	13	3	7	4	0	0	2	3	13	8	7	13	2	3	0	2	3	5	1	0	0	0	1									
		1.70%	1.65%	2.86%	3.63%	1.88%	1.57%	1.47%	1.27%	3.26%	2.08%	1.24%	1.92%	1.52%	0.00%	1.79%	1.57%	1.72%	2.99%	2.37%	0.41%	2.90%	3.02%	4.55%	1.09%	3.72%	6.37%	0.00%	3.80%	2.83%	1.71%	4.24%	1.37%	0.00%	0.00%	1.17%	1.00%	3.58%	1.44%	1.60%	1.50%	0.21%	0.49%	0.00%	0.59%	3.13%	1.69%	0.32%	0.00%	0.00%	0.00%	0.50%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	229	12	2	13	9	12	10	3	12	3	8	4	16	0	5	5	1	7	4	2	9	15	8	1	6	4	1	3	8	3	4	3	0	0	0	2	3	10	2	7	1	0	1	5	0	3	2	0	0	0	0									
		1.16%	2.47%	2.86%	3.15%	1.54%	1.71%	2.11%	0.55%	2.06%	1.25%	1.65%	0.55%	1.87%	0.00%	0.69%	1.12%	1.72%	1.16%	1.90%	0.82%	1.87%	3.77%	1.65%	1.09%	2.48%	1.50%	0.25%	1.27%	1.74%	1.71%	2.42%	1.03%	0.00%	0.00%	0.00%	0.67%	0.83%	1.81%	0.46%	0.81%	0.11%	0.00%	0.43%	1.47%	0.00%	1.02%	0.64%	0.00%	0.00%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	13330	262	42	222	392	471	253	333	297	133	364	442	497	185	317	265	36	376	109	190	192	199	217	42	111	123	233	124	338	158	69	213	160	529	145	182	195	425	405	655	912	516	218	308	86	227	233	230	197	320	182									
		67.29%	53.91%	60.00%	53.75%	66.89%	67.19%	53.26%	60.55%	50.94%	55.42%	75.21%	60.55%	57.99%	51.68%	43.60%	59.55%	62.07%	62.35%	51.66%	77.55%	39.83%	50.00%	44.83%	45.65%	45.87%	46.07%	58.84%	52.32%	73.48%	90.29%	41.82%	72.95%	92.49%	85.46%	84.80%	60.67%	53.72%	76.71%	92.47%	75.64%	96.00%	84.87%	94.78%	90.86%	89.58%	76.95%	74.44%	94.26%	94.26%	96.68%	91.00%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	76	2	0	4	1	2	4	0	7	2	0	3	1	1	1	6	0	1	0	1	3	1	4	3	3	0	1	3	4	0	0	0	0	4	1	1	2	3	0	3	1	1	0	0	0	0	2	0	0	0	0									
		0.38%	0.41%	0.00%	0.97%	0.17%	0.29%	0.84%	0.00%	1.20%	0.83%	0.00%	0.41%	0.12%	0.28%	0.14%	1.35%	0.00%	0.17%	0.00%	0.41%	0.62%	0.25%	0.83%	3.26%	1.24%	0.00%	0.25%	1.27%	0.87%	0.00%	0.00%	0.00%	0.00%	0.65%	0.58%	0.33%	0.55%	0.54%	0.00%	0.35%	0.11%	0.16%	0.00%	0.00%	0.00%	0.00%	0.64%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	19	1	1	0	0	1	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	4									
		0.10%	0.21%	1.43%	0.00%	0.00%	0.14%	0.21%	0.18%	0.00%	0.00%	0.21%	0.00%	0.12%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.41%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.23%	0.12%	0.00%	0.00%	0.00%	0.00%	1.04%	0.00%	0.00%	0.00%	0.00%	0.00%	2.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2009	72	10	78	74	92	80	73	85	30	44	82	110	29	77	70	9	61	25	15	73	74	77	6	19	41	38	24	31	0	42	29	8	52	8	25	32	58	13	90	17	41	5	8	1	23	42	4	4	3	5									
		10.14%	14.81%	14.29%	18.89%	12.63%	13.12%	16.84%	13.27%	14.58%	12.50%	9.09%	11.23%	12.84%	8.10%	10.59%	15.73%	15.52%	10.12%	11.85%	6.12%	15.15%	18.59%	15.91%	6.52%	7.85%	15.36%	9.60%	10.13%	6.74%	0.00%	25.45%	9.93%	4.62%	8.40%	4.68%	8.33%	8.82%	10.47%	2.97%	10.39%	1.79%	6.74%	2.17%	2.36%	1.04%	7.80%	13.42%	1.64%	1.91%	0.91%	2.50%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	62	1	0	3	1	4	2	3	3	0	0	5	0	3	0	3	0	0	1	0	3	7	4	0	1	0	1	1	2	0	3	2	0	0	0	0	0	3	0	1	1	2	0	0	0	0	0	0	0	0	2									
		0.31%	0.21%	0.00%	0.73%	0.17%	0.57%	0.42%	0.55%	0.51%	0.00%	0.00%	0.68%	0.00%	0.84%	0.00%	0.67%	0.00%	0.00%	0.47%	0.00%	0.62%	1.76%	0.83%	0.00%	0.41%	0.00%	0.25%	0.42%	0.43%	0.00%	1.82%	0.68%	0.00%	0.00%	0.00%	0.00%	0.00%	0.54%	0.00%	0.12%	0.11%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	101	5	3	4	2	5	2	3	10	3	2	8	4	1	1	3	1	3	0	0	1	4	4	0	1	2	0	1	4	0	0	1	0	1	0	3	2	5	2	0	1	6	1	0	0	1	1	0	0	0	0									
		0.51%	1.03%	4.29%	0.97%	0.34%	0.71%	0.42%	0.55%	1.72%	1.25%	0.41%	1.10%	0.47%	0.28%	0.14%	0.67%	1.72%	0.50%	0.00%	0.00%	0.21%	1.01%	0.83%	0.00%	0.41%	0.75%	0.00%	0.42%	0.87%	0.00%	0.00%	0.34%	0.00%	0.16%	0.00%	1.00%	0.55%	0.90%	0.46%	0.00%	0.11%	0.99%	0.43%	0.00%	0.00%	0.34%	0.32%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	17	1	0	2	0	2	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0									
		0.09%	0.21%	0.00%	0.48%	0.00%	0.29%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.25%	0.00%	1.09%	1.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	91	4	0	3	0	1	8	2	7	0	3	8	10	5	2	3	0	4	1	2	4	1	3	2	3	1	0	0	0	3	0	2	0	1	0	2	0	1	1	0	1	1	0	0	0	0	1	0	0	0	1									
		0.46%	0.82%	0.00%	0.73%	0.00%	0.14%	1.68%	0.36%	1.20%	0.00%	0.62%	1.10%	1.17%	1.40%	0.28%	0.67%	0.00%	0.66%	0.47%	0.82%	0.83%	0.25%	0.62%	2.17%	1.24%	0.37%	0.00%	0.00%	0.00%	1.71%	0.00%	0.68%	0.00%	0.16%	0.00%	0.67%	0.00%	0.18%	0.23%	0.00%	0.11%	0.16%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.50%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2192	73	4	48	66	53	56	87	77	36	31	128	140	96	173	52	4	100	36	16	121	42	90	20	63	52	58	47	45	7	21	19	5	22	5	18	79	23	5	61	10	27	3	9	3	19	20	6	6	5	5									
		11.06%	15.02%	5.71%	11.62%	11.26%	7.56%	11.79%	15.82%	13.21%	15.00%	6.40%	17.53%	16.34%	26.82%	23.80%	11.69%	6.90%	16.58%	17.06%	6.53%	25.10%	10.55%	18.60%	21.74%	26.03%	19.48%	14.65%	19.83%	9.78%	4.00%	12.73%	6.51%	2.89%	3.55%	2.92%	6.00%	21.76%	4.15%	1.14%	7.04%	1.05%	4.44%	1.30%	2.65%	3.13%	6.44%	6.39%	2.46%	2.87%	1.51%	2.50%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	27	0	1	2	1	2	1	0	0	0	2	1	1	0	2	0	1	1	2	0	1	1	3	0	0	2	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.14%	0.00%	1.43%	0.48%	0.17%	0.29%	0.21%	0.00%	0.00%	0.00%	0.41%	0.14%	0.12%	0.00%	0.28%	0.00%	1.72%	0.17%	0.95%	0.00%	0.21%	0.25%	0.62%	0.00%	0.00%	0.75%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.58%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	953	37	3	13	17	34	34	23	52	20	10	21	44	33	122	17	2	20	24	14	39	23	47	11	19	24	46	19	7	0	8	13	0	5	3	62	26	5	0	8	4	6	2	5	1	15	6	4	2	3	0									
		4.81%	7.61%	4.29%	3.15%	2.90%	4.85%	7.16%	4.18%	8.92%	8.33%	2.07%	2.88%	5.13%	9.22%	16.78%	3.82%	3.45%	3.32%	11.37%	5.71%	8.09%	5.78%	9.71%	11.96%	7.85%	8.99%	11.62%	8.02%	1.52%	0.00%	4.85%	4.45%	0.00%	0.81%	1.75%	20.67%	7.16%	0.90%	0.00%	0.92%	0.42%	0.99%	0.87%	1.47%	1.04%	5.08%	1.92%	1.64%	0.96%	0.91%	0.00%									
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
