Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																	
Дата голосования: 18.09.2016																																																																	
																																																																	
"Наименование Избирательной комиссии:    Иркутск, Иркутская городская N 3 "																																																																	
																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																	
																																																																	
		Сумма	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №1820	УИК №1821	УИК №1908	УИК №8210	УИК №8218	УИК №8219	УИК №8220	УИК №8222	УИК №8223									
		1.99%	1.50%	2.50%	0.99%	1.82%	2.92%	1.36%	4.44%	1.43%	1.24%	2.94%	2.93%	1.50%	1.93%	0.35%	2.74%	2.12%	3.28%	2.85%	3.12%	2.43%	2.61%	2.74%	3.75%	2.99%	2.62%	2.76%	3.80%	2.88%	3.21%	4.61%	4.18%	6.06%	2.51%	1.67%	3.60%	4.62%	3.77%	1.96%	2.19%	3.26%	1.90%	2.80%	3.46%	2.50%	1.93%	3.28%	2.75%	1.24%	0.00%	0.69%	1.13%	0.99%	1.21%	1.15%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	561	8	12	6	10	16	14	3	11	13	8	17	14	12	6	15	14	8	14	12	9	17	7	14	17	12	14	16	8	6	3	4	5	10	3	2	13	24	6	4	16	12	14	13	6	14	2	5	5	4	25	15	13	6	4									
		1.31%	1.20%	3.33%	0.85%	1.65%	2.03%	2.38%	1.21%	2.24%	2.68%	1.68%	2.62%	2.62%	1.79%	2.13%	1.87%	2.97%	1.75%	1.59%	1.97%	1.37%	2.77%	1.20%	2.19%	2.54%	1.75%	1.68%	1.64%	1.44%	2.14%	1.38%	1.04%	2.53%	1.79%	1.00%	0.51%	2.50%	3.35%	1.47%	0.73%	2.75%	1.90%	2.17%	2.14%	1.16%	1.13%	0.73%	2.75%	0.69%	1.19%	0.44%	0.57%	0.33%	0.32%	0.31%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	21663	219	119	179	161	216	162	66	150	138	111	183	143	177	84	213	110	123	283	161	182	174	209	252	235	282	314	323	226	98	68	118	74	157	82	129	178	257	138	189	189	212	182	226	168	655	80	83	259	311	4632	2124	3200	1507	1152									
		50.78%	32.78%	33.06%	25.39%	26.61%	27.45%	27.55%	26.61%	30.55%	28.45%	23.27%	28.20%	26.73%	26.34%	29.79%	26.56%	23.35%	26.86%	32.23%	26.44%	27.66%	28.38%	35.79%	39.38%	35.13%	41.05%	37.74%	33.16%	40.72%	35.00%	31.34%	30.81%	37.37%	28.14%	27.33%	33.16%	34.30%	35.84%	33.74%	34.55%	32.47%	33.65%	28.26%	37.23%	32.37%	52.65%	29.20%	45.60%	35.72%	92.84%	81.92%	80.27%	81.70%	79.48%	87.94%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	412	14	3	17	16	20	9	2	10	14	10	11	7	9	6	7	9	7	13	10	8	10	0	4	3	8	15	14	2	4	2	4	0	9	1	5	1	11	5	5	4	14	10	4	11	17	0	0	15	1	11	4	5	8	3									
		0.97%	2.10%	0.83%	2.41%	2.64%	2.54%	1.53%	0.81%	2.04%	2.89%	2.10%	1.69%	1.31%	1.34%	2.13%	0.87%	1.91%	1.53%	1.48%	1.64%	1.22%	1.63%	0.00%	0.63%	0.45%	1.16%	1.80%	1.44%	0.36%	1.43%	0.92%	1.04%	0.00%	1.61%	0.33%	1.29%	0.19%	1.53%	1.22%	0.91%	0.69%	2.22%	1.55%	0.66%	2.12%	1.37%	0.00%	0.00%	2.07%	0.30%	0.19%	0.15%	0.13%	0.42%	0.23%									
24	"6. Политическая партия ""Гражданская Платформа"""	131	8	2	1	4	6	4	3	1	5	5	2	4	2	1	5	4	2	4	5	5	2	2	1	2	1	4	2	1	1	1	1	0	3	1	2	2	1	1	2	2	1	2	2	0	4	1	0	5	0	5	2	3	0	1									
		0.31%	1.20%	0.56%	0.14%	0.66%	0.76%	0.68%	1.21%	0.20%	1.03%	1.05%	0.31%	0.75%	0.30%	0.35%	0.62%	0.85%	0.44%	0.46%	0.82%	0.76%	0.33%	0.34%	0.16%	0.30%	0.15%	0.48%	0.21%	0.18%	0.36%	0.46%	0.26%	0.00%	0.54%	0.33%	0.51%	0.39%	0.14%	0.24%	0.37%	0.34%	0.16%	0.31%	0.33%	0.00%	0.32%	0.36%	0.00%	0.69%	0.00%	0.09%	0.08%	0.08%	0.00%	0.08%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4562	67	35	79	46	52	67	58	57	46	44	88	41	70	39	77	58	52	83	79	66	82	86	107	100	101	148	132	78	33	44	54	36	98	40	58	64	109	59	82	88	78	112	86	77	278	34	25	233	10	318	142	210	95	61									
		10.69%	10.03%	9.72%	11.21%	7.60%	6.61%	11.39%	23.39%	11.61%	9.48%	9.22%	13.56%	7.66%	10.42%	13.83%	9.60%	12.31%	11.35%	9.45%	12.97%	10.03%	13.38%	14.73%	16.72%	14.95%	14.70%	17.79%	13.55%	14.05%	11.79%	20.28%	14.10%	18.18%	17.56%	13.33%	14.91%	12.33%	15.20%	14.43%	14.99%	15.12%	12.38%	17.39%	14.17%	14.84%	22.35%	12.41%	13.74%	32.14%	2.99%	5.62%	5.37%	5.36%	5.01%	4.66%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	501	20	6	21	27	22	18	4	21	12	11	13	14	22	8	25	4	12	17	8	15	13	5	12	3	5	9	8	9	9	7	2	0	4	3	4	6	4	6	6	8	12	5	7	6	8	2	0	6	0	13	2	10	3	4									
		1.17%	2.99%	1.67%	2.98%	4.46%	2.80%	3.06%	1.61%	4.28%	2.47%	2.31%	2.00%	2.62%	3.27%	2.84%	3.12%	0.85%	2.62%	1.94%	1.31%	2.28%	2.12%	0.86%	1.88%	0.45%	0.73%	1.08%	0.82%	1.62%	3.21%	3.23%	0.52%	0.00%	0.72%	1.00%	1.03%	1.16%	0.56%	1.47%	1.10%	1.37%	1.90%	0.78%	1.15%	1.16%	0.64%	0.73%	0.00%	0.83%	0.00%	0.23%	0.08%	0.26%	0.16%	0.31%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	543	23	17	34	16	26	11	5	12	6	10	14	12	23	4	25	10	12	21	11	17	10	5	12	6	1	6	8	4	2	1	7	1	7	2	3	4	20	9	10	8	7	17	10	12	5	2	2	5	0	24	8	14	1	1									
		1.27%	3.44%	4.72%	4.82%	2.64%	3.30%	1.87%	2.02%	2.44%	1.24%	2.10%	2.16%	2.24%	3.42%	1.42%	3.12%	2.12%	2.62%	2.39%	1.81%	2.58%	1.63%	0.86%	1.88%	0.90%	0.15%	0.72%	0.82%	0.72%	0.71%	0.46%	1.83%	0.51%	1.25%	0.67%	0.77%	0.77%	2.79%	2.20%	1.83%	1.37%	1.11%	2.64%	1.65%	2.31%	0.40%	0.73%	1.10%	0.69%	0.00%	0.42%	0.30%	0.36%	0.05%	0.08%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	39	1	0	0	0	0	2	0	4	0	0	0	0	0	1	2	0	0	1	0	0	1	2	0	3	0	0	2	1	0	0	1	0	0	0	0	1	3	2	0	0	0	0	0	0	2	0	0	2	0	3	1	1	2	1									
		0.09%	0.15%	0.00%	0.00%	0.00%	0.00%	0.34%	0.00%	0.81%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.25%	0.00%	0.00%	0.11%	0.00%	0.00%	0.16%	0.34%	0.00%	0.45%	0.00%	0.00%	0.21%	0.18%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.19%	0.42%	0.49%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.28%	0.00%	0.05%	0.04%	0.03%	0.11%	0.08%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	823	37	14	37	46	42	32	8	13	18	18	29	26	20	14	25	19	23	36	27	16	22	8	19	14	13	21	33	12	6	8	5	3	9	3	5	7	9	5	8	5	14	9	14	7	8	4	1	6	1	24	8	9	2	1									
		1.93%	5.54%	3.89%	5.25%	7.60%	5.34%	5.44%	3.23%	2.65%	3.71%	3.77%	4.47%	4.86%	2.98%	4.96%	3.12%	4.03%	5.02%	4.10%	4.43%	2.43%	3.59%	1.37%	2.97%	2.09%	1.89%	2.52%	3.39%	2.16%	2.14%	3.69%	1.31%	1.52%	1.61%	1.00%	1.29%	1.35%	1.26%	1.22%	1.46%	0.86%	2.22%	1.40%	2.31%	1.35%	0.64%	1.46%	0.55%	0.83%	0.30%	0.42%	0.30%	0.23%	0.11%	0.08%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	8735	216	119	253	200	259	197	64	156	183	196	209	216	232	96	292	179	151	281	200	253	204	124	113	158	130	155	265	133	66	53	143	55	189	97	128	195	194	117	156	157	175	178	150	147	125	90	49	55	2	305	200	266	168	41									
		20.47%	32.34%	33.06%	35.89%	33.06%	32.91%	33.50%	25.81%	31.77%	37.73%	41.09%	32.20%	40.37%	34.52%	34.04%	36.41%	38.00%	32.97%	32.00%	32.84%	38.45%	33.28%	21.23%	17.66%	23.62%	18.92%	18.63%	27.21%	23.96%	23.57%	24.42%	37.34%	27.78%	33.87%	32.33%	32.90%	37.57%	27.06%	28.61%	28.52%	26.98%	27.78%	27.64%	24.71%	28.32%	10.05%	32.85%	26.92%	7.59%	0.60%	5.39%	7.56%	6.79%	8.86%	3.13%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	172	3	3	2	6	5	4	0	2	3	2	5	1	2	1	3	2	2	7	1	5	4	6	2	2	4	4	4	3	0	1	2	1	0	1	1	0	2	0	4	5	2	5	2	1	14	4	1	15	2	7	1	7	4	2									
		0.40%	0.45%	0.83%	0.28%	0.99%	0.64%	0.68%	0.00%	0.41%	0.62%	0.42%	0.77%	0.19%	0.30%	0.35%	0.37%	0.42%	0.44%	0.80%	0.16%	0.76%	0.65%	1.03%	0.31%	0.30%	0.58%	0.48%	0.41%	0.54%	0.00%	0.46%	0.52%	0.51%	0.00%	0.33%	0.26%	0.00%	0.28%	0.00%	0.73%	0.86%	0.32%	0.78%	0.33%	0.19%	1.13%	1.46%	0.55%	2.07%	0.60%	0.12%	0.04%	0.18%	0.21%	0.15%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2004	21	19	40	37	57	40	15	31	27	31	37	33	56	16	70	34	40	57	51	47	35	73	48	55	67	67	63	33	30	12	13	6	34	23	31	16	37	37	37	59	68	63	48	54	54	36	6	53	2	29	21	18	9	8									
		4.70%	3.14%	5.28%	5.67%	6.12%	7.24%	6.80%	6.05%	6.31%	5.57%	6.50%	5.70%	6.17%	8.33%	5.67%	8.73%	7.22%	8.73%	6.49%	8.37%	7.14%	5.71%	12.50%	7.50%	8.22%	9.75%	8.05%	6.47%	5.95%	10.71%	5.53%	3.39%	3.03%	6.09%	7.67%	7.97%	3.08%	5.16%	9.05%	6.76%	10.14%	10.79%	9.78%	7.91%	10.40%	4.34%	13.14%	3.30%	7.31%	0.60%	0.51%	0.79%	0.46%	0.47%	0.61%									
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
