Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																										
Дата голосования: 18.09.2016																																																																										
																																																																										
"Наименование Избирательной комиссии:    Саратов, Кировская"																																																																										
																																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																																										
																																																																										
		Сумма	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №1885	УИК №1886									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	2685	50	50	30	0	30	30	50	30	48	50	50	80	50	50	50	150	13	50	30	30	50	50	50	9	30	50	50	30	30	50	50	50	30	30	50	50	30	50	50	50	28	160	30	30	30	0	30	30	50	30	30	30	30	50	27	30	30	30	50	50	50	50	50									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	424	2	3	7	51	0	3	2	8	6	11	5	9	9	2	2	4	6	5	5	2	5	2	23	4	3	6	3	0	0	7	3	3	8	4	1	5	0	2	6	13	11	23	18	26	8	0	6	0	2	9	17	3	8	17	0	14	0	0	5	5	6	5	1									
14	Число погашенных неиспользованных открепительных удостоверений	65	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	17	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	635	10	18	12	0	17	9	8	5	8	18	11	15	10	7	16	4	2	8	11	3	10	19	25	5	13	16	6	10	14	10	10	11	11	18	11	13	8	4	6	6	19	8	9	1	7	0	28	3	10	3	8	8	13	9	20	1	24	11	10	9	9	4	3									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1080	35	30	9	1	0	5	37	4	4	8	7	5	11	32	34	5	16	13	32	33	38	30	18	4	38	20	6	9	30	19	9	13	19	16	22	10	18	27	13	5	35	38	20	17	8	0	26	4	22	7	6	32	32	14	9	17	18	13	30	7	33	3	4									
		1.50%	2.32%	2.27%	0.78%	1.96%	0.00%	0.38%	2.28%	0.42%	0.48%	0.57%	1.29%	0.29%	1.07%	2.09%	2.28%	0.41%	2.25%	1.22%	2.26%	2.29%	2.30%	2.30%	1.10%	0.29%	2.31%	1.44%	0.76%	0.76%	2.25%	2.76%	1.12%	1.38%	1.29%	1.28%	2.21%	0.60%	1.53%	2.32%	2.34%	0.40%	2.30%	2.32%	2.06%	2.36%	1.15%	0.00%	1.66%	0.54%	2.31%	1.43%	0.60%	2.33%	2.26%	1.55%	0.76%	2.24%	1.08%	2.36%	2.27%	0.57%	2.24%	0.48%	0.39%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1581	50	44	20	1	0	7	53	8	2	3	14	1	27	45	49	4	23	13	46	47	55	43	20	10	54	14	16	26	44	16	3	31	29	21	20	107	29	38	18	10	50	54	28	24	8	0	50	1	31	6	5	45	46	8	13	25	4	18	43	10	48	1	2									
		2.19%	3.32%	3.33%	1.73%	1.96%	0.00%	0.53%	3.26%	0.85%	0.24%	0.21%	2.58%	0.06%	2.62%	2.93%	3.29%	0.33%	3.24%	1.22%	3.25%	3.26%	3.33%	3.29%	1.23%	0.72%	3.28%	1.01%	2.04%	2.21%	3.30%	2.32%	0.37%	3.28%	1.97%	1.68%	2.01%	6.47%	2.47%	3.26%	3.24%	0.80%	3.29%	3.30%	2.88%	3.33%	1.15%	0.00%	3.19%	0.13%	3.25%	1.23%	0.50%	3.28%	3.24%	0.89%	1.10%	3.29%	0.24%	3.27%	3.25%	0.81%	3.26%	0.16%	0.20%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	318	4	4	19	0	0	3	4	3	3	4	4	1	3	4	4	0	2	8	4	4	0	4	5	6	5	18	4	4	4	0	6	1	33	4	20	5	2	4	2	8	5	5	3	2	7	0	7	2	3	6	7	4	3	11	17	2	4	2	3	4	4	1	3									
		0.44%	0.27%	0.30%	1.64%	0.00%	0.00%	0.23%	0.25%	0.32%	0.36%	0.28%	0.74%	0.06%	0.29%	0.26%	0.27%	0.00%	0.28%	0.75%	0.28%	0.28%	0.00%	0.31%	0.31%	0.43%	0.30%	1.30%	0.51%	0.34%	0.30%	0.00%	0.75%	0.11%	2.24%	0.32%	2.01%	0.30%	0.17%	0.34%	0.36%	0.64%	0.33%	0.31%	0.31%	0.28%	1.01%	0.00%	0.45%	0.27%	0.31%	1.23%	0.70%	0.29%	0.21%	1.22%	1.44%	0.26%	0.24%	0.36%	0.23%	0.32%	0.27%	0.16%	0.29%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	47461	938	820	806	32	735	906	1023	712	628	1050	370	1302	686	1014	928	912	445	752	884	897	1026	813	1046	992	1025	774	589	621	830	418	576	590	772	770	544	1001	738	726	345	938	946	1017	631	448	500	799	1006	557	586	271	748	854	881	590	784	473	1246	342	822	802	916	471	797									
		65.70%	62.20%	61.98%	69.60%	62.75%	74.24%	68.12%	62.92%	75.50%	75.48%	74.79%	68.27%	74.78%	66.60%	66.10%	62.28%	75.12%	62.68%	70.68%	62.39%	62.29%	62.18%	62.20%	64.13%	71.88%	62.23%	55.80%	74.94%	52.76%	62.22%	60.67%	71.73%	62.43%	52.34%	61.70%	54.67%	60.56%	62.81%	62.26%	62.16%	75.10%	62.16%	62.16%	64.98%	62.14%	71.94%	96.38%	64.24%	75.07%	61.43%	55.53%	74.80%	62.15%	62.09%	65.41%	66.55%	62.24%	75.11%	62.18%	62.18%	65.04%	62.23%	75.48%	77.98%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	433	10	9	13	1	0	6	10	5	1	1	8	0	6	10	10	3	1	3	10	10	0	9	10	17	12	25	3	1	10	5	5	7	29	9	18	2	2	7	4	2	11	11	6	5	3	1	11	1	7	3	4	10	9	13	9	5	2	4	9	3	10	1	1									
		0.60%	0.66%	0.68%	1.12%	1.96%	0.00%	0.45%	0.62%	0.53%	0.12%	0.07%	1.48%	0.00%	0.58%	0.65%	0.67%	0.25%	0.14%	0.28%	0.71%	0.69%	0.00%	0.69%	0.61%	1.23%	0.73%	1.80%	0.38%	0.08%	0.75%	0.73%	0.62%	0.74%	1.97%	0.72%	1.81%	0.12%	0.17%	0.60%	0.72%	0.16%	0.72%	0.67%	0.62%	0.69%	0.43%	0.12%	0.70%	0.13%	0.73%	0.61%	0.40%	0.73%	0.63%	1.44%	0.76%	0.66%	0.12%	0.73%	0.68%	0.24%	0.68%	0.16%	0.10%									
24	"6. Политическая партия ""Гражданская Платформа"""	139	3	3	0	0	0	3	3	2	2	2	0	1	1	3	3	1	2	1	3	0	0	3	10	1	3	7	0	3	3	0	0	2	23	2	0	3	1	2	1	1	3	3	2	1	0	0	3	1	2	0	0	3	2	2	4	1	4	1	2	1	3	1	2									
		0.19%	0.20%	0.23%	0.00%	0.00%	0.00%	0.23%	0.18%	0.21%	0.24%	0.14%	0.00%	0.06%	0.10%	0.20%	0.20%	0.08%	0.28%	0.09%	0.21%	0.00%	0.00%	0.23%	0.61%	0.07%	0.18%	0.50%	0.00%	0.25%	0.22%	0.00%	0.00%	0.21%	1.56%	0.16%	0.00%	0.18%	0.09%	0.17%	0.18%	0.08%	0.20%	0.18%	0.21%	0.14%	0.00%	0.00%	0.19%	0.13%	0.21%	0.00%	0.00%	0.22%	0.14%	0.22%	0.34%	0.13%	0.24%	0.18%	0.15%	0.08%	0.20%	0.16%	0.20%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6207	137	120	64	6	80	128	146	73	54	94	46	131	84	125	136	76	65	72	129	131	150	119	130	179	150	121	66	79	121	97	58	90	213	92	85	168	108	106	48	94	138	149	88	66	51	13	140	50	86	39	51	123	128	91	131	69	108	50	123	115	134	39	54									
		8.59%	9.08%	9.07%	5.53%	11.76%	8.08%	9.62%	8.98%	7.74%	6.49%	6.70%	8.49%	7.52%	8.16%	8.15%	9.13%	6.26%	9.15%	6.77%	9.10%	9.10%	9.09%	9.10%	7.97%	12.97%	9.11%	8.72%	8.40%	6.71%	9.07%	14.08%	7.22%	9.52%	14.44%	7.37%	8.54%	10.16%	9.19%	9.09%	8.65%	7.53%	9.07%	9.11%	9.06%	9.15%	7.34%	1.57%	8.94%	6.74%	9.01%	7.99%	5.10%	8.95%	9.02%	10.09%	11.12%	9.08%	6.51%	9.09%	9.30%	9.33%	9.10%	6.25%	5.28%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	308	1	5	11	0	1	2	2	2	1	1	9	2	2	1	1	4	1	9	1	6	29	2	0	8	2	23	8	1	2	4	9	5	47	4	7	2	1	1	1	2	2	2	1	1	12	1	3	1	1	10	8	2	13	8	11	1	1	1	1	5	1	1	1									
		0.43%	0.07%	0.38%	0.95%	0.00%	0.10%	0.15%	0.12%	0.21%	0.12%	0.07%	1.66%	0.11%	0.19%	0.07%	0.07%	0.33%	0.14%	0.85%	0.07%	0.42%	1.76%	0.15%	0.00%	0.58%	0.12%	1.66%	1.02%	0.08%	0.15%	0.58%	1.12%	0.53%	3.19%	0.32%	0.70%	0.12%	0.09%	0.09%	0.18%	0.16%	0.13%	0.12%	0.10%	0.14%	1.73%	0.12%	0.19%	0.13%	0.10%	2.05%	0.80%	0.15%	0.92%	0.89%	0.93%	0.13%	0.06%	0.18%	0.08%	0.41%	0.07%	0.16%	0.10%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	673	14	12	19	0	35	59	13	4	7	5	4	3	8	12	13	0	7	8	12	12	15	12	20	6	15	21	6	6	12	2	20	8	19	4	27	7	20	10	5	1	14	15	8	6	11	0	10	3	8	4	7	12	12	11	12	8	6	5	11	9	13	2	3									
		0.93%	0.93%	0.91%	1.64%	0.00%	3.54%	4.44%	0.80%	0.42%	0.84%	0.36%	0.74%	0.17%	0.78%	0.78%	0.87%	0.00%	0.99%	0.75%	0.85%	0.83%	0.91%	0.92%	1.23%	0.43%	0.91%	1.51%	0.76%	0.51%	0.90%	0.29%	2.49%	0.85%	1.29%	0.32%	2.71%	0.42%	1.70%	0.86%	0.90%	0.08%	0.92%	0.92%	0.82%	0.83%	1.58%	0.00%	0.64%	0.40%	0.84%	0.82%	0.70%	0.87%	0.85%	1.22%	1.02%	1.05%	0.36%	0.91%	0.83%	0.73%	0.88%	0.32%	0.29%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	186	8	7	2	0	0	2	7	3	3	1	0	1	3	7	7	3	1	2	7	0	0	5	0	1	8	1	0	1	7	10	0	5	0	6	0	0	3	6	3	1	8	8	4	4	0	0	0	0	5	0	1	7	6	3	0	4	0	3	4	0	7	1	0									
		0.26%	0.53%	0.53%	0.17%	0.00%	0.00%	0.15%	0.43%	0.32%	0.36%	0.07%	0.00%	0.06%	0.29%	0.46%	0.47%	0.25%	0.14%	0.19%	0.49%	0.00%	0.00%	0.38%	0.00%	0.07%	0.49%	0.07%	0.00%	0.08%	0.52%	1.45%	0.00%	0.53%	0.00%	0.48%	0.00%	0.00%	0.26%	0.51%	0.54%	0.08%	0.53%	0.49%	0.41%	0.55%	0.00%	0.00%	0.00%	0.00%	0.52%	0.00%	0.10%	0.51%	0.42%	0.33%	0.00%	0.53%	0.00%	0.55%	0.30%	0.00%	0.48%	0.16%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1038	15	13	51	2	2	3	16	2	2	2	10	42	15	14	15	3	7	16	13	23	16	13	20	15	16	35	7	52	13	18	23	9	75	90	52	22	14	11	6	6	15	16	12	7	19	3	15	2	9	12	8	14	13	31	20	7	3	5	13	16	15	2	2									
		1.44%	0.99%	0.98%	4.40%	3.92%	0.20%	0.23%	0.98%	0.21%	0.24%	0.14%	1.85%	2.41%	1.46%	0.91%	1.01%	0.25%	0.99%	1.50%	0.92%	1.60%	0.97%	0.99%	1.23%	1.09%	0.97%	2.52%	0.89%	4.42%	0.97%	2.61%	2.86%	0.95%	5.08%	7.21%	5.23%	1.33%	1.19%	0.94%	1.08%	0.48%	0.99%	0.98%	1.24%	0.97%	2.73%	0.36%	0.96%	0.27%	0.94%	2.46%	0.80%	1.02%	0.92%	3.44%	1.70%	0.92%	0.18%	0.91%	0.98%	1.30%	1.02%	0.32%	0.20%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	7915	178	156	72	4	116	133	191	89	84	154	38	130	105	162	176	135	84	112	174	169	195	154	212	71	194	192	62	153	157	55	59	112	79	147	127	212	144	137	65	129	178	193	99	85	35	10	178	82	111	97	121	162	166	94	110	90	182	65	161	229	175	68	106									
		10.96%	11.80%	11.79%	6.22%	7.84%	11.72%	10.00%	11.75%	9.44%	10.10%	10.97%	7.01%	7.47%	10.19%	10.56%	11.81%	11.12%	11.83%	10.53%	12.28%	11.74%	11.82%	11.78%	12.99%	5.14%	11.78%	13.84%	7.89%	12.99%	11.77%	7.98%	7.35%	11.85%	5.36%	11.78%	12.76%	12.83%	12.26%	11.75%	11.71%	10.33%	11.70%	11.80%	10.20%	11.79%	5.04%	1.21%	11.37%	11.05%	11.64%	19.88%	12.10%	11.79%	11.70%	10.42%	9.34%	11.84%	10.97%	11.82%	12.18%	18.57%	11.89%	10.90%	10.37%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	674	23	20	3	1	0	9	24	0	0	2	2	2	13	21	23	3	7	1	21	21	25	20	30	8	25	5	2	1	20	0	1	14	53	19	9	0	18	18	8	1	23	25	10	11	0	0	3	0	14	1	0	21	21	1	5	12	0	8	19	2	23	2	0									
		0.93%	1.53%	1.51%	0.26%	1.96%	0.00%	0.68%	1.48%	0.00%	0.00%	0.14%	0.37%	0.11%	1.26%	1.37%	1.54%	0.25%	0.99%	0.09%	1.48%	1.46%	1.52%	1.53%	1.84%	0.58%	1.52%	0.36%	0.25%	0.08%	1.50%	0.00%	0.12%	1.48%	3.59%	1.52%	0.90%	0.00%	1.53%	1.54%	1.44%	0.08%	1.51%	1.53%	1.03%	1.53%	0.00%	0.00%	0.19%	0.00%	1.47%	0.20%	0.00%	1.53%	1.48%	0.11%	0.42%	1.58%	0.00%	1.45%	1.44%	0.16%	1.56%	0.32%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3941	92	80	64	3	11	63	97	32	41	71	18	107	66	84	91	62	44	49	81	87	101	80	95	39	87	105	12	211	81	41	25	58	54	54	56	114	72	71	34	51	93	100	59	44	35	2	94	38	58	27	34	84	85	23	43	46	81	33	81	29	90	31	47									
		5.46%	6.10%	6.05%	5.53%	5.88%	1.11%	4.74%	5.97%	3.39%	4.93%	5.06%	3.32%	6.15%	6.41%	5.48%	6.11%	5.11%	6.20%	4.61%	5.72%	6.04%	6.12%	6.12%	5.82%	2.83%	5.28%	7.57%	1.53%	17.93%	6.07%	5.95%	3.11%	6.14%	3.66%	4.33%	5.63%	6.90%	6.13%	6.09%	6.13%	4.08%	6.11%	6.11%	6.08%	6.10%	5.04%	0.24%	6.00%	5.12%	6.08%	5.53%	3.40%	6.11%	5.99%	2.55%	3.65%	6.05%	4.88%	6.00%	6.13%	2.35%	6.11%	4.97%	4.60%									
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
