Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																			
Дата голосования: 07.12.2003 0:00:00																																			
																																			
Наименование Избирательной комиссии:    Осинская																																			
																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																			
																																			
		Сумма	УИК  130	УИК  131	УИК  132	УИК  133	УИК  134	УИК  135	УИК  136	УИК  137	УИК  138	УИК  139	УИК  140	УИК  141	УИК  142	УИК  143	УИК  144	УИК  145	УИК  146	УИК  147	УИК  148	УИК  149	УИК  150	УИК  151	УИК  152	УИК  153	УИК  154	УИК  155	УИК  156	УИК  157					
		1.41%	0.0%	6.30%	1.40%	0.0%	0.0%	0.62%	1.55%	0.93%	0.0%	0.0%	3.09%	2.02%	2.62%	0.44%	2.0%	0.50%	1.73%	1.36%	3.88%	2.06%	1.26%	0.0%	1.45%	1.16%	1.30%	0.74%	0.38%	0.0%					
22	"5. ""За Русь Святую"""	51	0	1	3	0	0	3	1	2	1	1	4	3	2	0	1	3	1	0	5	5	1	1	6	3	0	2	2	0					
		0.56%	0.0%	0.90%	0.60%	0.0%	0.0%	0.93%	0.51%	0.93%	0.42%	0.29%	0.82%	0.50%	0.34%	0.0%	0.25%	0.75%	0.43%	0.0%	4.85%	0.85%	0.63%	0.62%	0.72%	0.58%	0.0%	1.49%	0.38%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	29	0	0	0	0	0	1	3	0	1	3	1	4	0	2	2	0	2	0	0	0	0	1	3	2	2	2	0	0					
		0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.31%	1.55%	0.0%	0.42%	0.88%	0.20%	0.67%	0.0%	0.88%	0.5%	0.0%	0.86%	0.0%	0.0%	0.0%	0.0%	0.62%	0.36%	0.38%	0.52%	1.49%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	47	1	0	3	0	2	3	0	3	2	3	4	3	0	3	1	0	0	0	0	2	1	1	3	0	6	2	3	1					
		0.52%	1.69%	0.0%	0.60%	0.0%	1.27%	0.93%	0.0%	1.40%	0.84%	0.88%	0.82%	0.50%	0.0%	1.32%	0.25%	0.0%	0.0%	0.0%	0.0%	0.34%	0.63%	0.62%	0.36%	0.0%	1.56%	1.49%	0.58%	1.19%					
25	"8. ""Народно-республиканская партия России"""	10	0	0	0	0	2	0	0	0	0	0	1	0	1	1	0	1	0	2	0	0	2	0	0	0	0	0	0	0					
		0.11%	0.0%	0.0%	0.0%	0.0%	1.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.20%	0.0%	0.17%	0.44%	0.0%	0.25%	0.0%	0.54%	0.0%	0.0%	1.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	26	0	0	1	0	0	5	1	0	0	2	1	3	2	1	0	0	0	2	0	1	0	0	5	1	0	0	1	0					
		0.28%	0.0%	0.0%	0.20%	0.0%	0.0%	1.56%	0.51%	0.0%	0.0%	0.58%	0.20%	0.50%	0.34%	0.44%	0.0%	0.0%	0.0%	0.54%	0.0%	0.17%	0.0%	0.0%	0.60%	0.19%	0.0%	0.0%	0.19%	0.0%					
27	"10. ""Аграрная партия России"""	1511	0	14	51	10	22	44	72	41	46	64	70	70	62	38	42	120	35	185	12	95	4	31	15	181	54	9	103	21					
		16.83%	0.0%	12.61%	10.22%	8.92%	14.01%	13.75%	37.30%	19.15%	19.40%	18.87%	14.46%	11.78%	10.83%	16.74%	10.5%	30.15%	15.15%	50.68%	11.65%	16.32%	2.53%	19.49%	1.81%	35.07%	14.09%	6.71%	20.0%	25.0%					
28	"11. ""Истинные патриоты России"""	10	0	0	0	0	1	0	2	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0					
		0.11%	0.0%	0.0%	0.0%	0.0%	0.63%	0.0%	1.03%	0.46%	0.0%	0.0%	0.41%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.38%	0.26%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	71	1	1	2	4	3	1	1	1	2	5	5	2	6	0	0	13	0	1	1	2	1	0	3	7	3	1	3	2					
		0.79%	1.69%	0.90%	0.40%	3.57%	1.91%	0.31%	0.51%	0.46%	0.84%	1.47%	1.03%	0.33%	1.04%	0.0%	0.0%	3.26%	0.0%	0.27%	0.97%	0.34%	0.63%	0.0%	0.36%	1.35%	0.78%	0.74%	0.58%	2.38%					
30	"13. ""Демократическая партия России"""	17	0	0	0	1	0	2	0	0	1	0	2	2	0	0	1	1	0	1	0	1	2	1	2	0	0	0	0	0					
		0.18%	0.0%	0.0%	0.0%	0.89%	0.0%	0.62%	0.0%	0.0%	0.42%	0.0%	0.41%	0.33%	0.0%	0.0%	0.25%	0.25%	0.0%	0.27%	0.0%	0.17%	1.26%	0.62%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	18	0	0	0	2	0	0	2	0	0	0	0	2	1	0	0	1	0	1	1	0	1	0	3	1	1	1	1	0					
		0.20%	0.0%	0.0%	0.0%	1.78%	0.0%	0.0%	1.03%	0.0%	0.0%	0.0%	0.0%	0.33%	0.17%	0.0%	0.0%	0.25%	0.0%	0.27%	0.97%	0.0%	0.63%	0.0%	0.36%	0.19%	0.26%	0.74%	0.19%	0.0%					
32	"15. ""Партия СЛОН"""	12	0	0	0	1	0	0	0	0	1	0	0	1	3	0	1	2	0	0	0	0	0	0	2	0	0	1	0	0					
		0.13%	0.0%	0.0%	0.0%	0.89%	0.0%	0.0%	0.0%	0.0%	0.42%	0.0%	0.0%	0.16%	0.52%	0.0%	0.25%	0.50%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.24%	0.0%	0.0%	0.74%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	226	0	6	18	0	4	9	2	3	10	11	19	17	24	7	10	7	4	9	2	10	3	1	28	4	9	0	8	1					
		2.51%	0.0%	5.40%	3.60%	0.0%	2.54%	2.81%	1.03%	1.40%	4.21%	3.24%	3.92%	2.86%	4.19%	3.08%	2.5%	1.75%	1.73%	2.46%	1.94%	1.71%	1.89%	0.62%	3.38%	0.77%	2.34%	0.0%	1.55%	1.19%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	46	0	0	2	0	2	4	1	2	2	2	2	3	2	0	3	2	2	2	0	4	1	0	6	0	1	0	2	1					
		0.51%	0.0%	0.0%	0.40%	0.0%	1.27%	1.25%	0.51%	0.93%	0.84%	0.58%	0.41%	0.50%	0.34%	0.0%	0.75%	0.50%	0.86%	0.54%	0.0%	0.68%	0.63%	0.0%	0.72%	0.0%	0.26%	0.0%	0.38%	1.19%					
35	"18. ""ЛДПР"""	583	9	5	13	13	20	18	9	9	1	31	28	53	42	21	29	16	41	6	7	11	8	2	172	6	3	1	8	1					
		6.49%	15.25%	4.50%	2.60%	11.60%	12.73%	5.62%	4.66%	4.20%	0.42%	9.14%	5.78%	8.92%	7.34%	9.25%	7.25%	4.02%	17.74%	1.64%	6.79%	1.89%	5.06%	1.25%	20.79%	1.16%	0.78%	0.74%	1.55%	1.19%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	155	0	5	3	1	3	4	1	0	8	13	9	11	19	2	3	11	2	6	2	6	6	0	22	6	3	1	5	3					
		1.72%	0.0%	4.50%	0.60%	0.89%	1.91%	1.25%	0.51%	0.0%	3.37%	3.83%	1.85%	1.85%	3.32%	0.88%	0.75%	2.76%	0.86%	1.64%	1.94%	1.03%	3.79%	0.0%	2.66%	1.16%	0.78%	0.74%	0.97%	3.57%					
37	"20. ""Политическая партия ""Единая Россия"""	4012	36	52	286	44	66	153	52	100	96	151	221	270	269	87	212	149	52	81	35	289	78	79	366	194	209	72	277	36					
		44.71%	61.01%	46.84%	57.31%	39.28%	42.03%	47.81%	26.94%	46.72%	40.50%	44.54%	45.66%	45.45%	47.02%	38.32%	53.0%	37.43%	22.51%	22.19%	33.98%	49.65%	49.36%	49.68%	44.25%	37.59%	54.56%	53.73%	53.78%	42.85%					
38	"21. ""Российская Конституционно-демократическая партия"""	18	0	1	0	1	0	1	0	1	0	1	1	2	0	1	1	1	0	1	1	0	1	0	2	0	0	1	1	0					
		0.20%	0.0%	0.90%	0.0%	0.89%	0.0%	0.31%	0.0%	0.46%	0.0%	0.29%	0.20%	0.33%	0.0%	0.44%	0.25%	0.25%	0.0%	0.27%	0.97%	0.0%	0.63%	0.0%	0.24%	0.0%	0.0%	0.74%	0.19%	0.0%					
39	"22. ""Развитие предпринимательства"""	13	0	0	1	0	0	0	0	0	1	1	2	2	0	0	1	0	1	0	0	1	0	1	1	0	0	0	1	0					
		0.14%	0.0%	0.0%	0.20%	0.0%	0.0%	0.0%	0.0%	0.0%	0.42%	0.29%	0.41%	0.33%	0.0%	0.0%	0.25%	0.0%	0.43%	0.0%	0.0%	0.17%	0.0%	0.62%	0.12%	0.0%	0.0%	0.0%	0.19%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	827	3	6	34	18	13	33	16	17	23	16	47	67	63	11	28	28	56	21	8	61	20	21	90	40	40	12	26	9					
		9.21%	5.08%	5.40%	6.81%	16.07%	8.28%	10.31%	8.29%	7.94%	9.70%	4.71%	9.71%	11.27%	11.01%	4.84%	7.0%	7.03%	24.24%	5.75%	7.76%	10.48%	12.65%	13.20%	10.88%	7.75%	10.44%	8.95%	5.04%	10.71%					
																																			
41	Против всех	191	1	0	12	6	8	4	8	6	7	6	6	13	13	4	9	5	3	2	3	11	7	2	27	11	3	3	11	0					
		2.12%	1.69%	0.0%	2.40%	5.35%	5.09%	1.25%	4.14%	2.80%	2.95%	1.76%	1.23%	2.18%	2.27%	1.76%	2.25%	1.25%	1.29%	0.54%	2.91%	1.89%	4.43%	1.25%	3.26%	2.13%	0.78%	2.23%	2.13%	0.0%					
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
