Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																		
Дата голосования: 02.12.2007																																																																		
																																																																		
Наименование Избирательной комиссии:    Тосненская																																																																		
																																																																		
Сводная таблица результатов выборов																																																																		
																																																																		
		Сумма	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942					
		11.43%	10.24%	12.75%	16.89%	8.17%	5.59%	13.39%	13.04%	12.40%	13.23%	15.13%	14.88%	13.15%	11.32%	12.24%	14.49%	10.26%	10.85%	11.45%	8.09%	4.88%	6.04%	15.11%	6.41%	8.94%	15.08%	8.92%	7.20%	13.99%	14.11%	9.59%	5.74%	7.67%	7.72%	7.50%	7.29%	4.69%	10.48%	4.78%	10.87%	10.97%	8.78%	11.57%	9.78%	10.25%	11.04%	9.62%	4.93%	10.39%	10.91%	9.90%	14.88%	8.72%	11.15%	12.84%	15.72%	14.27%	11.08%	11.03%	10.86%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	320	8	9	10	2	1	8	9	10	10	9	11	13	12	4	12	0	9	5	1	0	0	3	0	0	0	3	3	4	3	5	2	5	0	0	0	0	11	0	13	10	11	8	10	14	4	0	0	1	12	1	4	2	10	7	5	8	11	7	0					
		0.73%	0.79%	0.71%	0.89%	0.27%	0.17%	0.59%	0.84%	1.31%	0.81%	1.08%	0.89%	1.10%	0.88%	1.40%	1.14%	0.00%	0.92%	0.67%	0.26%	0.00%	0.00%	0.62%	0.00%	0.00%	0.00%	0.33%	0.83%	0.93%	0.94%	1.30%	0.68%	0.50%	0.00%	0.00%	0.00%	0.00%	0.87%	0.00%	1.08%	0.65%	1.40%	0.59%	0.90%	1.48%	0.82%	0.00%	0.00%	0.23%	1.54%	0.20%	0.60%	0.45%	0.74%	0.68%	0.37%	0.88%	1.09%	0.68%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	91	1	3	0	0	4	3	2	1	5	3	4	4	3	1	0	1	2	1	0	0	0	0	0	0	1	1	0	1	3	0	0	0	1	0	1	0	3	0	3	2	3	4	2	5	0	0	0	0	3	0	0	3	5	1	3	1	3	4	0					
		0.21%	0.10%	0.24%	0.00%	0.00%	0.68%	0.22%	0.19%	0.13%	0.41%	0.36%	0.33%	0.34%	0.22%	0.35%	0.00%	0.37%	0.20%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.11%	0.00%	0.23%	0.94%	0.00%	0.00%	0.00%	0.32%	0.00%	1.04%	0.00%	0.24%	0.00%	0.25%	0.13%	0.38%	0.30%	0.18%	0.53%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%	0.00%	0.67%	0.37%	0.10%	0.22%	0.11%	0.30%	0.39%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	3816	86	98	101	122	52	102	91	71	115	76	117	102	136	26	78	17	82	56	26	6	62	38	27	48	41	80	30	30	26	28	30	77	37	10	9	12	116	17	111	144	60	139	91	72	37	26	25	34	58	34	54	40	114	100	123	69	81	90	36					
		8.65%	8.46%	7.76%	9.03%	16.33%	8.81%	7.51%	8.54%	9.27%	9.33%	9.12%	9.51%	8.65%	9.93%	9.09%	7.39%	6.23%	8.39%	7.46%	6.79%	4.88%	10.71%	7.87%	6.92%	8.59%	6.72%	8.92%	8.31%	6.99%	8.15%	7.25%	10.14%	7.77%	11.90%	5.00%	9.38%	9.38%	9.14%	6.77%	9.21%	9.29%	7.63%	10.31%	8.17%	7.61%	7.57%	8.93%	7.25%	7.85%	7.45%	6.87%	8.04%	8.95%	8.42%	9.73%	9.12%	7.57%	8.01%	8.70%	10.29%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	5059	97	175	149	68	57	171	120	95	144	103	119	166	134	27	109	33	103	60	44	8	38	50	22	49	38	94	59	40	26	49	20	112	28	19	0	3	114	23	105	174	79	145	118	146	67	24	46	66	98	56	92	54	186	130	204	164	144	162	33					
		11.47%	9.55%	13.86%	13.32%	9.10%	9.66%	12.58%	11.26%	12.40%	11.69%	12.36%	9.67%	14.08%	9.79%	9.44%	10.32%	12.09%	10.54%	7.99%	11.49%	6.50%	6.56%	10.35%	5.64%	8.77%	6.23%	10.48%	16.34%	9.32%	8.15%	12.69%	6.76%	11.30%	9.00%	9.50%	0.00%	2.34%	8.98%	9.16%	8.71%	11.23%	10.05%	10.76%	10.59%	15.43%	13.70%	8.25%	13.33%	15.24%	12.58%	11.31%	13.69%	12.08%	13.74%	12.65%	15.12%	18.00%	14.24%	15.67%	9.43%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	367	5	12	15	7	3	16	11	5	11	8	13	18	10	4	12	2	11	7	1	1	4	4	1	5	7	5	3	4	0	2	4	10	2	0	0	2	11	2	10	8	3	16	8	11	3	1	1	3	5	4	13	6	9	3	9	7	4	2	3					
		0.83%	0.49%	0.95%	1.34%	0.94%	0.51%	1.18%	1.03%	0.65%	0.89%	0.96%	1.06%	1.53%	0.73%	1.40%	1.14%	0.73%	1.13%	0.93%	0.26%	0.81%	0.69%	0.83%	0.26%	0.89%	1.15%	0.56%	0.83%	0.93%	0.00%	0.52%	1.35%	1.01%	0.64%	0.00%	0.00%	1.56%	0.87%	0.80%	0.83%	0.52%	0.38%	1.19%	0.72%	1.16%	0.61%	0.34%	0.29%	0.69%	0.64%	0.81%	1.93%	1.34%	0.66%	0.29%	0.67%	0.77%	0.40%	0.19%	0.86%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	26735	661	721	583	449	424	758	623	443	694	458	697	649	818	178	604	179	592	474	266	95	418	296	287	388	401	588	223	277	200	251	205	648	207	147	73	99	800	179	753	957	498	795	682	538	300	198	239	263	460	327	364	275	793	612	724	492	609	581	222					
		60.61%	65.06%	57.09%	52.10%	60.11%	71.86%	55.78%	58.44%	57.83%	56.33%	54.98%	56.67%	55.05%	59.75%	62.24%	57.20%	65.57%	60.59%	63.12%	69.45%	77.24%	72.19%	61.28%	73.59%	69.41%	65.74%	65.55%	61.77%	64.57%	62.70%	65.03%	69.26%	65.39%	66.56%	73.50%	76.04%	77.34%	63.04%	71.31%	62.49%	61.74%	63.36%	58.98%	61.22%	56.87%	61.35%	68.04%	69.28%	60.74%	59.05%	66.06%	54.17%	61.52%	58.57%	59.53%	53.67%	54.01%	60.24%	56.19%	63.43%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	805	17	24	28	8	4	46	24	16	36	17	42	14	33	6	32	5	26	5	3	1	2	7	6	4	6	23	3	2	4	5	5	14	4	1	1	0	14	8	13	15	19	23	19	23	9	6	2	5	14	4	18	8	24	14	23	12	19	38	1					
		1.82%	1.67%	1.90%	2.50%	1.07%	0.68%	3.38%	2.25%	2.09%	2.92%	2.04%	3.41%	1.19%	2.41%	2.10%	3.03%	1.83%	2.66%	0.67%	0.78%	0.81%	0.35%	1.45%	1.54%	0.72%	0.98%	2.56%	0.83%	0.47%	1.25%	1.30%	1.69%	1.41%	1.29%	0.50%	1.04%	0.00%	1.10%	3.19%	1.08%	0.97%	2.42%	1.71%	1.71%	2.43%	1.84%	2.06%	0.58%	1.15%	1.80%	0.81%	2.68%	1.79%	1.77%	1.36%	1.70%	1.32%	1.88%	3.68%	0.29%					
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
