Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																
Дата голосования: 18.09.2016																																																																
																																																																
Наименование Избирательной комиссии:    Сарапульская городская																																																																
																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																
																																																																
		Сумма	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953									
		0.51%	1.04%	0.44%	0.00%	0.59%	0.73%	0.24%	1.23%	0.98%	0.00%	0.55%	0.31%	1.00%	0.00%	0.99%	0.30%	0.88%	0.21%	0.15%	0.86%	0.00%	0.36%	0.63%	1.09%	0.56%	0.68%	0.17%	0.19%	1.01%	0.19%	0.71%	0.38%	0.73%	0.37%	0.22%	0.34%	0.19%	0.38%	0.55%	0.54%	1.53%	0.23%	0.25%	0.17%	0.42%	0.40%	0.27%	0.85%	0.53%	0.95%	0.00%	0.00%	0.18%	0.75%									
24	"6. Политическая партия ""Гражданская Платформа"""	65	4	3	0	3	1	2	0	0	2	0	0	1	2	1	2	1	0	1	0	0	3	1	0	1	3	0	1	0	1	1	2	0	2	0	2	1	1	0	0	3	2	2	3	3	0	5	2	0	0	0	3	0	0									
		0.22%	0.69%	0.66%	0.00%	0.44%	0.24%	0.48%	0.00%	0.00%	0.55%	0.00%	0.00%	0.33%	0.36%	0.17%	0.30%	0.18%	0.00%	0.15%	0.00%	0.00%	0.54%	0.10%	0.00%	0.28%	0.51%	0.00%	0.19%	0.00%	0.19%	0.14%	0.38%	0.00%	0.37%	0.00%	0.34%	0.19%	0.13%	0.00%	0.00%	0.42%	0.23%	0.50%	0.51%	0.42%	0.00%	0.68%	0.24%	0.00%	0.00%	0.00%	0.95%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4832	108	77	45	139	82	97	59	84	74	79	69	65	66	72	135	79	64	111	71	83	97	132	64	71	66	100	105	74	93	158	115	90	90	80	96	99	91	119	68	101	106	56	102	103	104	98	139	80	97	84	50	117	128									
		16.47%	18.75%	16.92%	17.51%	20.53%	20.05%	23.37%	12.09%	16.41%	20.50%	21.88%	21.10%	21.67%	11.81%	11.90%	20.00%	13.98%	13.56%	16.97%	15.30%	15.60%	17.38%	13.81%	23.27%	19.78%	11.28%	16.81%	19.63%	14.89%	17.85%	22.57%	22.12%	21.84%	16.61%	17.32%	16.47%	18.71%	11.58%	16.39%	12.27%	14.07%	12.38%	14.07%	17.50%	14.47%	13.96%	13.35%	16.79%	14.26%	13.13%	14.58%	15.82%	21.08%	19.28%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	247	6	5	5	6	1	4	2	5	3	5	3	2	8	5	8	11	3	5	8	3	6	9	2	5	10	2	3	2	3	5	4	5	10	2	2	3	6	4	0	7	1	8	4	2	8	4	13	1	1	3	2	5	7									
		0.84%	1.04%	1.10%	1.95%	0.89%	0.24%	0.96%	0.41%	0.98%	0.83%	1.39%	0.92%	0.67%	1.43%	0.83%	1.19%	1.95%	0.64%	0.76%	1.72%	0.56%	1.08%	0.94%	0.73%	1.39%	1.71%	0.34%	0.56%	0.40%	0.58%	0.71%	0.77%	1.21%	1.85%	0.43%	0.34%	0.57%	0.76%	0.55%	0.00%	0.97%	0.12%	2.01%	0.69%	0.28%	1.07%	0.54%	1.57%	0.18%	0.14%	0.52%	0.63%	0.90%	1.05%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	257	3	14	3	1	6	6	4	7	3	6	2	3	8	9	10	4	5	10	4	9	6	13	3	4	2	9	4	2	2	3	4	1	2	4	5	3	4	3	3	7	5	5	3	5	7	1	6	7	4	3	5	1	4									
		0.88%	0.52%	3.08%	1.17%	0.15%	1.47%	1.45%	0.82%	1.37%	0.83%	1.66%	0.61%	1.00%	1.43%	1.49%	1.48%	0.71%	1.06%	1.53%	0.86%	1.69%	1.08%	1.36%	1.09%	1.11%	0.34%	1.51%	0.75%	0.40%	0.38%	0.43%	0.77%	0.24%	0.37%	0.87%	0.86%	0.57%	0.51%	0.41%	0.54%	0.97%	0.58%	1.26%	0.51%	0.70%	0.94%	0.14%	0.72%	1.25%	0.54%	0.52%	1.58%	0.18%	0.60%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	31	0	0	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	1	0	1	0	1	2	0	2	2	3	1	1	0	0	0	1	0	0	0	1	2	2	0	0	0	0	0	2	0	0	1	0	0	0									
		0.11%	0.00%	0.00%	0.39%	0.44%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.43%	0.19%	0.00%	0.10%	0.00%	0.28%	0.34%	0.00%	0.37%	0.40%	0.58%	0.14%	0.19%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.18%	0.28%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	287	8	4	2	8	3	4	10	4	0	4	3	4	3	5	5	11	8	3	7	8	10	12	1	7	9	2	4	6	5	4	11	3	3	1	5	4	14	9	5	7	4	2	3	5	11	3	4	4	10	6	1	5	3									
		0.98%	1.39%	0.88%	0.78%	1.18%	0.73%	0.96%	2.05%	0.78%	0.00%	1.11%	0.92%	1.33%	0.54%	0.83%	0.74%	1.95%	1.69%	0.46%	1.51%	1.50%	1.79%	1.26%	0.36%	1.95%	1.54%	0.34%	0.75%	1.21%	0.96%	0.57%	2.12%	0.73%	0.55%	0.22%	0.86%	0.76%	1.78%	1.24%	0.90%	0.97%	0.47%	0.50%	0.51%	0.70%	1.48%	0.41%	0.48%	0.71%	1.35%	1.04%	0.32%	0.90%	0.45%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4171	79	58	45	79	66	46	65	68	35	35	48	31	83	98	89	97	70	94	72	71	92	156	28	40	98	73	85	61	62	88	65	45	63	55	84	79	139	121	113	113	139	59	82	128	100	109	105	88	84	91	33	74	90									
		14.21%	13.72%	12.75%	17.51%	11.67%	16.14%	11.08%	13.32%	13.28%	9.70%	9.70%	14.68%	10.33%	14.85%	16.20%	13.19%	17.17%	14.83%	14.37%	15.52%	13.35%	16.49%	16.32%	10.18%	11.14%	16.75%	12.27%	15.89%	12.27%	11.90%	12.57%	12.50%	10.92%	11.62%	11.90%	14.41%	14.93%	17.68%	16.67%	20.40%	15.74%	16.24%	14.82%	14.07%	17.98%	13.42%	14.85%	12.68%	15.69%	11.37%	15.80%	10.44%	13.33%	13.55%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	153	2	0	3	5	4	0	3	4	2	0	7	2	2	6	5	0	1	1	3	1	3	11	0	0	0	4	5	4	2	6	1	4	3	1	3	0	2	4	2	3	2	5	3	3	2	2	4	3	4	1	3	8	4									
		0.52%	0.35%	0.00%	1.17%	0.74%	0.98%	0.00%	0.61%	0.78%	0.55%	0.00%	2.14%	0.67%	0.36%	0.99%	0.74%	0.00%	0.21%	0.15%	0.65%	0.19%	0.54%	1.15%	0.00%	0.00%	0.00%	0.67%	0.93%	0.80%	0.38%	0.86%	0.19%	0.97%	0.55%	0.22%	0.51%	0.00%	0.25%	0.55%	0.36%	0.42%	0.23%	1.26%	0.51%	0.42%	0.27%	0.27%	0.48%	0.53%	0.54%	0.17%	0.95%	1.44%	0.60%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3762	42	37	16	66	32	32	64	69	40	41	15	27	103	86	83	57	52	111	52	77	77	137	31	63	85	92	74	93	63	66	48	29	75	75	88	81	130	81	74	101	132	60	61	96	113	132	98	92	120	102	15	26	50									
		12.82%	7.29%	8.13%	6.23%	9.75%	7.82%	7.71%	13.11%	13.48%	11.08%	11.36%	4.59%	9.00%	18.43%	14.21%	12.30%	10.09%	11.02%	16.97%	11.21%	14.47%	13.80%	14.33%	11.27%	17.55%	14.53%	15.46%	13.83%	18.71%	12.09%	9.43%	9.23%	7.04%	13.84%	16.23%	15.09%	15.31%	16.54%	11.16%	13.36%	14.07%	15.42%	15.08%	10.46%	13.48%	15.17%	17.98%	11.84%	16.40%	16.24%	17.71%	4.75%	4.68%	7.53%									
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
