Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																					
Дата голосования: 18.09.2016																																																																					
																																																																					
Наименование Избирательной комиссии:    Саткинская																																																																					
																																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																																					
																																																																					
		Сумма	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №2353	УИК №2354									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1026	20	8	35	18	8	28	30	25	17	19	10	10	12	20	20	27	10	12	3	19	22	28	22	25	5	10	10	6	7	8	11	6	25	15	25	60	40	10	12	6	5	8	6	8	35	25	35	32	20	37	18	18	6	20	12	12	7	18									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	805	16	8	26	10	6	28	19	22	14	14	8	10	11	14	19	22	9	5	1	19	19	24	16	25	3	10	6	4	7	7	10	6	22	10	25	51	14	10	7	2	3	2	4	2	26	17	30	31	20	33	10	10	5	18	11	7	1	16									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	666	17	6	9	12	2	15	12	21	21	15	11	14	6	14	13	26	8	17	3	6	16	18	16	15	2	2	3	19	2	6	7	1	9	14	12	9	21	28	13	4	4	13	4	7	17	13	12	12	18	11	16	6	9	12	12	5	15	15									
14	Число погашенных неиспользованных открепительных удостоверений	221	4	0	9	8	2	0	11	3	3	5	2	0	1	6	1	5	1	7	2	0	3	4	6	0	2	0	4	2	0	1	1	0	3	5	0	9	26	0	5	4	2	6	2	6	9	8	5	1	0	4	8	8	1	2	1	5	6	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	182	2	2	3	1	1	3	4	9	7	6	3	5	1	2	8	5	6	9	2	1	3	4	3	6	0	2	4	1	2	2	0	0	3	1	8	3	3	2	2	2	2	0	1	6	8	8	5	4	1	2	2	2	2	4	0	0	2	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	345	9	1	11	9	1	13	9	8	9	10	3	8	5	4	11	8	5	3	3	11	7	11	8	12	4	2	1	0	6	0	2	4	6	6	6	14	8	4	1	4	4	2	0	1	14	12	18	13	5	4	8	5	0	1	1	3	2	5									
		1.25%	1.26%	0.45%	1.76%	1.65%	0.75%	1.41%	1.02%	0.89%	1.21%	1.50%	0.73%	1.71%	1.23%	1.36%	1.64%	1.02%	1.59%	0.78%	1.89%	1.69%	0.97%	1.49%	1.01%	1.53%	1.98%	1.26%	0.65%	0.00%	1.01%	0.00%	0.63%	2.45%	0.82%	1.63%	1.27%	1.03%	2.23%	1.09%	0.68%	1.26%	1.94%	1.80%	0.00%	1.64%	1.75%	1.19%	2.02%	1.28%	0.74%	0.92%	1.73%	1.27%	0.00%	0.38%	0.93%	4.76%	0.54%	1.24%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	725	25	6	10	13	5	21	12	15	19	12	12	6	8	5	18	10	4	12	8	22	20	17	16	17	4	7	4	6	11	3	10	4	24	10	14	55	16	10	2	6	9	2	1	2	35	27	27	34	16	16	9	16	2	6	3	1	10	10									
		2.63%	3.49%	2.69%	1.60%	2.38%	3.73%	2.28%	1.36%	1.66%	2.55%	1.80%	2.91%	1.28%	1.98%	1.70%	2.69%	1.28%	1.27%	3.13%	5.03%	3.38%	2.78%	2.30%	2.02%	2.17%	1.98%	4.40%	2.60%	3.02%	1.85%	1.18%	3.15%	2.45%	3.29%	2.72%	2.96%	4.04%	4.47%	2.72%	1.37%	1.89%	4.37%	1.80%	1.23%	3.28%	4.38%	2.68%	3.02%	3.36%	2.36%	3.70%	1.94%	4.07%	1.48%	2.28%	2.80%	1.59%	2.69%	2.48%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	753	18	1	8	18	3	27	22	30	0	18	6	13	19	14	22	25	15	4	6	17	23	34	22	14	0	2	4	5	22	7	12	6	24	10	9	44	7	5	4	5	1	1	2	3	13	25	33	26	19	8	21	14	7	5	3	3	15	9									
		2.73%	2.51%	0.45%	1.28%	3.29%	2.24%	2.93%	2.50%	3.32%	0.00%	2.69%	1.46%	2.78%	4.69%	4.76%	3.28%	3.19%	4.78%	1.04%	3.77%	2.61%	3.20%	4.61%	2.78%	1.79%	0.00%	1.26%	2.60%	2.51%	3.69%	2.76%	3.79%	3.68%	3.29%	2.72%	1.90%	3.23%	1.96%	1.36%	2.74%	1.58%	0.49%	0.90%	2.47%	4.92%	1.63%	2.49%	3.70%	2.57%	2.80%	1.85%	4.54%	3.56%	5.19%	1.90%	2.80%	4.76%	4.03%	2.23%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8966	224	82	201	188	56	238	242	276	212	215	144	128	106	115	223	225	97	132	36	224	189	206	200	199	106	70	70	68	241	118	125	72	252	139	178	438	118	185	74	133	80	40	37	19	257	438	275	301	204	124	140	97	51	82	29	26	105	116									
		32.51%	31.24%	36.77%	32.16%	34.37%	41.79%	25.87%	27.50%	30.56%	28.46%	32.19%	34.95%	27.41%	26.17%	39.12%	33.28%	28.70%	30.89%	34.46%	22.64%	34.41%	26.29%	27.91%	25.25%	25.38%	52.48%	44.03%	45.45%	34.17%	40.44%	46.46%	39.43%	44.17%	34.52%	37.77%	37.63%	32.18%	32.96%	50.27%	50.68%	41.96%	38.83%	36.04%	45.68%	31.15%	32.13%	43.54%	30.80%	29.71%	30.04%	28.64%	30.24%	24.68%	37.78%	31.18%	27.10%	41.27%	28.23%	28.78%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	184	4	1	8	5	0	8	8	8	9	4	2	3	1	3	3	8	3	0	2	7	1	6	4	5	0	2	2	1	0	1	0	2	9	1	3	2	4	0	2	1	2	0	1	0	3	6	6	6	7	1	3	3	0	1	0	3	4	5									
		0.67%	0.56%	0.45%	1.28%	0.91%	0.00%	0.87%	0.91%	0.89%	1.21%	0.60%	0.49%	0.64%	0.25%	1.02%	0.45%	1.02%	0.96%	0.00%	1.26%	1.08%	0.14%	0.81%	0.51%	0.64%	0.00%	1.26%	1.30%	0.50%	0.00%	0.39%	0.00%	1.23%	1.23%	0.27%	0.63%	0.15%	1.12%	0.00%	1.37%	0.32%	0.97%	0.00%	1.23%	0.00%	0.38%	0.60%	0.67%	0.59%	1.03%	0.23%	0.65%	0.76%	0.00%	0.38%	0.00%	4.76%	1.08%	1.24%									
24	"6. Политическая партия ""Гражданская Платформа"""	47	1	0	0	2	0	1	0	4	0	0	1	2	0	1	1	3	1	3	0	1	1	1	2	0	0	1	0	0	1	0	0	1	0	0	0	6	0	2	0	0	0	0	0	0	2	0	1	3	2	0	0	1	1	0	0	0	1	0									
		0.17%	0.14%	0.00%	0.00%	0.37%	0.00%	0.11%	0.00%	0.44%	0.00%	0.00%	0.24%	0.43%	0.00%	0.34%	0.15%	0.38%	0.32%	0.78%	0.00%	0.15%	0.14%	0.14%	0.25%	0.00%	0.00%	0.63%	0.00%	0.00%	0.17%	0.00%	0.00%	0.61%	0.00%	0.00%	0.00%	0.44%	0.00%	0.54%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.11%	0.30%	0.29%	0.00%	0.00%	0.25%	0.74%	0.00%	0.00%	0.00%	0.27%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5435	108	75	123	131	28	118	127	157	118	102	54	78	84	39	121	117	47	66	39	124	104	104	120	139	47	44	25	40	122	66	112	28	181	90	77	278	88	81	32	82	58	28	23	17	188	201	157	271	154	102	94	111	35	87	40	16	65	72									
		19.71%	15.06%	33.63%	19.68%	23.95%	20.90%	12.83%	14.43%	17.39%	15.84%	15.27%	13.11%	16.70%	20.74%	13.27%	18.06%	14.92%	14.97%	17.23%	24.53%	19.05%	14.46%	14.09%	15.15%	17.73%	23.27%	27.67%	16.23%	20.10%	20.47%	25.98%	35.33%	17.18%	24.79%	24.46%	16.28%	20.43%	24.58%	22.01%	21.92%	25.87%	28.16%	25.23%	28.40%	27.87%	23.50%	19.98%	17.58%	26.75%	22.68%	23.56%	20.30%	28.24%	25.93%	33.08%	37.38%	25.40%	17.47%	17.87%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	138	4	0	0	1	1	18	3	4	0	4	4	2	5	5	3	5	4	2	0	2	4	1	6	0	0	0	0	2	2	0	2	0	7	1	3	3	1	1	0	0	2	0	0	0	8	4	6	3	3	4	2	2	0	3	0	0	0	1									
		0.50%	0.56%	0.00%	0.00%	0.18%	0.75%	1.96%	0.34%	0.44%	0.00%	0.60%	0.97%	0.43%	1.23%	1.70%	0.45%	0.64%	1.27%	0.52%	0.00%	0.31%	0.56%	0.14%	0.76%	0.00%	0.00%	0.00%	0.00%	1.01%	0.34%	0.00%	0.63%	0.00%	0.96%	0.27%	0.63%	0.22%	0.28%	0.27%	0.00%	0.00%	0.97%	0.00%	0.00%	0.00%	1.00%	0.40%	0.67%	0.30%	0.44%	0.92%	0.43%	0.51%	0.00%	1.14%	0.00%	0.00%	0.00%	0.25%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	319	9	0	3	5	1	12	13	10	6	10	2	4	1	3	8	16	5	2	0	6	11	4	7	12	1	1	3	1	4	1	1	1	11	0	9	27	2	5	0	0	0	0	0	0	4	14	16	8	8	14	11	7	0	3	5	1	5	6									
		1.16%	1.26%	0.00%	0.48%	0.91%	0.75%	1.30%	1.48%	1.11%	0.81%	1.50%	0.49%	0.86%	0.25%	1.02%	1.19%	2.04%	1.59%	0.52%	0.00%	0.92%	1.53%	0.54%	0.88%	1.53%	0.50%	0.63%	1.95%	0.50%	0.67%	0.39%	0.32%	0.61%	1.51%	0.00%	1.90%	1.98%	0.56%	1.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.50%	1.39%	1.79%	0.79%	1.18%	3.23%	2.38%	1.78%	0.00%	1.14%	4.67%	1.59%	1.34%	1.49%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	39	0	0	0	0	0	1	2	2	2	1	1	0	0	1	1	2	0	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	2	0	2	2	1	2	0	2	0	0	0	1	4	0	3	1	0	0	1	0	0	0	0	0	0	0									
		0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.23%	0.22%	0.27%	0.15%	0.24%	0.00%	0.00%	0.34%	0.15%	0.26%	0.00%	0.00%	0.00%	0.00%	0.14%	0.14%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.42%	0.15%	0.28%	0.54%	0.00%	0.63%	0.00%	0.00%	0.00%	1.64%	0.50%	0.00%	0.34%	0.10%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	339	8	5	5	4	1	11	9	10	5	10	6	8	4	7	16	16	4	5	2	11	8	13	14	17	0	0	2	2	5	1	3	3	9	3	9	20	8	3	1	3	3	0	0	1	9	3	15	7	6	7	3	1	1	2	2	0	6	2									
		1.23%	1.12%	2.24%	0.80%	0.73%	0.75%	1.20%	1.02%	1.11%	0.67%	1.50%	1.46%	1.71%	0.99%	2.38%	2.39%	2.04%	1.27%	1.31%	1.26%	1.69%	1.11%	1.76%	1.77%	2.17%	0.00%	0.00%	1.30%	1.01%	0.84%	0.39%	0.95%	1.84%	1.23%	0.82%	1.90%	1.47%	2.23%	0.82%	0.68%	0.95%	1.46%	0.00%	0.00%	1.64%	1.13%	0.30%	1.68%	0.69%	0.88%	1.62%	0.65%	0.25%	0.74%	0.76%	1.87%	0.00%	1.61%	0.50%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3903	78	21	90	67	14	113	101	139	82	91	49	58	56	42	74	98	44	67	27	80	88	93	105	98	18	17	17	32	100	33	36	19	100	55	72	232	54	17	11	62	20	15	8	9	131	151	190	166	141	84	110	72	13	38	12	4	40	49									
		14.15%	10.88%	9.42%	14.40%	12.25%	10.45%	12.28%	11.48%	15.39%	11.01%	13.62%	11.89%	12.42%	13.83%	14.29%	11.04%	12.50%	14.01%	17.49%	16.98%	12.29%	12.24%	12.60%	13.26%	12.50%	8.91%	10.69%	11.04%	16.08%	16.78%	12.99%	11.36%	11.66%	13.70%	14.95%	15.22%	17.05%	15.08%	4.62%	7.53%	19.56%	9.71%	13.51%	9.88%	14.75%	16.38%	15.01%	21.28%	16.39%	20.77%	19.40%	23.76%	18.32%	9.63%	14.45%	11.21%	6.35%	10.75%	12.16%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	135	5	1	3	5	1	5	4	5	5	2	0	1	0	1	5	2	0	2	1	1	3	8	5	3	1	0	0	1	4	1	0	1	1	0	2	6	2	6	1	3	1	0	0	0	5	5	3	5	4	2	3	3	1	2	1	0	2	1									
		0.49%	0.70%	0.45%	0.48%	0.91%	0.75%	0.54%	0.45%	0.55%	0.67%	0.30%	0.00%	0.21%	0.00%	0.34%	0.75%	0.26%	0.00%	0.52%	0.63%	0.15%	0.42%	1.08%	0.63%	0.38%	0.50%	0.00%	0.00%	0.50%	0.67%	0.39%	0.00%	0.61%	0.14%	0.00%	0.42%	0.44%	0.56%	1.63%	0.68%	0.95%	0.49%	0.00%	0.00%	0.00%	0.63%	0.50%	0.34%	0.49%	0.59%	0.46%	0.65%	0.76%	0.74%	0.76%	0.93%	0.00%	0.54%	0.25%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	5173	202	22	133	67	18	288	292	200	232	180	109	140	97	47	144	225	70	65	32	127	238	202	248	242	8	13	25	31	49	17	6	13	75	44	79	190	39	13	15	15	21	21	8	8	87	90	97	111	71	57	43	39	20	16	4	2	107	119									
		18.76%	28.17%	9.87%	21.28%	12.25%	13.43%	31.30%	33.18%	22.15%	31.14%	26.95%	26.46%	29.98%	23.95%	15.99%	21.49%	28.70%	22.29%	16.97%	20.13%	19.51%	33.10%	27.37%	31.31%	30.87%	3.96%	8.18%	16.23%	15.58%	8.22%	6.69%	1.89%	7.98%	10.27%	11.96%	16.70%	13.96%	10.89%	3.53%	10.27%	4.73%	10.19%	18.92%	9.88%	13.11%	10.88%	8.95%	10.86%	10.96%	10.46%	13.16%	9.29%	9.92%	14.81%	6.08%	3.74%	3.17%	28.76%	29.53%									
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
