Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																															
Дата голосования: 18.09.2016																																																															
																																																															
Наименование Избирательной комиссии:    Балезинская																																																															
																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																															
																																																															
		Сумма	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152									
		0.71%	0.89%	0.80%	0.43%	0.46%	0.80%	0.49%	0.23%	0.87%	0.43%	1.77%	0.29%	0.47%	0.96%	0.00%	0.51%	1.89%	0.38%	3.19%	3.80%	0.33%	0.00%	0.00%	1.10%	0.00%	0.00%	0.68%	0.00%	2.15%	0.54%	0.00%	0.00%	1.48%	0.90%	2.29%	2.80%	0.00%	1.08%	0.72%	0.38%	0.87%	0.85%	0.00%	0.65%	3.00%	0.00%	0.63%	0.00%	0.00%	2.33%	0.80%	0.30%	1.54%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	420	31	23	16	26	27	15	40	6	23	5	16	5	8	1	11	1	11	4	2	9	4	0	16	1	3	13	1	6	3	0	6	5	3	7	1	4	0	4	3	4	11	8	0	2	4	5	4	0	1	3	17	1									
		2.80%	2.77%	2.63%	3.42%	5.94%	3.08%	2.46%	4.67%	1.74%	3.31%	2.21%	4.57%	2.35%	2.56%	2.33%	2.82%	1.89%	4.20%	4.26%	2.53%	2.99%	1.98%	0.00%	5.86%	1.30%	1.97%	4.41%	0.65%	2.15%	1.63%	0.00%	1.90%	1.48%	2.70%	2.67%	0.93%	1.42%	0.00%	2.88%	1.13%	1.73%	2.34%	2.50%	0.00%	2.00%	4.55%	1.58%	4.00%	0.00%	2.33%	2.40%	2.54%	1.54%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	238	19	16	9	7	18	3	22	5	12	5	3	4	2	0	12	1	3	2	0	7	1	1	2	1	4	3	2	9	1	0	6	2	4	4	0	3	1	3	2	4	8	4	1	4	0	2	0	1	2	1	12	0									
		1.59%	1.70%	1.83%	1.92%	1.60%	2.05%	0.49%	2.57%	1.45%	1.73%	2.21%	0.86%	1.88%	0.64%	0.00%	3.08%	1.89%	1.15%	2.13%	0.00%	2.33%	0.50%	1.41%	0.73%	1.30%	2.63%	1.02%	1.31%	3.23%	0.54%	0.00%	1.90%	0.59%	3.60%	1.53%	0.00%	1.07%	1.08%	2.16%	0.75%	1.73%	1.70%	1.25%	0.65%	4.00%	0.00%	0.63%	0.00%	2.08%	4.65%	0.80%	1.79%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8178	558	412	228	208	417	308	370	160	345	88	201	127	198	23	219	31	168	44	54	183	113	50	128	41	114	177	101	173	94	31	229	245	62	150	65	190	64	96	201	161	242	168	87	44	49	165	61	23	24	95	353	40									
		54.56%	49.91%	47.19%	48.72%	47.49%	47.55%	50.57%	43.22%	46.51%	49.64%	38.94%	57.43%	59.62%	63.26%	53.49%	56.15%	58.49%	64.12%	46.81%	68.35%	60.80%	55.94%	70.42%	46.89%	53.25%	75.00%	60.00%	66.01%	62.01%	51.09%	51.67%	72.70%	72.49%	55.86%	57.25%	60.75%	67.62%	68.82%	69.06%	75.56%	69.70%	51.49%	52.50%	56.13%	44.00%	55.68%	52.22%	61.00%	47.92%	55.81%	76.00%	52.77%	61.54%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	65	5	4	0	2	2	5	4	2	3	1	1	0	0	0	2	1	2	0	0	2	1	1	2	0	0	0	0	0	1	0	1	1	0	3	1	2	0	1	1	2	3	1	0	0	0	1	0	0	0	1	5	1									
		0.43%	0.45%	0.46%	0.00%	0.46%	0.23%	0.82%	0.47%	0.58%	0.43%	0.44%	0.29%	0.00%	0.00%	0.00%	0.51%	1.89%	0.76%	0.00%	0.00%	0.66%	0.50%	1.41%	0.73%	0.00%	0.00%	0.00%	0.00%	0.00%	0.54%	0.00%	0.32%	0.30%	0.00%	1.15%	0.93%	0.71%	0.00%	0.72%	0.38%	0.87%	0.64%	0.31%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.80%	0.75%	1.54%									
24	"6. Политическая партия ""Гражданская Платформа"""	35	1	0	0	0	0	1	0	4	5	1	2	2	0	0	0	0	4	1	0	1	1	0	2	0	0	1	0	1	1	0	2	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0									
		0.23%	0.09%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	1.16%	0.72%	0.44%	0.57%	0.94%	0.00%	0.00%	0.00%	0.00%	1.53%	1.06%	0.00%	0.33%	0.50%	0.00%	0.73%	0.00%	0.00%	0.34%	0.00%	0.36%	0.54%	0.00%	0.63%	0.00%	0.00%	0.38%	0.00%	0.00%	0.00%	0.72%	0.00%	0.00%	0.00%	0.00%	0.00%	1.00%	0.00%	0.00%	0.00%	2.08%	0.00%	0.00%	0.15%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1646	151	90	44	57	87	76	116	45	52	39	36	23	34	11	25	5	16	13	4	25	13	6	20	2	11	26	12	35	26	18	22	24	15	25	7	26	8	11	21	20	56	44	33	12	14	24	10	6	0	9	137	4									
		10.98%	13.51%	10.31%	9.40%	13.01%	9.92%	12.48%	13.55%	13.08%	7.48%	17.26%	10.29%	10.80%	10.86%	25.58%	6.41%	9.43%	6.11%	13.83%	5.06%	8.31%	6.44%	8.45%	7.33%	2.60%	7.24%	8.81%	7.84%	12.54%	14.13%	30.00%	6.98%	7.10%	13.51%	9.54%	6.54%	9.25%	8.60%	7.91%	7.89%	8.66%	11.91%	13.75%	21.29%	12.00%	15.91%	7.59%	10.00%	12.50%	0.00%	7.20%	20.48%	6.15%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	42	1	1	2	1	4	4	2	0	0	2	2	0	1	0	2	0	0	0	1	1	0	0	1	0	1	1	1	0	0	0	1	0	0	3	0	0	0	0	0	2	1	3	0	0	1	0	0	1	0	1	1	0									
		0.28%	0.09%	0.11%	0.43%	0.23%	0.46%	0.66%	0.23%	0.00%	0.00%	0.88%	0.57%	0.00%	0.32%	0.00%	0.51%	0.00%	0.00%	0.00%	1.27%	0.33%	0.00%	0.00%	0.37%	0.00%	0.66%	0.34%	0.65%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	1.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.87%	0.21%	0.94%	0.00%	0.00%	1.14%	0.00%	0.00%	2.08%	0.00%	0.80%	0.15%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	736	74	67	41	31	70	45	68	28	48	7	15	9	10	1	13	3	9	2	3	12	6	1	13	2	5	9	5	7	7	1	3	9	3	4	5	4	2	4	2	5	19	16	5	6	3	9	2	4	1	2	11	5									
		4.91%	6.62%	7.67%	8.76%	7.08%	7.98%	7.39%	7.94%	8.14%	6.91%	3.10%	4.29%	4.23%	3.19%	2.33%	3.33%	5.66%	3.44%	2.13%	3.80%	3.99%	2.97%	1.41%	4.76%	2.60%	3.29%	3.05%	3.27%	2.51%	3.80%	1.67%	0.95%	2.66%	2.70%	1.53%	4.67%	1.42%	2.15%	2.88%	0.75%	2.16%	4.04%	5.00%	3.23%	6.00%	3.41%	2.85%	2.00%	8.33%	2.33%	1.60%	1.64%	7.69%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	23	3	1	1	1	0	0	0	0	2	1	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	2	0									
		0.15%	0.27%	0.11%	0.21%	0.23%	0.00%	0.00%	0.00%	0.00%	0.29%	0.44%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	1.27%	0.33%	0.00%	0.00%	0.37%	0.00%	0.00%	0.34%	1.31%	0.00%	0.54%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.65%	0.00%	0.00%	0.00%	0.00%	2.08%	0.00%	0.80%	0.30%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	68	9	8	5	4	6	3	3	2	1	0	2	0	1	0	2	0	0	1	0	1	0	0	2	0	1	0	1	0	1	0	0	1	0	2	0	0	0	0	0	1	5	3	0	1	0	1	0	0	0	0	1	0									
		0.45%	0.81%	0.92%	1.07%	0.91%	0.68%	0.49%	0.35%	0.58%	0.14%	0.00%	0.57%	0.00%	0.32%	0.00%	0.51%	0.00%	0.00%	1.06%	0.00%	0.33%	0.00%	0.00%	0.73%	0.00%	0.66%	0.00%	0.65%	0.00%	0.54%	0.00%	0.00%	0.30%	0.00%	0.76%	0.00%	0.00%	0.00%	0.00%	0.00%	0.43%	1.06%	0.94%	0.00%	1.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2361	181	175	90	73	178	120	164	66	163	55	49	23	40	5	74	6	25	19	6	42	46	6	70	24	8	36	22	31	30	9	10	28	18	38	19	33	8	6	15	20	66	41	11	16	4	87	20	5	5	3	62	10									
		15.75%	16.19%	20.05%	19.23%	16.67%	20.30%	19.70%	19.16%	19.19%	23.45%	24.34%	14.00%	10.80%	12.78%	11.63%	18.97%	11.32%	9.54%	20.21%	7.59%	13.95%	22.77%	8.45%	25.64%	31.17%	5.26%	12.20%	14.38%	11.11%	16.30%	15.00%	3.17%	8.28%	16.22%	14.50%	17.76%	11.74%	8.60%	4.32%	5.64%	8.66%	14.04%	12.81%	7.10%	16.00%	4.55%	27.53%	20.00%	10.42%	11.63%	2.40%	9.27%	15.38%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	42	3	2	0	1	1	1	2	2	0	1	1	0	1	0	1	0	0	0	1	2	0	0	2	0	0	2	0	0	2	0	0	0	1	1	0	0	2	0	0	1	3	4	0	0	1	1	0	0	0	0	2	1									
		0.28%	0.27%	0.23%	0.00%	0.23%	0.11%	0.16%	0.23%	0.58%	0.00%	0.44%	0.29%	0.00%	0.32%	0.00%	0.26%	0.00%	0.00%	0.00%	1.27%	0.66%	0.00%	0.00%	0.73%	0.00%	0.00%	0.68%	0.00%	0.00%	1.09%	0.00%	0.00%	0.00%	0.90%	0.38%	0.00%	0.00%	2.15%	0.00%	0.00%	0.43%	0.64%	1.25%	0.00%	0.00%	1.14%	0.32%	0.00%	0.00%	0.00%	0.00%	0.30%	1.54%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	517	44	30	18	18	33	9	31	13	10	11	5	7	4	1	12	4	13	2	3	9	7	1	11	4	3	13	2	4	12	0	18	10	3	9	5	8	4	11	10	4	29	15	7	4	4	10	1	2	0	3	25	1									
		3.45%	3.94%	3.44%	3.85%	4.11%	3.76%	1.48%	3.62%	3.78%	1.44%	4.87%	1.43%	3.29%	1.28%	2.33%	3.08%	7.55%	4.96%	2.13%	3.80%	2.99%	3.47%	1.41%	4.03%	5.19%	1.97%	4.41%	1.31%	1.43%	6.52%	0.00%	5.71%	2.96%	2.70%	3.44%	4.67%	2.85%	4.30%	7.91%	3.76%	1.73%	6.17%	4.69%	4.52%	4.00%	4.55%	3.16%	1.00%	4.17%	0.00%	2.40%	3.74%	1.54%									
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
