Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																															
Дата голосования: 07.12.2003 0:00:00																															
																															
Наименование Избирательной комиссии:    Усть-Джегутинская																															
																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																															
																															
		Сумма	УИК  204	УИК  205	УИК  206	УИК  207	УИК  208	УИК  209	УИК  210	УИК  211	УИК  212	УИК  213	УИК  214	УИК  215	УИК  216	УИК  217	УИК  218	УИК  219	УИК  220	УИК  221	УИК  222	УИК  223	УИК  224	УИК  225	УИК  226	УИК  227					
		0.23%	0.18%	0.12%	0.0%	0.0%	0.0%	0.0%	0.16%	0.36%	0.60%	0.0%	0.87%	0.22%	0.0%	0.20%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	1.64%	0.32%					
24	"7. ""Новый курс - Автомобильная Россия"""	14	1	4	0	2	0	0	0	0	1	0	2	1	0	1	0	0	0	0	0	1	0	1	0	0					
		0.07%	0.18%	0.48%	0.0%	0.50%	0.0%	0.0%	0.0%	0.0%	0.20%	0.0%	0.29%	0.22%	0.0%	0.20%	0.0%	0.0%	0.0%	0.0%	0.0%	0.08%	0.0%	0.17%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	18	0	3	0	0	0	0	0	1	3	2	0	2	0	0	1	0	0	0	2	0	0	4	0	0					
		0.09%	0.0%	0.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.12%	0.60%	0.29%	0.0%	0.44%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.16%	0.0%	0.0%	0.68%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	19	0	3	1	1	0	0	0	4	3	0	0	1	0	2	1	0	1	0	0	0	0	2	0	0					
		0.10%	0.0%	0.36%	0.31%	0.25%	0.0%	0.0%	0.0%	0.48%	0.60%	0.0%	0.0%	0.22%	0.0%	0.41%	0.30%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	321	11	14	2	3	1	12	15	9	11	9	16	2	8	4	9	0	5	134	0	7	5	21	20	3					
		1.72%	2.03%	1.70%	0.62%	0.76%	0.05%	2.58%	2.45%	1.08%	2.20%	1.33%	2.33%	0.44%	1.30%	0.82%	2.76%	0.0%	1.05%	5.67%	0.0%	0.57%	0.59%	3.57%	1.42%	0.98%					
28	"11. ""Истинные патриоты России"""	306	4	4	0	2	0	31	16	15	10	18	10	6	16	4	3	0	18	96	4	6	0	6	32	5					
		1.64%	0.74%	0.48%	0.0%	0.50%	0.0%	6.66%	2.62%	1.80%	2.00%	2.66%	1.45%	1.34%	2.60%	0.82%	0.92%	0.0%	3.80%	4.06%	0.33%	0.49%	0.0%	1.02%	2.28%	1.63%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	196	6	26	2	0	0	27	18	25	9	13	7	6	5	2	5	0	0	0	0	6	0	10	14	15					
		1.05%	1.11%	3.16%	0.62%	0.0%	0.0%	5.80%	2.95%	3.01%	1.80%	1.92%	1.02%	1.34%	0.81%	0.41%	1.53%	0.0%	0.0%	0.0%	0.0%	0.49%	0.0%	1.70%	1.0%	4.91%					
30	"13. ""Демократическая партия России"""	25	2	6	1	0	0	0	0	1	2	2	5	2	1	2	0	0	0	0	1	0	0	0	0	0					
		0.13%	0.37%	0.73%	0.31%	0.0%	0.0%	0.0%	0.0%	0.12%	0.40%	0.29%	0.72%	0.44%	0.16%	0.41%	0.0%	0.0%	0.0%	0.0%	0.08%	0.0%	0.0%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	176	7	7	1	2	0	11	14	18	6	12	5	1	5	6	2	0	25	35	5	1	0	5	7	1					
		0.94%	1.29%	0.85%	0.31%	0.50%	0.0%	2.36%	2.29%	2.16%	1.20%	1.77%	0.72%	0.22%	0.81%	1.23%	0.61%	0.0%	5.28%	1.48%	0.42%	0.08%	0.0%	0.85%	0.5%	0.32%					
32	"15. ""Партия СЛОН"""	9	0	0	0	0	0	0	1	1	1	3	1	0	0	0	0	0	0	0	1	1	0	0	0	0					
		0.04%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.12%	0.20%	0.44%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.08%	0.08%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	509	53	48	11	2	0	4	0	54	32	73	60	30	20	15	9	0	1	0	7	15	0	33	41	1					
		2.72%	9.81%	5.84%	3.45%	0.50%	0.0%	0.86%	0.0%	6.50%	6.42%	10.79%	8.75%	6.74%	3.25%	3.08%	2.76%	0.0%	0.21%	0.0%	0.59%	1.22%	0.0%	5.61%	2.92%	0.32%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	30	4	3	2	2	0	1	0	1	2	1	1	3	0	3	4	0	0	0	3	0	0	0	0	0					
		0.16%	0.74%	0.36%	0.62%	0.50%	0.0%	0.21%	0.0%	0.12%	0.40%	0.14%	0.14%	0.67%	0.0%	0.61%	1.23%	0.0%	0.0%	0.0%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	563	55	49	21	4	0	9	27	80	8	50	81	64	25	42	8	0	0	0	2	0	0	22	13	3					
		3.01%	10.18%	5.96%	6.60%	1.01%	0.0%	1.93%	4.42%	9.63%	1.60%	7.39%	11.82%	14.38%	4.07%	8.62%	2.46%	0.0%	0.0%	0.0%	0.16%	0.0%	0.0%	3.74%	0.92%	0.98%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	166	12	13	1	1	0	6	7	13	13	4	15	13	4	8	2	0	18	0	7	10	0	1	13	5					
		0.89%	2.22%	1.58%	0.31%	0.25%	0.0%	1.29%	1.14%	1.56%	2.61%	0.59%	2.18%	2.92%	0.65%	1.64%	0.61%	0.0%	3.80%	0.0%	0.59%	0.81%	0.0%	0.17%	0.92%	1.63%					
37	"20. ""Политическая партия ""Единая Россия"""	11446	214	438	210	339	1498	239	368	389	219	314	307	162	444	316	164	362	257	1331	990	713	786	295	864	227					
		61.38%	39.62%	53.34%	66.03%	86.25%	88.11%	51.39%	60.32%	46.86%	43.97%	46.44%	44.81%	36.40%	72.31%	64.88%	50.46%	41.60%	54.33%	56.37%	84.04%	58.29%	93.46%	50.17%	61.71%	74.42%					
38	"21. ""Российская Конституционно-демократическая партия"""	43	1	8	1	0	0	2	2	2	2	0	1	0	0	3	1	0	1	0	0	0	0	1	16	2					
		0.23%	0.18%	0.97%	0.31%	0.0%	0.0%	0.43%	0.32%	0.24%	0.40%	0.0%	0.14%	0.0%	0.0%	0.61%	0.30%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	0.17%	1.14%	0.65%					
39	"22. ""Развитие предпринимательства"""	29	0	1	0	0	0	0	0	1	2	0	2	1	0	1	0	0	0	14	3	1	0	1	0	2					
		0.15%	0.0%	0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.12%	0.40%	0.0%	0.29%	0.22%	0.0%	0.20%	0.0%	0.0%	0.0%	0.59%	0.25%	0.08%	0.0%	0.17%	0.0%	0.65%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	2150	85	92	31	16	200	64	90	131	73	107	90	72	44	30	20	238	62	137	22	220	50	102	165	9					
		11.53%	15.74%	11.20%	9.74%	4.07%	11.76%	13.76%	14.75%	15.78%	14.65%	15.82%	13.13%	16.17%	7.16%	6.16%	6.15%	27.35%	13.10%	5.80%	1.86%	17.98%	5.94%	17.34%	11.78%	2.95%					
																															
41	Против всех	280	15	29	14	6	0	10	13	19	19	14	23	15	9	12	2	0	4	6	0	14	0	19	36	1					
		1.50%	2.77%	3.53%	4.40%	1.52%	0.0%	2.15%	2.13%	2.28%	3.81%	2.07%	3.35%	3.37%	1.46%	2.46%	0.61%	0.0%	0.84%	0.25%	0.0%	1.14%	0.0%	3.23%	2.57%	0.32%					
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
