Выборы Президента Российской Федерации																																																																																																																																																																				
																																																																																																																																																																				
"Наименование Избирательной комиссии:    Владивосток, Первомайская"																																																																																																																																																																				
																																																																																																																																																																				
Итоги голосования 																																																																																																																																																																				
																																																																																																																																																																				
		Сумма	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1583	УИК №1584	УИК №1587	УИК №1590	УИК №1591	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626					
11	Число полученных открепительных  удостоверений	2159	35	25	50	50	35	40	45	50	54	55	35	60	45	50	35	45	45	50	45	45	45	60	55	35	45	45	45	45	55	60	45	25	50	95	25	45	35	40	55	60	25	50	40	50	50	50	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
12	Число выданных открепительных удостоверений	1960	34	24	37	41	27	36	44	50	45	48	34	53	43	42	30	43	36	49	41	43	37	56	45	35	37	35	37	42	50	59	39	17	50	95	25	44	35	33	52	60	17	50	40	46	45	49	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1263	25	13	28	14	18	8	37	34	49	30	4	23	13	12	19	4	10	34	32	16	26	16	63	45	23	22	25	21	17	47	14	146	34	29	16	12	12	19	17	36	5	38	0	23	20	29	7	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	199	1	1	13	9	8	4	1	0	9	7	1	7	2	8	5	2	9	1	4	2	8	4	10	0	8	10	8	3	5	1	6	8	0	0	0	1	0	7	3	0	8	0	0	4	5	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	249	5	5	3	4	3	5	6	3	6	2	1	5	1	6	6	5	5	3	3	5	7	7	4	3	3	4	3	3	8	8	2	1	33	17	4	4	3	5	3	7	4	7	5	5	7	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																																																																																																				
18	. Глазьев Сергей Юрьевич	4508	106	69	81	70	47	116	116	90	105	133	66	122	98	43	70	95	147	116	101	115	138	106	86	45	63	94	87	137	89	73	116	74	111	77	65	99	77	137	130	93	31	50	111	82	123	98	32	18	4	0	0	0	0	0	1	1	4	0	0	0	1	0	0	0	0	1	1	1	2	1	3	0	2	0	0	10	1	3	2	9	7	4	6	2	1	4	1	0	4	0	0	0	3	1	1	1	1	3	0	1	1	1	1	1	1	0	0	2	3	3	1	2	0	1	2	0	0	0	2	18	0	0	1	0	0	3	3	0	0	0	0	0	1	7	0	1	0	5	1	0	0	0	0	1	0	1	1	0	0	3	0	1	0	3	2	0	0					
		6.87%	8.29%	7.40%	5.94%	5.34%	6.16%	8.73%	8.58%	5.94%	7.93%	8.14%	7.24%	7.55%	8.08%	4.99%	7.68%	6.81%	9.21%	6.80%	6.38%	7.22%	8.59%	7.12%	4.95%	4.40%	6.23%	8.35%	7.55%	9.51%	6.97%	5.73%	10.51%	10.56%	7.66%	4.18%	6.91%	6.41%	6.96%	10.66%	8.66%	5.89%	4.42%	4.88%	7.64%	5.62%	8.87%	6.92%	4.92%	9.57%	21.05%	0.00%	0.00%	0.00%	0.00%	0.00%	3.45%	3.45%	13.33%	0.00%	0.00%	0.00%	4.00%	0.00%	0.00%	0.00%	0.00%	5.88%	6.25%	4.76%	5.13%	2.70%	8.11%	0.00%	5.26%	0.00%	0.00%	11.49%	1.05%	3.30%	2.99%	2.80%	2.22%	21.05%	33.33%	9.09%	1.12%	5.48%	3.45%	0.00%	4.30%	0.00%	0.00%	0.00%	9.68%	2.86%	2.94%	4.00%	1.39%	3.90%	0.00%	6.67%	4.76%	5.26%	1.19%	1.22%	4.35%	0.00%	0.00%	4.44%	7.89%	2.01%	4.17%	7.14%	0.00%	3.85%	8.70%	0.00%	0.00%	0.00%	9.09%	5.52%	0.00%	0.00%	4.76%	0.00%	0.00%	21.43%	11.54%	0.00%	0.00%	0.00%	0.00%	0.00%	2.56%	7.87%	0.00%	10.00%	0.00%	26.32%	5.26%	0.00%	0.00%	0.00%	0.00%	5.00%	0.00%	1.92%	1.92%	0.00%	0.00%	3.45%	0.00%	2.50%	0.00%	16.67%	11.76%	0.00%	0.00%					
19	. Малышкин Олег Александрович	2656	42	36	64	41	27	53	48	61	55	61	40	63	53	61	45	66	63	59	63	57	54	69	70	31	32	43	31	51	54	69	36	30	71	73	34	69	59	53	70	55	32	51	73	67	50	68	43	5	0	0	5	0	0	1	1	1	0	0	0	0	1	0	0	0	1	0	0	1	2	1	4	0	0	0	0	2	1	4	1	22	10	0	2	1	1	4	0	0	1	1	0	0	2	3	1	0	3	5	1	0	1	0	6	3	0	0	0	8	0	1	1	0	0	5	3	0	0	0	0	15	0	4	0	0	0	1	1	0	0	0	0	0	0	2	0	0	2	2	0	0	0	4	0	0	2	3	0	0	2	2	0	0	1	2	1	0	0					
		4.05%	3.28%	3.86%	4.70%	3.12%	3.54%	3.99%	3.55%	4.03%	4.15%	3.74%	4.39%	3.90%	4.37%	7.08%	4.94%	4.73%	3.95%	3.46%	3.98%	3.58%	3.36%	4.64%	4.03%	3.03%	3.16%	3.82%	2.69%	3.54%	4.23%	5.42%	3.26%	4.28%	4.90%	3.97%	3.62%	4.47%	5.33%	4.12%	4.66%	3.48%	4.56%	4.98%	5.03%	4.60%	3.61%	4.80%	6.62%	2.66%	0.00%	0.00%	16.67%	0.00%	0.00%	3.33%	3.45%	3.45%	0.00%	0.00%	0.00%	0.00%	4.00%	0.00%	0.00%	0.00%	5.88%	0.00%	0.00%	4.76%	5.13%	2.70%	10.81%	0.00%	0.00%	0.00%	0.00%	2.30%	1.05%	4.40%	1.49%	6.85%	3.17%	0.00%	11.11%	4.55%	1.12%	5.48%	0.00%	0.00%	1.08%	1.15%	0.00%	0.00%	6.45%	8.57%	2.94%	0.00%	4.17%	6.49%	7.14%	0.00%	4.76%	0.00%	7.14%	3.66%	0.00%	0.00%	0.00%	17.78%	0.00%	0.67%	4.17%	0.00%	0.00%	19.23%	13.04%	0.00%	0.00%	0.00%	0.00%	4.60%	0.00%	20.00%	0.00%	0.00%	0.00%	7.14%	3.85%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.25%	0.00%	0.00%	4.00%	10.53%	0.00%	0.00%	0.00%	7.84%	0.00%	0.00%	2.38%	5.77%	0.00%	0.00%	2.44%	2.30%	0.00%	0.00%	2.50%	11.11%	5.88%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	623	15	12	17	11	10	4	10	14	14	29	4	19	11	4	8	18	14	14	12	12	15	15	9	14	20	6	11	15	12	14	10	10	10	18	5	13	8	7	16	12	9	9	15	21	14	15	3	2	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0	3	1	0	1	0	1	0	0	1	0	0	0	0	2	4	1	0	0	1	0	2	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	1	0	1	3	0	0	0	0	1	0	0	0	0	0	0	0					
		0.95%	1.17%	1.29%	1.25%	0.84%	1.31%	0.30%	0.74%	0.92%	1.06%	1.78%	0.44%	1.18%	0.91%	0.46%	0.88%	1.29%	0.88%	0.82%	0.76%	0.75%	0.93%	1.01%	0.52%	1.37%	1.98%	0.53%	0.95%	1.04%	0.94%	1.10%	0.91%	1.43%	0.69%	0.98%	0.53%	0.84%	0.72%	0.54%	1.07%	0.76%	1.28%	0.88%	1.03%	1.44%	1.01%	1.06%	0.46%	1.06%	0.00%	0.00%	3.33%	0.00%	0.00%	0.00%	0.00%	0.00%	3.33%	0.00%	0.00%	5.26%	0.00%	0.00%	0.00%	0.00%	5.88%	0.00%	0.00%	4.76%	2.56%	0.00%	0.00%	0.00%	2.63%	0.00%	0.00%	1.15%	0.00%	0.00%	0.00%	0.93%	0.32%	0.00%	5.56%	0.00%	1.12%	0.00%	0.00%	0.82%	0.00%	0.00%	0.00%	0.00%	6.45%	11.43%	2.94%	0.00%	0.00%	1.30%	0.00%	13.33%	0.00%	10.53%	0.00%	0.00%	4.35%	0.00%	0.00%	2.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	5.00%	0.00%	0.00%	0.00%	7.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	11.76%	1.96%	0.00%	5.00%	3.57%	0.00%	0.00%	0.00%	0.00%	1.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	39529	682	577	791	816	462	714	745	918	766	931	535	891	638	524	525	792	852	1018	950	940	904	828	1152	691	616	657	660	754	734	768	589	389	862	1257	564	939	672	713	843	1029	444	634	832	872	731	824	455	79	8	27	20	25	29	24	23	19	5	18	19	16	18	34	26	17	9	16	13	15	23	20	24	34	29	21	17	70	90	65	52	266	265	6	5	17	56	34	22	121	88	82	86	85	19	15	16	20	49	55	5	7	16	13	63	74	18	22	11	28	21	124	17	22	17	14	16	13	27	27	20	254	29	12	20	20	19	6	15	35	28	18	26	22	28	63	19	7	37	6	17	19	14	28	14	12	62	44	48	14	77	76	36	37	39	12	7	21	21					
		60.22%	53.32%	61.84%	58.03%	62.20%	60.55%	53.77%	55.10%	60.59%	57.85%	57.01%	58.66%	55.17%	52.60%	60.79%	57.63%	56.73%	53.38%	59.71%	60.01%	59.01%	56.25%	55.65%	66.32%	67.55%	60.87%	58.35%	57.24%	52.36%	57.52%	60.28%	53.35%	55.49%	59.45%	68.32%	60.00%	60.82%	60.70%	55.49%	56.16%	65.13%	63.34%	61.91%	57.30%	59.81%	52.74%	58.19%	70.00%	42.02%	42.11%	100.00%	66.67%	83.33%	100.00%	80.00%	79.31%	65.52%	16.67%	100.00%	100.00%	84.21%	72.00%	100.00%	100.00%	100.00%	52.94%	94.12%	81.25%	71.43%	58.97%	54.05%	64.86%	91.89%	76.32%	95.45%	77.27%	80.46%	94.74%	71.43%	77.61%	82.87%	84.13%	31.58%	27.78%	77.27%	62.92%	46.58%	75.86%	99.18%	94.62%	94.25%	100.00%	97.70%	61.29%	42.86%	47.06%	80.00%	68.06%	71.43%	35.71%	46.67%	76.19%	68.42%	75.00%	90.24%	78.26%	100.00%	73.33%	62.22%	55.26%	83.22%	70.83%	78.57%	68.00%	53.85%	69.57%	59.09%	100.00%	100.00%	90.91%	77.91%	100.00%	60.00%	95.24%	100.00%	90.48%	42.86%	57.69%	97.22%	100.00%	100.00%	100.00%	100.00%	71.79%	70.79%	100.00%	70.00%	74.00%	31.58%	89.47%	95.00%	82.35%	54.90%	66.67%	60.00%	73.81%	84.62%	92.31%	87.50%	93.90%	87.36%	90.00%	92.50%	97.50%	66.67%	41.18%	100.00%	100.00%					
22	. Хакамада Ирина Муцуовна	4800	100	58	96	94	66	112	125	138	102	124	59	148	73	50	64	110	106	118	116	127	123	124	95	68	77	108	104	173	107	109	76	53	87	148	72	122	62	92	154	93	54	86	126	100	142	127	25	7	0	0	0	0	0	1	0	1	3	0	0	1	0	0	0	0	0	0	0	0	1	3	2	1	0	0	0	4	0	5	1	5	5	1	0	1	4	6	2	0	0	2	0	1	2	4	2	0	3	3	0	2	1	0	3	4	1	0	0	0	1	1	1	0	1	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	4	3	0	2	2	1	0	1	2	0	0	0	0	0	0	0					
