Выборы Президента Российской Федерации																																																																		
																																																																		
Наименование Избирательной комиссии:    Cемилукская																																																																		
																																																																		
Итоги голосования 																																																																		
																																																																		
		Сумма	УИК №3501	УИК №3502	УИК №3503	УИК №3504	УИК №3505	УИК №3506	УИК №3507	УИК №3508	УИК №3509	УИК №3510	УИК №3511	УИК №3512	УИК №3513	УИК №3514	УИК №3515	УИК №3516	УИК №3517	УИК №3518	УИК №3519	УИК №3520	УИК №3521	УИК №3522	УИК №3523	УИК №3524	УИК №3525	УИК №3526	УИК №3527	УИК №3528	УИК №3529	УИК №3530	УИК №3531	УИК №3532	УИК №3533	УИК №3534	УИК №3535	УИК №3536	УИК №3537	УИК №3538	УИК №3539	УИК №3540	УИК №3541	УИК №3542	УИК №3543	УИК №3544	УИК №3545	УИК №3546	УИК №3547	УИК №3548	УИК №3549	УИК №3550	УИК №3551	УИК №3552	УИК №3553	УИК №3554	УИК №3555									
12	Число выданных открепительных удостоверений	494	35	23	1	22	26	28	26	21	30	0	22	3	7	5	10	5	7	25	6	4	5	0	4	8	2	2	2	22	1	1	0	6	2	7	3	6	0	2	16	2	0	8	1	4	3	2	0	0	8	13	12	3	3	21	19									
13	Число избирателей, проголосовавших по открепительным удостоверениям	443	5	4	4	8	14	6	4	8	12	230	4	2	0	7	4	4	4	8	1	5	2	3	2	9	0	4	1	2	4	1	1	4	2	4	1	3	3	7	0	2	7	3	1	0	2	2	0	0	7	7	1	5	1	10	8									
14	Число неиспользованных открепительных удостоверений	175	4	6	10	2	5	11	16	6	3	0	4	3	5	5	0	3	1	1	5	7	6	3	0	5	2	2	2	0	2	2	3	2	1	3	2	1	3	1	0	2	3	0	2	3	0	2	3	3	0	10	5	2	2	0	1									
15	Число открепительных удостоверений, выданных в ТИК	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
Число голосов избирателей, поданных за каждый список																																																																		
18	. Глазьев Сергей Юрьевич	941	62	24	4	22	32	47	34	31	58	8	33	13	3	13	2	1	19	39	34	20	4	2	5	35	1	20	6	9	4	1	2	18	4	10	8	8	8	8	42	30	2	10	4	8	3	9	4	10	18	24	30	6	1	36	52									
		2.79%	3.80%	3.28%	1.16%	3.17%	2.85%	3.08%	3.02%	3.26%	4.10%	3.48%	5.59%	3.19%	0.80%	2.33%	0.62%	0.60%	2.10%	3.12%	2.95%	1.92%	1.05%	1.69%	1.48%	3.89%	0.47%	3.27%	1.50%	2.18%	1.26%	0.50%	1.39%	4.68%	1.31%	1.85%	1.63%	1.19%	2.04%	2.00%	2.74%	3.33%	1.01%	3.22%	2.15%	1.86%	0.83%	2.23%	1.24%	3.98%	2.00%	2.37%	3.52%	2.73%	0.38%	3.84%	5.68%									
19	. Малышкин Олег Александрович	694	23	10	7	30	14	45	25	21	36	4	13	3	10	9	12	12	18	24	16	17	4	1	8	8	4	6	9	10	5	10	0	6	3	23	9	12	4	7	10	23	3	6	2	9	8	1	1	1	32	34	21	2	6	30	27									
		2.06%	1.41%	1.37%	2.03%	4.32%	1.25%	2.95%	2.22%	2.21%	2.55%	1.74%	2.20%	0.74%	2.68%	1.61%	3.74%	7.19%	1.99%	1.92%	1.39%	1.63%	1.05%	0.85%	2.37%	0.89%	1.89%	0.98%	2.25%	2.42%	1.57%	5.00%	0.00%	1.56%	0.98%	4.24%	1.83%	1.79%	1.02%	1.75%	0.65%	2.55%	1.51%	1.93%	1.08%	2.10%	2.22%	0.25%	0.31%	0.40%	3.55%	3.36%	2.46%	0.91%	2.26%	3.20%	2.95%									
20	. Миронов Сергей Михайлович	289	14	5	1	13	9	22	11	8	26	1	5	1	2	1	2	3	1	4	10	6	3	3	3	8	0	9	3	6	2	2	0	6	1	2	5	6	0	4	10	10	2	1	0	2	5	2	0	3	11	7	0	0	2	9	17									
		0.86%	0.86%	0.68%	0.29%	1.87%	0.80%	1.44%	0.98%	0.84%	1.84%	0.43%	0.85%	0.25%	0.54%	0.18%	0.62%	1.80%	0.11%	0.32%	0.87%	0.58%	0.79%	2.54%	0.89%	0.89%	0.00%	1.47%	0.75%	1.45%	0.63%	1.00%	0.00%	1.56%	0.33%	0.37%	1.02%	0.90%	0.00%	1.00%	0.65%	1.11%	1.01%	0.32%	0.00%	0.47%	1.39%	0.50%	0.00%	1.20%	1.22%	0.69%	0.00%	0.00%	0.75%	0.96%	1.86%									
21	. Путин Владимир Владимирович	23094	996	485	221	414	718	964	671	572	873	168	397	322	321	475	254	110	704	923	862	811	297	62	282	651	153	431	294	295	219	144	125	283	236	413	359	497	306	311	1156	596	114	200	144	306	243	308	235	200	499	576	507	151	178	552	510									
		68.41%	61.07%	66.35%	64.24%	59.65%	64.05%	63.21%	59.54%	60.21%	61.74%	73.04%	67.29%	78.92%	86.06%	85.13%	79.13%	65.87%	77.70%	73.78%	74.89%	77.76%	77.95%	52.54%	83.68%	72.33%	72.17%	70.42%	73.50%	71.43%	68.87%	72.00%	86.81%	73.51%	77.38%	76.20%	73.12%	74.18%	78.06%	77.56%	75.41%	66.08%	57.29%	64.31%	77.42%	71.33%	67.31%	76.24%	72.98%	79.68%	55.38%	56.97%	59.51%	68.64%	66.92%	58.91%	55.68%									
22	. Хакамада Ирина Муцуовна	706	43	26	20	28	37	56	36	29	64	3	28	8	4	5	6	2	16	23	13	9	3	0	4	15	1	7	4	6	2	0	1	11	5	8	3	12	1	3	14	13	6	3	1	1	2	11	1	1	19	24	21	7	7	13	20									
		2.09%	2.64%	3.56%	5.81%	4.03%	3.30%	3.67%	3.19%	3.05%	4.53%	1.30%	4.75%	1.96%	1.07%	0.90%	1.87%	1.20%	1.77%	1.84%	1.13%	0.86%	0.79%	0.00%	1.19%	1.67%	0.47%	1.14%	1.00%	1.45%	0.63%	0.00%	0.69%	2.86%	1.64%	1.48%	0.61%	1.79%	0.26%	0.75%	0.91%	1.44%	3.02%	0.96%	0.54%	0.23%	0.55%	2.72%	0.31%	0.40%	2.11%	2.37%	2.46%	3.18%	2.63%	1.39%	2.18%									
23	. Харитонов Николай Михайлович	6998	311	155	82	166	278	337	307	258	298	37	105	56	29	35	33	32	137	196	196	168	62	46	26	168	48	132	73	65	81	38	13	57	50	74	104	115	73	59	279	207	70	83	32	99	94	66	71	32	284	302	239	47	63	276	254									
		20.73%	19.07%	21.20%	23.84%	23.92%	24.80%	22.10%	27.24%	27.16%	21.07%	16.09%	17.80%	13.73%	7.77%	6.27%	10.28%	19.16%	15.12%	15.67%	17.03%	16.11%	16.27%	38.98%	7.72%	18.67%	22.64%	21.57%	18.25%	15.74%	25.47%	19.00%	9.03%	14.81%	16.39%	13.65%	21.18%	17.16%	18.62%	14.71%	18.20%	22.95%	35.18%	26.69%	17.20%	23.08%	26.04%	16.34%	22.05%	12.75%	31.52%	29.87%	28.05%	21.36%	23.68%	29.46%	27.73%									
																																																																		
24	Против всех	768	144	21	5	18	27	43	37	23	56	8	8	3	0	17	5	5	11	29	10	7	8	2	8	11	2	5	6	19	3	4	0	3	3	8	2	10	0	7	13	17	1	4	1	3	6	4	5	3	28	32	24	3	9	17	20									
		2.28%	8.83%	2.87%	1.45%	2.59%	2.41%	2.82%	3.28%	2.42%	3.96%	3.48%	1.36%	0.74%	0.00%	3.05%	1.56%	2.99%	1.21%	2.32%	0.87%	0.67%	2.10%	1.69%	2.37%	1.22%	0.94%	0.82%	1.50%	4.60%	0.94%	2.00%	0.00%	0.78%	0.98%	1.48%	0.41%	1.49%	0.00%	1.75%	0.85%	1.88%	0.50%	1.29%	0.54%	0.70%	1.66%	0.99%	1.55%	1.20%	3.11%	3.17%	2.82%	1.36%	3.38%	1.81%	2.18%									
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
