Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																															
Дата голосования: 07.12.2003 0:00:00																															
																															
Наименование Избирательной комиссии:    Улетовская																															
																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																															
																															
		Сумма	УИК  261	УИК  262	УИК  263	УИК  264	УИК  265	УИК  266	УИК  267	УИК  268	УИК  269	УИК  270	УИК  271	УИК  272	УИК  273	УИК  274	УИК  275	УИК  276	УИК  277	УИК  278	УИК  279	УИК  280	УИК  281	УИК  282	УИК  283	УИК  284					
		1.41%	2.65%	0.53%	0.77%	0.0%	1.61%	1.62%	1.33%	3.46%	0.0%	1.12%	3.07%	0.29%	3.57%	1.33%	3.42%	0.60%	0.75%	1.96%	1.94%	1.92%	1.58%	1.13%	4.05%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	73	1	1	0	0	3	0	9	0	0	1	5	1	0	1	1	12	13	5	2	3	1	13	0	1					
		0.85%	0.88%	0.26%	0.0%	0.0%	0.60%	0.0%	1.5%	0.0%	0.0%	0.56%	1.28%	0.29%	0.0%	0.26%	0.31%	1.45%	1.39%	1.08%	0.48%	1.15%	0.31%	1.13%	0.0%	0.90%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	228	1	24	3	0	9	3	11	4	4	3	12	12	0	5	8	28	16	11	7	5	6	50	4	2					
		2.68%	0.88%	6.46%	2.32%	0.0%	1.81%	1.62%	1.83%	2.31%	3.2%	1.68%	3.07%	3.57%	0.0%	1.33%	2.49%	3.38%	1.71%	2.39%	1.70%	1.92%	1.89%	4.37%	5.40%	1.81%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	131	2	2	0	0	0	3	7	1	2	3	3	0	1	7	2	23	18	16	6	4	1	28	2	0					
		1.54%	1.76%	0.53%	0.0%	0.0%	0.0%	1.62%	1.16%	0.57%	1.6%	1.68%	0.76%	0.0%	1.19%	1.86%	0.62%	2.78%	1.93%	3.48%	1.45%	1.53%	0.31%	2.45%	2.70%	0.0%					
22	"5. ""За Русь Святую"""	31	0	1	0	0	1	1	3	0	3	1	2	1	3	0	0	2	6	0	0	1	1	5	0	0					
		0.36%	0.0%	0.26%	0.0%	0.0%	0.20%	0.54%	0.5%	0.0%	2.4%	0.56%	0.51%	0.29%	3.57%	0.0%	0.0%	0.24%	0.64%	0.0%	0.0%	0.38%	0.31%	0.43%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	16	0	1	0	1	0	0	5	2	0	0	0	0	0	0	1	1	0	0	1	1	0	2	1	0					
		0.18%	0.0%	0.26%	0.0%	1.01%	0.0%	0.0%	0.83%	1.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.31%	0.12%	0.0%	0.0%	0.24%	0.38%	0.0%	0.17%	1.35%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	46	1	4	2	0	1	0	2	0	0	1	7	2	0	0	4	6	10	1	1	1	0	3	0	0					
		0.54%	0.88%	1.07%	1.55%	0.0%	0.20%	0.0%	0.33%	0.0%	0.0%	0.56%	1.79%	0.59%	0.0%	0.0%	1.24%	0.72%	1.07%	0.21%	0.24%	0.38%	0.0%	0.26%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	13	2	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	1	1	0	0	0	2	1	2					
		0.15%	1.76%	0.0%	0.0%	0.0%	0.20%	0.0%	0.16%	0.0%	0.8%	0.56%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.10%	0.21%	0.0%	0.0%	0.0%	0.17%	1.35%	1.81%					
26	"9. ""Российская экологическая партия ""Зеленые"""	11	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	1	1	1	1	1	2	0	0					
		0.12%	0.0%	0.0%	0.0%	0.0%	0.20%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.19%	0.0%	0.0%	0.24%	0.10%	0.21%	0.24%	0.38%	0.31%	0.17%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	874	4	15	19	10	84	37	95	12	9	45	35	41	5	70	26	59	119	41	49	34	20	39	3	3					
		10.27%	3.53%	4.04%	14.72%	10.10%	16.93%	20.0%	15.83%	6.93%	7.2%	25.28%	8.97%	12.20%	5.95%	18.66%	8.09%	7.13%	12.78%	8.93%	11.92%	13.07%	6.32%	3.41%	4.05%	2.72%					
28	"11. ""Истинные патриоты России"""	14	0	0	0	0	2	0	1	0	0	0	1	0	0	2	2	1	0	0	3	1	0	1	0	0					
		0.16%	0.0%	0.0%	0.0%	0.0%	0.40%	0.0%	0.16%	0.0%	0.0%	0.0%	0.25%	0.0%	0.0%	0.53%	0.62%	0.12%	0.0%	0.0%	0.72%	0.38%	0.0%	0.08%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	252	3	3	1	1	11	2	3	2	1	6	3	16	3	10	9	20	18	9	9	3	12	97	3	7					
		2.96%	2.65%	0.80%	0.77%	1.01%	2.21%	1.08%	0.5%	1.15%	0.8%	3.37%	0.76%	4.76%	3.57%	2.66%	2.80%	2.41%	1.93%	1.96%	2.18%	1.15%	3.79%	8.49%	4.05%	6.36%					
30	"13. ""Демократическая партия России"""	26	0	1	0	0	3	2	1	0	0	0	0	0	1	2	0	3	4	5	1	1	1	0	1	0					
		0.30%	0.0%	0.26%	0.0%	0.0%	0.60%	1.08%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	1.19%	0.53%	0.0%	0.36%	0.42%	1.08%	0.24%	0.38%	0.31%	0.0%	1.35%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	17	1	0	1	0	1	0	1	4	0	1	0	2	0	0	0	0	0	2	0	1	2	0	0	1					
		0.19%	0.88%	0.0%	0.77%	0.0%	0.20%	0.0%	0.16%	2.31%	0.0%	0.56%	0.0%	0.59%	0.0%	0.0%	0.0%	0.0%	0.0%	0.43%	0.0%	0.38%	0.63%	0.0%	0.0%	0.90%					
32	"15. ""Партия СЛОН"""	12	0	3	0	0	2	0	0	0	0	1	0	0	0	0	0	1	2	1	0	0	1	1	0	0					
		0.14%	0.0%	0.80%	0.0%	0.0%	0.40%	0.0%	0.0%	0.0%	0.0%	0.56%	0.0%	0.0%	0.0%	0.0%	0.0%	0.12%	0.21%	0.21%	0.0%	0.0%	0.31%	0.08%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	320	4	25	1	1	7	4	18	6	5	3	17	17	2	10	7	29	60	23	20	6	8	35	2	10					
		3.76%	3.53%	6.73%	0.77%	1.01%	1.41%	2.16%	3.0%	3.46%	4.0%	1.68%	4.35%	5.05%	2.38%	2.66%	2.18%	3.50%	6.44%	5.01%	4.86%	2.30%	2.53%	3.06%	2.70%	9.09%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	25	1	1	0	0	1	1	1	0	0	0	0	1	2	0	0	1	4	3	2	3	1	1	1	1					
		0.29%	0.88%	0.26%	0.0%	0.0%	0.20%	0.54%	0.16%	0.0%	0.0%	0.0%	0.0%	0.29%	2.38%	0.0%	0.0%	0.12%	0.42%	0.65%	0.48%	1.15%	0.31%	0.08%	1.35%	0.90%					
35	"18. ""ЛДПР"""	1710	19	86	15	27	106	35	105	35	18	27	68	46	15	88	56	162	129	94	73	65	73	309	18	41					
		20.10%	16.81%	23.18%	11.62%	27.27%	21.37%	18.91%	17.5%	20.23%	14.4%	15.16%	17.43%	13.69%	17.85%	23.46%	17.44%	19.58%	13.85%	20.47%	17.76%	25.0%	23.10%	27.05%	24.32%	37.27%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	121	0	5	0	0	7	3	5	0	6	0	5	5	2	4	6	15	10	12	2	6	3	23	2	0					
		1.42%	0.0%	1.34%	0.0%	0.0%	1.41%	1.62%	0.83%	0.0%	4.8%	0.0%	1.28%	1.48%	2.38%	1.06%	1.86%	1.81%	1.07%	2.61%	0.48%	2.30%	0.94%	2.01%	2.70%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	2485	55	98	45	8	134	34	193	62	42	50	123	104	31	82	148	260	309	137	118	57	113	251	10	21					
		29.21%	48.67%	26.41%	34.88%	8.08%	27.01%	18.37%	32.16%	35.83%	33.6%	28.08%	31.53%	30.95%	36.90%	21.86%	46.10%	31.43%	33.19%	29.84%	28.71%	21.92%	35.75%	21.97%	13.51%	19.09%					
38	"21. ""Российская Конституционно-демократическая партия"""	20	0	1	1	0	1	0	2	0	0	0	1	2	0	0	1	2	4	1	0	0	2	1	0	1					
		0.23%	0.0%	0.26%	0.77%	0.0%	0.20%	0.0%	0.33%	0.0%	0.0%	0.0%	0.25%	0.59%	0.0%	0.0%	0.31%	0.24%	0.42%	0.21%	0.0%	0.0%	0.63%	0.08%	0.0%	0.90%					
39	"22. ""Развитие предпринимательства"""	19	0	1	0	1	1	2	1	0	0	1	0	0	0	2	1	1	5	0	1	0	0	1	1	0					
		0.22%	0.0%	0.26%	0.0%	1.01%	0.20%	1.08%	0.16%	0.0%	0.0%	0.56%	0.0%	0.0%	0.0%	0.53%	0.31%	0.12%	0.53%	0.0%	0.24%	0.0%	0.0%	0.08%	1.35%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1529	10	77	30	48	89	42	97	34	29	26	82	74	12	68	31	164	153	69	78	38	52	199	11	16					
		17.97%	8.84%	20.75%	23.25%	48.48%	17.94%	22.70%	16.16%	19.65%	23.2%	14.60%	21.02%	22.02%	14.28%	18.13%	9.65%	19.83%	16.43%	15.03%	18.97%	14.61%	16.45%	17.42%	14.86%	14.54%					
																															
41	Против всех	293	6	12	9	2	15	13	23	5	3	4	4	5	0	17	6	24	29	14	20	15	9	48	6	4					
		3.44%	5.30%	3.23%	6.97%	2.02%	3.02%	7.02%	3.83%	2.89%	2.4%	2.24%	1.02%	1.48%	0.0%	4.53%	1.86%	2.90%	3.11%	3.05%	4.86%	5.76%	2.84%	4.20%	8.10%	3.63%					
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
