Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																									
Дата голосования: 18.09.2016																																																									
																																																									
Наименование Избирательной комиссии:    Пригородная																																																									
																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																									
																																																									
		Сумма	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №348									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	217	0	3	38	1	0	3	4	2	15	5	1	1	1	5	35	9	9	6	3	2	0	4	6	0	7	4	0	2	3	0	1	3	3	1	6	1	4	4	1	0	0	6	10	6	2	0									
14	Число погашенных неиспользованных открепительных удостоверений	871	40	36	33	12	0	12	28	36	27	35	30	21	23	72	13	28	31	18	0	20	28	0	17	13	7	9	36	10	29	12	1	22	14	5	18	18	16	0	4	4	22	15	32	15	4	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	62	2	0	1	0	1	1	0	3	3	5	3	1	0	4	5	3	3	0	2	0	0	1	1	2	0	2	2	0	2	1	2	2	1	1	1	0	0	0	0	0	3	2	2	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1282	2	3	0	0	9	8	7	0	0	0	1	97	0	0	3	6	0	3	64	2	27	81	82	47	0	70	31	15	123	2	283	4	5	122	140	20	18	1	1	0	0	0	0	0	1	4									
		1.92%	0.12%	0.17%	0.00%	0.00%	0.87%	0.63%	0.45%	0.00%	0.00%	0.00%	0.06%	6.61%	0.00%	0.00%	0.19%	0.34%	0.00%	0.29%	3.28%	0.25%	2.37%	3.23%	3.82%	2.58%	0.00%	4.11%	2.25%	1.71%	7.16%	0.11%	12.27%	0.23%	0.22%	4.65%	6.14%	2.38%	2.10%	0.61%	0.63%	0.00%	0.00%	0.00%	0.00%	0.00%	0.58%	0.48%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	975	8	6	0	2	12	6	0	0	15	0	3	0	1	0	0	0	0	0	23	2	8	0	9	29	12	0	10	9	18	160	276	101	240	3	0	5	0	4	0	0	0	0	0	7	1	5									
		1.46%	0.47%	0.34%	0.00%	0.29%	1.16%	0.47%	0.00%	0.00%	0.90%	0.00%	0.19%	0.00%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	1.18%	0.25%	0.70%	0.00%	0.42%	1.59%	1.20%	0.00%	0.72%	1.03%	1.05%	8.53%	11.96%	5.91%	10.62%	0.11%	0.00%	0.59%	0.00%	2.42%	0.00%	0.00%	0.00%	0.00%	0.00%	1.27%	0.58%	0.60%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	123	4	2	0	3	6	1	0	0	8	0	4	22	1	4	4	1	0	0	5	0	5	14	0	0	0	0	7	3	7	0	2	0	5	1	0	0	0	0	1	0	0	0	0	0	0	13									
		0.18%	0.24%	0.11%	0.00%	0.44%	0.58%	0.08%	0.00%	0.00%	0.48%	0.00%	0.26%	1.50%	0.07%	0.19%	0.26%	0.06%	0.00%	0.00%	0.26%	0.00%	0.44%	0.56%	0.00%	0.00%	0.00%	0.00%	0.51%	0.34%	0.41%	0.00%	0.09%	0.00%	0.22%	0.04%	0.00%	0.00%	0.00%	0.00%	0.63%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.55%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	44797	1254	1257	1591	449	615	807	988	979	1036	1246	1025	907	1098	1397	973	1096	980	673	1201	584	792	2116	1466	1225	622	1294	1034	654	1075	1300	1389	1057	1399	1794	1557	524	558	123	80	62	1036	1275	1054	346	116	693									
		67.02%	73.76%	71.79%	73.28%	65.36%	59.31%	63.64%	63.78%	70.23%	62.22%	71.82%	65.71%	61.78%	74.19%	67.00%	62.41%	61.64%	61.48%	65.98%	61.50%	71.92%	69.47%	84.44%	68.25%	67.31%	61.95%	75.94%	74.93%	74.74%	62.57%	69.33%	60.21%	61.81%	61.90%	68.37%	68.29%	62.31%	65.03%	74.55%	50.00%	57.41%	60.98%	59.69%	62.00%	62.91%	67.84%	82.70%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	53	2	2	0	0	6	2	0	0	0	0	0	0	1	2	2	3	0	0	0	2	0	2	0	0	4	0	0	1	2	13	0	0	4	1	0	0	0	1	1	0	0	0	0	0	0	2									
		0.08%	0.12%	0.11%	0.00%	0.00%	0.58%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.07%	0.10%	0.13%	0.17%	0.00%	0.00%	0.00%	0.25%	0.00%	0.08%	0.00%	0.00%	0.40%	0.00%	0.00%	0.11%	0.12%	0.69%	0.00%	0.00%	0.18%	0.04%	0.00%	0.00%	0.00%	0.61%	0.63%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%									
24	"6. Политическая партия ""Гражданская Платформа"""	34	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4	0	0	1	0	0	0	1	0	0	0	2	1	0	15	0	0	0	0	0	0	0	0	0	4									
		0.05%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.16%	0.00%	0.00%	0.10%	0.00%	0.00%	0.00%	0.06%	0.00%	0.00%	0.00%	0.09%	0.04%	0.00%	1.78%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.48%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1275	15	0	17	0	54	9	7	0	24	0	7	134	3	207	12	13	102	74	59	9	21	55	89	76	28	70	50	0	40	5	9	0	15	5	0	0	15	0	26	0	13	0	0	6	0	6									
		1.91%	0.88%	0.00%	0.78%	0.00%	5.21%	0.71%	0.45%	0.00%	1.44%	0.00%	0.45%	9.13%	0.20%	9.93%	0.77%	0.73%	6.40%	7.25%	3.02%	1.11%	1.84%	2.19%	4.14%	4.18%	2.79%	4.11%	3.62%	0.00%	2.33%	0.27%	0.39%	0.00%	0.66%	0.19%	0.00%	0.00%	1.75%	0.00%	16.25%	0.00%	0.77%	0.00%	0.00%	1.09%	0.00%	0.72%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	24	0	8	0	3	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	5									
		0.04%	0.00%	0.46%	0.00%	0.44%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.60%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	63	0	0	0	15	4	4	0	0	0	0	2	0	0	1	0	3	0	0	4	1	0	0	0	25	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1									
		0.09%	0.00%	0.00%	0.00%	2.18%	0.39%	0.32%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.05%	0.00%	0.17%	0.00%	0.00%	0.20%	0.12%	0.00%	0.00%	0.00%	1.37%	0.00%	0.00%	0.00%	0.11%	0.06%	0.00%	0.00%	0.00%	0.00%	0.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	9	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0									
		0.01%	0.00%	0.00%	0.00%	0.00%	0.19%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.05%	0.00%	0.00%	0.00%	0.00%	0.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	82	0	4	0	0	8	20	0	0	0	0	2	0	0	5	1	0	0	0	0	4	0	1	0	0	0	0	3	6	1	0	0	0	10	4	0	2	0	1	0	0	0	0	0	0	1	9									
		0.12%	0.00%	0.23%	0.00%	0.00%	0.77%	1.58%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.24%	0.06%	0.00%	0.00%	0.00%	0.00%	0.49%	0.00%	0.04%	0.00%	0.00%	0.00%	0.00%	0.22%	0.69%	0.06%	0.00%	0.00%	0.00%	0.44%	0.15%	0.00%	0.24%	0.00%	0.61%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.58%	1.07%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	12158	391	366	417	136	259	240	307	348	498	398	322	203	371	283	308	270	395	193	521	203	219	83	390	244	283	100	140	167	367	375	47	271	337	542	294	207	164	12	11	0	295	421	476	181	10	93									
		18.19%	23.00%	20.90%	19.21%	19.80%	24.98%	18.93%	19.82%	24.96%	29.91%	22.94%	20.64%	13.83%	25.07%	13.57%	19.76%	15.19%	24.78%	18.92%	26.68%	25.00%	19.21%	3.31%	18.16%	13.41%	28.19%	5.87%	10.14%	19.09%	21.36%	20.00%	2.04%	15.85%	14.91%	20.66%	12.89%	24.61%	19.11%	7.27%	6.88%	0.00%	17.36%	19.71%	28.00%	32.91%	5.85%	11.10%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	4097	24	80	102	38	30	127	236	53	78	72	146	87	5	22	224	273	70	0	48	0	49	144	96	174	11	140	94	6	67	15	8	270	227	75	152	51	101	15	40	2	257	190	170	5	23	0									
		6.13%	1.41%	4.57%	4.70%	5.53%	2.89%	10.02%	15.24%	3.80%	4.68%	4.15%	9.36%	5.93%	0.34%	1.06%	14.37%	15.35%	4.39%	0.00%	2.46%	0.00%	4.30%	5.75%	4.47%	9.56%	1.10%	8.22%	6.81%	0.69%	3.90%	0.80%	0.35%	15.79%	10.04%	2.86%	6.67%	6.06%	11.77%	9.09%	25.00%	1.85%	15.13%	8.90%	10.00%	0.91%	13.45%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1553	0	15	44	35	32	14	3	12	4	14	43	14	0	152	14	113	34	76	7	3	13	2	2	0	42	30	11	6	9	3	292	3	13	65	128	4	2	2	0	0	98	172	0	5	19	3									
		2.32%	0.00%	0.86%	2.03%	5.09%	3.09%	1.10%	0.19%	0.86%	0.24%	0.81%	2.76%	0.95%	0.00%	7.29%	0.90%	6.36%	2.13%	7.45%	0.36%	0.37%	1.14%	0.08%	0.09%	0.00%	4.18%	1.76%	0.80%	0.69%	0.52%	0.16%	12.66%	0.18%	0.58%	2.48%	5.61%	0.48%	0.23%	1.21%	0.00%	0.00%	5.77%	8.05%	0.00%	0.91%	11.11%	0.36%									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
