Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																												
Дата голосования: 07.12.2003 0:00:00																																																																												
																																																																												
Наименование Избирательной комиссии:    Солнечногорская																																																																												
																																																																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																												
																																																																												
		Сумма	УИК №2704	УИК №2705	УИК №2706	УИК №2707	УИК №2708	УИК №2709	УИК №2710	УИК №2711	УИК №2712	УИК №2713	УИК №2714	УИК №2715	УИК №2716	УИК №2717	УИК №2718	УИК №2719	УИК №2720	УИК №2721	УИК №2722	УИК №2723	УИК №2724	УИК №2725	УИК №2726	УИК №2727	УИК №2728	УИК №2729	УИК №2730	УИК №2731	УИК №2732	УИК №2733	УИК №2734	УИК №2735	УИК №2736	УИК №2737	УИК №2738	УИК №2739	УИК №2740	УИК №2741	УИК №2742	УИК №2743	УИК №2744	УИК №2745	УИК №2746	УИК №2747	УИК №2748	УИК №2749	УИК №2750	УИК №2751	УИК №2752	УИК №2753	УИК №2754	УИК №2755	УИК №2756	УИК №2757	УИК №2758	УИК №2759	УИК №2760	УИК №2761	УИК №2762	УИК №2763	УИК №2764	УИК №2765	УИК №2766	УИК №2767	УИК №2768	УИК №2769	УИК №2770	УИК №2771	УИК №2772					
14	Число погашенных открепительных удостоверений	526	10	0	0	4	8	13	1	1	5	0	4	6	2	12	2	0	3	6	3	7	4	4	16	3	8	4	7	5	9	10	9	5	4	1	6	7	13	10	10	7	9	8	0	17	5	6	4	69	30	0	7	8	5	4	7	9	8	6	10	2	2	1	13	1	14	18	2	6	26					
15	Число открепительных удостоверений выданных ТИК	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	118	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																												
18	"1. ""ЕДИНЕНИЕ"""	778	19	16	9	11	16	23	12	22	21	11	18	9	19	11	11	7	4	12	3	11	4	6	5	7	19	2	10	10	3	9	8	5	6	18	10	11	14	4	11	11	4	5	10	10	11	14	2	17	8	21	13	7	24	25	11	15	7	16	6	7	14	8	22	12	11	8	7	12	13					
		1.26%	1.53%	1.36%	0.86%	1.12%	1.42%	1.92%	1.00%	1.62%	1.31%	0.77%	1.56%	1.09%	1.55%	0.89%	3.03%	1.04%	0.52%	0.88%	1.27%	1.22%	1.88%	2.53%	1.82%	0.67%	1.71%	1.36%	2.46%	5.23%	0.58%	4.73%	1.17%	1.54%	2.73%	1.41%	0.91%	0.72%	0.98%	0.69%	2.74%	2.89%	1.08%	0.44%	0.64%	0.72%	1.45%	1.12%	1.38%	1.76%	1.76%	1.41%	2.04%	1.51%	1.96%	2.03%	1.67%	2.55%	1.34%	1.65%	0.67%	0.71%	1.45%	0.57%	1.41%	0.67%	0.60%	1.69%	0.81%	1.85%	1.13%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	2958	52	46	49	77	66	65	42	88	71	83	69	38	64	65	21	24	32	46	2	15	10	4	14	41	26	4	8	7	12	7	28	6	2	46	90	88	96	22	17	14	16	101	145	108	38	83	7	52	21	34	32	21	41	37	27	24	17	44	44	46	56	65	65	99	85	15	15	22	41					
		4.81%	4.20%	3.92%	4.71%	7.88%	5.87%	5.43%	3.50%	6.51%	4.45%	5.83%	5.98%	4.62%	5.23%	5.26%	5.80%	3.56%	4.21%	3.37%	0.84%	1.67%	4.71%	1.68%	5.10%	3.94%	2.34%	2.72%	1.97%	3.66%	2.33%	3.68%	4.11%	1.85%	0.91%	3.62%	8.21%	5.81%	6.72%	3.84%	4.23%	3.68%	4.35%	8.97%	9.31%	7.79%	5.03%	6.69%	4.86%	5.39%	4.64%	2.28%	5.03%	4.53%	3.34%	3.01%	4.12%	4.08%	3.26%	4.54%	4.97%	4.69%	5.83%	4.66%	4.17%	5.59%	4.70%	3.18%	1.74%	3.40%	3.57%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1644	28	36	24	17	41	24	53	42	87	34	31	21	38	35	10	15	19	38	8	20	7	7	5	29	38	4	9	6	8	3	13	12	5	22	31	34	28	13	3	11	9	35	40	38	20	31	2	27	4	40	20	6	53	39	34	18	12	45	33	30	31	25	12	38	41	10	18	11	13					
		2.67%	2.26%	3.07%	2.30%	1.74%	3.65%	2.00%	4.42%	3.11%	5.46%	2.39%	2.68%	2.55%	3.10%	2.83%	2.76%	2.22%	2.50%	2.78%	3.38%	2.22%	3.30%	2.95%	1.82%	2.78%	3.43%	2.72%	2.22%	3.14%	1.55%	1.57%	1.91%	3.70%	2.28%	1.73%	2.83%	2.24%	1.96%	2.27%	0.74%	2.89%	2.45%	3.11%	2.57%	2.74%	2.64%	2.5%	1.38%	2.80%	0.88%	2.68%	3.14%	1.29%	4.33%	3.17%	5.19%	3.06%	2.30%	4.64%	3.72%	3.06%	3.23%	1.79%	0.77%	2.14%	2.27%	2.12%	2.09%	1.70%	1.13%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	3211	84	43	60	88	57	57	62	101	74	83	61	39	81	69	20	31	52	56	11	27	6	6	13	34	28	8	6	8	15	7	15	6	3	66	48	105	105	30	20	19	14	119	159	151	51	75	4	30	18	48	20	26	59	64	9	23	10	36	44	41	89	76	38	82	88	30	39	22	42					
		5.22%	6.79%	3.67%	5.76%	9.00%	5.07%	4.76%	5.17%	7.48%	4.64%	5.83%	5.29%	4.75%	6.62%	5.59%	5.52%	4.60%	6.85%	4.10%	4.66%	3.00%	2.83%	2.53%	4.74%	3.26%	2.52%	5.44%	1.48%	4.18%	2.92%	3.68%	2.20%	1.85%	1.36%	5.20%	4.38%	6.93%	7.35%	5.24%	4.98%	5.0%	3.81%	10.57%	10.21%	10.90%	6.75%	6.04%	2.77%	3.11%	3.98%	3.22%	3.14%	5.61%	4.82%	5.20%	1.37%	3.91%	1.91%	3.71%	4.97%	4.18%	9.28%	5.45%	2.43%	4.63%	4.87%	6.36%	4.52%	3.40%	3.65%					
22	"5. ""За Русь Святую"""	390	4	6	6	7	6	6	11	10	7	7	6	1	9	4	7	6	7	0	2	8	1	1	5	6	10	5	3	2	2	0	6	5	2	15	3	8	5	4	3	4	5	12	10	5	6	9	2	4	2	9	3	5	9	13	3	9	3	8	6	8	7	7	9	12	3	4	4	1	2					
		0.63%	0.32%	0.51%	0.57%	0.71%	0.53%	0.50%	0.91%	0.74%	0.43%	0.49%	0.52%	0.12%	0.73%	0.32%	1.93%	0.89%	0.92%	0.0%	0.84%	0.89%	0.47%	0.42%	1.82%	0.57%	0.90%	3.40%	0.74%	1.04%	0.38%	0.0%	0.88%	1.54%	0.91%	1.18%	0.27%	0.52%	0.35%	0.69%	0.74%	1.05%	1.36%	1.06%	0.64%	0.36%	0.79%	0.72%	1.38%	0.41%	0.44%	0.60%	0.47%	1.07%	0.73%	1.05%	0.45%	1.53%	0.57%	0.82%	0.67%	0.81%	0.72%	0.50%	0.57%	0.67%	0.16%	0.84%	0.46%	0.15%	0.17%					
23	"6. ""Объединенная Российская партия ""Русь"""	148	1	2	5	0	4	1	0	1	5	6	2	1	4	1	1	2	1	4	2	4	1	0	0	2	6	1	0	2	1	0	4	2	0	5	3	4	0	3	0	0	0	2	1	2	1	3	0	6	4	2	2	3	5	2	3	4	3	1	1	3	1	0	6	4	5	0	0	1	2					
		0.24%	0.08%	0.17%	0.48%	0.0%	0.35%	0.08%	0.0%	0.07%	0.31%	0.42%	0.17%	0.12%	0.32%	0.08%	0.27%	0.29%	0.13%	0.29%	0.84%	0.44%	0.47%	0.0%	0.0%	0.19%	0.54%	0.68%	0.0%	1.04%	0.19%	0.0%	0.58%	0.61%	0.0%	0.39%	0.27%	0.26%	0.0%	0.52%	0.0%	0.0%	0.0%	0.17%	0.06%	0.14%	0.13%	0.24%	0.0%	0.62%	0.88%	0.13%	0.31%	0.64%	0.40%	0.16%	0.45%	0.68%	0.57%	0.10%	0.11%	0.30%	0.10%	0.0%	0.38%	0.22%	0.27%	0.0%	0.0%	0.15%	0.17%					
24	"7. ""Новый курс - Автомобильная Россия"""	936	18	20	16	20	12	10	20	26	28	22	15	15	17	5	5	17	8	24	1	3	2	1	3	5	9	3	2	2	12	3	7	11	1	31	18	22	14	5	5	2	1	19	31	29	12	19	1	16	19	24	4	6	29	27	5	6	3	11	7	14	4	19	28	32	37	15	21	9	28					
		1.52%	1.45%	1.70%	1.53%	2.04%	1.06%	0.83%	1.67%	1.92%	1.75%	1.54%	1.30%	1.82%	1.39%	0.40%	1.38%	2.52%	1.05%	1.76%	0.42%	0.33%	0.94%	0.42%	1.09%	0.48%	0.81%	2.04%	0.49%	1.04%	2.33%	1.57%	1.02%	3.39%	0.45%	2.44%	1.64%	1.45%	0.98%	0.87%	1.24%	0.52%	0.27%	1.68%	1.99%	2.09%	1.58%	1.53%	0.69%	1.66%	4.20%	1.61%	0.62%	1.29%	2.36%	2.19%	0.76%	1.02%	0.57%	1.13%	0.79%	1.42%	0.41%	1.36%	1.79%	1.80%	2.04%	3.18%	2.43%	1.39%	2.43%					
25	"8. ""Народно-республиканская партия России"""	83	2	3	0	2	0	1	0	2	1	1	0	0	1	1	0	2	3	0	1	0	1	0	0	1	0	0	2	2	1	0	3	1	1	0	1	0	1	2	1	3	1	0	3	1	1	1	0	3	1	3	1	0	1	4	3	3	0	2	2	1	1	0	1	2	2	0	1	2	3					
		0.13%	0.16%	0.25%	0.0%	0.20%	0.0%	0.08%	0.0%	0.14%	0.06%	0.07%	0.0%	0.0%	0.08%	0.08%	0.0%	0.29%	0.39%	0.0%	0.42%	0.0%	0.47%	0.0%	0.0%	0.09%	0.0%	0.0%	0.49%	1.04%	0.19%	0.0%	0.44%	0.30%	0.45%	0.0%	0.09%	0.0%	0.07%	0.34%	0.24%	0.78%	0.27%	0.0%	0.19%	0.07%	0.13%	0.08%	0.0%	0.31%	0.22%	0.20%	0.15%	0.0%	0.08%	0.32%	0.45%	0.51%	0.0%	0.20%	0.22%	0.10%	0.10%	0.0%	0.06%	0.11%	0.11%	0.0%	0.11%	0.30%	0.26%					
26	"9. ""Российская экологическая партия ""Зеленые"""	402	5	6	6	17	9	7	10	11	11	8	7	9	6	11	5	0	2	7	0	2	1	1	3	5	4	0	2	1	0	1	1	1	1	5	3	13	8	3	2	3	0	4	12	8	1	6	0	14	3	9	8	4	7	7	1	3	0	7	10	6	7	7	18	24	11	5	3	6	14					
		0.65%	0.40%	0.51%	0.57%	1.74%	0.80%	0.58%	0.83%	0.81%	0.69%	0.56%	0.60%	1.09%	0.49%	0.89%	1.38%	0.0%	0.26%	0.51%	0.0%	0.22%	0.47%	0.42%	1.09%	0.48%	0.36%	0.0%	0.49%	0.52%	0.0%	0.52%	0.14%	0.30%	0.45%	0.39%	0.27%	0.85%	0.56%	0.52%	0.49%	0.78%	0.0%	0.35%	0.77%	0.57%	0.13%	0.48%	0.0%	1.45%	0.66%	0.60%	1.25%	0.86%	0.57%	0.56%	0.15%	0.51%	0.0%	0.72%	1.12%	0.61%	0.72%	0.50%	1.15%	1.35%	0.60%	1.06%	0.34%	0.92%	1.21%					
27	"10. ""Аграрная партия России"""	1658	30	23	35	20	29	37	38	32	51	31	34	20	26	26	17	31	25	45	3	20	6	7	11	36	53	1	33	13	13	17	29	13	19	28	21	30	23	12	16	8	13	19	30	25	19	38	5	15	7	39	23	23	39	47	31	17	19	27	31	26	25	34	18	41	24	14	16	2	29					
		2.69%	2.42%	1.96%	3.36%	2.04%	2.58%	3.09%	3.17%	2.37%	3.20%	2.18%	2.94%	2.43%	2.12%	2.10%	4.69%	4.60%	3.29%	3.30%	1.27%	2.22%	2.83%	2.95%	4.01%	3.46%	4.78%	0.68%	8.14%	6.80%	2.53%	8.94%	4.26%	4.01%	8.67%	2.20%	1.91%	1.98%	1.61%	2.09%	3.99%	2.10%	3.54%	1.68%	1.92%	1.80%	2.51%	3.06%	3.47%	1.55%	1.54%	2.62%	3.62%	4.96%	3.18%	3.82%	4.73%	2.89%	3.64%	2.78%	3.50%	2.65%	2.60%	2.44%	1.15%	2.31%	1.32%	2.97%	1.85%	0.30%	2.52%					
28	"11. ""Истинные патриоты России"""	39	1	0	0	0	0	2	0	0	0	2	0	0	1	0	0	0	0	3	0	1	0	1	0	1	0	0	1	0	1	0	0	1	0	2	1	1	0	0	0	0	0	0	0	1	1	0	0	3	1	1	3	0	0	3	0	0	1	0	0	0	0	0	2	0	3	1	0	0	0					
		0.06%	0.08%	0.0%	0.0%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	0.14%	0.0%	0.0%	0.08%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.11%	0.0%	0.42%	0.0%	0.09%	0.0%	0.0%	0.24%	0.0%	0.19%	0.0%	0.0%	0.30%	0.0%	0.15%	0.09%	0.06%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.07%	0.13%	0.0%	0.0%	0.31%	0.22%	0.06%	0.47%	0.0%	0.0%	0.24%	0.0%	0.0%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.12%	0.0%	0.16%	0.21%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	813	11	11	13	12	12	20	22	13	30	11	16	15	10	8	4	18	16	27	1	11	3	3	6	19	10	5	6	3	9	5	4	2	6	17	11	15	19	11	10	7	3	18	8	11	9	16	2	11	4	21	14	6	22	20	7	11	16	18	12	16	12	14	15	18	20	6	11	3	17					
		1.32%	0.88%	0.93%	1.25%	1.22%	1.06%	1.67%	1.83%	0.96%	1.88%	0.77%	1.38%	1.82%	0.81%	0.64%	1.10%	2.67%	2.10%	1.98%	0.42%	1.22%	1.41%	1.26%	2.18%	1.82%	0.90%	3.40%	1.48%	1.57%	1.75%	2.63%	0.58%	0.61%	2.73%	1.33%	1.00%	0.99%	1.33%	1.92%	2.49%	1.84%	0.81%	1.6%	0.51%	0.79%	1.19%	1.29%	1.38%	1.14%	0.88%	1.41%	2.20%	1.29%	1.79%	1.62%	1.06%	1.87%	3.07%	1.85%	1.35%	1.63%	1.25%	1.00%	0.96%	1.01%	1.10%	1.27%	1.27%	0.46%	1.48%					
30	"13. ""Демократическая партия России"""	176	4	4	0	3	3	2	3	4	4	3	2	2	1	3	1	2	1	3	0	3	0	2	0	1	6	0	1	0	2	2	3	2	0	5	1	6	2	2	0	1	3	2	4	2	0	4	0	4	7	7	10	4	1	6	5	3	1	2	5	5	0	0	5	5	0	0	2	2	3					
		0.28%	0.32%	0.34%	0.0%	0.30%	0.26%	0.16%	0.25%	0.29%	0.25%	0.21%	0.17%	0.24%	0.08%	0.24%	0.27%	0.29%	0.13%	0.22%	0.0%	0.33%	0.0%	0.84%	0.0%	0.09%	0.54%	0.0%	0.24%	0.0%	0.38%	1.05%	0.44%	0.61%	0.0%	0.39%	0.09%	0.39%	0.14%	0.34%	0.0%	0.26%	0.81%	0.17%	0.25%	0.14%	0.0%	0.32%	0.0%	0.41%	1.54%	0.47%	1.57%	0.86%	0.08%	0.48%	0.76%	0.51%	0.19%	0.20%	0.56%	0.51%	0.0%	0.0%	0.32%	0.28%	0.0%	0.0%	0.23%	0.30%	0.26%					
31	"14. ""Великая Россия - Евразийский Союз"""	101	0	2	4	0	0	0	2	5	2	2	0	0	2	2	0	4	1	1	0	0	1	0	2	4	3	1	0	1	0	0	2	0	1	2	0	4	3	1	1	3	0	0	1	2	1	2	1	2	1	3	1	3	1	1	0	1	1	2	0	4	3	2	4	2	2	0	0	2	3					
		0.16%	0.0%	0.17%	0.38%	0.0%	0.0%	0.0%	0.16%	0.37%	0.12%	0.14%	0.0%	0.0%	0.16%	0.16%	0.0%	0.59%	0.13%	0.07%	0.0%	0.0%	0.47%	0.0%	0.72%	0.38%	0.27%	0.68%	0.0%	0.52%	0.0%	0.0%	0.29%	0.0%	0.45%	0.15%	0.0%	0.26%	0.21%	0.17%	0.24%	0.78%	0.0%	0.0%	0.06%	0.14%	0.13%	0.16%	0.69%	0.20%	0.22%	0.20%	0.15%	0.64%	0.08%	0.08%	0.0%	0.17%	0.19%	0.20%	0.0%	0.40%	0.31%	0.14%	0.25%	0.11%	0.11%	0.0%	0.0%	0.30%	0.26%					
32	"15. ""Партия СЛОН"""	100	1	4	0	0	1	2	4	0	2	0	0	1	2	2	0	0	0	0	0	0	0	0	0	1	1	1	0	0	2	1	1	1	1	2	0	1	3	1	1	1	1	2	3	3	0	2	1	2	1	4	1	0	2	0	0	0	1	3	1	1	2	4	4	3	8	1	4	5	4					
		0.16%	0.08%	0.34%	0.0%	0.0%	0.08%	0.16%	0.33%	0.0%	0.12%	0.0%	0.0%	0.12%	0.16%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.09%	0.09%	0.68%	0.0%	0.0%	0.38%	0.52%	0.14%	0.30%	0.45%	0.15%	0.0%	0.06%	0.21%	0.17%	0.24%	0.26%	0.27%	0.17%	0.19%	0.21%	0.0%	0.16%	0.69%	0.20%	0.22%	0.26%	0.15%	0.0%	0.16%	0.0%	0.0%	0.0%	0.19%	0.30%	0.11%	0.10%	0.20%	0.28%	0.25%	0.16%	0.44%	0.21%	0.46%	0.77%	0.34%					
33	"16. ""Родина"" (народно-патриотический союз)"""	9002	177	158	158	123	149	184	151	199	236	207	190	116	177	186	32	96	126	196	38	112	35	15	24	148	172	24	32	26	50	25	84	29	27	212	192	258	232	123	63	64	56	216	305	233	146	266	22	41	37	216	74	49	188	140	63	91	35	123	128	120	162	283	178	297	288	84	146	55	114					
		14.64%	14.32%	13.49%	15.19%	12.58%	13.26%	15.37%	12.61%	14.74%	14.82%	14.55%	16.47%	14.12%	14.47%	15.07%	8.83%	14.26%	16.60%	14.38%	16.10%	12.47%	16.50%	6.32%	8.75%	14.23%	15.53%	16.32%	7.90%	13.61%	9.74%	13.15%	12.35%	8.95%	12.32%	16.70%	17.53%	17.05%	16.24%	21.50%	15.71%	16.84%	15.25%	19.2%	19.60%	16.82%	19.33%	21.45%	15.27%	4.25%	8.18%	14.52%	11.65%	10.58%	15.35%	11.39%	9.61%	15.50%	6.71%	12.69%	14.46%	12.24%	16.89%	20.31%	11.42%	16.78%	15.95%	17.83%	16.95%	8.51%	9.93%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	149	3	1	1	1	7	1	2	3	1	1	3	2	3	4	1	3	1	4	0	6	0	2	1	0	6	0	5	0	0	2	3	0	2	2	2	3	1	0	1	1	1	3	2	0	4	0	0	4	2	9	4	1	1	3	2	0	2	1	3	6	0	4	6	4	0	0	1	2	5					
		0.24%	0.24%	0.08%	0.09%	0.10%	0.62%	0.08%	0.16%	0.22%	0.06%	0.07%	0.26%	0.24%	0.24%	0.32%	0.27%	0.44%	0.13%	0.29%	0.0%	0.66%	0.0%	0.84%	0.36%	0.0%	0.54%	0.0%	1.23%	0.0%	0.0%	1.05%	0.44%	0.0%	0.91%	0.15%	0.18%	0.19%	0.07%	0.0%	0.24%	0.26%	0.27%	0.26%	0.12%	0.0%	0.52%	0.0%	0.0%	0.41%	0.44%	0.60%	0.62%	0.21%	0.08%	0.24%	0.30%	0.0%	0.38%	0.10%	0.33%	0.61%	0.0%	0.28%	0.38%	0.22%	0.0%	0.0%	0.11%	0.30%	0.43%					
35	"18. ""ЛДПР"""	6159	110	124	102	100	101	111	105	127	158	144	118	68	113	121	33	86	71	129	28	97	25	36	41	81	138	21	49	18	57	16	94	35	26	119	96	91	106	54	45	37	21	63	64	90	50	89	9	245	105	146	78	41	98	119	63	83	49	77	72	128	75	93	251	169	212	51	91	118	178					
		10.02%	8.89%	10.58%	9.80%	10.23%	8.99%	9.27%	8.77%	9.40%	9.92%	10.12%	10.23%	8.28%	9.23%	9.80%	9.11%	12.77%	9.35%	9.46%	11.86%	10.80%	11.79%	15.18%	14.96%	7.78%	12.46%	14.28%	12.09%	9.42%	11.11%	8.42%	13.82%	10.80%	11.87%	9.37%	8.76%	6.01%	7.42%	9.44%	11.22%	9.73%	5.72%	5.6%	4.11%	6.49%	6.62%	7.17%	6.25%	25.44%	23.23%	9.81%	12.28%	8.85%	8.00%	9.68%	9.61%	14.13%	9.40%	7.94%	8.13%	13.06%	7.82%	6.67%	16.11%	9.55%	11.74%	10.82%	10.56%	18.26%	15.50%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	768	27	27	16	12	10	17	8	14	30	16	13	9	15	16	4	10	15	14	6	12	7	5	1	7	13	4	5	5	7	4	9	8	1	19	17	26	13	12	9	10	6	6	12	20	8	7	2	7	4	18	12	8	27	22	7	5	11	4	3	22	6	7	11	14	10	7	13	4	12					
