Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																						
Дата голосования: 18.09.2016																																																																						
																																																																						
"Наименование Избирательной комиссии:    Тюмень, Ленинская"																																																																						
																																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																																						
																																																																						
		Сумма	УИК №2101	УИК №2102	УИК №2103	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112	УИК №2113	УИК №2114	УИК №2115	УИК №2116	УИК №2117	УИК №2118	УИК №2119	УИК №2120	УИК №2121	УИК №2122	УИК №2123	УИК №2124	УИК №2125	УИК №2126	УИК №2127	УИК №2128	УИК №2129	УИК №2130	УИК №2131	УИК №2132	УИК №2133	УИК №2134	УИК №2135	УИК №2136	УИК №2137	УИК №2138	УИК №2139	УИК №2140	УИК №2141	УИК №2142	УИК №2143	УИК №2144	УИК №2145	УИК №2146	УИК №2147	УИК №2148	УИК №2149	УИК №2150	УИК №2151	УИК №2152	УИК №2153	УИК №2154	УИК №2155	УИК №2156	УИК №2157	УИК №2158	УИК №2159									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1710	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	668	8	15	11	12	18	10	16	20	13	11	18	7	8	13	16	12	11	9	7	11	9	18	9	16	7	14	9	12	23	12	19	29	4	7	10	3	15	7	7	7	5	4	12	6	19	1	8	9	10	1	12	13	8	16	13	28	20	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1355	28	41	24	28	25	9	27	20	14	15	21	18	23	31	27	23	0	24	34	47	26	17	16	9	65	20	12	18	11	10	22	15	9	3	103	7	134	37	5	13	12	43	14	18	32	5	23	5	16	4	20	15	20	7	10	19	24	17	20									
14	Число погашенных неиспользованных открепительных удостоверений	1042	22	15	19	18	12	20	14	10	17	19	12	23	22	17	14	18	19	21	23	19	21	12	21	14	23	16	21	18	7	18	11	1	26	23	20	27	15	23	23	23	25	26	18	24	11	29	22	21	20	29	18	17	22	14	17	2	10	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	77	0	1	1	0	1	0	1	1	3	2	2	2	4	4	3	2	2	2	1	3	0	1	0	1	0	0	1	1	1	4	6	3	1	0	2	2	0	0	1	1	1	0	0	1	3	0	1	2	2	1	1	3	1	0	0	0	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	247	1	0	15	8	0	2	15	1	15	3	2	1	1	5	1	1	40	15	1	4	2	10	3	4	1	3	1	3	6	12	3	6	5	2	1	0	2	2	1	8	6	2	1	1	3	3	1	4	1	1	1	3	2	2	2	4	1	2	1									
		0.28%	0.09%	0.00%	1.33%	0.53%	0.00%	0.12%	0.93%	0.06%	0.75%	0.19%	0.12%	0.06%	0.07%	0.25%	0.05%	0.08%	2.37%	1.34%	0.10%	0.25%	0.16%	0.74%	0.26%	0.26%	0.12%	0.17%	0.09%	0.15%	0.30%	0.46%	0.13%	0.27%	0.33%	0.17%	0.04%	0.00%	0.09%	0.12%	0.23%	0.70%	0.91%	0.22%	0.08%	0.09%	0.37%	1.09%	0.07%	0.22%	0.07%	0.33%	0.05%	0.16%	0.11%	0.10%	0.09%	0.17%	0.05%	1.43%	0.30%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	440	1	10	22	6	1	2	28	1	17	11	5	1	1	1	1	3	64	23	1	4	9	16	4	7	1	8	1	2	1	23	2	10	6	4	2	12	3	5	3	23	24	1	2	1	4	7	1	3	1	9	1	2	21	6	1	6	3	1	1									
		0.50%	0.09%	0.66%	1.95%	0.39%	0.06%	0.12%	1.73%	0.06%	0.85%	0.70%	0.31%	0.06%	0.07%	0.05%	0.05%	0.23%	3.80%	2.06%	0.10%	0.25%	0.70%	1.19%	0.34%	0.46%	0.12%	0.45%	0.09%	0.10%	0.05%	0.88%	0.09%	0.45%	0.39%	0.34%	0.08%	1.41%	0.14%	0.29%	0.70%	2.01%	3.63%	0.11%	0.16%	0.09%	0.49%	2.55%	0.07%	0.16%	0.07%	2.99%	0.05%	0.11%	1.13%	0.30%	0.04%	0.26%	0.16%	0.71%	0.30%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	330	1	10	13	2	0	1	24	1	14	3	2	1	1	1	1	2	56	15	1	1	7	23	3	5	1	4	1	1	1	19	4	5	8	3	4	1	1	3	2	22	10	1	1	1	2	6	1	2	1	6	1	5	3	10	0	2	2	6	2									
		0.38%	0.09%	0.66%	1.15%	0.13%	0.00%	0.06%	1.48%	0.06%	0.70%	0.19%	0.12%	0.06%	0.07%	0.05%	0.05%	0.16%	3.32%	1.34%	0.10%	0.06%	0.55%	1.70%	0.26%	0.33%	0.12%	0.22%	0.09%	0.05%	0.05%	0.73%	0.18%	0.23%	0.52%	0.25%	0.16%	0.12%	0.05%	0.18%	0.47%	1.92%	1.51%	0.11%	0.08%	0.09%	0.25%	2.19%	0.07%	0.11%	0.07%	1.99%	0.05%	0.27%	0.16%	0.49%	0.00%	0.09%	0.10%	4.29%	0.61%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	36184	419	731	603	736	672	634	784	587	903	760	792	638	536	759	772	453	601	497	357	605	596	981	565	738	330	867	399	690	716	1009	802	1072	602	461	975	412	842	652	208	660	305	441	493	417	318	167	511	658	541	178	737	726	718	793	906	909	720	66	164									
		41.22%	38.62%	48.38%	53.55%	48.45%	38.29%	38.56%	48.37%	35.38%	45.04%	48.38%	48.38%	38.88%	35.38%	38.70%	35.38%	35.39%	35.65%	44.53%	35.35%	38.54%	46.64%	72.67%	48.41%	48.24%	38.87%	48.46%	35.40%	35.40%	35.41%	38.56%	35.38%	48.44%	39.50%	38.61%	38.60%	48.41%	39.42%	38.33%	48.71%	57.54%	46.14%	48.41%	38.55%	38.61%	39.11%	60.95%	35.41%	35.41%	35.41%	59.14%	35.38%	39.24%	38.79%	39.03%	38.77%	38.90%	37.64%	47.14%	50.00%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	213	1	0	14	2	1	1	16	1	5	4	6	1	3	1	1	1	47	13	1	1	2	15	0	8	1	5	1	2	1	3	1	0	3	1	3	2	2	1	0	7	5	1	1	0	6	3	1	1	1	1	1	2	2	2	2	1	2	1	2									
		0.24%	0.09%	0.00%	1.24%	0.13%	0.06%	0.06%	0.99%	0.06%	0.25%	0.25%	0.37%	0.06%	0.20%	0.05%	0.05%	0.08%	2.79%	1.16%	0.10%	0.06%	0.16%	1.11%	0.00%	0.52%	0.12%	0.28%	0.09%	0.10%	0.05%	0.11%	0.04%	0.00%	0.20%	0.08%	0.12%	0.24%	0.09%	0.06%	0.00%	0.61%	0.76%	0.11%	0.08%	0.00%	0.74%	1.09%	0.07%	0.05%	0.07%	0.33%	0.05%	0.11%	0.11%	0.10%	0.09%	0.04%	0.10%	0.71%	0.61%									
24	"6. Политическая партия ""Гражданская Платформа"""	231	1	0	2	1	2	1	5	1	6	2	5	1	2	1	1	2	23	0	1	5	0	3	5	11	1	3	1	2	1	5	1	11	1	2	0	0	3	3	0	0	0	0	1	1	100	0	1	2	1	1	1	1	1	3	1	0	1	0	1									
		0.26%	0.09%	0.00%	0.18%	0.07%	0.11%	0.06%	0.31%	0.06%	0.30%	0.13%	0.31%	0.06%	0.13%	0.05%	0.05%	0.16%	1.36%	0.00%	0.10%	0.32%	0.00%	0.22%	0.43%	0.72%	0.12%	0.17%	0.09%	0.10%	0.05%	0.19%	0.04%	0.50%	0.07%	0.17%	0.00%	0.00%	0.14%	0.18%	0.00%	0.00%	0.00%	0.00%	0.08%	0.09%	12.30%	0.00%	0.07%	0.11%	0.07%	0.33%	0.05%	0.05%	0.05%	0.15%	0.04%	0.00%	0.05%	0.00%	0.30%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	14828	185	288	191	289	303	281	308	280	269	299	312	277	255	335	368	216	349	195	170	259	235	43	222	292	141	340	190	329	341	405	382	421	254	204	430	162	329	272	81	230	174	173	218	184	1	43	243	313	258	59	351	298	316	338	312	406	322	27	60									
		16.89%	17.05%	19.06%	16.96%	19.03%	17.26%	17.09%	19.00%	16.88%	13.42%	19.03%	19.06%	16.88%	16.83%	17.08%	16.87%	16.88%	20.70%	17.47%	16.83%	16.50%	18.39%	3.19%	19.02%	19.08%	16.61%	19.01%	16.86%	16.88%	16.86%	15.48%	16.85%	19.02%	16.67%	17.09%	17.02%	19.04%	15.40%	15.99%	18.97%	20.05%	26.32%	18.99%	17.04%	17.04%	0.12%	15.69%	16.84%	16.85%	16.88%	19.60%	16.85%	16.11%	17.07%	16.63%	13.35%	17.37%	16.83%	19.29%	18.29%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	225	1	0	8	2	5	2	16	1	7	2	4	1	3	1	1	2	40	11	1	1	22	13	1	6	1	4	1	2	1	6	2	4	3	2	2	1	1	3	0	14	1	1	1	1	2	0	1	2	1	0	1	3	2	1	1	3	3	2	1									
		0.26%	0.09%	0.00%	0.71%	0.13%	0.28%	0.12%	0.99%	0.06%	0.35%	0.13%	0.24%	0.06%	0.20%	0.05%	0.05%	0.16%	2.37%	0.99%	0.10%	0.06%	1.72%	0.96%	0.09%	0.39%	0.12%	0.22%	0.09%	0.10%	0.05%	0.23%	0.09%	0.18%	0.20%	0.17%	0.08%	0.12%	0.05%	0.18%	0.00%	1.22%	0.15%	0.11%	0.08%	0.09%	0.25%	0.00%	0.07%	0.11%	0.07%	0.00%	0.05%	0.16%	0.11%	0.05%	0.04%	0.13%	0.16%	1.43%	0.30%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	222	1	10	8	3	1	1	25	1	5	4	5	1	1	1	1	1	52	11	1	2	3	5	3	10	1	2	1	2	1	1	2	0	5	3	3	2	2	4	0	9	6	0	1	1	1	2	1	1	1	1	1	3	1	0	2	5	1	0	0									
		0.25%	0.09%	0.66%	0.71%	0.20%	0.06%	0.06%	1.54%	0.06%	0.25%	0.25%	0.31%	0.06%	0.07%	0.05%	0.05%	0.08%	3.08%	0.99%	0.10%	0.13%	0.23%	0.37%	0.26%	0.65%	0.12%	0.11%	0.09%	0.10%	0.05%	0.04%	0.09%	0.00%	0.33%	0.25%	0.12%	0.24%	0.09%	0.24%	0.00%	0.78%	0.91%	0.00%	0.08%	0.09%	0.12%	0.73%	0.07%	0.05%	0.07%	0.33%	0.05%	0.16%	0.05%	0.00%	0.09%	0.21%	0.05%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	145	1	0	0	3	0	1	2	1	6	1	4	1	1	1	1	3	26	2	1	1	1	5	0	3	1	8	1	1	1	7	3	2	6	1	2	3	0	2	1	2	1	14	1	1	3	0	1	3	1	0	1	5	3	0	2	1	2	0	0									
		0.17%	0.09%	0.00%	0.00%	0.20%	0.00%	0.06%	0.12%	0.06%	0.30%	0.06%	0.24%	0.06%	0.07%	0.05%	0.05%	0.23%	1.54%	0.18%	0.10%	0.06%	0.08%	0.37%	0.00%	0.20%	0.12%	0.45%	0.09%	0.05%	0.05%	0.27%	0.13%	0.09%	0.39%	0.08%	0.08%	0.35%	0.00%	0.12%	0.23%	0.17%	0.15%	1.54%	0.08%	0.09%	0.37%	0.00%	0.07%	0.16%	0.07%	0.00%	0.05%	0.27%	0.16%	0.00%	0.09%	0.04%	0.10%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	323	0	10	24	10	0	1	29	1	12	9	5	1	1	1	1	2	53	27	1	3	7	6	7	11	4	8	1	2	5	5	3	7	1	1	3	1	2	1	2	13	2	3	1	1	2	1	1	2	1	5	1	2	1	2	1	2	12	2	0									
		0.37%	0.00%	0.66%	2.13%	0.66%	0.00%	0.06%	1.79%	0.06%	0.60%	0.57%	0.31%	0.06%	0.07%	0.05%	0.05%	0.16%	3.14%	2.42%	0.10%	0.19%	0.55%	0.44%	0.60%	0.72%	0.47%	0.45%	0.09%	0.10%	0.25%	0.19%	0.13%	0.32%	0.07%	0.08%	0.12%	0.12%	0.09%	0.06%	0.47%	1.13%	0.30%	0.33%	0.08%	0.09%	0.25%	0.36%	0.07%	0.11%	0.07%	1.66%	0.05%	0.11%	0.05%	0.10%	0.04%	0.09%	0.63%	1.43%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	17182	229	223	74	224	370	347	186	432	387	232	242	346	394	412	568	333	165	91	263	331	198	118	172	201	174	264	293	507	526	519	590	327	311	240	532	126	451	359	63	79	52	135	270	227	169	25	376	484	398	20	542	361	385	429	482	472	398	10	48									
		19.57%	21.11%	14.76%	6.57%	14.75%	21.08%	21.11%	11.47%	26.04%	19.30%	14.77%	14.78%	21.08%	26.01%	21.01%	26.03%	26.02%	9.79%	8.15%	26.04%	21.08%	15.49%	8.74%	14.74%	13.14%	20.49%	14.76%	25.99%	26.01%	26.01%	19.83%	26.03%	14.78%	20.41%	20.10%	21.06%	14.81%	21.11%	21.11%	14.75%	6.89%	7.87%	14.82%	21.11%	21.02%	20.79%	9.12%	26.06%	26.05%	26.05%	6.64%	26.02%	19.51%	20.80%	21.11%	20.62%	20.20%	20.81%	7.14%	14.63%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	228	0	0	0	3	6	1	3	7	11	3	5	2	1	3	12	1	33	3	1	1	7	15	5	7	2	2	2	1	1	8	1	13	0	1	2	0	3	2	2	5	2	1	1	1	3	1	5	1	5	2	11	2	2	0	3	1	10	2	0									
		0.26%	0.00%	0.00%	0.00%	0.20%	0.34%	0.06%	0.19%	0.42%	0.55%	0.19%	0.31%	0.12%	0.07%	0.15%	0.55%	0.08%	1.96%	0.27%	0.10%	0.06%	0.55%	1.11%	0.43%	0.46%	0.24%	0.11%	0.18%	0.05%	0.05%	0.31%	0.04%	0.59%	0.00%	0.08%	0.08%	0.00%	0.14%	0.12%	0.47%	0.44%	0.30%	0.11%	0.08%	0.09%	0.37%	0.36%	0.35%	0.05%	0.33%	0.66%	0.53%	0.11%	0.11%	0.00%	0.13%	0.04%	0.52%	1.43%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	16268	243	214	133	215	393	368	164	344	323	222	232	368	314	439	453	247	120	190	209	352	177	79	165	217	189	253	234	404	419	569	470	313	304	258	565	120	478	375	60	65	42	129	286	242	182	14	299	379	317	17	432	418	375	415	503	501	401	14	45									
		18.53%	22.40%	14.16%	11.81%	14.15%	22.39%	22.38%	10.12%	20.74%	16.11%	14.13%	14.17%	22.43%	20.73%	22.39%	20.76%	19.30%	7.12%	17.03%	20.69%	22.42%	13.85%	5.85%	14.14%	14.18%	22.26%	14.14%	20.76%	20.73%	20.72%	21.74%	20.73%	14.14%	19.95%	21.61%	22.37%	14.10%	22.38%	22.05%	14.05%	5.67%	6.35%	14.16%	22.36%	22.41%	22.39%	5.11%	20.72%	20.40%	20.75%	5.65%	20.74%	22.59%	20.26%	20.42%	21.52%	21.44%	20.96%	10.00%	13.72%									
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
