Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																																					
Дата голосования: 04.12.2011																																																																																																																					
																																																																																																																					
Наименование Избирательной комиссии:    Стерлитамакская городская																																																																																																																					
																																																																																																																					
Сводная таблица результатов выборов																																																																																																																					
																																																																																																																					
		Сумма	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1360	10	20	10	20	10	5	10	10	30	10	10	10	10	20	20	10	20	20	20	5	10	10	5	10	10	10	10	10	10	10	20	10	10	10	10	10	10	20	10	10	10	20	10	10	10	20	20	10	10	30	10	10	10	10	10	10	10	10	20	10	10	20	10	20	20	10	10	10	10	10	20	20	10	10	10	10	20	10	10	10	10	10	10	10	10	10	5	10	10	20	20	20	20	10	10	10	20	0	0	20	20	10	0	20	10	10	5	10	20	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	852	4	12	5	17	9	0	7	7	20	9	5	7	10	15	9	4	13	15	15	2	7	5	4	9	8	8	8	4	7	7	11	4	4	5	5	8	3	14	3	0	5	13	3	3	1	12	10	9	1	21	3	10	10	9	6	9	0	10	10	10	10	14	7	13	15	8	5	5	6	5	12	17	5	4	4	8	12	6	9	3	6	6	9	6	4	10	3	4	4	10	11	13	11	7	10	6	10	0	0	14	14	10	0	12	2	8	2	9	15	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	612	4	0	1	4	5	3	3	3	4	7	2	2	10	3	3	3	5	3	3	2	0	6	0	5	1	3	3	3	6	4	0	7	2	3	3	8	1	4	1	2	3	4	5	3	4	0	3	6	3	8	6	9	3	1	0	2	4	5	7	4	1	8	2	1	5	8	6	4	1	10	2	6	6	1	1	5	3	5	4	15	4	4	3	0	2	5	1	3	2	0	51	5	5	4	9	7	7	0	147	0	6	6	0	1	6	2	6	5	13	2					
14	Число погашенных неиспользованных открепительных удостоверений	508	6	8	5	3	1	5	3	3	10	1	5	3	0	5	11	6	7	5	5	3	3	5	1	1	2	2	2	6	3	3	9	6	6	5	5	2	7	6	7	10	5	7	7	7	9	8	10	1	9	9	7	0	0	1	4	1	10	0	10	0	0	6	3	7	5	2	5	5	4	5	8	3	5	6	6	2	8	4	1	7	4	4	1	4	6	0	2	6	6	10	9	7	9	3	0	4	10	0	0	6	6	0	0	8	8	2	3	1	5	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	34	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	2	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	1	2	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	2	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																																					
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	5512	23	34	100	13	51	12	10	34	87	38	50	135	166	45	35	67	45	61	68	15	127	20	55	63	66	106	68	48	42	80	42	41	80	58	34	54	46	54	50	26	44	132	44	26	26	28	87	103	38	121	55	56	35	49	63	54	3	12	46	56	18	69	58	8	14	13	52	56	58	65	40	8	50	42	30	36	53	77	17	54	61	71	21	38	35	86	29	34	42	58	77	21	61	32	73	40	54	1	2	56	3	40	0	50	19	57	50	189	48	19					
		3.54%	1.18%	3.01%	5.81%	0.65%	3.04%	2.00%	0.65%	3.01%	4.68%	3.96%	3.44%	8.97%	7.30%	3.24%	3.90%	4.09%	2.98%	3.47%	4.92%	3.57%	8.37%	1.15%	10.38%	3.51%	3.51%	5.32%	3.11%	3.90%	3.18%	5.85%	2.53%	3.50%	7.18%	4.72%	3.78%	3.22%	3.54%	2.35%	3.05%	3.35%	3.59%	8.94%	3.51%	1.71%	2.73%	2.46%	9.47%	8.60%	3.47%	6.10%	4.48%	3.84%	2.91%	3.80%	6.88%	3.79%	0.35%	0.63%	2.30%	3.70%	0.97%	3.51%	4.04%	0.65%	1.16%	0.94%	3.48%	3.53%	5.54%	3.29%	3.48%	0.45%	3.65%	3.63%	2.74%	2.69%	4.19%	3.97%	1.34%	3.55%	3.43%	3.53%	1.32%	3.98%	3.42%	4.52%	3.57%	3.91%	3.42%	3.52%	4.55%	1.07%	3.80%	2.94%	3.38%	2.05%	3.13%	5.56%	0.26%	2.84%	0.14%	2.14%	0.00%	3.60%	2.05%	2.95%	9.04%	11.41%	2.25%	3.40%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	7010	125	44	31	140	76	42	91	40	38	38	44	59	134	76	35	57	53	74	37	14	70	37	43	50	67	80	200	43	44	75	42	127	75	58	32	63	47	94	58	29	46	138	43	60	48	51	123	86	40	175	50	62	60	50	70	57	59	101	152	54	128	72	17	97	40	26	60	57	35	71	45	110	48	47	38	47	71	67	44	57	64	73	108	29	35	69	32	32	43	63	25	133	57	17	86	63	78	1	48	51	130	55	0	55	64	94	35	126	53	7					
		4.50%	6.42%	3.90%	1.80%	6.98%	4.53%	7.00%	5.93%	3.54%	2.05%	3.96%	3.03%	3.92%	5.89%	5.48%	3.90%	3.48%	3.51%	4.21%	2.68%	3.33%	4.61%	2.13%	8.11%	2.78%	3.57%	4.01%	9.16%	3.49%	3.33%	5.48%	2.53%	10.84%	6.73%	4.72%	3.56%	3.75%	3.62%	4.09%	3.54%	3.74%	3.75%	9.34%	3.43%	3.94%	5.04%	4.49%	13.38%	7.18%	3.65%	8.83%	4.07%	4.25%	4.98%	3.88%	7.64%	3.99%	6.85%	5.29%	7.60%	3.57%	6.87%	3.66%	1.18%	7.89%	3.31%	1.88%	4.02%	3.59%	3.34%	3.59%	3.92%	6.25%	3.50%	4.06%	3.47%	3.52%	5.61%	3.46%	3.47%	3.75%	3.59%	3.62%	6.79%	3.04%	3.42%	3.62%	3.94%	3.68%	3.50%	3.83%	1.48%	6.77%	3.55%	1.56%	3.98%	3.22%	4.52%	5.56%	6.35%	2.58%	6.23%	2.94%	0.00%	3.96%	6.89%	4.86%	6.33%	7.61%	2.48%	1.25%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	426	0	1	0	2	12	0	4	3	2	0	7	6	2	3	0	4	4	0	0	2	0	8	2	2	4	23	6	3	0	7	6	3	2	5	2	0	3	4	6	2	3	8	0	1	2	3	11	10	2	7	6	3	0	0	9	0	0	0	1	3	1	4	4	7	5	3	5	8	3	3	5	2	3	1	10	0	5	2	0	8	0	2	2	2	4	9	1	2	9	6	4	0	7	0	18	3	5	0	2	13	0	19	0	2	4	0	8	10	6	0					
		0.27%	0.00%	0.09%	0.00%	0.10%	0.72%	0.00%	0.26%	0.27%	0.11%	0.00%	0.48%	0.40%	0.09%	0.22%	0.00%	0.24%	0.27%	0.00%	0.00%	0.48%	0.00%	0.46%	0.38%	0.11%	0.21%	1.15%	0.27%	0.24%	0.00%	0.51%	0.36%	0.26%	0.18%	0.41%	0.22%	0.00%	0.23%	0.17%	0.37%	0.26%	0.24%	0.54%	0.00%	0.07%	0.21%	0.26%	1.20%	0.84%	0.18%	0.35%	0.49%	0.21%	0.00%	0.00%	0.98%	0.00%	0.00%	0.00%	0.05%	0.20%	0.05%	0.20%	0.28%	0.57%	0.41%	0.22%	0.33%	0.50%	0.29%	0.15%	0.44%	0.11%	0.22%	0.09%	0.91%	0.00%	0.40%	0.10%	0.00%	0.53%	0.00%	0.10%	0.13%	0.21%	0.39%	0.47%	0.12%	0.23%	0.73%	0.36%	0.24%	0.00%	0.44%	0.00%	0.83%	0.15%	0.29%	0.00%	0.26%	0.66%	0.00%	1.02%	0.00%	0.14%	0.43%	0.00%	1.45%	0.60%	0.28%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	26531	343	191	296	343	232	90	285	192	327	163	245	216	313	216	152	222	257	294	235	59	258	313	141	296	310	244	368	209	225	172	118	265	189	182	151	272	220	377	233	130	232	342	209	232	159	193	199	305	188	413	208	245	205	217	197	242	153	382	330	258	318	326	255	256	232	297	247	254	146	327	189	307	229	197	186	239	179	329	250	266	299	340	264	162	173	285	138	146	203	275	293	329	265	254	377	342	294	2	14	337	463	333	0	236	168	329	116	336	364	112					
		17.05%	17.62%	16.93%	17.21%	17.10%	13.83%	15.00%	18.57%	17.01%	17.61%	16.99%	16.85%	14.35%	13.76%	15.57%	16.95%	13.56%	17.03%	16.72%	16.99%	14.05%	17.01%	18.02%	26.60%	16.48%	16.51%	12.24%	16.85%	16.98%	17.03%	12.57%	7.12%	22.61%	16.97%	14.81%	16.80%	16.20%	16.92%	16.39%	14.23%	16.77%	18.92%	23.16%	16.68%	15.23%	16.68%	16.97%	21.65%	25.48%	17.15%	20.84%	16.92%	16.80%	17.03%	16.83%	21.51%	16.97%	17.77%	20.00%	16.50%	17.04%	17.08%	16.57%	17.75%	20.83%	19.19%	21.43%	16.53%	16.02%	13.94%	16.56%	16.46%	17.43%	16.70%	17.03%	16.97%	17.89%	14.15%	16.98%	19.72%	17.49%	16.79%	16.88%	16.59%	16.98%	16.91%	14.97%	16.97%	16.78%	16.54%	16.70%	17.32%	16.74%	16.51%	23.32%	17.44%	17.50%	17.03%	11.11%	1.85%	17.08%	22.17%	17.80%	0.00%	16.99%	18.08%	17.02%	20.98%	20.29%	17.06%	20.04%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	868	0	6	2	2	10	0	2	9	2	0	0	21	6	12	0	3	8	0	5	1	0	17	28	7	5	11	28	1	7	24	16	17	3	17	2	5	4	8	12	4	5	29	16	2	2	3	20	22	3	17	8	12	0	2	14	3	1	3	3	3	1	10	21	6	4	4	5	9	7	5	4	9	5	2	5	7	31	3	0	3	13	3	4	4	5	20	2	2	6	7	11	4	3	11	31	17	11	0	1	12	1	14	0	4	5	0	18	33	11	1					
		0.56%	0.00%	0.53%	0.12%	0.10%	0.60%	0.00%	0.13%	0.80%	0.11%	0.00%	0.00%	1.40%	0.26%	0.87%	0.00%	0.18%	0.53%	0.00%	0.36%	0.24%	0.00%	0.98%	5.28%	0.39%	0.27%	0.55%	1.28%	0.08%	0.53%	1.75%	0.97%	1.45%	0.27%	1.38%	0.22%	0.30%	0.31%	0.35%	0.73%	0.52%	0.41%	1.96%	1.28%	0.13%	0.21%	0.26%	2.18%	1.84%	0.27%	0.86%	0.65%	0.82%	0.00%	0.16%	1.53%	0.21%	0.12%	0.16%	0.15%	0.20%	0.05%	0.51%	1.46%	0.49%	0.33%	0.29%	0.33%	0.57%	0.67%	0.25%	0.35%	0.51%	0.36%	0.17%	0.46%	0.52%	2.45%	0.15%	0.00%	0.20%	0.73%	0.15%	0.25%	0.42%	0.49%	1.05%	0.25%	0.23%	0.49%	0.43%	0.65%	0.20%	0.19%	1.01%	1.43%	0.87%	0.64%	0.00%	0.13%	0.61%	0.05%	0.75%	0.00%	0.29%	0.54%	0.00%	3.25%	1.99%	0.52%	0.18%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	114509	1456	846	1290	1503	1279	456	1142	849	1395	720	1090	1046	1646	1026	673	1283	1132	1329	1038	328	1062	1342	253	1365	1419	1510	1498	921	991	1003	1430	716	749	865	676	1270	975	1756	1262	579	892	818	941	1202	710	853	469	669	822	1230	879	1079	904	956	554	1070	645	1412	1466	1136	1396	1477	1062	844	908	1026	1121	1190	788	1496	861	1320	1031	868	822	1003	922	1455	957	1121	1334	1512	1189	716	767	1423	610	653	921	1232	1271	1469	1207	775	1559	1487	1277	14	685	1479	1491	1408	16	1041	664	1451	317	949	1629	419					
		73.58%	74.78%	75.00%	75.00%	74.93%	76.22%	76.00%	74.40%	75.20%	75.12%	75.08%	74.97%	69.50%	72.35%	73.97%	75.03%	78.38%	75.02%	75.60%	75.05%	78.10%	70.01%	77.26%	47.74%	76.00%	75.56%	75.77%	68.59%	74.82%	75.02%	73.32%	86.30%	61.09%	67.24%	70.38%	75.19%	75.64%	75.00%	76.35%	77.09%	74.71%	72.76%	55.38%	75.10%	78.92%	74.50%	75.02%	51.03%	55.89%	75.00%	62.06%	71.52%	74.01%	75.08%	74.17%	60.48%	75.04%	74.91%	73.93%	73.30%	75.03%	74.97%	75.05%	73.90%	68.67%	75.10%	74.03%	75.03%	75.03%	75.26%	75.75%	75.00%	74.96%	75.20%	75.02%	75.00%	75.07%	72.89%	75.08%	75.47%	73.70%	74.90%	75.07%	74.73%	75.05%	74.98%	74.74%	75.03%	75.06%	75.06%	74.80%	75.12%	74.76%	75.20%	71.17%	72.11%	76.10%	73.99%	77.78%	90.61%	74.96%	71.41%	75.25%	100.00%	74.95%	71.47%	75.06%	57.32%	57.31%	76.34%	74.96%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	277	0	4	1	2	15	0	1	0	3	0	3	6	2	3	0	1	1	0	0	1	0	0	1	0	7	6	5	1	5	3	0	3	2	2	1	6	2	7	4	3	4	5	0	0	0	6	4	1	2	7	4	1	0	0	0	0	0	0	2	2	0	6	1	4	1	3	4	10	3	1	4	2	2	0	5	0	4	0	0	3	9	4	3	3	4	2	1	1	3	6	2	3	2	0	9	2	4	0	1	7	0	2	0	1	1	2	5	3	5	0					
		0.18%	0.00%	0.35%	0.06%	0.10%	0.89%	0.00%	0.07%	0.00%	0.16%	0.00%	0.21%	0.40%	0.09%	0.22%	0.00%	0.06%	0.07%	0.00%	0.00%	0.24%	0.00%	0.00%	0.19%	0.00%	0.37%	0.30%	0.23%	0.08%	0.38%	0.22%	0.00%	0.26%	0.18%	0.16%	0.11%	0.36%	0.15%	0.30%	0.24%	0.39%	0.33%	0.34%	0.00%	0.00%	0.00%	0.53%	0.44%	0.08%	0.18%	0.35%	0.33%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.13%	0.00%	0.30%	0.07%	0.33%	0.08%	0.22%	0.27%	0.63%	0.29%	0.05%	0.35%	0.11%	0.15%	0.00%	0.46%	0.00%	0.32%	0.00%	0.00%	0.20%	0.51%	0.20%	0.19%	0.31%	0.39%	0.11%	0.12%	0.11%	0.24%	0.36%	0.12%	0.15%	0.12%	0.00%	0.42%	0.10%	0.23%	0.00%	0.13%	0.35%	0.00%	0.11%	0.00%	0.07%	0.11%	0.10%	0.90%	0.18%	0.23%	0.00%					
																																																																																																																					
																																																																																																																					
																																																																																																																					
																																																																																																																					
																																																																																																																					
																																																																																																																					
																																																																																																																					
																																																																																																																					
																																																																																																																					
																																																																																																																					
																																																																																																																					
																																																																																																																					
																																																																																																																					
																																																																																																																					
																																																																																																																					
																																																																																																																					
																																																																																																																					
																																																																																																																					
