Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																																								
Дата голосования: 02.12.2007																																																																																																																								
																																																																																																																								
Наименование Избирательной комиссии:    Стерлитамакская городская																																																																																																																								
																																																																																																																								
Сводная таблица результатов выборов																																																																																																																								
																																																																																																																								
		Сумма	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1656	15	10	15	20	13	3	10	6	15	13	10	29	30	20	10	5	30	15	15	6	10	15	9	15	20	20	15	8	10	12	30	10	15	10	10	17	10	10	10	11	15	21	10	10	13	10	8	15	15	38	15	18	17	15	8	15	17	15	20	20	20	10	15	25	10	15	20	45	10	20	11	20	9	20	10	10	15	20	20	18	16	10	15	10	15	13	3	13	10	15	30	21	15	15	28	20	21	0	0	20	20	15	0	10	7	8	3	7	30	7	27	10	7					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1313	12	10	10	14	13	0	8	5	13	10	10	25	21	11	6	5	26	13	9	3	9	14	6	10	11	17	13	7	10	11	19	6	11	7	9	16	4	10	10	8	10	17	9	7	13	10	8	13	11	34	15	12	17	6	2	13	15	12	16	12	20	10	12	22	9	11	15	41	6	16	11	20	5	14	9	9	11	15	15	12	13	10	12	10	11	11	2	9	8	14	12	15	13	10	19	16	16	0	0	17	20	9	0	9	6	8	1	6	30	5	22	8	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	725	1	1	3	4	1	0	5	21	3	1	1	7	6	5	2	3	4	2	3	0	4	2	0	2	4	4	4	3	4	14	3	12	11	7	1	2	4	9	3	20	1	6	6	6	0	4	2	10	11	3	6	9	5	2	4	3	2	1	9	3	6	5	3	5	3	1	2	2	0	9	61	1	1	1	1	2	0	3	2	3	3	4	2	0	1	2	2	0	1	3	10	9	5	10	5	2	6	0	231	2	7	0	0	3	3	4	2	0	8	1	5	3	1					
14	Число погашенных неиспользованных открепительных удостоверений	343	3	0	5	6	0	3	2	1	2	3	0	4	9	9	4	0	4	2	6	3	1	1	3	5	9	3	2	1	0	1	11	4	4	3	1	1	6	0	0	3	5	4	1	3	0	0	0	2	4	4	0	6	0	9	6	2	2	3	4	8	0	0	3	3	1	4	5	4	4	4	0	0	4	6	1	1	4	5	5	6	3	0	3	0	4	2	1	4	2	1	18	6	2	5	9	4	5	0	0	3	0	6	0	1	1	0	2	1	0	2	5	2	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	24	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	2	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																																								
18	1.Политическая партия «Аграрная партия России»	876	4	4	4	25	9	1	0	0	0	5	1	12	33	7	0	18	5	0	22	1	19	3	0	7	3	30	16	2	6	6	16	13	10	14	0	6	9	0	17	6	11	8	8	10	12	6	14	21	0	16	1	22	14	8	10	1	1	2	1	0	8	16	12	0	3	3	11	0	5	29	0	11	6	4	0	7	3	9	9	11	9	22	5	0	14	11	0	0	0	2	9	19	21	10	0	3	0	0	0	23	6	1	0	2	10	0	12	7	22	7	5	0	9					
		0.52%	0.25%	0.41%	0.16%	1.32%	0.61%	0.17%	0.00%	0.00%	0.00%	0.43%	0.06%	0.69%	1.33%	0.45%	0.00%	1.10%	0.29%	0.00%	1.35%	0.17%	1.58%	0.12%	0.00%	0.52%	0.12%	1.29%	0.80%	0.14%	0.40%	0.40%	0.91%	0.89%	0.74%	0.93%	0.00%	0.36%	0.74%	0.00%	1.03%	0.69%	0.75%	0.48%	0.63%	0.63%	1.06%	0.29%	1.13%	1.30%	0.00%	0.73%	0.07%	1.36%	0.94%	0.50%	0.97%	0.09%	0.12%	0.25%	0.06%	0.00%	0.40%	0.76%	0.57%	0.00%	0.24%	0.23%	0.71%	0.00%	0.43%	1.23%	0.00%	0.66%	0.41%	0.30%	0.00%	0.62%	0.35%	0.39%	0.74%	0.60%	0.47%	1.06%	0.27%	0.00%	1.09%	0.57%	0.00%	0.00%	0.00%	0.10%	0.52%	0.78%	1.15%	0.87%	0.00%	0.16%	0.00%	0.00%	0.00%	1.30%	0.31%	0.05%	0.00%	0.19%	1.01%	0.00%	1.98%	1.58%	1.39%	1.17%	0.27%	0.00%	1.17%					
19	2.Всероссийская политическая партия «Гражданская Сила»	356	0	2	2	0	3	2	0	0	0	1	1	2	14	7	0	6	0	0	2	1	6	2	0	6	2	3	6	0	9	7	7	5	1	9	0	4	3	0	3	3	0	0	7	4	8	5	9	4	0	9	0	11	9	9	4	1	1	0	1	0	6	1	8	0	4	0	7	4	3	33	0	0	2	0	0	1	0	2	3	0	2	3	0	0	3	2	0	0	0	2	1	8	7	15	0	6	0	0	1	0	3	7	0	0	1	0	0	0	9	3	1	3	4					
		0.21%	0.00%	0.20%	0.08%	0.00%	0.20%	0.35%	0.00%	0.00%	0.00%	0.09%	0.06%	0.12%	0.56%	0.45%	0.00%	0.37%	0.00%	0.00%	0.12%	0.17%	0.50%	0.08%	0.00%	0.44%	0.08%	0.13%	0.30%	0.00%	0.60%	0.46%	0.40%	0.34%	0.07%	0.60%	0.00%	0.24%	0.25%	0.00%	0.18%	0.35%	0.00%	0.00%	0.55%	0.25%	0.71%	0.24%	0.73%	0.25%	0.00%	0.41%	0.00%	0.68%	0.61%	0.56%	0.39%	0.09%	0.12%	0.00%	0.06%	0.00%	0.30%	0.05%	0.38%	0.00%	0.32%	0.00%	0.45%	0.22%	0.26%	1.40%	0.00%	0.00%	0.14%	0.00%	0.00%	0.09%	0.00%	0.09%	0.25%	0.00%	0.10%	0.14%	0.00%	0.00%	0.23%	0.10%	0.00%	0.00%	0.00%	0.10%	0.06%	0.33%	0.38%	1.30%	0.00%	0.32%	0.00%	0.00%	0.11%	0.00%	0.15%	0.38%	0.00%	0.00%	0.10%	0.00%	0.00%	0.00%	0.57%	0.50%	0.05%	0.23%	0.52%					
20	3.Политическая партия «Демократическая партия России»	85	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1	0	1	0	3	1	2	0	0	0	0	4	0	3	0	0	0	1	0	0	3	1	0	2	0	0	0	1	0	3	0	11	0	0	0	1	1	0	0	3	0	1	0	0	0	0	0	17	0	0	2	0	0	2	2	1	0	0	1	0	0	0	3	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	3	1	0	0	0	0	0	0	2	0	0	0	0					
		0.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.04%	0.06%	0.00%	0.06%	0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.04%	0.00%	0.15%	0.07%	0.13%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.18%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.24%	0.06%	0.00%	0.10%	0.00%	0.00%	0.00%	0.05%	0.00%	0.18%	0.00%	0.69%	0.00%	0.00%	0.00%	0.12%	0.06%	0.00%	0.00%	0.14%	0.00%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.72%	0.00%	0.00%	0.14%	0.00%	0.00%	0.18%	0.24%	0.04%	0.00%	0.00%	0.05%	0.00%	0.00%	0.00%	0.23%	0.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.04%	0.00%	0.00%	0.00%	0.05%	0.00%	0.00%	0.00%	0.00%	0.15%	0.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	15589	116	96	288	136	104	60	71	19	165	62	161	140	322	142	97	224	190	265	71	45	73	267	83	159	300	142	329	141	294	80	263	161	236	149	197	207	103	193	194	66	140	164	76	133	155	233	147	156	160	197	126	115	288	145	171	136	94	81	162	143	203	293	187	138	74	216	258	168	105	97	25	203	73	155	59	91	49	126	97	95	150	187	257	52	108	162	40	30	75	158	176	245	137	87	163	37	30	0	0	118	208	168	0	105	95	80	66	33	90	56	139	115	77					
		9.28%	7.34%	9.73%	11.77%	7.20%	7.02%	10.45%	4.19%	1.38%	8.06%	5.30%	8.97%	8.07%	12.94%	9.03%	8.98%	13.65%	11.20%	14.39%	4.36%	7.45%	6.09%	10.39%	11.25%	11.75%	12.01%	6.10%	16.45%	9.72%	19.50%	5.31%	14.99%	11.08%	17.38%	9.87%	20.39%	12.45%	8.42%	8.41%	11.78%	7.63%	9.55%	9.88%	5.99%	8.39%	13.70%	11.38%	11.91%	9.69%	12.31%	8.94%	9.33%	7.09%	19.39%	9.09%	16.54%	12.23%	10.87%	10.04%	9.78%	9.02%	10.17%	13.95%	8.84%	11.60%	5.98%	16.36%	16.61%	9.23%	9.02%	4.11%	1.69%	12.10%	5.02%	11.79%	4.69%	8.06%	5.79%	5.43%	7.99%	5.17%	7.77%	9.02%	14.07%	4.66%	8.39%	8.40%	4.33%	3.02%	7.95%	8.12%	10.09%	10.08%	7.51%	7.57%	8.05%	1.95%	2.19%	0.00%	0.00%	6.69%	10.65%	9.05%	0.00%	10.01%	9.59%	5.17%	10.91%	7.43%	5.69%	9.33%	7.44%	8.89%	10.00%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	655	5	0	18	21	4	2	0	0	8	0	1	4	13	7	0	9	66	0	0	0	6	7	2	3	2	11	7	6	18	3	5	3	7	3	0	8	3	0	7	5	5	0	23	2	1	10	5	5	0	7	18	9	8	0	4	0	1	1	51	0	2	6	4	0	6	0	3	12	5	13	0	4	0	7	0	3	4	9	5	18	4	8	0	21	5	9	0	0	0	3	6	10	5	1	0	1	1	0	1	11	10	8	0	0	1	0	12	5	7	6	3	1	1					
		0.39%	0.32%	0.00%	0.74%	1.11%	0.27%	0.35%	0.00%	0.00%	0.39%	0.00%	0.06%	0.23%	0.52%	0.45%	0.00%	0.55%	3.89%	0.00%	0.00%	0.00%	0.50%	0.27%	0.27%	0.22%	0.08%	0.47%	0.35%	0.41%	1.19%	0.20%	0.29%	0.21%	0.52%	0.20%	0.00%	0.48%	0.25%	0.00%	0.43%	0.58%	0.34%	0.00%	1.82%	0.13%	0.09%	0.49%	0.41%	0.31%	0.00%	0.32%	1.33%	0.55%	0.54%	0.00%	0.39%	0.00%	0.12%	0.12%	3.08%	0.00%	0.10%	0.29%	0.19%	0.00%	0.48%	0.00%	0.19%	0.66%	0.43%	0.55%	0.00%	0.24%	0.00%	0.53%	0.00%	0.27%	0.47%	0.39%	0.41%	0.98%	0.21%	0.39%	0.00%	1.88%	0.39%	0.47%	0.00%	0.00%	0.00%	0.15%	0.34%	0.41%	0.27%	0.09%	0.00%	0.05%	0.07%	0.00%	0.11%	0.62%	0.51%	0.43%	0.00%	0.00%	0.10%	0.00%	1.98%	1.13%	0.44%	1.00%	0.16%	0.08%	0.13%					
23	6.Политическая партия «Партия социальной справедливости»	179	0	2	0	0	0	2	0	0	0	6	1	2	4	2	0	2	3	0	0	0	0	0	3	2	1	3	5	0	2	0	4	2	3	6	0	3	0	0	9	2	3	0	7	1	6	2	2	2	0	7	0	2	1	0	0	0	1	1	2	0	6	1	2	0	4	0	1	0	0	4	0	0	0	9	0	3	0	11	2	0	2	7	0	0	1	1	0	0	0	0	3	3	2	0	0	3	0	0	0	0	5	0	0	0	0	0	0	0	0	2	0	0	1					
		0.11%	0.00%	0.20%	0.00%	0.00%	0.00%	0.35%	0.00%	0.00%	0.00%	0.51%	0.06%	0.12%	0.16%	0.13%	0.00%	0.12%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.15%	0.04%	0.13%	0.25%	0.00%	0.13%	0.00%	0.23%	0.14%	0.22%	0.40%	0.00%	0.18%	0.00%	0.00%	0.55%	0.23%	0.20%	0.00%	0.55%	0.06%	0.53%	0.10%	0.16%	0.12%	0.00%	0.32%	0.00%	0.12%	0.07%	0.00%	0.00%	0.00%	0.12%	0.12%	0.12%	0.00%	0.30%	0.05%	0.09%	0.00%	0.32%	0.00%	0.06%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.68%	0.00%	0.27%	0.00%	0.47%	0.16%	0.00%	0.10%	0.34%	0.00%	0.00%	0.08%	0.05%	0.00%	0.00%	0.00%	0.00%	0.17%	0.12%	0.11%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.13%					
24	7.Политическая партия «Либерально-демократическая партия России»	3861	40	2	39	55	5	3	12	9	8	47	8	50	57	23	0	99	11	1	33	24	30	110	10	61	5	74	45	51	8	128	10	47	38	56	17	22	86	60	111	21	34	24	45	64	17	3	46	80	0	75	34	65	63	20	29	1	8	8	8	32	38	102	18	2	45	20	24	12	11	32	2	43	29	0	14	18	12	49	37	9	58	41	0	24	47	23	20	10	47	27	57	89	62	56	0	16	2	0	77	86	31	83	0	3	14	47	6	13	90	9	70	64	0					
		2.30%	2.53%	0.20%	1.59%	2.91%	0.34%	0.52%	0.71%	0.65%	0.39%	4.02%	0.45%	2.88%	2.29%	1.46%	0.00%	6.03%	0.65%	0.05%	2.02%	3.97%	2.50%	4.28%	1.36%	4.51%	0.20%	3.18%	2.25%	3.52%	0.53%	8.49%	0.57%	3.23%	2.80%	3.71%	1.76%	1.32%	7.03%	2.61%	6.74%	2.43%	2.32%	1.45%	3.55%	4.04%	1.50%	0.15%	3.73%	4.97%	0.00%	3.40%	2.52%	4.00%	4.24%	1.25%	2.80%	0.09%	0.92%	0.99%	0.48%	2.02%	1.90%	4.86%	0.85%	0.17%	3.63%	1.52%	1.55%	0.66%	0.95%	1.36%	0.14%	2.56%	1.99%	0.00%	1.11%	1.59%	1.42%	2.11%	3.05%	0.49%	3.00%	1.98%	0.00%	2.15%	3.65%	1.19%	2.17%	1.01%	4.98%	1.39%	3.27%	3.66%	3.40%	4.87%	0.00%	0.84%	0.15%	0.00%	8.64%	4.88%	1.59%	4.47%	0.00%	0.29%	1.41%	3.04%	0.99%	2.93%	5.69%	1.50%	3.75%	4.95%	0.00%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	13637	120	43	292	139	115	13	100	26	184	71	104	15	130	37	0	152	308	187	72	14	73	202	4	72	301	280	50	142	17	43	115	97	73	123	20	149	59	340	39	102	132	213	110	145	128	243	53	79	158	204	128	122	149	171	33	138	103	87	183	158	232	85	254	155	98	198	65	155	128	173	37	205	145	180	112	142	54	129	102	129	185	227	136	58	107	175	80	70	85	172	122	53	153	105	189	208	32	0	7	144	209	183	0	126	120	105	22	36	165	61	153	128	83					
		8.12%	7.59%	4.36%	11.94%	7.36%	7.76%	2.26%	5.90%	1.89%	8.98%	6.07%	5.79%	0.87%	5.23%	2.35%	0.00%	9.26%	18.15%	10.15%	4.42%	2.32%	6.09%	7.86%	0.54%	5.32%	12.05%	12.02%	2.50%	9.79%	1.13%	2.85%	6.56%	6.68%	5.38%	8.15%	2.07%	8.97%	4.82%	14.81%	2.37%	11.79%	9.00%	12.83%	8.68%	9.15%	11.32%	11.87%	4.29%	4.91%	12.15%	9.26%	9.47%	7.52%	10.03%	10.71%	3.19%	12.41%	11.91%	10.78%	11.04%	9.97%	11.62%	4.05%	12.01%	13.03%	7.92%	15.00%	4.19%	8.52%	10.99%	7.33%	2.50%	12.22%	9.97%	13.69%	8.90%	12.58%	6.38%	5.56%	8.41%	7.01%	9.58%	10.95%	7.44%	5.20%	8.31%	9.07%	8.67%	7.04%	9.01%	8.84%	6.99%	2.18%	8.38%	9.13%	9.33%	10.96%	2.34%	0.00%	0.79%	8.17%	10.70%	9.85%	0.00%	12.01%	12.11%	6.79%	3.64%	8.11%	10.43%	10.17%	8.19%	9.89%	10.78%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	488	1	3	9	0	6	3	10	0	8	2	3	0	7	5	0	6	63	2	5	1	5	5	7	4	3	8	1	12	7	1	5	4	3	1	0	6	4	0	11	3	7	0	5	3	2	0	3	7	0	9	0	6	1	11	4	0	0	3	1	32	4	4	9	0	3	1	5	11	0	17	5	3	2	0	16	1	0	3	0	0	2	0	0	0	2	4	0	0	0	2	1	2	4	0	30	0	0	0	3	0	9	6	0	0	1	0	4	7	2	0	3	3	1					
