Выборы Президента Российской Федерации																																																																																																																																								
																																																																																																																																								
Наименование Избирательной комиссии:    Невельская судовая																																																																																																																																								
																																																																																																																																								
Итоги голосования 																																																																																																																																								
																																																																																																																																								
		Сумма	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №483	УИК №484	УИК №485	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №596	УИК №597	УИК №598					
11	Число полученных открепительных  удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
12	Число выданных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																																																																								
18	. Глазьев Сергей Юрьевич	171	2	0	16	2	1	6	2	0	1	8	0	0	0	0	2	0	0	4	2	1	0	0	0	0	8	0	2	1	1	6	3	1	0	0	4	0	0	1	0	1	0	0	3	1	1	1	2	1	0	1	2	4	1	2	1	2	1	0	1	0	4	0	2	2	1	2	0	0	0	1	1	2	1	2	1	0	0	1	0	0	0	0	0	0	0	1	1	5	2	2	0	0	0	0	1	0	9	2	0	1	0	1	0	0	0	2	0	1	1	0	1	4	0	2	0	2	1	3	1	0	2	3	0	0	0	0	3	1	0					
		5.18%	10.00%	0.00%	19.28%	2.50%	4.55%	7.06%	3.85%	0.00%	1.15%	32.00%	0.00%	0.00%	0.00%	0.00%	5.88%	0.00%	0.00%	12.90%	13.33%	5.26%	0.00%	0.00%	0.00%	0.00%	50.00%	0.00%	10.00%	5.00%	5.00%	16.67%	14.29%	9.09%	0.00%	0.00%	8.16%	0.00%	0.00%	3.33%	0.00%	4.76%	0.00%	0.00%	18.75%	1.18%	5.26%	5.00%	16.67%	6.25%	0.00%	3.85%	8.00%	7.27%	2.78%	3.64%	1.61%	10.53%	4.76%	0.00%	4.00%	0.00%	17.39%	0.00%	8.00%	10.00%	4.17%	9.52%	0.00%	0.00%	0.00%	6.67%	5.88%	13.33%	5.00%	7.41%	3.57%	0.00%	0.00%	4.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.57%	5.26%	19.23%	8.70%	11.11%	0.00%	0.00%	0.00%	0.00%	5.88%	0.00%	31.03%	6.45%	0.00%	3.23%	0.00%	5.26%	0.00%	0.00%	0.00%	7.41%	0.00%	3.33%	5.56%	0.00%	3.33%	11.43%	0.00%	7.41%	0.00%	6.67%	5.88%	3.30%	6.67%	0.00%	12.50%	25.00%	0.00%	0.00%	0.00%	0.00%	10.34%	3.45%	0.00%					
19	. Малышкин Олег Александрович	131	7	0	2	5	0	3	8	0	4	4	1	0	0	0	2	0	3	2	0	2	0	0	0	5	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	1	1	1	0	3	1	0	3	0	0	2	0	0	1	1	2	2	1	0	1	0	1	0	4	0	1	1	0	2	2	0	1	2	2	1	0	0	0	2	2	0	2	1	1	0	1	0	0	1	0	0	1	2	0	1	2	2	0	3	7	0	0	0	0	0	1	0	0	0	2	0	1	0	0	1	0	1	0	3	0	0	0	0	1	1	0	0	1	1	0					
		3.97%	35.00%	0.00%	2.41%	6.25%	0.00%	3.53%	15.38%	0.00%	4.60%	16.00%	3.57%	0.00%	0.00%	0.00%	5.88%	0.00%	17.65%	6.45%	0.00%	10.53%	0.00%	0.00%	0.00%	26.32%	0.00%	0.00%	0.00%	0.00%	5.00%	0.00%	4.76%	0.00%	3.33%	0.00%	2.04%	0.00%	0.00%	3.33%	0.00%	4.76%	11.11%	5.56%	0.00%	3.53%	5.26%	0.00%	25.00%	0.00%	0.00%	7.69%	0.00%	0.00%	2.78%	1.82%	3.23%	10.53%	4.76%	0.00%	4.00%	0.00%	4.35%	0.00%	16.00%	0.00%	4.17%	4.76%	0.00%	10.53%	6.90%	0.00%	5.88%	13.33%	10.00%	3.70%	0.00%	0.00%	0.00%	8.00%	8.00%	0.00%	11.11%	4.35%	4.00%	0.00%	4.00%	0.00%	0.00%	3.85%	0.00%	0.00%	5.88%	13.33%	0.00%	4.17%	11.76%	6.67%	0.00%	9.68%	21.21%	0.00%	0.00%	0.00%	0.00%	0.00%	3.33%	0.00%	0.00%	0.00%	11.11%	0.00%	3.33%	0.00%	0.00%	3.70%	0.00%	3.33%	0.00%	3.30%	0.00%	0.00%	0.00%	0.00%	9.09%	9.09%	0.00%	0.00%	3.45%	3.45%	0.00%					
20	. Миронов Сергей Михайлович	43	1	0	1	1	0	1	0	1	1	2	0	2	0	0	0	0	0	3	3	3	0	0	2	3	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0					
		1.30%	5.00%	0.00%	1.20%	1.25%	0.00%	1.18%	0.00%	6.25%	1.15%	8.00%	0.00%	20.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.68%	20.00%	15.79%	0.00%	0.00%	7.14%	15.79%	0.00%	0.00%	5.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	5.56%	0.00%	2.35%	0.00%	5.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.82%	1.61%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.45%	13.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.17%	0.00%	0.00%	0.00%	3.23%	0.00%	0.00%	0.00%	5.26%	0.00%	0.00%	3.33%	0.00%	0.00%	0.00%	5.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.10%	0.00%	0.00%	6.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	2298	8	10	44	60	19	47	29	11	65	9	21	3	20	20	26	9	10	10	7	8	15	15	15	8	0	20	15	19	15	30	13	8	18	11	29	15	9	21	33	12	3	14	8	60	8	14	6	9	16	10	18	45	26	39	48	15	19	16	19	26	11	18	13	17	17	13	7	12	25	10	12	7	10	19	20	16	11	11	15	16	14	18	22	25	18	25	13	16	20	11	10	13	19	10	7	21	14	20	23	22	20	13	16	29	21	15	17	18	7	11	21	26	18	20	25	22	16	60	14	8	11	7	8	8	5	8	20	22	15					
		69.68%	40.00%	71.43%	53.01%	75.00%	86.36%	55.29%	55.77%	68.75%	74.71%	36.00%	75.00%	30.00%	100.00%	100.00%	76.47%	56.25%	58.82%	32.26%	46.67%	42.11%	88.24%	100.00%	53.57%	42.11%	0.00%	74.07%	75.00%	95.00%	75.00%	83.33%	61.90%	72.73%	60.00%	100.00%	59.18%	88.24%	47.37%	70.00%	100.00%	57.14%	33.33%	77.78%	50.00%	70.59%	42.11%	70.00%	50.00%	56.25%	88.89%	38.46%	72.00%	81.82%	72.22%	70.91%	77.42%	78.95%	90.48%	100.00%	76.00%	100.00%	47.83%	100.00%	52.00%	85.00%	70.83%	61.90%	77.78%	63.16%	86.21%	66.67%	70.59%	46.67%	50.00%	70.37%	71.43%	100.00%	100.00%	44.00%	60.00%	88.89%	77.78%	78.26%	88.00%	100.00%	72.00%	89.29%	68.42%	61.54%	86.96%	61.11%	58.82%	86.67%	86.36%	41.67%	41.18%	70.00%	48.28%	64.52%	69.70%	70.97%	71.43%	68.42%	88.89%	100.00%	70.00%	55.56%	60.71%	60.00%	38.89%	100.00%	70.00%	74.29%	94.74%	74.07%	86.21%	73.33%	94.12%	65.93%	93.33%	100.00%	68.75%	58.33%	72.73%	72.73%	83.33%	100.00%	68.97%	75.86%	75.00%					
22	. Хакамада Ирина Муцуовна	112	0	1	6	4	2	7	3	0	1	0	1	1	0	0	0	1	0	0	1	1	0	0	1	1	0	1	0	0	0	0	1	1	0	0	5	1	1	5	0	2	0	1	2	2	1	0	0	3	0	4	0	1	1	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	1	2	0	0	0	1	0	2	1	0	0	4	0	1	1	0	0	0	0	0	1	0	1	0	0	0	1	2	2	0	0	0	3	4	0	0	0	0	0	0	1	0	1	0	8	0	0	1	2	0	1	0	0	0	1	1					
		3.40%	0.00%	7.14%	7.23%	5.00%	9.09%	8.24%	5.77%	0.00%	1.15%	0.00%	3.57%	10.00%	0.00%	0.00%	0.00%	6.25%	0.00%	0.00%	6.67%	5.26%	0.00%	0.00%	3.57%	5.26%	0.00%	3.70%	0.00%	0.00%	0.00%	0.00%	4.76%	9.09%	0.00%	0.00%	10.20%	5.88%	5.26%	16.67%	0.00%	9.52%	0.00%	5.56%	12.50%	2.35%	5.26%	0.00%	0.00%	18.75%	0.00%	15.38%	0.00%	1.82%	2.78%	0.00%	3.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.17%	4.76%	0.00%	0.00%	0.00%	6.67%	0.00%	6.67%	0.00%	3.70%	7.14%	0.00%	0.00%	0.00%	4.00%	0.00%	11.11%	4.35%	0.00%	0.00%	16.00%	0.00%	5.26%	3.85%	0.00%	0.00%	0.00%	0.00%	0.00%	4.17%	0.00%	3.33%	0.00%	0.00%	0.00%	3.23%	7.14%	10.53%	0.00%	0.00%	0.00%	11.11%	14.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.70%	0.00%	3.33%	0.00%	8.79%	0.00%	0.00%	6.25%	16.67%	0.00%	9.09%	0.00%	0.00%	0.00%	3.45%	5.00%					
23	. Харитонов Николай Михайлович	120	1	1	3	6	0	8	2	3	2	0	2	2	0	0	0	1	0	10	2	0	0	0	2	0	8	3	0	0	1	0	1	0	1	0	4	0	0	1	0	2	0	0	0	1	0	1	0	1	1	0	0	1	1	3	2	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	1	1	3	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	1	0	0	1	0	0	2	0	0	0	0	2	1	0	3	0	0	1	0	1	0	1	0	8	0	0	1	0	1	0	0	0	0	0	1					
		3.64%	5.00%	7.14%	3.61%	7.50%	0.00%	9.41%	3.85%	18.75%	2.30%	0.00%	7.14%	20.00%	0.00%	0.00%	0.00%	6.25%	0.00%	32.26%	13.33%	0.00%	0.00%	0.00%	7.14%	0.00%	50.00%	11.11%	0.00%	0.00%	5.00%	0.00%	4.76%	0.00%	3.33%	0.00%	8.16%	0.00%	0.00%	3.33%	0.00%	9.52%	0.00%	0.00%	0.00%	1.18%	0.00%	5.00%	0.00%	6.25%	5.56%	0.00%	0.00%	1.82%	2.78%	5.45%	3.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.00%	0.00%	0.00%	0.00%	0.00%	5.26%	3.45%	6.67%	0.00%	6.67%	5.00%	11.11%	3.57%	0.00%	0.00%	20.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	5.88%	0.00%	0.00%	12.50%	5.88%	0.00%	0.00%	3.23%	0.00%	0.00%	7.14%	0.00%	0.00%	0.00%	0.00%	7.41%	3.57%	0.00%	16.67%	0.00%	0.00%	2.86%	0.00%	3.70%	0.00%	3.33%	0.00%	8.79%	0.00%	0.00%	6.25%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	5.00%					
																																																																																																																																								
24	Против всех	416	1	2	11	2	0	13	8	1	13	2	3	0	0	0	4	5	4	2	0	4	2	0	8	2	0	3	2	0	2	0	2	1	9	0	6	1	9	1	0	3	5	1	3	16	8	3	1	2	1	7	5	4	6	9	6	0	0	0	4	0	6	0	5	1	4	4	2	4	0	0	3	2	6	1	4	0	0	5	6	2	0	3	2	0	2	2	4	3	1	5	5	0	3	8	6	6	6	4	2	7	4	2	2	0	7	5	6	11	4	0	7	4	1	2	4	3	0	8	0	0	0	0	1	1	1	0	5	4	3					
		12.61%	5.00%	14.29%	13.25%	2.50%	0.00%	15.29%	15.38%	6.25%	14.94%	8.00%	10.71%	0.00%	0.00%	0.00%	11.76%	31.25%	23.53%	6.45%	0.00%	21.05%	11.76%	0.00%	28.57%	10.53%	0.00%	11.11%	10.00%	0.00%	10.00%	0.00%	9.52%	9.09%	30.00%	0.00%	12.24%	5.88%	47.37%	3.33%	0.00%	14.29%	55.56%	5.56%	18.75%	18.82%	42.11%	15.00%	8.33%	12.50%	5.56%	26.92%	20.00%	7.27%	16.67%	16.36%	9.68%	0.00%	0.00%	0.00%	16.00%	0.00%	26.09%	0.00%	20.00%	5.00%	16.67%	19.05%	22.22%	21.05%	0.00%	0.00%	17.65%	13.33%	30.00%	3.70%	14.29%	0.00%	0.00%	20.00%	24.00%	11.11%	0.00%	13.04%	8.00%	0.00%	8.00%	7.14%	21.05%	11.54%	4.35%	27.78%	29.41%	0.00%	13.64%	33.33%	35.29%	20.00%	20.69%	12.90%	6.06%	22.58%	14.29%	10.53%	11.11%	0.00%	23.33%	18.52%	21.43%	36.67%	22.22%	0.00%	23.33%	11.43%	5.26%	7.41%	13.79%	10.00%	0.00%	8.79%	0.00%	0.00%	0.00%	0.00%	9.09%	9.09%	16.67%	0.00%	17.24%	13.79%	15.00%					
																																																																																																																																								
																																																																																																																																								
																																																																																																																																								
																																																																																																																																								
																																																																																																																																								
																																																																																																																																								
																																																																																																																																								
																																																																																																																																								
																																																																																																																																								
																																																																																																																																								
																																																																																																																																								
																																																																																																																																								
																																																																																																																																								
																																																																																																																																								
																																																																																																																																								
