Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																			
Дата голосования: 07.12.2003 0:00:00																																			
																																			
Наименование Избирательной комиссии:    Осинская																																			
																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																			
																																			
		Сумма	УИК  2401	УИК  2402	УИК  2403	УИК  2404	УИК  2405	УИК  2406	УИК  2407	УИК  2408	УИК  2409	УИК  2410	УИК  2411	УИК  2412	УИК  2413	УИК  2414	УИК  2415	УИК  2416	УИК  2417	УИК  2418	УИК  2419	УИК  2420	УИК  2421	УИК  2422	УИК  2423	УИК  2424	УИК  2425	УИК  2426	УИК  2427	УИК  2428					
		0.09%	0.06%	0.0%	0.0%	0.0%	0.0%	0.14%	0.23%	0.28%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	707	81	27	48	23	42	83	71	88	30	25	14	16	22	12	1	28	13	7	2	12	6	14	12	5	8	6	2	9					
		5.01%	5.35%	5.10%	5.64%	5.63%	5.51%	5.88%	5.63%	6.26%	4.26%	7.91%	3.56%	11.67%	5.71%	4.37%	0.99%	5.50%	3.26%	2.02%	1.43%	3.61%	2.72%	4.89%	6.55%	2.04%	3.14%	2.38%	0.79%	3.71%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	27	3	0	0	1	2	0	2	1	0	0	2	2	0	0	0	1	0	3	0	2	1	2	2	1	0	1	0	1					
		0.19%	0.19%	0.0%	0.0%	0.24%	0.26%	0.0%	0.15%	0.07%	0.0%	0.0%	0.50%	1.45%	0.0%	0.0%	0.0%	0.19%	0.0%	0.86%	0.0%	0.60%	0.45%	0.69%	1.09%	0.40%	0.0%	0.39%	0.0%	0.41%					
35	"18. ""ЛДПР"""	1970	236	85	121	61	100	183	197	203	117	47	81	24	52	28	5	69	58	57	8	30	32	22	11	19	25	41	21	37					
		13.96%	15.58%	16.06%	14.21%	14.95%	13.12%	12.97%	15.63%	14.44%	16.64%	14.87%	20.61%	17.51%	13.50%	10.21%	4.95%	13.55%	14.57%	16.47%	5.75%	9.03%	14.54%	7.69%	6.01%	7.78%	9.84%	16.26%	8.36%	15.28%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	283	31	12	8	4	16	29	23	27	12	5	7	3	6	3	5	11	8	0	1	16	7	13	6	6	10	5	3	6					
		2.00%	2.04%	2.26%	0.94%	0.98%	2.09%	2.05%	1.82%	1.92%	1.70%	1.58%	1.78%	2.18%	1.55%	1.09%	4.95%	2.16%	2.01%	0.0%	0.71%	4.81%	3.18%	4.54%	3.27%	2.45%	3.93%	1.98%	1.19%	2.47%					
37	"20. ""Политическая партия ""Единая Россия"""	5581	604	213	366	181	271	483	448	535	293	112	143	45	147	106	67	201	151	159	78	135	97	90	68	122	131	126	124	85					
		39.57%	39.89%	40.26%	43.00%	44.36%	35.56%	34.25%	35.55%	38.07%	41.67%	35.44%	36.38%	32.84%	38.18%	38.68%	66.33%	39.48%	37.93%	45.95%	56.11%	40.66%	44.09%	31.46%	37.15%	50.0%	51.57%	50.0%	49.40%	35.12%					
38	"21. ""Российская Конституционно-демократическая партия"""	30	1	4	2	0	3	2	3	2	0	1	1	0	1	1	0	0	1	1	0	1	1	0	1	1	2	0	0	1					
		0.21%	0.06%	0.75%	0.23%	0.0%	0.39%	0.14%	0.23%	0.14%	0.0%	0.31%	0.25%	0.0%	0.25%	0.36%	0.0%	0.0%	0.25%	0.28%	0.0%	0.30%	0.45%	0.0%	0.54%	0.40%	0.78%	0.0%	0.0%	0.41%					
39	"22. ""Развитие предпринимательства"""	48	1	1	4	2	4	6	7	7	1	2	3	0	1	0	0	1	3	1	0	0	1	2	0	0	1	0	0	0					
		0.34%	0.06%	0.18%	0.47%	0.49%	0.52%	0.42%	0.55%	0.49%	0.14%	0.63%	0.76%	0.0%	0.25%	0.0%	0.0%	0.19%	0.75%	0.28%	0.0%	0.0%	0.45%	0.69%	0.0%	0.0%	0.39%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1111	126	37	66	37	61	118	109	127	55	17	15	12	20	30	2	46	34	23	3	28	23	26	14	15	16	22	14	15					
		7.87%	8.32%	6.99%	7.75%	9.06%	8.00%	8.36%	8.65%	9.03%	7.82%	5.37%	3.81%	8.75%	5.19%	10.94%	1.98%	9.03%	8.54%	6.64%	2.15%	8.43%	10.45%	9.09%	7.65%	6.14%	6.29%	8.73%	5.57%	6.19%					
																																			
41	Против всех	564	80	21	37	10	41	63	50	56	40	9	12	5	12	11	2	18	8	13	2	13	3	6	11	7	5	6	4	19					
		3.99%	5.28%	3.96%	4.34%	2.45%	5.38%	4.46%	3.96%	3.98%	5.68%	2.84%	3.05%	3.64%	3.11%	4.01%	1.98%	3.53%	2.01%	3.75%	1.43%	3.91%	1.36%	2.09%	6.01%	2.86%	1.96%	2.38%	1.59%	7.85%					
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
