Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																								
Дата голосования: 18.09.2016																								
																								
Наименование Избирательной комиссии:    Ковдорская																								
																								
Сводная таблица итогов голосования по федеральному избирательному округу																								
																								
		Сумма	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278									
		0.93%	1.03%	0.98%	1.58%	1.19%	0.00%	0.85%	1.12%	1.05%	0.63%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	15	1	1	1	5	0	3	1	3	0	0	0	0	0									
		0.21%	0.13%	0.14%	0.12%	0.74%	0.00%	0.32%	0.12%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	79	7	10	10	8	0	11	7	11	12	0	0	3	0									
		1.12%	0.91%	1.40%	1.22%	1.19%	0.00%	1.17%	0.87%	1.45%	1.50%	0.00%	0.00%	0.58%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1025	120	84	135	102	19	119	131	110	102	6	15	73	9									
		14.50%	15.52%	11.75%	16.42%	15.13%	17.76%	12.61%	16.31%	14.47%	12.75%	17.65%	16.48%	14.07%	31.03%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	24	3	1	7	1	0	3	1	4	4	0	0	0	0									
		0.34%	0.39%	0.14%	0.85%	0.15%	0.00%	0.32%	0.12%	0.53%	0.50%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	600	74	56	61	66	9	72	60	76	72	0	6	47	1									
		8.49%	9.57%	7.83%	7.42%	9.79%	8.41%	7.63%	7.47%	10.00%	9.00%	0.00%	6.59%	9.06%	3.45%									
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
