Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																													
Дата голосования: 18.09.2016																													
																													
Наименование Избирательной комиссии:    Любытинская																													
																													
Сводная таблица итогов голосования по федеральному избирательному округу																													
																													
		Сумма	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718									
		1.36%	2.22%	1.83%	1.80%	0.00%	0.00%	0.94%	3.33%	3.88%	0.00%	0.82%	1.51%	1.64%	0.00%	1.15%	2.13%	0.82%	1.05%	2.20%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	73	0	5	2	1	1	7	2	3	1	9	17	5	0	3	0	3	9	5									
		1.99%	0.00%	4.59%	1.80%	1.11%	1.69%	3.29%	3.33%	2.33%	1.25%	1.86%	1.83%	4.10%	0.00%	3.45%	0.00%	2.46%	1.35%	1.83%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	83	4	1	6	2	3	3	0	5	2	13	11	1	1	8	1	3	15	4									
		2.26%	8.89%	0.92%	5.41%	2.22%	5.08%	1.41%	0.00%	3.88%	2.50%	2.68%	1.18%	0.82%	2.08%	9.20%	2.13%	2.46%	2.26%	1.47%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1847	11	46	55	42	35	104	29	64	58	207	530	63	31	43	24	55	306	144									
		50.27%	24.44%	42.20%	49.55%	46.67%	59.32%	48.83%	48.33%	49.61%	72.50%	42.68%	57.05%	51.64%	64.58%	49.43%	51.06%	45.08%	46.02%	52.75%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	25	2	2	1	0	0	1	0	0	1	2	6	2	1	0	0	2	4	1									
		0.68%	4.44%	1.83%	0.90%	0.00%	0.00%	0.47%	0.00%	0.00%	1.25%	0.41%	0.65%	1.64%	2.08%	0.00%	0.00%	1.64%	0.60%	0.37%									
24	"6. Политическая партия ""Гражданская Платформа"""	11	0	1	0	0	0	0	0	1	0	1	3	0	0	2	0	2	1	0									
		0.30%	0.00%	0.92%	0.00%	0.00%	0.00%	0.00%	0.00%	0.78%	0.00%	0.21%	0.32%	0.00%	0.00%	2.30%	0.00%	1.64%	0.15%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	639	10	23	15	17	15	33	13	16	13	80	131	21	12	18	9	22	153	38									
		17.39%	22.22%	21.10%	13.51%	18.89%	25.42%	15.49%	21.67%	12.40%	16.25%	16.49%	14.10%	17.21%	25.00%	20.69%	19.15%	18.03%	23.01%	13.92%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	17	1	1	0	0	0	1	0	0	0	0	5	0	0	0	0	0	4	5									
		0.46%	2.22%	0.92%	0.00%	0.00%	0.00%	0.47%	0.00%	0.00%	0.00%	0.00%	0.54%	0.00%	0.00%	0.00%	0.00%	0.00%	0.60%	1.83%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	47	1	3	0	1	0	0	0	3	0	9	9	7	0	2	1	1	7	3									
		1.28%	2.22%	2.75%	0.00%	1.11%	0.00%	0.00%	0.00%	2.33%	0.00%	1.86%	0.97%	5.74%	0.00%	2.30%	2.13%	0.82%	1.05%	1.10%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	8	0	0	0	0	0	2	0	0	0	3	1	0	0	0	0	0	1	1									
		0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.94%	0.00%	0.00%	0.00%	0.62%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.37%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	40	0	1	1	0	0	1	0	3	1	5	13	1	0	0	1	0	10	3									
		1.09%	0.00%	0.92%	0.90%	0.00%	0.00%	0.47%	0.00%	2.33%	1.25%	1.03%	1.40%	0.82%	0.00%	0.00%	2.13%	0.00%	1.50%	1.10%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	456	9	17	10	18	4	27	9	17	2	59	81	11	2	7	9	24	115	35									
		12.41%	20.00%	15.60%	9.01%	20.00%	6.78%	12.68%	15.00%	13.18%	2.50%	12.16%	8.72%	9.02%	4.17%	8.05%	19.15%	19.67%	17.29%	12.82%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	15	0	0	0	0	0	0	1	2	1	0	6	0	0	0	0	0	5	0									
		0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.67%	1.55%	1.25%	0.00%	0.65%	0.00%	0.00%	0.00%	0.00%	0.00%	0.75%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	283	3	6	12	9	1	29	2	9	1	68	90	6	1	0	1	4	19	22									
		7.70%	6.67%	5.50%	10.81%	10.00%	1.69%	13.62%	3.33%	6.98%	1.25%	14.02%	9.69%	4.92%	2.08%	0.00%	2.13%	3.28%	2.86%	8.06%									
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
