Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																										
Дата голосования: 18.09.2016																																																																										
																																																																										
Наименование Избирательной комиссии:    Любинская																																																																										
																																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																																										
																																																																										
		Сумма	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	612	15	1	5	27	9	10	20	5	15	5	4	5	18	1	14	1	2	5	5	5	15	8	8	15	15	10	20	10	15	12	20	15	10	5	7	2	5	3	1	15	1	8	4	2	50	10	7	15	1	16	20	7	2	1	10	1	1	33	8	11	1	15	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	462	15	1	3	27	9	10	11	0	6	0	0	5	12	1	14	0	0	4	0	5	15	7	4	3	2	4	13	6	9	12	10	13	2	5	2	0	5	3	0	15	0	7	4	0	50	10	7	15	1	16	20	0	1	1	4	0	0	33	8	11	1	15	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	146	2	2	11	0	0	1	1	3	3	0	1	0	8	1	1	0	1	1	0	3	4	0	0	2	3	4	4	7	3	1	4	1	11	3	0	1	7	2	4	3	1	3	1	1	6	1	4	2	1	0	5	2	2	2	2	1	2	6	0	0	0	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	150	0	0	2	0	0	0	9	5	9	5	4	0	6	0	0	1	2	1	5	0	0	1	4	12	13	6	7	4	6	0	10	2	8	0	5	2	0	0	1	0	1	1	0	2	0	0	0	0	0	0	0	7	1	0	6	1	1	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	88	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	2	7	4	5	4	6	7	7	2	0	0	1	0	0	0	1	0	0	0	8	0	0	3	0	3	2	0	5	0	0	0	0	0	0	0	0	17	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	93	3	0	2	3	0	0	0	0	3	0	0	0	0	0	0	0	0	3	3	1	2	0	0	8	6	6	2	5	2	1	4	3	2	2	1	0	3	0	0	6	1	0	2	0	1	0	0	3	0	0	4	1	5	0	0	0	0	3	0	0	0	2	0									
		0.53%	0.43%	0.00%	0.71%	0.80%	0.00%	0.00%	0.00%	0.00%	1.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.69%	0.93%	0.42%	0.28%	0.00%	0.00%	1.22%	0.76%	0.92%	0.38%	1.39%	0.51%	0.24%	0.82%	0.44%	0.87%	0.52%	0.40%	0.00%	0.50%	0.00%	0.00%	0.90%	0.71%	0.00%	1.43%	0.00%	0.32%	0.00%	0.00%	1.17%	0.00%	0.00%	0.63%	0.70%	1.51%	0.00%	0.00%	0.00%	0.00%	0.70%	0.00%	0.00%	0.00%	0.87%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	761	50	7	8	19	1	1	17	1	14	1	4	4	9	4	5	4	5	28	11	8	20	5	5	40	31	23	30	20	11	24	17	36	15	22	10	3	14	4	5	35	9	9	1	6	11	0	2	6	7	6	38	8	14	2	13	0	5	29	3	1	4	11	5									
		4.33%	7.13%	8.43%	2.84%	5.04%	1.61%	1.15%	3.51%	1.49%	6.54%	2.04%	6.06%	5.71%	2.10%	2.94%	3.73%	2.78%	2.17%	6.47%	3.43%	3.38%	2.81%	2.89%	3.18%	6.08%	3.93%	3.54%	5.77%	5.57%	2.82%	5.70%	3.48%	5.26%	6.55%	5.67%	3.97%	2.44%	2.33%	3.23%	3.50%	5.28%	6.38%	2.56%	0.71%	10.00%	3.56%	0.00%	4.88%	2.34%	4.55%	4.03%	5.98%	5.59%	4.23%	2.20%	3.95%	0.00%	3.73%	6.79%	3.95%	1.96%	4.00%	4.80%	5.15%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	201	3	0	4	4	0	0	1	2	6	0	0	0	7	0	1	0	2	3	1	6	4	2	2	10	15	10	12	11	2	2	11	9	0	7	4	0	7	4	3	6	0	6	1	0	4	0	0	3	0	2	8	0	3	0	2	0	0	6	1	1	1	0	2									
		1.14%	0.43%	0.00%	1.42%	1.06%	0.00%	0.00%	0.21%	2.99%	2.80%	0.00%	0.00%	0.00%	1.63%	0.00%	0.75%	0.00%	0.87%	0.69%	0.31%	2.53%	0.56%	1.16%	1.27%	1.52%	1.90%	1.54%	2.31%	3.06%	0.51%	0.48%	2.25%	1.31%	0.00%	1.80%	1.59%	0.00%	1.16%	3.23%	2.10%	0.90%	0.00%	1.71%	0.71%	0.00%	1.29%	0.00%	0.00%	1.17%	0.00%	1.34%	1.26%	0.00%	0.91%	0.00%	0.61%	0.00%	0.00%	1.41%	1.32%	1.96%	1.00%	0.00%	2.06%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	10345	416	63	197	245	52	63	366	40	104	41	33	50	294	99	111	103	183	225	241	138	499	93	97	323	385	323	237	175	182	181	209	314	102	180	116	59	366	64	72	428	86	239	81	40	257	62	38	164	101	116	295	78	215	75	214	123	92	222	48	38	69	156	67									
		58.82%	59.34%	75.90%	69.86%	64.99%	83.87%	72.41%	75.46%	59.70%	48.60%	83.67%	50.00%	71.43%	68.53%	72.79%	82.84%	71.53%	79.57%	51.96%	75.08%	58.23%	69.99%	53.76%	61.78%	49.09%	48.86%	49.69%	45.58%	48.75%	46.67%	42.99%	42.83%	45.84%	44.54%	46.39%	46.03%	47.97%	60.90%	51.61%	50.35%	64.56%	60.99%	68.09%	57.86%	66.67%	83.17%	84.93%	92.68%	64.06%	65.58%	77.85%	46.46%	54.55%	64.95%	82.42%	65.05%	87.86%	68.66%	51.99%	63.16%	74.51%	69.00%	68.12%	69.07%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	51	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	4	2	0	2	8	0	3	4	1	0	0	1	1	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	5	0	7	0	1	0	0	0	0	0	0	0	0									
		0.29%	0.14%	0.00%	0.35%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.84%	0.56%	1.16%	0.00%	0.30%	1.02%	0.00%	0.58%	1.11%	0.26%	0.00%	0.00%	0.15%	0.44%	0.26%	0.00%	0.00%	0.17%	0.00%	0.70%	0.00%	0.00%	0.28%	0.71%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.79%	0.00%	2.11%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	26	0	0	0	0	0	2	1	0	1	0	1	0	0	0	0	0	1	0	0	2	3	0	0	3	1	0	0	0	1	0	0	3	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0									
		0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	2.30%	0.21%	0.00%	0.47%	0.00%	1.52%	0.00%	0.00%	0.00%	0.00%	0.00%	0.43%	0.00%	0.00%	0.84%	0.42%	0.00%	0.00%	0.46%	0.13%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.44%	0.00%	0.26%	0.00%	0.81%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	1.32%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2594	116	9	39	37	2	14	42	15	22	0	11	4	45	22	11	23	20	65	35	27	65	48	19	84	134	125	91	53	90	84	106	134	46	75	48	30	77	18	24	33	23	41	31	11	9	6	1	42	27	7	170	28	47	8	41	9	12	70	15	11	15	19	8									
		14.75%	16.55%	10.84%	13.83%	9.81%	3.23%	16.09%	8.66%	22.39%	10.28%	0.00%	16.67%	5.71%	10.49%	16.18%	8.21%	15.97%	8.70%	15.01%	10.90%	11.39%	9.12%	27.75%	12.10%	12.77%	17.01%	19.23%	17.50%	14.76%	23.08%	19.95%	21.72%	19.56%	20.09%	19.33%	19.05%	24.39%	12.81%	14.52%	16.78%	4.98%	16.31%	11.68%	22.14%	18.33%	2.91%	8.22%	2.44%	16.41%	17.53%	4.70%	26.77%	19.58%	14.20%	8.79%	12.46%	6.43%	8.96%	16.39%	19.74%	21.57%	15.00%	8.30%	8.25%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	69	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	2	0	4	1	0	1	0	1	3	3	3	3	1	1	5	3	2	4	2	5	1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	5	0	5	0	2	0	0	3	1	0	0	0	0									
		0.39%	0.00%	0.00%	0.00%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.52%	0.00%	0.00%	0.74%	0.00%	1.39%	0.00%	0.92%	0.31%	0.00%	0.14%	0.00%	0.64%	0.46%	0.38%	0.46%	0.58%	0.28%	0.26%	1.19%	0.61%	0.29%	1.75%	0.52%	1.98%	0.81%	0.00%	0.00%	0.70%	0.15%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.39%	0.00%	0.00%	0.79%	0.00%	1.51%	0.00%	0.61%	0.00%	0.00%	0.70%	1.32%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	114	1	0	1	1	0	1	2	0	1	0	0	0	2	1	0	0	3	2	0	0	4	0	2	4	7	7	12	6	3	9	3	13	1	4	2	2	3	2	0	3	0	1	0	0	0	0	0	1	0	0	4	3	0	0	1	0	1	0	0	0	0	0	1									
		0.65%	0.14%	0.00%	0.35%	0.27%	0.00%	1.15%	0.41%	0.00%	0.47%	0.00%	0.00%	0.00%	0.47%	0.74%	0.00%	0.00%	1.30%	0.46%	0.00%	0.00%	0.56%	0.00%	1.27%	0.61%	0.89%	1.08%	2.31%	1.67%	0.77%	2.14%	0.61%	1.90%	0.44%	1.03%	0.79%	1.63%	0.50%	1.61%	0.00%	0.45%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%	0.00%	0.63%	2.10%	0.00%	0.00%	0.30%	0.00%	0.75%	0.00%	0.00%	0.00%	0.00%	0.00%	1.03%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	15	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	1	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1									
		0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	1.15%	0.00%	1.49%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.58%	0.64%	0.00%	0.00%	0.15%	0.00%	0.00%	0.26%	0.00%	0.41%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.81%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.65%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.75%	0.00%	0.00%	0.00%	0.00%	0.00%	1.03%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	123	3	0	2	4	0	0	3	0	2	0	1	0	3	0	0	0	0	5	0	1	4	1	0	3	15	4	12	1	8	6	3	4	3	3	0	2	7	1	0	6	1	4	0	0	1	0	0	1	0	0	1	0	0	0	2	1	1	1	0	0	1	2	0									
		0.70%	0.43%	0.00%	0.71%	1.06%	0.00%	0.00%	0.62%	0.00%	0.93%	0.00%	1.52%	0.00%	0.70%	0.00%	0.00%	0.00%	0.00%	1.15%	0.00%	0.42%	0.56%	0.58%	0.00%	0.46%	1.90%	0.62%	2.31%	0.28%	2.05%	1.43%	0.61%	0.58%	1.31%	0.77%	0.00%	1.63%	1.16%	0.81%	0.00%	0.90%	0.71%	1.14%	0.00%	0.00%	0.32%	0.00%	0.00%	0.39%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.61%	0.71%	0.75%	0.23%	0.00%	0.00%	1.00%	0.87%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2341	96	2	20	35	4	2	33	5	46	6	13	8	30	4	4	9	12	58	28	43	60	11	25	137	137	114	88	59	69	87	91	128	36	71	52	18	82	26	21	125	20	41	16	3	22	3	0	26	14	8	72	19	20	4	42	1	16	71	2	0	7	30	9									
		13.31%	13.69%	2.41%	7.09%	9.28%	6.45%	2.30%	6.80%	7.46%	21.50%	12.24%	19.70%	11.43%	6.99%	2.94%	2.99%	6.25%	5.22%	13.39%	8.72%	18.14%	8.42%	6.36%	15.92%	20.82%	17.39%	17.54%	16.92%	16.43%	17.69%	20.67%	18.65%	18.69%	15.72%	18.30%	20.63%	14.63%	13.64%	20.97%	14.69%	18.85%	14.18%	11.68%	11.43%	5.00%	7.12%	4.11%	0.00%	10.16%	9.09%	5.37%	11.34%	13.29%	6.04%	4.40%	12.77%	0.71%	11.94%	16.63%	2.63%	0.00%	7.00%	13.10%	9.28%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	40	0	0	2	1	0	0	1	0	1	0	1	0	0	0	0	1	1	2	0	0	0	0	2	0	0	1	0	3	1	0	2	1	1	1	1	0	0	2	0	0	0	0	2	0	1	0	0	0	0	0	2	0	2	0	1	1	0	3	1	0	0	1	1									
		0.23%	0.00%	0.00%	0.71%	0.27%	0.00%	0.00%	0.21%	0.00%	0.47%	0.00%	1.52%	0.00%	0.00%	0.00%	0.00%	0.69%	0.43%	0.46%	0.00%	0.00%	0.00%	0.00%	1.27%	0.00%	0.00%	0.15%	0.00%	0.84%	0.26%	0.00%	0.41%	0.15%	0.44%	0.26%	0.40%	0.00%	0.00%	1.61%	0.00%	0.00%	0.00%	0.00%	1.43%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.60%	0.00%	0.30%	0.71%	0.00%	0.70%	1.32%	0.00%	0.00%	0.44%	1.03%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	387	11	1	3	12	0	2	10	3	8	0	1	4	6	2	0	2	1	13	0	9	18	6	2	14	24	17	16	7	8	10	20	29	5	7	6	3	16	1	11	8	0	6	2	0	1	0	0	7	3	3	18	2	5	0	3	2	6	5	1	0	2	2	3									
		2.20%	1.57%	1.20%	1.06%	3.18%	0.00%	2.30%	2.06%	4.48%	3.74%	0.00%	1.52%	5.71%	1.40%	1.47%	0.00%	1.39%	0.43%	3.00%	0.00%	3.80%	2.52%	3.47%	1.27%	2.13%	3.05%	2.62%	3.08%	1.95%	2.05%	2.38%	4.10%	4.23%	2.18%	1.80%	2.38%	2.44%	2.66%	0.81%	7.69%	1.21%	0.00%	1.71%	1.43%	0.00%	0.32%	0.00%	0.00%	2.73%	1.95%	2.01%	2.83%	1.40%	1.51%	0.00%	0.91%	1.43%	4.48%	1.17%	1.32%	0.00%	2.00%	0.87%	3.09%									
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
